policy,CustomHopper-target-v0_mean,CustomHopper-target-v0_std,Hopper-Target-Mass-Easy-v0_mean,Hopper-Target-Mass-Easy-v0_std,Hopper-Target-Mass-Medium-v0_mean,Hopper-Target-Mass-Medium-v0_std,Hopper-Target-Mass-Hard-v0_mean,Hopper-Target-Mass-Hard-v0_std,Hopper-Target-Fric-Easy-v0_mean,Hopper-Target-Fric-Easy-v0_std,Hopper-Target-Fric-Medium-v0_mean,Hopper-Target-Fric-Medium-v0_std,Hopper-Target-Fric-Hard-v0_mean,Hopper-Target-Fric-Hard-v0_std,Hopper-Target-Both-Easy-v0_mean,Hopper-Target-Both-Easy-v0_std,Hopper-Target-Both-Medium-v0_mean,Hopper-Target-Both-Medium-v0_std,Hopper-Target-Both-Hard-v0_mean,Hopper-Target-Both-Hard-v0_std
Hopper-Mass-Uni-10-v0,782.89,27.71,1029.49,12.46,503.47,26.69,395.7,1.66,699.18,2.97,936.59,7.2,446.92,1.76,870.73,15.97,484.51,2.09,348.5,1.66
Hopper-Mass-Gauss-10-v0,1713.21,2.3,1717.24,2.74,921.17,10.6,543.37,3.32,1700.65,2.64,1092.28,49.09,330.96,1.52,1705.6,1.97,799.86,5.24,342.48,1.54
Hopper-Fric-Uni-10-v0,1598.83,2.18,1602.09,2.54,831.8,71.34,403.72,1.65,1589.27,6.87,561.88,6.75,310.45,1.69,1589.28,3.02,527.73,3.32,270.29,1.73
Hopper-Fric-Gauss-10-v0,1720.48,7.41,1705.85,3.48,1728.07,41.03,616.83,3.33,1690.77,4.08,1073.11,19.28,448.84,2.28,1712.92,5.79,1085.84,34.08,371.74,1.66
Hopper-MassFric-Uni-10-v0,1703.85,8.62,1716.15,24.03,674.52,12.57,411.83,2.2,1710.89,56.16,1068.83,10.16,415.52,1.36,1689.12,4.65,742.54,2.54,338.36,1.63
Hopper-MassFric-Gauss-10-v0,1588.37,2.38,1576.9,4.22,722.76,27.13,511.19,3.22,1578.51,1.77,629.33,10.48,360.61,1.49,1576.07,2.81,549.67,1.7,331.5,1.37
Hopper-Mass-Uni-20-v0,835.56,53.18,1126.58,125.28,176.27,1.85,181.03,2.07,731.07,16.1,853.63,8.76,426.23,1.64,846.21,44.72,425.93,113.48,340.14,1.92
Hopper-Mass-Gauss-20-v0,1780.7,80.42,1848.86,57.67,904.44,16.17,530.37,12.3,1499.94,142.48,1082.65,15.34,430.41,1.22,1777.05,79.61,764.41,5.21,344.53,1.55
Hopper-Fric-Uni-20-v0,1670.51,1.85,1684.11,1.68,1653.96,20.97,610.15,5.69,1677.76,2.87,945.69,22.42,430.34,1.31,1668.27,1.6,873.93,8.67,351.19,1.84
Hopper-Fric-Gauss-20-v0,1556.31,15.68,1572.72,8.12,813.67,10.47,617.77,2.85,1381.59,147.86,751.54,4.65,348.15,1.82,1548.24,13.09,619.02,15.36,277.47,35.54
