#{"t_start": 1774297289.6383255, "env_id": "Hopper-Fric-Gauss-10-v0"}
r,l,t
17.550778,30,2.391664
12.367454,22,2.398664
20.642821,25,2.407173
15.777078,11,2.412681
7.977,12,2.41568
33.12141,30,2.426517
8.30522,12,2.431055
15.187913,17,2.436056
9.5412.142983,14,2.32742.719899,31,2.451896
3.6413.228247,15,2.34514.276.955195,10,2.35179.6211.545137,14,2.358227
11.334957,17,2.367736
22.537592,23,2.380245
33.175431,35,2.399804
16.072272,25,2.413831
8.847127,15,2.42234
2.558762,6,2.425846
15.364517,18,262.99058512.506009,15,9.213202,16.721929,22,2.452879
28.206939,28,2.462412
4.560335,14,223.248886,27,2.590138
7.009778,13,2.598145
9.39559,20.529698,24,11.358381,18,2.616197
1.814171,1102.409515,56,2.521018
17.087343,18,2.530529
18.254218,27,2.539039
25.796287,23,2.549556
7.744174,15,2.557072
5.080165,10,2.562077
7.828488,13,2.569612
10.287911,16,2.578126
31.519488,43,2.602172
14.60619,18,2.610199
5.576894,14,2.615213
13.160004,22,2.622747
77.286182,76,2.662345
9.996999,13,2.669863
5.95721,11,2.676383
26.942645,25,2.685905
12.109008,14,2.690928
19.750689,23,2.699436
14.161743,17,2.706947
13.455512,17,2.716962
13.117573,20,2.726466
6.647889,10,2.731466
5.485506,9,2.736996
20.885253,24,2.748536
7.953296,13,2.753524
7.461233,12,2.758032
6.098716,9,2.761031
8.31053469.792491,58,2.894735
9.547406,19,2.90526
6.104818,14,2.91277
5.505967,21,2.44.282852,53,2.815653
8.888114.099961,25,2.924.23579.076374,20,2.949.087366.198313,76,2.986717
15.668236,24,2.998225
4.169481,14,3.005735
8.537201,14,3.01125
15.958138,20,3.01825
45.208408,63,3.05183
7.473172,15,3.060353
10.820938,18,3.070888
12.876968,17,3.080402
22.001033,23,3.08991
9.263298,13,3.093915
5.662826,9,3.096915
7.550421,12,3.102431
9.170902,12,3.108431
10.660565,21,3.119954
21.808788,22,3.131235
8.075895,12,3.137236
7.736326,18,3.147747
11.522857,20,3.158286
9.0383,12,3.167287
9.095129,19,3.178285
8.912456,11,3.186816
4.479633,30,3.206381
9.341245,13,3.212899
18.952348,29,3.223406
3.702163,7,3.226553
15.439409,25,3.240079
13.849226,22,3.252225
5.90512,12,3.259214
8.695575,16,3.26845
3.699224,18,3.277959
6.328719,18,3.287184
9.029742,13,3.297693
7.598856,10,3.30421
7.391954,12,3.311512
39.223853,31,3.326555
8.611136,29,3.338079
6.985424,10,3.341584
6.610865,13,3.345584
8.479832,15,4.026024
11.39784,27,4.035043
49.304138,36,4.047273
11.058251,15,4.0528
114.182549,66,4.087405
6.368307,10,4.092897
12.533315,16,4.101405
9.839575,25,4.110918
6.249865,12,4.114913
7.031924,10,4.117914
156.796461,92,4.158055
42.624373,38,4.177111
9.44266,16,4.185631
7.186082,11,4.191139
5.644365,9,4.196139
113.563753,86,4.248916
7.558706,12,4.25342
7.690081,19,4.259927
10.817645,24,4.272958
19.530634,18,4.282456
24.518485,30,4.298965
14.872693,20,4.308473
17.178125,30,4.324488
11.083073,16,4.334298
13.560224,29,4.347815
23.825538,27,4.357323
8.402126,11,4.36147
13.875651,15,4.366479
23.900021,28,4.375985
7.014585,10,4.378985
17.531644,33,4.39201
54.229688,39,4.413026
13.902454,23,4.429044
5.352447,9,4.436555
109.433684,75,4.476841
165.150161,92,4.525485
52.671922,46,4.544269
14.762401,16,4.55179
6.457465,10,4.557791
8.094977,13,4.565324
22.791557,21,4.577844
8.989563,12,4.583987
11.491761,14,4.593504
9.713715,12,4.597506
29.185098,31,4.609032
18.48619,30,4.620077
8.826737,12,4.624102
12.602576,16,4.628609
92.629281,61,4.656164
15.249267,18,4.663692
62.955074,44,4.683719
16.325274,17,4.693256
9.034491,13,4.700257
16.458078,19,4.710276
81.483459,49,4.74236
6.239502,19,4.752887
12.75965,24,4.762033
10.401759,15,4.768029
26.338917,35,4.780047
5.842082,17,4.788563
126.024258,77,4.816099
5.240076,10,4.821602
10.436197,23,4.833623
56.650096,67,4.862764
21.320379,30,4.879273
11.517167,25,4.893292
12.268578,14,4.902308
8.068246,14,4.909814
6.190847,15,4.914821
13.727912,31,4.925903
74.333913,82,4.962308
66.071811,58,4.987372
161.539601,76,5.600691
23.425139,23,5.617206
25.211158,27,5.643836
6.74638,9,5.652366
16.410381,17,5.668476
123.280849,68,5.706554
32.984191,34,5.725265
12.915162,16,5.733331
12.289927,22,5.745847
16.765032,18,5.755365
29.993424,41,5.776901
6.390111,9,5.781416
86.135827,50,5.806442
258.691684,132,5.870103
16.015901,16,5.876107
20.504382,20,5.885618
16.665387,24,5.897132
117.627307,63,5.922651
14.158941,28,5.933683
239.412518,129,5.990234
58.648975,51,6.014354
49.958748,40,6.028365
35.515584,29,6.038379
5.428661,8,6.04389
32.003824,26,6.05605
31.317717,29,6.065557
26.549669,34,6.077072
17.171929,25,6.086583
62.070543,41,6.101322
31.939869,26,6.110322
16.00832,25,6.118838
23.140066,24,6.127347
45.7394,43,6.147489
11.36448,24,6.161291
48.376509,36,6.116.975530.152607,33,6.15.416047.943687,40,6.246.178355,71,6.125285
25.052338,36,6.14883
68.630297,40,6.168397
26.12846,23,6.177912
10.115238,41,6.19892
10.650285,17,6.208461
11.9217160.518089,96,6.374296
28.409404,32,6.391321
45.708949,38,96.835474,14.673547,24,6117.99708121.802508,83,6.460137
43.451558,35,6.477868
38.790749,33,6.495374
60.489069,55,6.525921
42.538981,50,6.556333
30.025023,31,6.580067
184.746808,92,7.368317
125.337303,93,7.424326
52.101557,36,7.445461
24.996563,31,7.458022
85.163986,53,7.484088
27.676839,35,7.497597
17.007847,19,7.508106
42.792011,30,7.520133
15.201645,16,7.526158
83.919734,48,7.550678
245.493364,131,7.602001
126.410863,70,7.630865
82.517259,50,7.657935
148.979316,121,7.720022
13.362052,28,7.734585
199.347037,100,7.788921
21.965332,29,7.802951
101.811368,65,7.833007
161.195373,104,7.888686
45.766734,34,7.908306
83.494442,51,7.933875
14.769591,28,7.948413
37.211857,30,7.963473
10.106543,21,7.972985
117.977438,61,8.001557
16.410662,17,8.010075
33.669555,35,8.027589
16.656117,24,8.045134
93.322711,59,8.075597
72.548317,44,8.098634
74.239498,44,8.118663
198.476879,107,8.171242
30.573283,38,8.192313
98.560777,74,8.227877
16.438031,31,8.244434
60.710895,47,8.269082
9.308386,13,8.276142
16.141123,17,8.284655
135.5835222.935914,105,8.816453
70.449301,41,8.84304
93.131279,52,8.874193
154.638534,70.80022,42,9.091488
97.720619,54,9.118536
85.566851,66,9.15285
203.548166,112,9.214793
62.482105,38,9.232838
252.206421,167,9.312775
16.010072,17,9.322286
92.064558,52,9.347133
37.47957,30,9.363961
34.415864,33,9.383172
166.503669,81,9.42178
227.119495,105,9.475623
132.373036,66,9.504197
232.237459,111,9.561511
27.617066,24,9.574025
208.610971,90,9.618128
62.543596,52,9.645213
233.643723,113,9.71516
47.714682,41,9.731211
