#{"t_start": 1773938232.2807329, "env_id": "CustomHopper-source-v0"}
r,l,t
5.412402,11,6.415235
8.35966,12,6.455431
14.695299,21,6.519831
9.106551,17,6.572366
5.343234,12,6.609865
7.888968,13,6.649723
20.863083,20,6.711369
4.436757,23,6.782487
1.501877,12,6.820897
11.228425,15,6.865596
10.757842,22,6.934598
16.662227,19,6.992196
19.934181,20,7.053996
17.742654,18,7.110819
8.294836,13,7.151518
18.886602,20,7.213007
4.490265,15,7.260234
39.959598,42,7.388749
68.910424,41,7.516633
20.724079,22,7.589361
9.908496,15,7.636795
5.293215,9,7.664847
101.935016,56,7.838233
12.399032,14,7.881822
12.760629,18,7.937671
83.181885,54,8.212437
3.582435,8,8.23686
7.354133,16,8.287813
5.575645,19,8.348101
15.026698,17,8.52529
2.757416,23,8.599172
16.719757,33,8.700248
7.858041,12,8.736371
9.629621,26,8.815552
12.941583,14,8.859041
54.480317,41,8.988027
8.171547,16,9.037246
6.601448,19,9.097768
6.012144,10,9.129832
18.134255,17,9.181227
10.508797,14,9.224741
14.769591,26,9.306355
12.294473,32,9.405565
4.935228,13,9.446473
4.009928,10,9.476357
17.508763,19,9.535972
4.615457,12,9.569671
4.736576,20,9.631947
4.365077,11,9.665916
3.939181,11,9.699865
18.008796,21,9.765751
6.569588,11,9.798137
5.995232,18,9.85337
9.703715,27,9.93653
4.662863,15,9.982843
34.894257,28,10.066896
15.239867,17,10.118712
14.798708,15,10.16523
5.774491,10,10.195706
23.472955,23,10.267614
7.305479,35,10.376842
8.316378,15,10.523925
12.101968,16,10.584432
7.867509,11,10.617593
9.0195,12,10.653399
5.905893,10,10.685821
8.812849,15,10.731639
14.951758,20,10.794092
78.54174,57,10.969652
45.938373,32,11.066087
6.996912,12,11.105212
20.268346,22,11.173155
8.150647,11,11.208968
36.571392,32,11.306063
10.568713,18,11.360125
4.176317,12,11.395866
16.448618,16,11.444759
16.030664,18,11.500898
17.13107,20,11.557973
7.966125,14,11.598859
17.401565,18,11.655244
6.486899,12,11.691655
10.029438,14,11.735569
19.314308,21,11.7997
71.969436,41,11.926464
18.868541,25,12.003899
23.354351,30,12.094976
19.961268,30,12.189192
3.203476,12,12.225189
37.595472,44,12.358203
54.807749,42,12.488769
39.635654,28,12.572016
23.220069,21,12.639902
6.830063,15,12.686466
5.547509,12,12.724295
4.292081,10,12.756771
21.552597,20,12.81875
4.154414,10,12.85079
10.600446,22,12.917711
59.029757,40,13.040358
13.30378,19,38.337827
6.873485,11,38.382516
6.852042,11,38.427427
90.580995,51,38.597624
5.759906,9,38.624954
11.970251,19,38.680541
68.962124,41,38.803268
9.631127,17,38.862029
17.105485,22,38.936179
112.208595,60,39.149371
4.70261,9,39.178562
7.606119,13,39.220765
68.719869,61,39.424906
11.423492,14,39.469111
9.228812,13,39.509328
31.607966,38,39.621848
134.583669,86,39.871435
10.630835,27,39.9515
17.124259,25,40.034625
19.201984,29,40.131662
17.73494,17,40.188185
5.208173,12,40.229832
13.229645,21,40.300664
46.850963,39,40.431945
39.477213,41,40.555151
9.03613,22,40.618417
10.21836,15,40.662633
15.998277,31,40.751722
7.798994,10,40.780933
10.99664,13,40.819582
8.450642,30,40.911479
22.136969,22,40.981512
39.140566,36,41.094276
8.922303,13,41.137664
4.34003,8,41.162256
20.049658,30,41.255194
14.405815,20,41.314726
123.384668,95,41.60914
51.177982,40,41.730147
20.577441,24,41.803168
7.627238,10,41.834793
36.335635,46,41.979483
75.351655,48,42.12941
34.799771,28,42.214839
255.43302,133,42.626493
47.2499,38,42.741363
11.760844,20,42.801373
17.913891,18,42.857259
25.616936,24,42.929557
10.002248,13,42.974029
21.322547,24,43.051934
69.661319,49,43.205736
24.688923,23,43.274861
66.759544,45,43.411026
7.557632,14,43.45373
5.42728,12,43.490508
20.68036,25,43.568145
35.022942,53,43.729038
7.753863,21,43.824603
63.192656,37,43.971541
13.36042,15,44.030156
7.238835,19,44.100927
68.170453,40,44.224658
51.469044,30,44.315311
15.890506,31,44.408742
14.092972,17,44.459051
86.336938,63,44.654814
10.499107,14,44.69624
42.075175,34,73.97201
144.37379,70,74.249772
7.644872,17,74.304168
58.956952,35,74.419051
107.817012,57,74.60265
19.651704,20,74.666872
90.963528,71,74.929552
105.887316,56,75.121155
108.214529,75,75.359886
216.701354,111,75.725966
11.058173,17,75.781692
111.455187,59,75.97409
119.770121,62,76.176385
9.80002,14,76.22049
51.073697,50,76.382262
74.038381,43,76.523575
52.789517,50,76.684427
4.015155,20,76.748562
10.383238,12,76.786673
116.112402,79,77.051208
10.172537,16,77.10269
19.206462,19,77.163812
58.937986,39,77.289063
140.616505,83,77.558751
151.775694,81,77.817877
27.261806,23,77.892085
25.484811,21,77.958396
159.451751,98,78.27555
140.579486,81,78.532865
91.266763,60,78.729653
72.386845,47,78.880089
157.917527,91,79.183537
104.241118,75,79.423517
12.549041,16,79.475041
71.669071,59,79.663047
16.282234,21,79.730251
107.010881,61,79.926514
108.882092,63,80.133937
9.683495,18,80.191869
153.645964,84,80.463771
17.51186,17,80.517566
41.66876,33,80.623049
228.158687,112,110.62622
226.56211,107,110.970572
10.880686,12,111.008198
82.692204,51,111.181562
67.950795,50,111.342752
9.988634,13,111.385839
20.483933,22,111.457827
99.911121,53,111.631698
56.608418,69,111.851723
176.708562,80,112.116357
138.728821,101,112.446322
85.989557,48,112.596066
54.677011,39,112.72254
156.715959,75,112.961778
55.230198,33,113.081905
145.124204,83,113.363567
237.168205,107,113.726332
33.640158,32,113.830938
230.222614,147,114.335953
160.028361,80,114.603476
233.8569,123,115.019855
181.22669,97,115.350168
54.947288,37,115.471107
148.417045,75,115.719338
21.108377,26,115.807632
32.643144,30,115.905764
45.897278,44,116.059294
5.692388,9,116.087939
111.403279,59,116.278995
153.225494,103,116.619584
134.786312,70,116.840132
3.935433,11,116.874002
253.845523,130,147.156862
214.469593,95,147.460494
154.9064,85,147.731502
94.842642,62,147.932753
240.597877,127,148.344667
124.649523,68,148.560058
108.452711,57,148.73949
228.047294,109,149.095253
326.020874,155,149.586593
101.326855,53,149.754766
225.222042,102,150.084441
214.09141,106,150.423901
246.25695,120,150.802496
169.602244,83,151.06987
267.114911,129,151.487366
221.810235,111,151.836217
264.93361,117,152.215932
246.093652,115,152.581948
237.385503,115,152.947519
153.142239,80,153.212198
104.612698,60,153.407024
218.764425,99,183.651289
70.754719,41,183.794232
245.787631,111,184.188925
103.413088,58,184.38695
288.353771,129,184.840208
226.772523,101,185.179396
282.170364,117,185.552795
272.75006,117,185.939417
305.026418,127,186.361554
253.342657,110,186.731294
228.410123,107,187.091798
210.415608,100,187.413438
253.524624,105,187.756865
293.332917,117,188.15536
226.189638,97,188.483521
216.501025,100,188.807672
139.398275,73,189.056656
248.106318,120,189.47237
225.694954,111,189.857865
171.94855,102,190.20922
238.204752,107,220.271154
245.428263,125,220.678577
238.037509,103,221.037715
337.338812,140,221.514183
213.394021,101,221.843882
260.462978,112,222.225276
206.068739,89,222.532358
210.683733,90,222.847826
317.161617,130,223.297849
233.845716,103,223.645111
282.202666,115,224.025701
227.990728,105,224.378258
161.69231,78,224.635949
249.16118,104,224.982568
247.725697,108,225.338359
248.080034,105,225.668722
257.906493,109,226.014897
284.728856,120,226.402573
236.711913,116,226.770642
296.145209,124,257.05197
183.567576,84,257.41104
282.883282,112,257.832004
291.74122,116,258.249587
300.556278,122,258.683592
218.161353,109,259.129798
313.369763,127,259.537666
262.410393,107,259.920986
321.05717,132,260.390159
276.303221,109,260.751098
312.596154,129,261.200888
240.536616,101,261.564102
272.392442,117,261.964322
305.622953,129,262.411578
260.501078,108,262.763213
275.105106,114,263.121406
339.255352,146,263.5814
289.061022,113,288.021917
313.02697,128,288.462811
316.358423,129,288.859084
326.40084,133,289.280821
329.930195,131,289.693076
292.363456,114,290.095368
308.203804,123,290.540403
316.834821,125,291.073812
306.298826,123,291.535954
276.085736,124,291.98091
315.652651,125,292.415819
297.070373,118,292.77466
324.19005,130,293.177945
327.252603,122,293.56597
297.695589,120,293.943127
335.598356,129,294.35167
345.360961,137,294.774021
336.592576,133,320.911885
295.723178,124,321.313044
329.333437,130,321.729409
304.934725,123,322.099761
313.618366,122,322.49163
322.104776,129,322.892246
348.474296,137,323.332968
306.766325,121,323.71314
277.106097,113,324.063919
265.130394,109,324.423007
276.289578,107,324.764011
343.511934,136,325.184138
340.508795,124,325.57245
301.41033,117,325.935178
351.817433,134,326.357779
282.541333,113,326.717766
333.333737,130,352.446656
337.249574,132,352.883166
333.914682,132,353.295672
344.615448,134,353.717399
339.439058,130,354.133908
330.809256,123,354.519881
396.375835,144,354.976926
337.016126,125,355.381086
359.893801,132,355.791566
319.194323,123,356.169162
352.080327,139,356.618343
328.964452,132,357.020668
381.025042,141,357.463974
361.534367,136,357.885049
330.641603,124,358.281718
364.206217,132,358.703792
295.233039,129,391.461379
347.190341,133,391.894141
314.742593,125,392.29998
280.452421,113,392.677927
356.240864,133,393.105302
240.965772,101,393.443164
382.916163,137,393.908327
326.803126,121,394.305334
373.909786,134,394.757764
340.756373,128,395.182287
339.531613,127,395.611809
338.314596,137,396.074275
333.61339,127,396.502895
311.792247,124,396.914507
369.004139,135,397.373807
284.358711,117,397.765658
399.129094,143,430.868006
352.871546,133,431.30427
618.326028,212,432.002385
351.216015,132,432.437487
345.161734,137,432.885499
354.836812,130,433.30903
338.888833,129,433.731829
408.268651,141,434.186001
384.666479,139,434.649689
378.761884,144,435.115473
373.129848,133,435.551169
589.06427,217,436.260168
363.684476,134,436.696645
359.757498,137,437.139723
351.866638,130,470.123102
396.998634,140,470.633689
399.676292,140,471.143499
407.08074,144,471.664427
402.884118,142,472.164555
368.776982,139,472.65878
354.43075,131,473.082928
374.22743,136,473.528987
391.269337,138,473.977107
386.973994,142,474.441312
373.549584,135,474.877345
360.201984,135,475.318051
385.730132,139,475.781156
391.758584,143,476.24801
372.080376,135,476.717714
382.366864,140,510.087085
353.220099,133,510.530982
297.349003,116,510.91136
412.693711,147,511.4045
403.045334,142,511.863731
416.255111,144,512.333996
359.74914,131,512.757824
379.622599,138,513.197468
364.361546,140,513.660862
396.756395,139,514.108349
377.647394,133,514.550747
396.180603,140,515.030633
448.323607,158,515.602152
381.170304,143,516.132827
427.865294,157,550.122792
412.605975,148,550.6288
426.034548,151,551.146251
418.288551,146,551.606234
384.367528,151,552.067928
445.648268,156,552.567669
434.36615,147,553.074498
422.399931,147,553.592235
375.917868,136,554.025953
641.801209,207,554.72613
380.121906,134,555.177028
387.259087,140,555.66151
412.113561,147,556.162521
593.024073,194,556.814765
557.80696,183,584.045846
420.483389,150,584.602759
412.062675,147,585.117153
605.458783,202,585.780515
615.153515,201,586.431402
680.181467,223,587.141296
448.792469,156,587.649707
417.340201,151,588.146428
407.346213,150,588.716164
434.989037,152,589.211349
654.24581,220,589.897891
417.940177,144,615.002564
685.580272,220,615.739337
641.934785,211,616.412668
