#{"t_start": 1774366145.0871994, "env_id": "Hopper-Mass-Uni-10-v0"}
r,l,t
27.454378,27,4.152831
1123.860752,78,4.295926
34.683156,38,4.374944
127.431847,70,4.466494
40.478275,40,4.516028
38.94498,40,4.581024
20.003482,27,4.601571
28.273779,32,4.633575
32.14209,36,4.674572
50.608615,47,4.704113
75.120885,61,4.750107
32.321773,37,5.316478
81.041339,55,5.409002
31.249137,36,5.458001
96.409432,73,5.567537
79.446133,52,5.642084
43.302325,39,5.693102
44.330755,41,5.744626
72.192126,56,5.828168
93.3781,65,5.909721
46.477334,41,5.991737
82.960863,54,6.553043
94.749637,67,6.64564
113.256001,83,6.753245
34.852994,41,6.807779
65.740893,62,6.895794
136.356302,73,7.029875
57.69387,50,7.090894
38.280402,42,7.127439
149.599999,85,7.687176
42.564518,45,7.734699
83.211121,56,7.813256
105.157538,77,7.877251
143.706005,81,7.947795
91.72952,64,8.04634
121.531503,70,8.091361
83.599877,56,8.163877
72.145137,45,8.206429
95.533626,56,8.636191
49.601702,40,8.688207
89.274796,62,8.756737
137.557424,74,8.841279
141.573743,80,8.966815
87.725875,59,9.070358
77.026699,50,9.14092
150.037847,88,9.309026
140.163903,74,9.719229
108.863199,64,9.793245
146.273597,81,9.880773
89.040608,62,9.940849
140.385107,80,10.083444
131.568241,78,10.244574
87.773957,57,10.354129
78.033765,51,10.883557
136.987901,78,10.999714
151.394584,92,11.141854
111.275548,64,11.235326
132.774146,78,11.323852
136.710807,74,11.450047
137.646923,88,11.619682
89.98654,64,12.141023
24.144749,27,12.179023
143.977805,83,12.291212
134.742856,77,12.384284
83.002392,56,12.469366
131.221961,75,12.621144
140.367779,75,12.782708
137.140943,77,13.401179
138.326424,79,13.515234
131.081604,67,13.616774
56.604169,54,13.697792
137.656348,76,13.835884
136.469902,75,13.974447
143.420976,81,14.137576
138.925021,77,14.761916
149.308536,84,14.899465
132.263675,70,15.017119
136.800798,75,15.147668
144.31565,82,15.322766
141.734734,76,15.474332
134.766891,71,15.608452
141.962844,81,16.202241
147.136019,80,16.331308
147.080844,78,16.465871
129.409286,68,16.595437
155.914168,86,16.773577
153.983983,81,16.923699
147.929608,84,17.074242
151.321177,77,17.648772
151.978386,81,17.771323
166.108011,93,17.950466
46.815471,40,18.034025
44.174877,39,18.105554
142.7846,76,18.205102
165.703442,89,18.36421
159.104311,82,18.988598
176.781622,97,19.148676
163.441357,83,19.281225
29.899421,27,19.322779
159.852084,80,19.473296
146.951722,182.351172,204172.756722,88,20.196498
188.531705,99,20.35742
183.715723,95,20.549029
163.276485489.436876,500,21.317853
234.528753,253,21.741106
493.016945,500,23.128773
378.049179,390,24.179825
17.450959,43,24.235379
26.875558,54,24.323967
25.886994,54,24.41852
201.234165,228,25.26595
79.58248,102,25.446054
26.067858,53,25.513623
487.344697,500,26.49861
486.122641,500,27.627224
123.408798,138,27.819301
174.863365,200,28.572119
85.865008,116,28.726424
236.758877,262,28.995021
415.283211,443,30.044573
42.984278,71,30.144094
29.455148,57,30.678603
481.019147,500,31.820635
481.953995,500,33.142144
94.890152,124,33.331665
482.498925,500,34.980845
478.460449,500,36.512387
479.807738,500,37.879246
481.836437,500,39.171306
483.534837,500,40.408141
480.149537,500,41.598705
481.187721,500,42.814954
481.191644,500,44.089972
479.052585,500,45.408758
479.35319,500,46.754926
480.332445,500,47.610375
479.253738,500,48.845896
476.719049,500,50.115071
478.369881,500,51.528816
477.528202,500,52.817982
479.685637,500,54.132183
478.789854,500,55.451398
477.457402,500,56.832086
355.762199,381,57.941826
477.621944,500,59.19843
479.993406,500,60.443515
477.546188,500,61.741953
477.30849,500,63.008099
477.911049,500,64.236666
477.895699,500,65.491255
480.537785,500,66.71538
480.837631,500,67.956922
478.529489,500,69.167513
477.83923,500,70.362051
476.893797,500,71.595659
479.778854,500,72.795209
474.810651,500,74.088003
478.745839,500,75.692627
477.285104,500,77.244426
477.019995,500,78.806779
438.131644,468,80.045963
481.732221,500,81.466972
479.641506,500,82.695609
478.527565,500,83.898159
478.361881,500,85.046456
479.255193,500,85.852098
477.766261,500,87.066735
124.859188,146,87.816622
475.917837,500,89.021763
477.05644,500,90.250966
479.680415,500,91.627861
476.121987,500,92.965812
476.304781,500,94.240966
477.609475,500,95.547122
476.085768,500,96.784666
474.302447,500,98.059836
404.037676,432,98.745676
281.805685,309,99.703021
223.488656,251,100.582206
202.394575,228,100.961349
179.095893,205,101.187444
414.759337,444,102.394219
435.676586,463,103.613268
475.520893,500,104.879436
450.820402,479,106.082052
473.772783,500,107.315637
475.015018,500,108.460887
474.111593,500,109.672625
476.278453,500,110.813933
474.742313,500,112.068677
473.425603,500,113.316265
477.068268,500,114.54946
473.766052,500,115.795038
386.375351,415,116.919046
475.586212,500,118.145843
305.025434,333,118.586041
475.129794,500,119.801569
474.953141,500,120.906209
475.782003,500,122.126367
478.436476,500,123.364492
476.322255,500,124.574087
475.912789,500,125.689709
476.223043,500,126.831977
475.772518,500,128.026556
474.99406,500,129.21708
475.638819,500,130.429113
475.945067,500,131.6503
475.001936,500,132.888936
476.696585,500,134.110547
475.379279,500,135.361434
477.251753,500,136.691606
477.895532,500,137.999035
477.970055,500,139.271257
476.76418,500,140.470852
477.577095,500,141.643511
477.779821,500,142.841798
477.740708,500,144.053026
476.730375,500,145.290669
474.036127,500,146.343219
475.618777,500,147.588368
477.092991,500,148.774981
477.107495,500,149.934065
477.56635,500,151.041198
479.409398,500,152.261378
477.021968,500,153.421466
56.93808,71,153.537026
480.269849,500,154.732675
477.475364,500,155.890332
477.062122,500,157.09201
478.797375,500,158.237113
478.099129,500,159.504742
479.796043,500,160.639828
477.8702,500,161.817463
478.753848,500,163.004708
477.015218,500,164.190371
478.651808,500,165.424625
476.953156,500,166.208048
476.342376,500,167.337116
476.546397,500,168.48577
477.502311,500,169.717366
476.809279,500,170.794476
478.852669,500,172.046083
478.066708,500,173.268279
478.165491,500,174.51695
480.515076,500,175.774082
480.16692,500,177.04973
479.831838,500,178.300907
479.356344,500,179.537835
479.098991,500,180.835983
478.368277,500,182.005169
479.340155,500,183.259859
478.751625,500,184.499026
479.783537,500,185.735674
478.905858,500,186.799746
479.240276,500,188.055376
477.834942,500,189.274987
477.310556,500,190.499099
478.564852,500,191.76272
480.435419,500,192.892392
480.031757,500,194.162051
479.661996,500,195.378894
479.505837,500,196.572555
478.464231,500,197.90027
479.028901,500,199.220447
478.226551,500,200.43207
478.84951,500,201.735259
478.497788,500,202.994459
478.240993,500,204.257112
478.606081,500,205.460775
478.147607,500,206.663411
478.774204,500,207.92456
477.921594,500,209.189744
480.152199,500,210.469387
478.187854,500,211.763564
479.333842,500,213.066739
477.533829,500,214.406262
478.099823,500,215.584349
478.358919,500,216.871569
478.561036,500,218.132777
477.689574,500,218.940209
479.418562,500,220.20741
479.238254,500,221.501642
478.797349,500,222.794325
479.285117,500,224.066509
480.758841,500,225.381694
478.670729,500,226.658898
478.183207,500,227.902082
478.190639,500,229.253266
479.008945,500,230.430023
477.548684,500,231.507099
480.127583,500,232.646908
478.43303,500,233.765385
479.518374,500,234.939609
479.344666,500,236.091748
478.48463,500,237.278374
478.833346,500,238.433012
481.89985,500,239.631645
480.480184,500,240.853247
479.734303,500,242.051105
480.658601,500,243.279586
478.652968,500,244.484208
480.816119,500,245.705864
478.527199,500,246.973782
477.774584,500,248.194456
476.805605,500,249.342659
478.128896,500,250.593124
25.524383,22,250.625674
480.444123,500,251.719383
23.861837,21,251.73138
25.388083,22,251.76838
73.041397,54,251.858936
23.897552,21,251.893938
477.660839,500,253.04758
475.755774,494,254.239218
24.14637,21,254.263219
27.17268,23,254.293219
23.900407,21,254.326774
478.443526,500,255.583403
25.864538,22,255.634959
477.660216,500,256.972022
480.306374,500,258.231812
426.633938,448,259.355885
477.91436,500,260.559496
371.788143,392,261.675566
481.24514,500,263.012767
59.510338,50,263.090303
479.837385,500,264.351481
64.445847,52,264.436044
64.436419,52,264.518055
61.389565,51,264.599588
71.629844,55,264.692143
67.488184,53,264.7777
68.157169,53,264.862252
59.408676,49,265.387037
67.510155,52,265.46859
63.603142,51,265.555138
65.409057,52,265.624686
71.096549,53,265.701688
67.648301,53,265.792243
61.03326,50,265.871804
70.19094,54,265.965357
30.024603,26,265.987355
69.491977,53,266.065912
70.205414,54,266.635214
64.623764,51,266.726765
69.047106,52,266.81278
66.407763,52,266.895322
69.201034,53,266.976869
71.211564,54,267.064418
69.392273,53,267.15597
68.648698,52,267.240513
75.313226,54,267.337068
70.885407,53,267.418084
73.777941,56,268.019356
64.770888,56,268.104888
65.756748,51,268.190429
60.903125,51,268.268977
66.199591,51,268.34752
387.200684,406,269.584102
68.053921,53,269.670658
63.669284,52,269.759201
70.57431,53,269.841751
343.438486,359,270.877261
33.411205,28,270.921277
70.206998,53,271.009831
70.985682,55,271.098361
480.917056,500,272.316607
62.755308,50,272.336131
66.126452,52,272.404131
66.334968,53,272.491684
71.700108,55,272.574235
35.077729,29,272.62225
479.607447,500,273.723279
68.26773,53,274.222061
71.371074,54,274.281592
96.305977,90,274.39615
69.895804,53,274.475703
69.083339,53,274.534254
69.876101,57,274.608256
68.312333,55,274.690804
73.713271,55,274.76637
65.940189,52,274.846895
479.779378,500,275.960814
481.222008,500,276.903777
74.167792,55,277.31887
26.852372,23,277.357401
28.205678,24,277.374406
28.430478,24,277.398402
28.108939,24,277.435949
30.419157,25,277.474948
28.454803,24,277.513969
5.283553,9,277.529498
6.150355,9,277.543499
28.796846,24,277.584487
28.20137,24,277.61553
28.704171,24,277.648058
26.762322,23,277.68306
26.374782,23,277.716068
28.586622,24,277.741632
26.871389,23,277.750635
29.429119,25,277.760634
28.164128,24,277.769635
4.543943,8,277.772636
28.364141,24,277.794627
28.11493,24,277.830167
4.107684,8,277.841169
4.458692,8,277.854168
29.528146,25,277.89217
5.41133,9,277.906163
31.782403,26,278.376911
30.669944,26,278.420923
30.203547,25,278.464458
28.977463,25,278.50845
32.410153,27,278.557016
28.178675,24,278.600004
30.408132,26,278.64656
33.889636,28,278.693559
27.608027,24,278.728101
29.586476,25,278.766116
27.78922,24,278.800117
27.75518,24,278.809116
30.779866,26,278.831698
28.269901,24,278.840703
32.663973,27,278.852697
30.386686,26,278.893696
29.334057,25,278.931247
32.463622,27,278.970245
31.186042,26,279.007248
29.650796,25,279.044796
27.647225,24,279.488012
16.584406,16,279.512012
16.77158,16,279.542567
18.138394,17,279.561569
15.079055,15,279.576566
16.82337,16,279.602566
15.044112,15,279.627584
15.580209,15,279.64112
16.673974,16,279.647119
16.931172,16,279.66412
15.001404,15,279.689116
14.986805,15,279.714125
16.725975,16,279.74068
16.601914,16,279.761683
15.167154,15,279.778685
15.358665,15,279.804683
16.197781,16,279.833244
16.247952,16,279.861244
16.891403,16,279.889248
15.261142,15,279.912247
16.391473,16,279.935794
16.510557,16,279.954792
16.377592,16,279.975792
18.197304,17,280.000792
16.578389,16,280.023812
18.261562,17,280.048349
17.751465,17,280506.926855,500,280.570118
507.503463,500,281.754715
508.115012,500,283.061915
508.458775,500,284.269521
506.301984,500,285.523
505.847636,500,286.800276
509.639112,500,288.024846
510.174652,500,289.208468
506.631957,500,290.481709
509.26617,500,291.669939
506.236227,500,292.871595
507.068056,500,293.962797
509.162382,500,295.130235
510.826442,500,296.423353
507.855929,500,297.623636
508.234608,500,298.879846
508.031933,500,300.024947
508.457704,500,301.247129
504.97665,500,302.4763
505.541824,500,303.650905
510.45579,500,304.757011
508.312269,500,305.975561
506.176723,500,307.205174
506.928358,500,308.103117
506.112343,500,308.92839
516.099603,500,309.690836
506.422686,500,310.496298
508.101924,500,311.279748
509.231819,500,312.145843
504.080038,500,312.986773
513.445925,500,313.883229
511.336473,500,314.796093
506.422512,500,315.690995
517.087705,500,316.544386
503.709896,500,317.045092
512.782846,500,317.817437
508.351621,500,318.60967
515.483516,500,319.460702
516.808474,500,320.263927
514.031918,500,321.073357
514.110493,500,321.950322
514.990919,500,322.727649
514.100998,500,323.415128
515.935348,500,324.124984
512.139427,500,324.922443
519.026807,500,325.719833
516.659077,500,326.447669
518.261015,500,327.167068
519.108736,500,327.881968
519.276988,500,328.583865
514.313683,500,329.352825
512.618954,500,330.054807
512.300068,500,330.869816
518.020342,500,331.612293
512.883086,500,332.370711
511.524664,500,333.196723
517.279594,500,334.040841
509.734592,500,334.829193
516.198888,500,335.654609
514.896112,500,336.457057
513.698324,500,337.250459
512.472384,500,338.040879
512.739166,500,338.952776
514.794285,500,339.722253
513.839866,500,340.519531
515.274955,500,341.317007
513.55989,500,342.107475
514.692432,500,343.058315
512.042761,500,343.886167
513.872193,500,344.99224
516.740523,500,346.398823
516.875643,500,347.78453
519.415292,500,349.189964
519.359799,500,350.430586
520.649979,500,351.712797
522.218995,500,352.994992
515.427363,500,354.301167
518.273352,500,355.139554
517.664336,500,356.424716
515.577803,500,357.700858
506.111612,500,358.974542
504.433685,500,360.265714
511.532647,500,361.550216
488.573622,500,362.77342
499.243116,500,364.042588
500.859739,500,365.290771
492.91914,500,366.561426
495.369722,500,367.750073
494.659628,500,369.053302
500.464351,500,370.290486
493.698848,500,371.595637
493.638041,500,372.871248
491.432944,500,374.125798
513.908542,500,375.443462
518.911786,500,376.705646
517.15501,500,377.990316
525.401912,500,379.242478
515.010854,500,380.435109
520.091041,500,381.737304
517.915803,500,383.070514
518.542716,500,384.358352
501.099289,500,385.622495
519.35018,500,386.847162
520.92536,500,388.091837
518.731617,500,389.338818
518.619865,500,390.59946
515.519791,500,391.768019
110.379004,135,391.957122
514.880663,500,393.213311
520.980953,500,394.382411
516.698864,500,395.591072
522.137032,500,396.834292
526.059073,500,398.033938
522.367062,500,399.361182
520.524122,500,400.659327
524.558026,500,401.959358
448.940139,423,402.99791
525.220682,500,404.280059
377.833674,352,404.906629
522.910634,500,406.03283
522.760168,500,407.04605
438.387071,411,407.98577
518.173692,500,408.987904
517.452445,500,409.906864
517.477864,500,410.870335
95.142797,120,410.968871
518.605624,500,411.764261
522.830144,500,412.664987
521.46117,500,413.605868
499.62706,500,414.505801
517.646917,500,415.561102
494.91252,500,416.781676
29.386865,60,416.880238
518.385349,500,417.982327
512.230638,500,419.016806
491.80124,500,420.192395
496.698664,500,421.393617
486.602614,500,422.533786
103.787653,135,422.745892
493.387548,500,423.797443
478.32768,500,424.931396
241.25961,269,425.737601
496.503059,500,426.864269
495.49939,500,427.972306
488.088672,500,428.980742
495.019262,500,430.05581
496.974432,500,431.41195
498.567252,500,432.598595
494.243773,500,433.553071
490.199551,500,434.63059
106.072584,136,434.855168
490.540158,500,436.063697
500.626882,500,437.229784
492.38071,500,438.306832
503.197661,500,439.458431
496.925487,500,440.623478
497.210027,500,441.758784
501.365397,500,442.93662
497.090969,500,444.229814
499.527714,500,445.518826
493.842023,500,446.787978
495.658034,500,448.013597
29.188982,61,448.120146
498.667481,500,449.241251
493.943947,500,450.287307
480.981179,500,451.535965
35.474608,68,451.64505
494.316154,500,452.618025
493.28903,500,453.741045
23.064511,55,453.790581
22.473326,54,453.843585
347.117451,374,454.74446
492.063595,500,455.628389
32.219823,64,455.697932
27.524257,60,455.795481
492.275054,500,457.046124
487.082572,500,458.276272
19.066653,50,458.363831
25.237003,57,458.463379
21.607321,52,458.5424
500.819038,500,459.525897
49.948609,82,459.587447
17.637521,48,459.610445
33.096011,64,460.104189
110.407391,140,460.2553
46.322019,77,460.389852
103.229363,127,460.593958
88.172561,114,461.187264
491.261281,500,461.873116
98.095884,123,462.444889
485.887198,500,463.540917
490.706857,500,464.715502
495.759082,500,465.888747
24.947741,56,465.980299
499.644146,500,467.199952
507.367354,500,468.36956
501.032657,500,469.492666
486.933525,500,470.721194
26.155456,58,470.819743
134.714119,159,471.046868
16.951892,48,471.094405
27.248943,59,471.190945
202.283792,233,471.760243
24.055923,55,471.852261
24.386849,56,471.901788
498.618536,500,473.00086
506.948273,500,474.215508
493.43239,500,475.44915
35.847891,68,475.485691
36.398586,68,475.581244
137.205732,160,475.823331
33.932664,65,476.372649
504.359327,500,477.602266
114.86374,138,477.828357
497.756076,500,479.00304
50.114363,82,479.046041
505.020978,500,480.176293
512.241834,500,481.280349
496.199484,500,482.214859
19.891141,51,482.304403
508.792826,500,483.47103
512.076719,500,484.647104
513.711794,500,485.620634
514.446277,500,486.66868
516.688071,500,487.588619
498.640413,500,488.708664
492.723732,500,489.801695
499.390716,500,490.878794
496.365231,500,492.460813
498.257664,500,493.736598
497.085331,500,495.052747
97.588533,120,495.243836
45.919941,77,495.369942
488.269773,500,496.522991
488.654587,500,497.708348
493.703498,500,498.944531
491.452178,500,500.206749
495.274099,500,501.56593
135.499411,160,501.813565
484.924245,500,502.957632
496.219178,500,504.148835
497.304089,500,505.407012
498.342373,500,506.677165
510.752114,500,507.985361
493.469397,500,509.31752
504.95031,500,510.48414
496.91059,500,511.706758
401.868313,375,512.52416
497.71206,500,513.661237
388.369979,362,514.667771
491.852267,500,515.933954
492.989082,500,517.096119
108.566462,132,517.284231
495.471619,500,518.522668
486.772926,500,519.808783
482.982144,500,520.828305
487.44517,500,522.085085
486.619879,500,523.305379
154.120914,177,523.580474
480.335686,500,524.891148
193.573219,223,525.240813
488.661568,500,526.445468
493.018084,500,527.711681
489.423028,500,528.875748
504.348267,500,530.158927
232.072727,254,531.021884
489.803704,500,532.252794
498.795696,500,533.449019
495.562072,500,534.71392
497.467234,500,535.972534
493.444099,500,537.318886
475.155673,500,538.561108
243.061057,270,538.985331
494.077232,500,540.189853
483.281801,500,541.509804
486.312532,500,542.73529
485.407551,500,543.971918
496.614952,500,545.218118
119.230888,142,545.456636
169.752877,200,546.230088
487.093109,500,547.201624
492.335625,500,548.237181
493.951885,500,549.521273
492.526067,500,550.766899
494.598444,500,551.767439
486.275913,500,552.889442
479.628032,500,553.792544
488.048188,500,554.699512
251.458939,279,555.050172
474.418764,500,556.084701
480.174907,500,557.215307
487.525287,500,558.392864
488.801624,500,559.52459
303.976382,336,560.482684
490.831023,500,561.668321
491.369958,500,562.856185
493.673065,500,564.019918
493.907266,500,565.118995
494.603954,500,566.41712
496.659748,500,567.725175
497.768197,500,568.900818
493.507338,500,569.918817
490.961266,500,570.622702
490.241452,500,571.743797
479.335302,500,572.738632
492.890177,500,573.90322
487.225937,500,575.154847
202.002223,234,575.786171
492.520138,500,576.821238
471.592819,500,577.98912
481.098565,500,579.158728
479.769945,500,580.137223
136.445917,162,580.335331
149.444582,179,580.610003
123.282133,151,581.244323
491.973768,500,582.40994
160.870549,189,582.641044
105.441584,126,582.846151
255.465484,277,583.742092
110.461728,134,583.965193
484.192241,500,585.168787
488.756908,500,586.296835
490.202226,500,587.533958
488.080552,500,588.689023
489.112266,500,589.834655
491.955268,500,590.956734
492.162283,500,592.166352
490.717053,500,593.369725
193.971633,218,593.701395
492.103764,500,594.830894
490.845473,500,596.091515
482.838014,500,597.332682
491.963853,500,598.647869
494.146797,500,599.841495
492.434434,500,601.099131
491.974567,500,602.309382
486.841976,500,603.460623
492.729378,500,604.575647
490.175297,500,605.775295
489.512457,500,607.072438
489.749216,500,608.24906
490.319772,500,609.461688
489.805647,500,610.590761
490.163186,500,611.681906
493.113,500,612.821998
490.295712,500,613.993301
489.844238,500,615.229466
487.439689,500,616.455134
488.253474,500,617.707769
492.430119,500,618.738836
491.881639,500,619.802343
493.838452,500,621.059588
493.631289,500,622.097107
491.299773,500,623.106648
495.055446,500,624.155739
492.051978,500,625.343332
490.655477,500,626.437168
491.456151,500,627.655132
490.826821,500,628.61018
492.936301,500,629.618702
491.279721,500,630.775302
489.516149,500,631.930391
491.114697,500,633.098002
494.639504,500,634.171093
488.834903,500,635.109033
492.434322,500,635.849425
487.8898,500,637.029115
488.254499,500,638.115155
488.224166,500,639.242667
491.058219,500,640.29019
490.21755,500,641.461782
492.05857,500,642.474334
491.968444,500,643.367278
490.734356,500,644.427801
489.021427,500,645.597915
491.027829,500,646.735955
491.423545,500,647.933239
492.164372,500,649.157119
494.658021,500,650.248949
487.860181,500,651.423065
491.418443,500,652.463149
491.771243,500,653.441059
488.367271,500,654.642615
495.500322,500,655.891555
490.438193,500,657.064138
487.574947,500,658.279559
492.470241,500,659.423579
493.387347,500,660.570249
490.992941,500,661.880119
492.184185,500,663.172781
492.877893,500,664.323853
489.23443,500,665.572012
493.582191,500,666.443401
490.625684,500,667.389853
495.023011,500,668.638463
491.441825,500,669.560982
488.613464,500,670.683083
490.942835,500,671.689612
485.214576,500,672.548939
490.231483,500,673.511436
494.150265,500,674.601504
486.596824,500,675.67457
485.556716,500,676.819661
487.35135,500,678.003284
486.731124,500,678.914238
488.068996,500,679.951756
488.394579,500,681.094348
488.851656,500,681.915486
485.854014,500,683.055575
492.084653,500,684.228154
490.372209,500,685.469074
491.017,500,686.706335
492.822527,500,687.861434
490.590552,500,688.901524
489.670949,500,689.966052
491.203112,500,691.24096
487.587304,500,692.21943
489.880719,500,693.449066
498.105543,500,694.58968
491.555366,500,695.585184
490.471706,500,696.763309
492.932896,500,697.958963
486.520566,500,699.131593
490.63503,500,700.149097
490.307723,500,701.255125
488.317726,500,702.359247
490.677502,500,703.507869
492.018373,500,704.704729
491.360799,500,706.099119
491.632456,500,707.360119
492.959885,500,708.699971
496.431068,500,710.062788
495.975469,500,711.332852
493.949241,500,712.573408
493.659546,500,713.692903
497.659643,500,714.893575
492.560627,500,716.083172
493.630242,500,717.245904
496.94554,500,718.432517
494.367359,500,719.605121
496.879626,500,720.873397
492.807348,500,722.095559
496.74046,500,723.262755
492.602324,500,724.535947
497.188585,500,725.778117
494.842338,500,727.055743
493.399522,500,728.277887
493.376061,500,729.535552
