#{"t_start": 1773937685.5334134, "env_id": "CustomHopper-source-v0"}
r,l,t
16.903716,29,1.191674
11.155683,17,1.243184
6.12658,11,1.274184
10.201225,22,1.320701
4.323091,9,1.338702
3.133125,8,1.353702
12.926899,20,1.395226
2.533927,7,1.418226
5.140394,17,1.468744
7.756784,12,1.497258
7.872188,11,1.528258
4.412401,11,1.559258
7.039231,16,1.605773
19.24324,17,1.658773
95.041233,77,1.882807
7.712178,24,1.95232
4.33215,8,1.976831
4.803382,13,2.018344
12.871584,17,2.065345
4.616462,18,2.119859
8.121211,12,2.156859
8.011719,12,2.190867
11.510288,33,2.27637
2.057618,11,2.297881
9.701573,23,2.356883
11.851148,14,2.392889
18.693685,23,2.462924
5.576497,24,2.529433
19.390336,25,2.602949
19.541011,22,2.65695
72.879183,49,2.810983
10.787581,26,2.885982
14.110754,22,2.968006
4.883264,27,3.067519
5.040118,9,3.099035
3.717865,12,3.137035
7.431849,16,3.186039
8.972409,24,3.259548
14.437075,28,3.338063
23.284817,21,3.397579
18.10217,17,3.462748
9.737964,21,3.530258
25.222074,28,3.613772
3.488883,9,3.632773
5.255519,14,3.667773
7.859087,12,3.707289
6.004341,28,3.787294
8.025892,12,3.820803
6.388082,14,3.860803
12.39862,25,3.94032
30.428222,34,4.039368
8.139041,12,4.075368
1.862782,7,4.09588
9.197435,12,4.132882
3.925507,11,4.17088
10.776024,12,4.205396
13.185285,18,4.258396
7.429097,15,4.30291
9.567048,22,4.36691
7.234295,12,4.401426
7.155117,11,4.435424
4.525628,9,4.467937
8.977218,15,4.512447
26.956729,30,4.598962
12.016387,28,4.662962
14.718512,16,4.695472
51.112793,37,4.768478
3.151756,7,4.783482
7.947294,20,4.828997
7.479015,26,4.903507
16.925699,17,4.952512
15.852149,17,5.002538
8.445187,13,5.039538
5.585979,10,5.070538
2.12416,24,5.145049
4.123112,11,5.177049
7.556023,11,5.208564
16.982639,16,5.253564
5.429668,11,5.284568
7.063713,19,5.340079
5.413729,10,5.368078
8.076403,14,5.408593
16.205278,20,5.470103
13.482438,17,5.521621
22.597955,26,5.586624
10.084404,15,5.61513
6.088983,10,5.635132
14.997319,16,5.666132
7.728972,14,5.698647
1.860364,28,5.777647
3.693472,8,5.801159
9.671045,13,5.837159
4.77772,9,5.863159
5.778621,16,5.908668
8.514657,16,5.954671
32.045284,25,6.018694
26.762417,24,6.068693
6.345236,13,6.093698
16.972914,18,6.131207
5.467155,10,6.152207
7.298403,13,6.180214
10.938013,21,6.226755
10.271568,13,6.254754
2.680766,20,6.296255
27.784,27,6.355255
12.221865,22,6.422768
6.105201,16,6.45777
23.319464,23,6.52581
11.853592,14,6.56781
6.074959,11,6.601334
32.515621,31,6.693345
11.761218,31,6.785872
13.50261,20,18.152534
40.780305,42,18.269058
7.175149,14,18.296063
23.102829,19,18.334574
77.431833,44,18.421087
3.02954,8,18.444087
4.854967,8,18.468603
9.257727,15,18.512117
14.977994,19,18.570117
76.721297,60,18.750147
6.95226,11,18.783147
10.107736,15,18.826662
141.90818,86,19.087213
178.799635,91,19.363762
50.775557,37,19.47379
7.132097,13,19.512304
9.514758,18,19.564304
12.916681,17,19.613823
47.019703,40,19.729337
10.704365,23,19.800847
13.044509,18,19.856848
13.930116,19,19.91236
41.266822,43,20.03917
6.869556,10,20.06817
5.715646,16,20.116683
7.705163,11,20.148683
116.478245,80,20.359713
7.003231,17,20.41122
6.23711,12,20.448224
18.517939,45,20.556251
33.113229,26,20.633765
20.866138,25,20.730283
3.944916,16,20.779283
7.65302,11,20.812795
30.114725,29,20.906305
74.667483,54,21.057324
7.802495,13,21.085327
106.037617,59,21.25035
7.018611,12,21.285354
8.278416,17,21.333863
166.337744,99,21.635927
9.497008,13,21.673927
14.035653,16,21.721443
17.909531,34,21.818957
17.172387,25,21.891961
8.804293,22,21.957484
6.309623,11,21.995001
61.151203,40,22.116021
13.13809,18,22.168023
44.994955,45,22.306062
6.05497,13,22.34306
89.635132,64,22.47609
20.844733,43,22.586604
39.816842,31,22.668119
