#{"t_start": 1774314776.111547, "env_id": "Hopper-Fric-Gauss-80-v0"}
r,l,t
5.782981,27,0.047221
9.616056,12,0.060776
15.270642,23,0.086874
6.192465,9,0.09589
5.41472,18,0.116506
8.918426,15,0.134062
18.164322,24,0.160644
9.297661,12,0.172697
15.146441,26,0.193766
22.500447,21,0.212832
13.734468,21,0.23386
20.445816,28,0.262488
21.268453,21,0.286636
6.259695,11,0.30019
7.389664,14,0.318282
12.100583,14,0.334825
9.616279,16,0.351918
12.849856,28,0.380624
24.948751,33,0.415767
4.101446,9,0.425795
7.447792,13,0.440889
45.342661,37,0.477569
11.765238,27,0.502643
47.941822,38,0.540128
6.478317,9,0.550675
8.782655,16,0.566752
6.026979,10,0.577834
20.298124,24,0.602935
12.499369,21,0.623012
7.488011,12,0.637082
14.584697,16,0.653647
24.53336,29,0.683818
7.358141,13,0.697903
15.237647,20,0.717989
6.567229,11,0.730542
28.8941,28,0.759155
9.425723,15,0.774241
9.928275,22,0.795794
11.221796,14,0.812356
11.227252,16,0.830447
9.609381,17,0.851545
4.288742,8,0.861088
12.268719,22,0.887222
10.17647,13,0.901784
12.335185,15,0.917878
9.490839,18,0.934423
38.661171,31,0.965566
15.272959,23,0.989224
8.842731,23,1.013844
6.870434,10,1.024386
11.083479,15,1.041472
6.671908,10,1.054019
8.602176,22,1.075586
6.462231,14,1.091537
30.430307,25,1.119159
15.714041,19,1.140151
38.994073,33,1.173326
10.032286,25,1.200976
6.837305,21,1.221069
6.68145,11,1.232619
7.800866,12,1.247697
6.272877,11,1.261251
17.776005,27,1.291427
45.800526,36,1.328603
17.026781,24,1.357233
7.470691,11,1.369797
17.062372,17,1.388428
19.714164,23,1.413486
54.318395,46,1.456179
19.573307,19,1.476779
10.155597,13,1.491338
14.379229,18,1.511429
8.470179,11,1.524506
20.321153,23,1.54907
5.677432,9,1.559605
10.598613,21,1.582201
5.686851,9,1.591732
19.676777,29,1.622378
4.934298,9,1.631934
8.2605,30,1.664513
10.90106,15,1.681123
6.444549,13,1.694622
16.770803,19,1.713684
7.534697,11,1.725745
8.136723,13,1.739325
19.864393,29,1.768954
5.993219,14,1.784022
8.15613,13,1.800119
14.505182,27,1.828738
6.443437,16,1.845789
5.13575,13,1.859363
9.817097,15,1.877976
18.283052,25,1.904054
14.925451,20,1.926657
