#{"t_start": 1774314405.0742123, "env_id": "Hopper-Mass-Gauss-80-v0"}
r,l,t
13.834755,21,0.030643
6.087786,11,0.041188
11.367273,15,0.052734
13.558111,34,0.080899
7.382863,12,0.092437
8.254227,11,0.105503
7.674323,10,0.116038
9.13743,18,0.131593
12.53715,14,0.14114
5.847236,14,0.15168
13.016189,17,0.165755
6.535888,10,0.174292
8.516736,12,0.185358
15.146785,19,0.200922
22.217667,23,0.215707
33.398736,35,0.247341
17.058077,26,0.270427
8.583855,17,0.282487
5.191254,9,0.294032
11.825438,14,0.304092
18.389462,18,0.317665
9.754687,35,0.352291
8.513614,13,0.366382
3.374475,12,0.379443
10.747454,14,0.390002
1.192166,11,0.401545
20.58146,24,0.419631
17.857126,25,0.440726
67.196601,39,0.479399
9.411677,13,0.489964
10.187465,19,0.511054
28.361542,31,0.533142
24.121359,22,0.549223
7.030553,14,0.561767
6.209031,13,0.573819
6.723929,11,0.582371
11.032736,17,0.595444
25.061499,42,0.629093
14.757296,18,0.644157
4.842427,13,0.658744
18.981493,23,0.682353
74.1298,75,0.749176
8.76379,12,0.758725
5.258723,9,0.768266
6.0366,11,0.776801
20.569359,20,0.797415
8.293947,11,0.80495
15.818986,23,0.82806
21.534757,25,0.853144
59.094313,43,0.895366
3.577737,8,0.903895
20.587727,23,0.928015
6.141003,14,0.939556
9.240357,16,0.952105
8.665512,19,0.968198
12.935372,21,0.988824
10.427667,13,1.001364
11.974498,27,1.02397
37.870363,32,1.056173
9.444128,17,1.075258
23.757142,31,1.100886
7.954978,19,1.11698
18.419524,17,1.13252
17.019551,18,1.150607
12.829887,16,1.165675
9.730274,14,1.178227
4.337098,9,1.184263
5.171893,9,1.191288
13.30671,21,1.207383
3.25461,9,1.217936
8.549148,11,1.230479
13.351132,15,1.248552
15.807462,19,1.262095
27.457431,30,1.290261
11.736503,20,1.303811
11.529433,16,1.313873
42.16293,38,1.348529
6.595141,18,1.362081
23.729753,30,1.393753
15.03857,26,1.419863
15.040809,16,1.435934
23.233878,28,1.466559
6.836867,14,1.482634
22.008837,23,1.508278
6.715603,10,1.516826
7.373988,11,1.525357
6.427047,10,1.5349
14.507345,16,1.547447
8.450597,17,1.566542
9.063188,14,1.576076
8.118704,13,1.585146
12.21583,18,1.600663
16.998423,20,1.621682
4.818286,9,1.62922
57.700579,39,1.665391
25.005877,32,1.697547
6.55659,12,1.711091
11.02543,14,1.726177
15.563943,23,1.753763
27.550879,27,1.774878
3.975936,8,1.782423
15.164597,22,1.811061
5.255818,8,1.820604
7.445091,16,1.840263
6.81085,15,1.857356
11.855597,26,1.8855
5.52109,11,1.897054
52.238138,56,3.159374
9.135391,17,3.174399
48.761253,62,3.224494
10.270914,14,3.236034
14.294287,22,3.256137
10.832745,31,3.284201
54.481794,41,3.318832
21.028501,20,3.331871
7.036871,12,3.340397
4.329309,26,3.359486
64.434357,44,3.395176
39.052383,46,3.440374
29.032519,30,3.469978
13.110573,19,3.484048
11.332783,16,3.496116
7.312263,10,3.505646
5.41721,9,3.514174
20.010345,24,3.535281
32.423352,29,3.560392
14.556663,19,3.578992
12.035006,14,3.594063
36.981204,31,3.618173
28.412188,25,3.643773
13.4531,14,3.660349
7.387244,17,3.677168
9.773881,17,3.69474
14.18474,35,3.732403
16.63221,32,3.758927
144.953687,88,3.835191
5.516409,13,3.849744
136.152876,79,3.918763
8.512876,13,3.930307
11.261135,16,3.941855
25.113494,25,3.965465
5.118144,9,3.973994
21.242589,22,3.994606
16.247038,27,4.021726
19.351411,28,4.054897
88.778744,50,4.104067
7.931683,11,4.114593
9.724224,14,4.13011
21.941073,24,4.149204
7.541187,11,4.161734
13.094343,15,4.177789
78.246927,48,4.226017
17.927603,22,4.248117
17.185845,17,4.265188
31.51957,27,4.291799
15.423543,32,4.318421
7.444738,10,4.329493
44.98966,57,4.38274
36.826546,40,4.414918
11.397662,15,4.431471
20.47132,19,4.452533
80.868713,60,4.516879
12.783173,25,4.542968
23.763933,32,4.567578
7.915723,11,4.579646
34.455097,37,4.611286
24.937006,23,4.626375
13.97863,18,4.643925
8.798499,19,4.662012
36.387841,31,4.69741
