#{"t_start": 1774366145.5958247, "env_id": "Hopper-Fric-Gauss-10-v0"}
r,l,t
36.370711,57,3.679219
21.809107,32,3.747767
216.912694,25,3.801322
19.732256,49,3.878339
23.7747,41,3.950865
24.043562,49,3.999403
20.47866,28,4.037399
20.495978,24,4.068399
21.86559,30,4.106949
25.012712,53,4.161947
25.876708,38,4.223488
16.860694,47,4.279505
27.023448,37,4.821852
25.240944,49,4.891372
24.041958,44,4.928377
25.155533,38,4.977394
26.085001,53,5.045909
20.524798,28,5.071916
31.151094,58,5.135459
23.17101,30,5.178476
29.292694,57,5.256007
16.496333,40,5.316546
24.770303,41,5.37856
21.059961,35,5.434096
20.093505,49,5.856324
22.272267,49,5.928867
23.495885,51,6.000419
16.930078,33,6.046419
31.950512,38,6.083437
20.330084,36,6.11096
23.36206,30,6.14802
34.509206,57,6.213622
32.790209,57,6.276631
22.325116,48,6.339157
24.307761,37,6.384173
37.595146,61,6.926457
32.240543,59,7.013989
23.662313,36,7.070995
39.497008,56,7.152537
54.966231,83,7.250072
92.905607,80,7.315634
43.293059,72,7.42117
45.336387,57,7.463177
33.578785,53,7.911925
99.993713,115,8.046018
83.472006,109,8.157564
53.347676,79,8.234112
37.217317,54,8.281122
53.081898,60,8.365653
25.532397,31,8.394183
28.490639,37,8.442191
31.0796,35,8.931928
94.065459,121,9.085491
18.113975,26,9.121057
509.059002,500,10.264699
512.415228,500,11.491009
29.737634,59,11.56817
77.837122,106,11.705579
21.837661,44,11.758584
68.043762,80,11.867659
39.922728,64,11.91474
45.304171,52,12.472195
34.982119,46,12.545287
294.279969,313,13.034608
29.375699,56,13.123152
55.521343,60,13.230723
51.817296,64,13.856058
37.447093,63,13.955639
392.231886,211,14.294302
372.207442,202,15.172823
316.068679,215,15.508025
78.991048,87,15.642574
243.988729,162,15.904241
202.240097,129,16.624164
209.364328,129,16.820261
241.986386,135,17.0309
207.78426,122,17.226694
224.655178,127,17.944737
175.889311,90,18.088848
200.246879,114,18.249899
198.62486,113,18.42197
191.935008,105,19.099729
193.978937,96,19.246253
186.598461,99,19.411487
234.570818,136,19.620861
214.440863,119,19.833275
2511.178737,500,20.617436183.375373,99,20.673431
186.597784,105,20.840225
374.242769,299,21.725184
378.770379,319,22.214935
265.941411,205,23.07295
213.178099,155,23.32755
52.912491,54,23.407102
92.771399,91,23.545653
535.109607,456,24.686769
67.233814,62,24.767321
71.135927,62,24.873877
486.083639,401,25.895452
343.261165,269,26.646871
342.714329,288,27.082064
295.005761,212,27.900432
285.572809,209,28.176261
326.151243,247,28.494399
357.860944,275,29.348397
320.68221,239,29.774326
289.310512,220,30.504079
169.701329,147,30.603427
354.5053,277,31.570646
298.289553,235,31.892812
303.84919,236,32.764218
64.734695,59,32.860201
79.705527,67,33.014696
57.051847,51,33.094586
50.833341,48,33.151874
232.217147,175,33.561502
67.387324,61,34.308647
311.613408,242,34.739858
99.121866,89,34.904704
83.810963,76,35.084793
307.828878,234,36.161295
303.940646,226,36.523086
201.545893,148,37.283086
23.299017,26,37.323608
195.87883,152,37.571712
236.103276,179,37.856323
89.411993,74,37.990404
227.182188,168,38.759228
227.53208,174,38.965312
283.0786,220,39.320493
311.290824,246,40.144598
317.042997,245,40.493784
266.759975,208,41.256635
28.949245,32,41.309183
323.434187,253,41.730352
431.452211,343,42.653915
25.901839,29,42.676931
429.862652,352,43.724517
462.575372,382,44.837602
367.004237,284,45.257779
317.807181,246,46.212312
321.523247,246,46.560917
108.352612,91,46.711014
352.715998,271,47.653493
396.469179,317,48.171194
394.850214,285,49.161727
282.920641,197,49.477357
370.734091,270,50.435886
362.350744,251,50.874099
325.682946,227,51.700021
371.046125,272,52.190278
326.985235,252,53.076233
336.128161,259,53.494983
29.137494,28,53.542003
40.307663,34,53.597558
78.325085,61,54.164312
335.200149,268,54.611664
277.929157,214,55.466486
63.59338,50,55.557049
68.078168,49,55.655601
