#{"t_start": 1774366145.5393019, "env_id": "Hopper-Fric-Uni-10-v0"}
r,l,t
17.367656,26,4.032324
56.82524,47,3.74175
60.287379,58,3.831296
90.427324,63,3.952394
83.785855,79,4.05292
41.240502,46,4.078925
33.855904,36,4.104926
126.162722,95,4.230484
37.734958,42,4.282008
22.324227,26,4.859375
37.009754,38,4.884374
37.532783,39,4.915366
16.876554,23,4.934376
100.395996,72,5.033916
119.655392,85,5.136452
33.071008,34,5.183976
28.273037,32,5.225981
80.1661,66,5.315531
40.729201,42,5.374068
43.456078,39,5.416068
52.404357,48,5.902851
131.359231,94,6.024387
84.725147,67,6.114941
41.011564,43,6.168485
130.597526,89,6.305144
100.980861,73,6.347675
37.580839,41,6.370683
32.218765,33,6.400681
42.207733,39,6.44722
31.547659,32,6.933447
28.685144,34,6.98298
77.905228,61,7.045501
147.288553,93,7.156064
116.825057,83,7.266596
71.479518,58,7.301597
44.093109,40,7.3266
99.939845,69,7.371152
60.446093,49,7.422147
113.48443,67,7.948444
63.794199,49,8.002998
136.988897,82,8.108541
83.287342,60,8.17909
109.014239,74,8.255633
115.133851,70,8.342649
110.022645,68,8.439186
143.310945,87,8.977451
76.176072,49,9.042468
97.999033,59,9.080999
118.692834,73,9.168549
113.58064,65,9.255126
53.419769,45,9.283127
86.554243,53,9.342143
106.591575,64,9.385679
95.793128,57,9.429672
84.232923,54,10.022588
213.795948,119,10.181678
96.801199,57,10.265234
215.353645,96,10.417453
211.809931,96,10.549643
217.133263,94,10.682751
178.295908,109,11.343099
213.189831,95,11.486522
209.017938,93,11.6217
153.147534,87,11.73493
137.629344,79,11.815107
159.417222,78,12.445185
32.706658,27,12.494717
26.790402,24,12.534714
190.711278,92,12.68735
30.136144,28,12.730348
47.808713,36,12.778889
39.961656,33,12.821892
177.352252,83,12.944081
25.71152,23,12.979596
25.585105,24,13.015594
28.003217,25,13.055126
126.402482,66,13.15867
29.389417,26,13.199672
158.342817,83,13.835024
208.058989,97,13.992162
35.212592,29,14.039183
179.081983,106,14.207263
39.922913,31,14.260812
98.325965,62,14.356356
191.156033,89,14.503901
132.52358,72,15.158339
159.14395,80,15.30189
30.578658,26,15.344912
218.43185,103,15.500994
21.778823,22,15.538014
107.22634,73,15.643563
74.397084,47,15.71513
171.487824,103,15.876209
78.369338,50,16.457598
236.558661,112,16.64215
87.615726,59,16.735679
187.480745,92,16.873787
149.620917,91,17.014878
86.119402,56,17.101419
146.115891,86,17.738487
153.140787,76,17.87811
167.112756,82,18.015254
219.038359,105,18.181889
211.172745,101,18.322424
174.558429,89,18.450974
71.325523,46,18.985196
178.717779,87,19.12073
180.84406,93,19.270777
194.047383,92,19.416437
216.51661,101,19.580184
191.514152,119,19.771543
232.826199,109,20.431232
241.722623,112,20.617499
237.667578,110,20.774504
235.998591,112,20.953763
94.546359,56,21.042305
207.472723,99,21.709148
238.351357,113,21.854709
229.647702,103,22.022782
239.737255,120,22.20187
241.674427,116,22.846877
242.019513,117,23.064473
216.696209190.186255,220,2223.136155492.019356,500,24.906338
204.102198,170,25.181454
182.7465,147,25.412114
77.701663,81,25.984906
68.858657,79,26.082471
110.325966,77,26.195551
89.750698,89,26.315086
126.494244,79,26.399625
142.083668,95,26.497175
144.358984,101,27.091519
102.448211,65,27.221069
111.558794,72,27.339622
135.22276,90,27.456173
119.974865,78,27.557714
92.102848,65,27.675249
141.598996,112,28.340068
137.767016,107,28.499374
145.609818,111,28.634912
127.466476,96,28.77444
132.111953,105,28.916506
136.14417,101,29.559001
124.864056,91,29.695418
119.019659,82,29.81879
117.923257,83,29.930062
112.389787,80,30.044679
131.564314,99,30.225517
130.357283,98,30.867151
135.433414,105,31.023348
119.862066,86,31.092761
117.339054,85,31.183156
111.771777,80,31.241027
118.152942,86,31.909228
185.587725,158,32.079837
144.921481,116,32.229388
150.695887,123,32.413775
12249.800392,125,32.47169.770065,124,33.226251
156.465755,114,33.428457
163.3266.117765,141,34.058498
233.123348,109,34.280196.021172,151,34.895881
212.992553,176,35.209513
158.6237.289548,114,35.601159.0280.830494,156,35.924195.5266.780711,144,36.231172.3291.560816,169,37.015948
500.471073,377,37.655765
262.250039,138,38.376593
482.601998,358,38.917294
495.619337,500,40.101599
553.453315,429,41.243154
493.580247,500,42.433857
502.167058,376,43.432756
500.911209,500,44.632501
497.329526,500,45.986165
494.941379,500,47.235283
496.633908,500,48.406799
441.436773,462,49.571419
515.902823,500,50.931629
499.982475,500,52.237792
495.52637,500,53.053752
495.662855,500,54.372542
279.700158,153,55.12184
490.879954,500,56.531524
494.348027,500,57.888903
492.332522,500,59.160057
493.697332,500,60.432621
492.298875,500,61.660055
492.928682,500,62.741571
491.136263,500,63.977677
485.297503,500,65.271801
483.59499,500,66.540379
481.522794,500,67.799445
483.109717,500,68.91647
487.913839,500,69.693846
484.902418,500,70.901422
478.963077,500,72.055466
488.16938,500,73.228626
477.652207,500,74.532468
486.609372,500,76.141485
481.838466,500,77.580775
315.430194,346,78.714883
34.280278,66,78.846474
38.074141,68,78.978552
189.578094,219,79.817962
484.593719,500,81.166968
40.153684,71,81.284525
68.248365,99,81.468637
43.851747,74,81.60621
62.697572,92,81.752767
486.585723,500,83.028893
180.6413,104,83.635152
481.94088,500,84.40327
73.39942,104,84.978781
89.408608,118,85.1969
483.473191,500,86.357995
52.57551,82,86.463542
485.248602,500,87.786238
488.002093,500,89.092014
484.231227,500,90.311609
488.684047,500,91.523401
483.653135,500,92.853358
489.061015,500,94.09452
477.925866,500,95.416668
477.679801,500,96.684765
477.319166,500,97.975936
77.506028,107,98.130483
131.688099,162,98.418131
48.140008,77,98.92139
471.130137,500,100.210649
490.067201,500,100.883422
68.526607,98,101.519926
486.859298,500,102.76697
483.59095,500,104.091681
485.363123,500,105.342314
481.0466,500,106.524868
490.711059,500,107.737425
495.153774,500,108.888249
479.773183,500,110.101549
489.638567,500,110.834217
479.341688,500,112.061792
473.880981,500,113.323925
232.059622,261,114.128351
475.191178,500,115.376953
476.443975,500,116.560499
488.814825,500,117.77476
491.809993,500,118.892292
491.625768,500,120.016899
496.650025,500,121.200042
497.223586,500,122.417633
497.058766,500,123.551701
494.49213,500,124.635721
500.596295,500,125.76596
498.185642,500,126.934164
494.845464,500,128.074177
492.759588,500,129.114572
493.142635,500,130.221663
492.397141,500,131.409311
488.459467,500,132.629946
489.455739,500,133.833522
493.69562,500,134.99789
488.861152,500,136.284521
486.177219,500,137.094686
486.686588,500,138.335352
489.412499,500,139.524982
487.014037,500,140.681062
486.9101,500,141.878892
480.421375,500,143.087568
482.353063,500,144.341774
485.3185,500,145.574442
484.384899,500,146.821619
483.253612,500,148.04723
483.302657,500,149.106294
40.826783,73,149.227858
262.115131,206,149.874189
480.557728,500,150.9903
481.315621,500,152.009372
28.839433,62,152.078372
29.254208,62,152.160928
481.430444,500,153.285022
481.080161,500,154.455663
488.225303,500,155.692349
481.029995,500,156.922581
483.203832,500,158.074665
487.093783,500,159.272757
485.451286,500,160.498397
487.805211,500,161.644028
486.152546,500,162.914813
487.273462,500,164.100592
486.762643,500,165.301202
486.906894,500,166.484813
486.596645,500,167.51291
486.183089,500,168.711491
488.796528,500,169.898606
483.328894,500,171.097225
485.618239,500,172.267861
484.69353,500,173.479522
483.069764,500,174.708141
482.132677,500,175.952302
483.5815,500,176.739742
482.872296,500,177.95235
481.563074,500,179.166286
478.512145,500,180.464427
480.606884,500,181.664615
480.873761,500,182.975849
483.715402,500,184.235027
482.957186,500,185.506671
480.657578,500,186.724833
482.309044,500,187.986462
484.833225,500,189.252616
482.253372,500,190.380655
483.411863,500,191.449735
485.08108,500,192.589836
485.561501,500,193.828046
483.351722,500,195.09889
484.68349,500,196.385095
485.162225,500,197.742826
485.55493,500,199.096995
485.801299,500,200.377178
34.371664,67,200.487729
37.064616,69,200.60128
483.424848,500,201.863496
36.632116,70,201.954052
485.119649,500,203.214681
485.330015,500,204.474914
483.229138,500,205.608996
483.034197,500,206.863155
481.359371,500,208.136304
480.90603,500,209.391954
479.588754,500,210.664161
481.505921,500,211.951337
481.013417,500,213.514411
480.913562,500,214.764571
483.25469,500,216.042805
481.373284,500,217.276449
479.369742,500,218.492105
483.847214,500,219.722751
479.667593,500,220.992995
481.035029,500,222.216646
481.609056,500,223.446851
482.400421,500,224.722504
482.974898,500,226.044707
480.440997,500,227.287878
481.881344,500,228.661599
483.805271,500,229.864377
483.42259,500,231.068001
483.909012,500,232.21381
481.449381,500,233.371502
483.025008,500,234.614066
482.149005,500,235.80273
483.146283,500,236.980387
483.728291,500,238.09646
39.762361,73,238.213015
28.56235,60,238.314566
26.253886,58,238.385121
23.645554,56,238.473674
484.572259,500,239.6973
484.43124,500,240.759033
484.884349,500,241.948514
484.037554,500,243.091138
485.348515,500,244.24922
486.028416,500,245.361847
483.76641,500,246.494686
484.565978,500,247.689354
483.101729,500,248.934549
485.610201,500,250.129025
441.767852,390,251.18874
483.815702,500,252.361355
483.953666,500,253.57399
485.594938,500,254.853654
485.142893,500,256.241707
485.518474,500,257.558076
485.65139,500,258.768229
485.823415,500,259.942309
487.189448,500,261.181462
486.4905,500,262.522649
489.391325,500,263.765288
485.571328,500,265.051483
486.341114,500,265.894466
486.1735,500,267.244594
485.542008,500,268.613259
484.21295,500,269.919398
479.035392,500,271.265576
481.868052,500,272.430773
483.414005,500,273.622391
483.162588,500,274.831997
484.537156,500,275.989475
484.326591,500,277.114384
482.964242,500,278.192457
484.465756,500,279.318582
482.964313,500,280.528194
484.951984,500,281.674284
483.812543,500,282.846914
483.24958,500,284.100177
484.581334,500,285.330052
483.145291,500,286.53728
479.614509,500,287.749833
392.793691,293,288.609812
481.350098,500,289.891059
480.903348,500,291.011144
480.777427,500,292.149794
481.30223,500,293.132419
478.738348,500,294.301746
481.839316,500,295.07231
479.779156,500,296.270903
481.43388,500,297.453191
480.918475,500,298.568295
484.046157,500,299.788968
479.159343,500,300.98365
482.126933,500,302.144738
481.320372,500,303.350341
482.005358,500,304.529004
482.780346,500,305.617005
483.712677,500,306.75107
484.360385,500,307.616019
483.125748,500,308.438226
483.992844,500,309.228735
485.783201,500,309.948655
481.275405,500,310.673519
482.020546,500,311.56718
481.824516,500,312.450113
482.363876,500,313.284042
482.999701,500,314.229454
481.584503,500,315.110337
480.94361,500,315.96172
483.016529,500,316.770032
482.691566,500,317.611967
482.962712,500,318.378728
482.548903,500,319.171157
482.776132,500,319.960364
481.591969,500,320.803792
484.539294,500,321.65431
482.166902,500,322.442635
483.347238,500,323.130111
482.432921,500,323.84897
481.616144,500,324.593889
481.331107,500,325.36427
481.157068,500,326.172633
481.878431,500,326.965096
481.379474,500,327.692972
