policy,n_seeds,train_seeds,CustomHopper-target-v0_mean,CustomHopper-target-v0_std,Hopper-Target-Mass-Easy-v0_mean,Hopper-Target-Mass-Easy-v0_std,Hopper-Target-Mass-Medium-v0_mean,Hopper-Target-Mass-Medium-v0_std,Hopper-Target-Mass-Hard-v0_mean,Hopper-Target-Mass-Hard-v0_std,Hopper-Target-Fric-Easy-v0_mean,Hopper-Target-Fric-Easy-v0_std,Hopper-Target-Fric-Medium-v0_mean,Hopper-Target-Fric-Medium-v0_std,Hopper-Target-Fric-Hard-v0_mean,Hopper-Target-Fric-Hard-v0_std,Hopper-Target-Both-Easy-v0_mean,Hopper-Target-Both-Easy-v0_std,Hopper-Target-Both-Medium-v0_mean,Hopper-Target-Both-Medium-v0_std,Hopper-Target-Both-Hard-v0_mean,Hopper-Target-Both-Hard-v0_std
Hopper-Mass-Uni-10-v0,5,"[433582, 439439, 654916, 774182, 90161]",1080.06,93.95,1250.87,142.08,640.91,16.83,456.17,9.29,785.58,39.52,962.08,30.05,440.32,2.78,857.8,60.94,698.32,8.79,348.55,1.62
Hopper-Mass-Gauss-10-v0,5,"[433582, 439439, 654916, 774182, 90161]",1631.26,41.41,1675.74,31.78,914.05,55.11,538.7,14.18,1631.89,94.12,1022.14,64.87,412.36,3.25,1688.95,39.2,706.3,8.08,347.34,1.63
Hopper-Fric-Uni-10-v0,5,"[433582, 439439, 654916, 774182, 90161]",1600.24,80.78,1650.75,35.53,870.77,55.95,543.75,13.28,1524.53,98.47,873.57,12.15,413.78,2.63,1636.42,47.57,722.14,16.64,298.77,12.68
Hopper-Fric-Gauss-10-v0,5,"[433582, 439439, 654916, 774182, 90161]",1660.78,49.64,1702.45,27.13,773.02,20.01,486.26,15.79,1575.34,45.67,1212.47,51.36,432.56,3.21,1669.02,35.14,814.72,15.13,310.99,1.99
Hopper-MassFric-Uni-10-v0,5,"[433582, 439439, 654916, 774182, 90161]",1535.91,32.85,1604.55,20.95,939.82,54.27,585.96,14.84,1474.29,43.23,1018.44,47.99,389.08,2.06,1543.66,36.81,786.61,8.81,341.19,8.9
Hopper-MassFric-Gauss-10-v0,5,"[433582, 439439, 654916, 774182, 90161]",1623.09,51.58,1671.49,38.51,1074.8,81.18,537.65,11.54,1524.66,42.15,1045.96,15.35,399.56,13.01,1611.35,43.83,866.84,30.69,342.91,1.84
Hopper-Mass-Uni-20-v0,5,"[433582, 439439, 654916, 774182, 90161]",1132.69,85.57,1223.57,74.29,763.16,17.05,550.47,15.25,1039.77,107.91,976.52,14.77,428.94,2.89,1109.3,104.7,741.34,15.2,350.67,5.96
Hopper-Mass-Gauss-20-v0,5,"[433582, 439439, 654916, 774182, 90161]",1536.05,59.3,1591.05,32.69,769.03,13.53,483.2,11.5,1541.41,71.7,1203.14,65.21,430.78,3.12,1527.48,51.99,743.13,10.03,350.77,1.65
Hopper-Fric-Uni-20-v0,5,"[433582, 439439, 654916, 774182, 90161]",1427.14,74.1,1608.32,48.92,970.27,47.74,627.5,13.79,1340.69,49.53,714.72,12.75,372.68,10.72,1474.63,68.07,642.35,27.28,337.42,1.36
Hopper-Fric-Gauss-20-v0,5,"[433582, 439439, 654916, 774182, 90161]",1567.94,82.75,1678.39,47.53,961.6,48.4,604.94,4.04,1426.17,70.61,1065.55,18.02,379.13,2.1,1601.11,52.38,819.23,18.56,337.46,1.46
Hopper-MassFric-Uni-20-v0,5,"[433582, 439439, 654916, 774182, 90161]",1637.06,50.05,1677.37,99.4,1004.76,114.78,593.68,70.54,1576.9,44.07,1244.19,75.08,408.83,11.46,1602.82,142.32,900.45,10.56,330.03,11.62
Hopper-MassFric-Gauss-20-v0,5,"[433582, 439439, 654916, 774182, 90161]",1603.96,49.31,1686.77,49.48,1030.85,36.47,603.06,9.82,1510.9,52.62,1038.73,65.85,357.56,18.05,1592.13,66.67,705.93,80.89,301.38,2.02
Hopper-Mass-Uni-50-v0,5,"[433582, 439439, 654916, 774182, 90161]",1368.49,150.23,1482.18,127.52,942.85,61.53,770.12,40.65,1388.02,220.04,810.58,59.83,400.76,1.97,1527.09,178.42,757.48,7.09,341.63,1.67
Hopper-Mass-Gauss-50-v0,5,"[433582, 439439, 654916, 774182, 90161]",1435.96,98.51,1506.84,89.62,1030.29,56.87,579.69,36.07,1345.15,158.43,1104.0,147.64,412.62,25.46,1411.52,113.75,689.16,76.12,337.01,16.8
Hopper-Fric-Uni-50-v0,5,"[433582, 439439, 654916, 774182, 90161]",1345.15,264.05,1249.2,296.7,1190.62,139.56,925.76,100.82,1362.13,297.73,1186.56,297.43,402.88,48.71,1305.16,256.17,925.31,202.89,343.59,17.04
Hopper-Fric-Gauss-50-v0,5,"[433582, 439439, 654916, 774182, 90161]",1608.56,76.08,1687.94,39.74,1074.34,110.79,602.29,21.19,1550.29,87.64,1303.22,72.56,419.04,27.36,1645.19,60.07,842.66,13.12,343.25,18.66
Hopper-MassFric-Uni-50-v0,5,"[433582, 439439, 654916, 774182, 90161]",1356.13,87.92,1428.56,88.11,1327.81,77.58,986.1,85.03,1397.31,159.26,1145.13,92.1,339.16,38.36,1380.75,135.44,803.09,70.61,300.68,18.41
Hopper-MassFric-Gauss-50-v0,5,"[433582, 439439, 654916, 774182, 90161]",1626.37,91.42,1706.13,54.28,1032.46,33.85,648.96,8.47,1362.03,96.6,1060.75,14.33,394.25,30.57,1601.25,98.52,810.11,4.7,317.47,1.58
Hopper-Mass-Uni-80-v0,5,"[433582, 439439, 654916, 774182, 90161]",1282.79,106.44,1346.17,155.73,878.91,73.14,651.87,22.66,1151.82,108.63,936.04,104.19,397.23,2.53,1219.43,110.86,827.34,41.2,341.67,1.53
Hopper-Mass-Gauss-80-v0,5,"[433582, 439439, 654916, 774182, 90161]",1609.63,25.77,1688.31,38.01,929.29,49.38,498.07,10.8,1459.41,172.47,1061.11,12.74,436.98,2.03,1471.06,101.3,698.47,4.86,351.65,1.53
Hopper-Fric-Uni-80-v0,5,"[433582, 439439, 654916, 774182, 90161]",1216.0,49.76,1170.75,138.19,1500.71,57.71,1088.51,58.89,1449.37,101.96,905.58,84.43,414.49,27.87,1238.25,255.27,836.93,60.34,339.13,20.93
Hopper-Fric-Gauss-80-v0,5,"[433582, 439439, 654916, 774182, 90161]",1615.27,61.42,1714.48,29.01,1027.92,57.4,565.64,11.55,1546.47,79.03,990.81,14.87,417.93,1.48,1682.84,62.98,860.75,11.54,344.47,1.49
Hopper-MassFric-Uni-80-v0,5,"[433582, 439439, 654916, 774182, 90161]",1139.09,56.44,1220.62,67.07,961.03,45.62,713.67,65.43,1101.42,55.53,822.44,18.82,430.85,2.8,1166.03,67.92,682.72,19.68,351.61,1.59
Hopper-MassFric-Gauss-80-v0,5,"[433582, 439439, 654916, 774182, 90161]",1673.89,52.58,1726.13,40.81,1175.1,134.28,526.54,11.6,1496.09,113.78,1418.44,116.87,431.4,6.08,1667.29,68.37,858.03,16.12,351.8,1.71
