#{"t_start": 1775748196.4380841, "env_id": "Hopper-Fric-Gauss-80-v0"}
r,l,t
7.400592,14,0.03012
1.883627,20,0.051181
9.111211,11,0.064684
4.4401,12,0.077231
11.630104,17,0.095871
10.827038,13,0.109463
4.934758,20,0.132179
4.267292,10,0.142684
22.331781,23,0.169312
9.962093,16,0.189406
21.795985,28,0.219542
23.097435,25,0.246326
7.324271,20,0.267374
28.225146,31,0.29927
18.21607,19,0.316357
11.536503,13,0.33145
18.971201,21,0.349203
8.299706,11,0.357225
6.739115,13,0.371303
21.832945,23,0.395371
9.187102,14,0.410669
3.724845,14,0.425748
9.672462,13,0.439813
25.649807,30,0.466603
7.28941,10,0.478148
5.534164,13,0.489222
23.798643,23,0.509256
9.297391,13,0.520255
61.283732,48,0.566897
17.961446,18,0.584931
10.861923,17,0.60196
31.8552,26,0.628102
16.209584,18,0.646171
66.081248,47,0.686518
5.006061,9,0.695069
57.668695,61,0.75066
11.729827,14,0.768198
5.752451,9,0.773706
7.392488,12,0.786261
9.669354,13,0.801357
23.3633,31,0.83246
8.252756,11,0.842983
7.76961,15,0.860032
4.747701,11,0.870573
6.225713,13,0.886112
22.261896,21,0.908159
36.726376,49,0.958808
7.414077,16,0.975362
9.678513,13,0.988408
3.655953,8,0.996418
15.191225,17,1.013021
3.435118,11,1.024557
10.053109,37,1.056804
9.204098,15,1.073888
10.219624,16,1.092938
10.785504,15,1.110745
6.666812,13,1.124295
6.155577,14,1.13582
7.334372,11,1.147873
7.304266,11,1.158418
5.049872,11,1.171986
28.104785,24,1.202054
6.178938,10,1.213114
10.154748,15,1.23069
5.038096,8,1.239201
7.835737,24,1.265287
3.3887,10,1.276825
8.913798,13,1.290877
6.081763,30,1.32396
4.65895,10,1.334469
15.580568,26,1.364091
19.49322,32,1.396679
11.445103,17,1.411245
8.286795,16,1.424787
14.928092,17,1.444851
131.402319,104,1.542534
1.867136,24,1.570121
76.719281,60,1.624567
13.928446,17,1.642622
12.55432,16,1.658127
19.81595,29,1.690403
14.577689,18,1.708027
19.178228,21,1.724573
14.158094,18,1.744597
9.03251,13,1.757106
9.410102,17,1.776129
26.49078,22,1.799716
6.735577,12,1.811281
9.51122,19,1.833337
5.225352,26,1.858944
12.644882,24,1.886023
5.844733,13,1.899092
22.023121,22,1.921655
56.158293,44,1.962279
18.693994,19,1.978333
19.103561,21,2.001441
5.010105,9,2.012003
7.817384,13,2.025533
5.097126,8,2.036071
7.848199,14,2.050079
5.933066,14,2.066626
10.662997,14,2.081703
11.445199,22,2.095247
20.499601,21,3.377302
6.441889,12,3.389331
14.138325,26,3.405329
8.04626,11,3.415342
9.432039,12,3.426856
15.58712,23,3.447907
35.602095,54,3.4956
13.823532,15,3.511145
36.820934,31,3.541712
22.248541,23,3.565783
20.542787,21,3.583323
9.601619,15,3.596864
28.117296,26,3.619927
9.452129,14,3.634482
12.295591,35,3.666093
29.429438,28,3.694171
10.694786,17,3.711754
22.658165,21,3.733839
14.205719,19,3.748853
85.758822,50,3.786471
6.977902,10,3.797022
25.048683,25,3.822831
141.181768,84,3.901137
14.145781,14,3.916173
6.524644,10,3.928232
6.089847,15,3.940787
118.870482,66,3.998976
30.745176,43,4.042156
8.938945,12,4.054682
38.062059,59,4.11799
79.015186,55,4.174762
9.843517,18,4.194371
14.851515,26,4.221001
86.243331,58,4.284238
40.542777,29,4.31745
55.864518,42,4.365132
31.951741,28,4.396753
31.005809,26,4.425989
13.317949,16,4.438047
137.606895,68,4.508394
5.379503,11,4.519399
9.41312,16,4.537917
102.331498,63,4.600645
24.453976,21,4.619748
75.534714,46,4.662369
30.356604,29,4.690938
7.984461,15,4.706994
33.139809,33,4.743674
20.768516,20,4.764766
8.633647,14,4.778312
37.479285,36,4.815948
45.837784,32,4.852074
17.808348,23,4.875162
6.124522,11,4.881704
31.201913,26,4.906251
38.621682,33,4.94202
64.161791,52,4.990624
10.814459,20,5.009648
21.418797,28,5.036728
4.986093,9,5.047268
29.317891,27,5.075835
23.731809,31,5.111496
8.581359,12,5.125051
45.416494,39,5.169723
70.012364,41,5.21473
74.716297,54,5.272022
7.812071,12,5.284553
49.485186,42,5.327249
41.637924,33,5.361446
18.097831,19,5.38154
39.985554,42,6.740916
20.60791,17,6.758973
63.71936,39,6.796603
146.616944,92,6.891556
88.805673,59,6.953429
69.835414,42,7.000803
14.753689,20,7.020916
177.873851,102,7.122281
204.60839,95,7.226478
