#{"t_start": 1775738683.046951, "env_id": "Hopper-Fric-Uni-20-v0"}
r,l,t
8.476409,12,0.032779
7.91975,15,0.045307
7.664777,12,0.054473
3.712216,10,0.064991
9.302201,14,0.076544
17.809784,18,0.097562
76.503949,51,0.153421
8.016791,12,0.16696
8.713515,21,0.191548
20.255711,20,0.213575
8.485781,17,0.232231
33.206493,52,0.284509
18.634893,18,0.30354
9.46462,24,0.321754
6.60584,14,0.338266
7.307514,10,0.348319
11.349793,22,0.369423
9.491435,14,0.385488
51.688885,37,0.429806
7.942538,17,0.456927
23.1084,22,0.480536
41.222447,30,0.508554
5.430636,9,0.51852
25.573436,25,0.550484
4.579146,8,0.56201
5.375964,8,0.572569
22.736244,29,0.614776
11.459649,19,0.635434
4.969956,9,0.645934
24.536774,30,0.679057
6.817486,20,0.702113
44.201442,46,0.753773
8.631067,12,0.769851
14.141983,20,0.793904
21.339382,37,0.837714
5.315217,10,0.850246
7.908112,27,0.886858
4.819109,11,0.899927
12.318778,16,0.917443
4.042818,9,0.930333
21.76306,30,0.975481
43.13023,52,1.036709
9.454149,33,1.073806
24.335381,30,1.106392
7.925503,13,1.12093
22.206561,30,1.154511
10.152429,23,1.177578
8.13249,12,1.190619
8.339561,11,1.204139
4.592847,8,1.212674
11.562102,15,1.2287
10.025551,38,1.262798
5.881435,9,1.27032
4.191902,17,1.2904
72.111464,55,1.350081
11.63264,21,1.375132
11.600533,18,1.388642
36.977925,30,1.411189
9.351338,13,1.426218
3.235935,7,1.435759
8.723527,11,1.448493
5.026987,8,1.457523
12.621553,20,1.483006
7.603517,11,1.498586
6.78785,10,1.510136
9.025011,18,1.536746
16.973432,33,1.572889
15.530627,20,1.596938
6.713259,10,1.608488
14.648006,14,1.624032
9.065398,14,1.636597
70.465677,51,1.684215
11.449587,21,1.707245
9.183928,17,1.722831
6.972957,9,1.733372
129.5284,70,1.804201
14.76365,36,1.83977
19.812971,27,1.866872
11.929202,23,1.882938
14.824567,17,1.900017
5.128246,8,1.909552
64.802528,44,1.957223
5.656376,9,1.966772
5.980099,9,1.975301
20.643384,35,2.009843
10.361102,18,2.026896
11.048484,22,2.04862
22.633341,28,2.075236
5.978195,9,2.084795
5.555166,13,2.099874
38.142431,42,2.138541
8.467902,15,2.161517
4.837476,8,2.174062
12.418616,27,2.209157
6.305377,10,2.216193
17.839987,35,2.239913
9.07122,18,3.620693
73.102699,45,3.66532
6.415206,11,3.674375
10.2027,20,3.695445
9.45058,13,3.706983
13.238999,17,3.723052
113.386083,83,3.784686
6.032762,9,3.790193
20.879855,29,3.806736
11.74288,15,3.81728
11.609497,19,3.827933
58.699885,39,3.85902
7.246544,10,3.865601
7.140999,11,3.872139
10.516215,14,3.884198
15.690615,25,3.903266
19.382136,19,3.9188
8.33118,15,3.930344
58.078368,36,3.969079
18.975765,21,3.984636
11.001343,13,3.999702
8.227789,14,4.010216
10.082681,14,4.021453
26.959751,35,4.056046
16.730526,21,4.080915
17.475271,18,4.097431
8.201945,28,4.113487
15.8435,21,4.125509
7.474495,12,4.134053
9.509005,12,4.140577
13.300039,14,4.154129
35.278488,38,4.193202
3.866197,9,4.203706
17.476412,27,4.23286
45.385699,34,4.256909
6.211353,9,4.262438
19.668704,19,4.275979
9.436853,13,4.28902
20.622818,24,4.310042
66.998255,43,4.340201
47.353445,49,4.388789
12.383758,16,4.406326
13.894094,16,4.422408
16.925058,21,4.444952
41.123495,39,4.483985
54.515445,45,4.528895
58.939852,40,4.569027
4.983587,17,4.586578
11.191657,14,4.600659
7.904437,12,4.613165
13.695058,19,4.62969
10.579308,18,4.646235
11.773089,19,4.667256
21.81933,20,4.691834
71.953601,59,4.75501
17.810874,33,4.79116
37.388556,47,4.833803
21.558915,23,4.854082
77.332286,55,4.909726
56.55484,35,4.938837
10.604641,13,4.947858
50.662067,44,4.98798
5.514557,9,4.999626
10.884654,19,5.023682
21.319179,36,5.060871
21.188606,39,5.099705
99.041151,56,5.162441
203.534941,103,5.272788
11.467836,18,5.293853
7.685099,12,5.306381
15.65605,20,5.328952
30.203169,28,5.361557
64.172495,42,5.409156
32.362601,31,5.440233
10.958489,15,5.456753
15.045168,27,5.486335
43.0271,38,5.526802
176.928796,94,6.82614
43.387712,41,6.864729
94.46608,59,6.921649
43.957232,32,6.946928
17.712972,34,6.981008
8.318417,11,6.991515
53.860055,47,7.039145
100.558744,59,7.101
77.801247,44,7.138598
16.627918,25,7.159633
157.57031,85,7.243135
25.240504,23,7.265157
14.300881,20,7.285187
11.254605,13,7.297732
25.807554,24,7.320285
6.159524,19,7.335848
20.8265,21,7.359408
9.531585,17,7.375925
30.973352,25,7.403395
44.050352,41,7.435975
16.082677,18,7.452984
113.343094,70,7.520646
68.144912,40,7.557738
12.818278,18,7.577419
15.044711,16,7.592438
15.546008,19,7.613023
59.454293,51,7.663625
223.151169,109,7.775757
108.699764,66,7.84391
22.823489,23,7.867982
25.684809,24,7.890033
66.01094,42,7.937759
30.391608,31,7.968928
5.528248,8,7.977461
91.360441,61,8.047151
11.076828,14,8.062222
21.224707,32,8.09778
127.793052,99,8.21687
83.768008,72,8.294116
16.84372,17,8.31216
18.738439,29,8.338719
13.979703,16,8.354285
12.703763,22,8.373345
116.118003,66,8.42347
20.972007,26,8.447544
50.239687,72,8.523447
9.365567,12,8.534497
16.691834,18,8.554517
17.339083,18,8.572213
8.803794,12,8.584758
27.878933,34,8.620849
