#{"t_start": 1775747942.717499, "env_id": "Hopper-Mass-Gauss-80-v0"}
r,l,t
13.526275,30,0.047238
18.097672,23,0.070986
18.554257,21,0.09615
7.660878,11,0.106219
34.363166,30,0.137541
8.344549,13,0.15165
17.01021,23,0.176299
8.294761,12,0.189911
10.559956,20,0.209019
17.961524,27,0.23719
4.906392,10,0.248747
43.843085,33,0.284958
17.291074,27,0.318651
5.934721,9,0.333251
25.982001,25,0.364901
13.243201,15,0.382993
8.188545,19,0.402088
5.087125,8,0.40913
14.829976,17,0.427197
5.248206,9,0.436738
10.142736,14,0.449794
48.644889,39,0.487491
20.706587,24,0.511638
7.845391,16,0.529756
49.876755,35,0.564947
15.235267,24,0.588805
3.868438,10,0.598875
9.69628,12,0.611439
10.455333,15,0.623971
17.60769,25,0.647628
5.177756,8,0.657176
1.668063,22,0.678829
14.509031,19,0.698946
14.362173,14,0.711014
5.724459,11,0.720073
11.707939,24,0.744725
9.101021,12,0.756827
8.024215,40,0.794027
8.7172,12,0.807324
20.917968,23,0.830991
14.171441,19,0.852091
21.090574,24,0.878669
10.903683,13,0.893723
9.745294,20,0.912858
11.004298,15,0.927446
9.022273,31,0.960088
21.129635,23,0.984617
6.557964,9,0.996198
5.462013,9,1.008787
11.682867,17,1.028904
5.776814,10,1.040979
6.704844,13,1.057106
21.865851,27,1.089727
4.700249,9,1.100762
7.361156,10,1.112805
17.544489,23,1.141105
7.726031,12,1.154158
16.316371,28,1.184283
33.348754,39,1.224476
9.599429,11,1.239079
28.080172,25,1.264179
9.977774,13,1.276209
6.325217,9,1.28627
13.002087,25,1.312875
10.114725,22,1.337031
17.469529,22,1.360965
6.416221,10,1.373028
28.287397,42,1.420817
11.715017,14,1.436877
5.514724,9,1.447414
5.607261,15,1.461453
6.506097,25,1.487572
9.116471,10,1.496629
7.611588,20,1.513233
120.932111,70,1.579172
8.747263,13,1.592231
15.813432,16,1.606265
11.041847,16,1.622845
8.013214,31,1.650164
4.769967,8,1.657689
8.584087,13,1.672766
12.549874,14,1.690151
11.86249,17,1.706205
16.283347,27,1.733419
101.33427,68,1.792708
13.39044,37,1.829952
18.152612,19,1.84904
5.955036,9,1.859097
9.294489,21,1.882715
25.251345,25,1.906352
10.430011,19,1.924979
10.707782,15,1.943126
11.245976,14,1.957475
32.150124,30,1.990131
13.52494,16,2.007186
7.789197,11,2.018724
27.291026,32,2.051929
12.06456,14,2.066496
8.343414,13,2.079087
32.609143,47,2.12981
22.093606,47,3.460788
7.280796,12,3.473853
10.718483,18,3.494964
26.772053,36,3.533665
58.30704,56,3.591934
50.126003,38,3.630113
9.028562,11,3.643165
35.572788,65,3.711046
42.614182,41,3.759713
17.056518,34,3.79896
