#{"t_start": 1775747586.4246266, "env_id": "Hopper-Mass-Uni-80-v0"}
r,l,t
6.708659,14,0.036166
-0.712503,20,0.057189
7.910608,10,0.067698
5.897392,13,0.081215
10.80468,16,0.106752
15.687815,16,0.12777
2.695527,16,0.149922
3.740241,10,0.160434
20.574116,22,0.183975
3.180184,10,0.195507
8.138157,11,0.206029
19.994006,24,0.228822
29.454844,27,0.256713
4.658887,20,0.280463
31.646895,34,0.316513
29.03129,24,0.34661
42.573939,31,0.379144
6.578673,19,0.397826
23.822896,24,0.42536
8.254841,13,0.440387
2.112745,13,0.453408
10.047909,14,0.463921
15.516479,21,0.477441
11.106037,13,0.489956
6.763382,11,0.501459
5.10005,11,0.51449
20.263962,22,0.535044
13.163742,17,0.553555
9.215933,24,0.577088
7.037107,17,0.594127
39.488545,32,0.627643
20.779528,26,0.654691
15.081569,18,0.672201
21.76902,18,0.690227
17.050155,27,0.715664
7.010272,9,0.725182
90.371654,76,0.803801
4.990265,9,0.811808
8.741797,12,0.823833
13.506309,17,0.842388
8.038098,17,0.861285
16.115876,16,0.879318
6.038529,9,0.888823
4.832329,16,0.90811
3.84548,11,0.921757
5.594972,11,0.931651
23.402395,22,0.951686
38.226048,51,0.999026
7.328168,15,1.015052
8.540367,13,1.030564
3.431679,8,1.040584
17.978379,19,1.066882
6.475671,14,1.081209
26.990467,44,1.126797
5.962541,11,1.138582
3.231343,12,1.155599
7.526335,13,1.175639
10.36573,14,1.19294
9.428346,15,1.209894
13.160666,19,1.229414
3.748664,11,1.239923
26.767422,23,1.262443
5.552405,10,1.271952
10.269779,14,1.279468
3.197806,8,1.28398
2.371702,21,1.317316
6.517079,13,1.33082
10.475428,13,1.343734
4.66219,16,1.358916
11.134784,16,1.373915
3.394981,9,1.381914
15.246786,26,1.40946
17.402682,29,1.436501
10.821733,19,1.45453
2.792667,11,1.467046
7.102077,13,1.481553
15.940398,17,1.49843
116.499556,61,1.560527
15.200171,20,1.579169
8.272426,36,1.607729
4.378406,18,1.624745
12.512326,14,1.639831
25.728728,25,1.665161
14.141982,16,1.680672
7.634714,15,1.691803
9.663278,14,1.706644
21.202433,23,1.735515
10.227191,17,1.752029
22.531503,23,1.774374
13.857347,18,1.783883
7.505072,12,1.789889
6.831018,19,1.798398
32.879013,26,1.825953
16.886789,23,1.851063
3.610847,10,1.861243
8.409092,24,1.889787
6.923834,15,1.904814
6.246149,9,1.915341
16.076005,32,1.955015
37.942455,36,1.998698
13.67743,18,2.024234
6.603239,10,2.034756
16.785444,19,2.055642
8.05831,10,2.065809
5.215955,11,2.077318
5.179504,8,2.085826
8.403134,14,2.10134
7.607892,14,2.117041
11.855853,15,2.134576
9.431247,19,2.155622
23.73237,22,3.4822
5.035319,11,3.489752
24.450106,29,3.519352
26.203243,24,3.544454
10.367924,20,3.566354
30.820618,54,3.623575
12.120854,15,3.640662
49.472425,38,3.67981
26.195528,23,3.701898
30.586073,26,3.726535
26.567135,28,3.751599
14.868723,16,3.767683
11.356417,34,3.80784
24.535501,23,3.830912
8.971709,22,3.855621
25.695259,23,3.885264
14.194894,19,3.907367
87.88597,46,3.962583
9.931117,13,3.977676
23.324052,24,4.005224
150.037755,77,4.08003
23.307615,21,4.102099
6.606665,10,4.113652
4.342874,15,4.134804
99.755863,54,4.19609
65.003391,41,4.238836
5.409607,19,4.258884
134.598862,94,4.360622
5.597383,12,4.373676
13.005338,15,4.392246
7.439702,15,4.40932
19.983153,29,4.439933
10.545317,13,4.452462
10.267046,19,4.4723
7.546421,18,4.490391
9.960183,16,4.509464
17.785489,16,4.526551
71.721192,52,4.578228
24.409932,24,4.601306
34.449741,27,4.621386
92.317583,48,4.652575
6.132785,10,4.6621
42.143673,39,4.702259
5.384325,12,4.711795
101.415597,68,4.778743
103.323103,62,4.841139
61.588079,47,4.894368
27.869963,32,4.931023
22.891447,20,4.954903
9.323622,16,4.972464
38.658284,33,5.008631
44.704602,31,5.051795
14.539745,24,5.076419
5.528756,12,5.090954
25.417109,24,5.119395
43.225127,36,5.154038
21.913441,25,5.178166
32.449081,27,5.207794
14.015139,26,5.233856
5.553209,12,5.247413
6.089631,11,5.256968
142.415019,85,5.3471
24.250736,23,5.367154
48.693045,43,5.417824
