#{"t_start": 1775734034.7032666, "env_id": "Hopper-MassFric-Gauss-10-v0"}
r,l,t
8.543353,12,0.02751
8.033487,15,0.044512
7.508006,12,0.057511
4.04834,10,0.068508
8.410994,13,0.082514
18.059232,18,0.10052
72.993423,52,0.15205
7.993865,12,0.16605
8.972202,22,0.19105
20.877818,23,0.216631
29.727524,32,0.25062
17.677288,33,0.287616
6.72027,10,0.299621
10.819948,13,0.317168
14.032829,26,0.341696
4.149666,11,0.353691
27.331375,31,0.384698
7.312028,12,0.398698
59.672003,40,0.440235
21.464684,30,0.466233
11.771577,17,0.485233
16.360752,17,0.502245
5.111825,9,0.512244
20.788492,25,0.537753
5.672106,9,0.548755
5.099188,8,0.556753
21.71457,28,0.584754
10.822344,21,0.602781
3.46577,8,0.608783
21.574019,28,0.639318
8.363074,22,0.661317
44.557819,46,0.705306
8.528444,12,0.717846
14.027276,20,0.736846
21.914577,37,0.77184
4.681911,10,0.782836
8.45655,28,0.813857
5.299065,11,0.825886
10.144996,21,0.852897
29.183262,34,0.885893
22.289329,25,0.902905
14.805031,20,0.91943
8.076418,14,0.933432
23.442569,31,0.966421
17.895176,22,0.991421
11.641555,16,1.006425
20.566389,28,1.027938
12.588671,21,1.045946
9.321168,17,1.060938
10.948043,13,1.07395
11.654856,14,1.088945
7.803197,14,1.101956
17.960462,36,1.137475
4.599218,15,1.155481
4.906597,9,1.16548
57.923473,47,1.213494
24.905825,24,1.239018
12.65197,18,1.253012
35.583905,29,1.273018
12.106811,15,1.29001
3.404109,7,1.299019
9.277942,12,1.313033
5.830705,9,1.323084
10.134043,17,1.342076
7.632858,11,1.354076
6.909093,10,1.366084
8.92956,19,1.386083
9.260437,28,1.416089
12.159448,25,1.441618
8.006698,11,1.453612
9.83489,11,1.465609
8.7083,15,1.480618
94.138268,69,1.545163
7.145314,11,1.558151
15.121295,17,1.574159
71.313266,45,1.620695
14.156549,19,1.640695
8.689534,26,1.658691
14.636715,17,1.676696
19.9102,27,1.695692
11.895973,23,1.717708
14.932839,17,1.734232
5.215318,8,1.742239
61.296064,43,1.785234
6.022492,10,1.792241
6.078295,9,1.798241
20.417612,34,1.825304
14.768212,23,1.847297
13.365373,20,1.862304
32.329393,30,1.883303
6.933317,12,1.892304
37.769817,46,1.929827
7.503473,12,1.938827
6.57484,11,1.946824
12.074383,30,1.968818
5.915427,9,1.978821
20.067825,40,3.296374
9.091369,13,3.311404
125.254788,77,3.39043
10.840139,13,3.403434
15.136851,19,3.423444
101.735091,66,3.494971
13.107908,19,3.515974
31.898236,33,3.551506
10.356832,14,3.566509
17.13728,22,3.580509
35.086463,29,3.599508
6.033291,10,3.609508
7.455299,11,3.622521
7.264799,10,3.631047
6.732856,10,3.642049
17.155705,26,3.669042
21.721031,21,3.689041
11.115207,16,3.705041
63.30902,40,3.743595
8.640035,15,3.758595
10.899773,13,3.771592
8.819492,15,3.786595
10.518573,15,3.801586
22.8135,33,3.835654
13.202353,18,3.856654
22.57202,21,3.881654
7.93391,29,3.911664
9.856467,17,3.929192
8.960178,13,3.944197
5.594282,10,3.955193
20.805929,18,3.974193
36.612502,39,4.01421
2.166456,8,4.023211
15.349847,25,4.049729
44.111853,36,4.077734
7.18131,10,4.086732
13.738795,14,4.101734
8.307237,12,4.111733
22.028563,23,4.135278
9.74648,13,4.150277
42.160841,31,4.182275
29.143875,28,4.211274
6.755499,21,4.232799
12.884655,22,4.256804
102.901997,91,4.343852
106.04801,71,4.417862
7.573409,22,4.438387
5.329478,10,4.445388
8.042466,12,4.453389
12.926474,17,4.465386
9.17362,16,4.476388
10.356187,20,4.498386
24.98706,22,4.522397
34.849492,35,4.559932
163.73702,109,4.673481
7.237836,16,4.691471
78.478711,57,4.75201
62.025792,38,4.792011
53.059184,49,4.840089
10.299021,14,4.854091
8.004895,17,4.871088
38.28953,57,4.920101
23.966392,28,4.94263
82.840623,47,4.978633
110.409476,61,5.032181
9.120246,13,5.050178
29.344273,45,5.094177
9.099316,13,5.108176
17.470287,21,5.131724
24.809609,26,5.157722
80.145566,49,5.202723
26.475326,27,5.233268
11.565463,16,5.251268
9.031812,18,5.272267
38.491193,31,5.306262
90.191587,59,6.653874
96.303244,74,6.720979
31.548193,28,6.750513
30.563725,43,6.792513
14.648705,21,6.812532
23.417579,20,6.832066
9.808566,23,6.855593
6.16756,11,6.86659
153.043381,82,6.944111
116.921735,77,7.016115
15.375474,29,7.043651
88.222738,68,7.10465
75.550632,48,7.151196
13.094697,16,7.167199
24.218913,23,7.191197
4.288115,19,7.209197
26.114545,24,7.235733
10.228155,16,7.246733
30.502769,25,7.271735
38.714827,38,7.309725
19.726405,22,7.335785
105.401873,65,7.391783
62.48905,47,7.434322
16.93601,18,7.454339
13.910189,15,7.471335
22.431614,22,7.495337
23.433377,34,7.534356
77.531146,63,7.595587
8.616121,18,7.614593
31.565107,27,7.641109
13.535562,17,7.659113
17.288941,19,7.678111
20.325929,26,7.703111
15.536844,17,7.720114
39.093194,36,7.757623
102.295369,89,7.836655
48.7545,52,7.891654
11.825422,15,7.906654
9.111038,12,7.918655
265.431806,167,8.067759
123.517213,66,8.132783
19.794935,19,8.153321
9.858137,12,8.166326
13.986995,24,8.192327
104.795159,64,8.247844
20.422313,27,8.275852
20.323856,48,8.324867
37.467319,29,8.350924
27.444971,24,8.375923
17.716557,19,8.396932
8.789513,12,8.409927
22.890659,33,8.446465
36.110746,29,8.479466
80.292196,51,8.538016
69.925871,44,8.586016
18.562002,28,8.616019
132.859178,72,9.986799
76.359139,45,10.035812
120.026675,73,10.110334
130.335725,66,10.182877
162.410474,95,10.249422
10.365285,18,10.268425
79.361568,49,10.320434
147.351256,79,10.399493
157.863245,76,10.470045
81.935604,56,10.528058
85.366123,47,10.580253
77.90265,55,10.629266
22.895671,25,10.655771
45.240793,35,10.69277
12.784574,38,10.734791
43.473414,36,10.770329
113.600192,68,10.843402
92.608939,51,10.885404
28.091801,24,10.908401
74.977123,66,10.963931
214.104085,151,11.118479
56.860229,34,11.157032
64.396974,54,11.212027
98.482957,55,11.267579
67.91993,39,11.307577
82.559214,50,11.365657
228.37341,119,11.471202
128.748353,68,11.524209
13.840013,33,11.552752
96.812614,54,11.607757
109.168254,61,11.672289
56.283224,34,11.707293
82.165081,49,11.754822
119.742148,85,11.837349
102.447728,55,11.89586
131.09989,72,13.246463
114.88475,65,13.311464
147.184767,76,13.390296
99.213571,63,13.447823
214.398644,94,13.513823
54.082172,48,13.574365
129.792507,67,13.636371
55.055181,34,13.6659
140.543252,102,13.773444
22.209647,44,13.822453
97.650774,56,13.876482
66.161277,46,13.922478
64.581858,39,13.960601
99.607591,58,14.021602
179.019741,97,14.115125
21.483766,21,14.135123
66.345196,44,14.179645
137.743293,76,14.260153
246.261081,163,14.414278
11.671154,27,14.437287
109.334461,61,14.497794
22.243488,25,14.522808
146.453275,80,14.601343
135.054115,69,14.670883
147.43763,95,14.753413
19.08095,21,14.770409
136.222476,69,14.841935
200.831372,93,14.920473
94.489333,52,14.961995
127.89879,76,15.028995
57.805641,35,15.063535
67.006168,41,15.104533
20.895801,20,15.125523
79.249798,49,15.173057
230.104169,109,16.563108
203.638331,112,16.676651
209.312097,97,16.763196
112.078469,63,16.818207
80.842645,47,16.847766
102.866026,59,16.903291
87.265072,55,16.965836
60.965029,36,17.004829
194.121506,93,17.104036
62.971817,38,17.143057
137.795404,72,17.196582
180.998597,86,17.268114
100.093914,61,17.329135
212.49681,98,17.434192
132.179108,69,17.482711
67.89615,42,17.525711
89.59424,52,17.579259
78.491003,49,17.62927
71.883837,44,17.668815
93.343039,57,17.710823
201.933056,93,17.796336
73.088181,48,17.832853
58.342888,36,17.85487
113.504194,59,17.903395
217.899367,97,17.981907
169.246153,80,18.05293
174.392159,93,18.149473
76.114134,46,18.196002
161.289761,82,18.281544
72.590857,44,18.325544
156.068019,75,19.699765
77.140768,51,19.756772
63.593491,38,19.793302
94.96664,54,19.844832
51.600505,42,19.879368
219.194665,97,19.964882
223.308193,108,20.065436
110.807774,60,20.108437
220.658387,105,20.213964
175.946443,83,20.292505
231.956264,104,20.383589
213.530869,95,20.482806
63.974484,39,20.523798
137.227587,89,20.59633
248.593269,128,20.715852
186.008988,100,20.795403
208.141252,92,20.877439
180.356556,85,20.949452
160.924614,84,21.030974
107.912829,58,21.088497
211.475327,96,21.185024
115.753093,63,21.248027
27.711465,33,21.277572
116.75362,61,21.314563
247.767931,114,21.429593
158.874214,80,21.506143
203.211587,91,22.869883
196.714366,105,22.97145
135.842426,74,23.036443
147.56375,74,23.099968
215.704371,96,23.195519
175.061662,81,23.281067
220.731539,108,23.389111
171.630858,89,23.48164
212.344191,94,23.581186
183.717078,87,23.670192
44.503619,30,23.698713
178.635494,85,23.77171
202.666217,91,23.848425
202.938019,93,23.938963
64.65314,40,23.97851
169.789516,83,24.047499
209.773887,97,24.120033
224.028562,102,24.202558
189.75592,87,24.287101
166.555992,78,24.366653
211.993159,94,24.45616
78.548039,47,24.503704
212.104989,94,24.601241
177.666741,83,24.684793
210.514879,95,24.768797
202.827898,91,26.088762
98.967671,57,26.138749
207.755447,93,26.225266
194.591886,89,26.301811
204.559508,93,26.399894
119.24826,63,26.468895
189.925575,88,26.564406
200.93519,88,26.65894
135.958413,70,26.724474
118.406912,64,26.78402
208.356968,94,26.873543
214.377666,106,26.978061
204.422687,92,27.074599
74.831374,44,27.120114
184.040957,86,27.189646
95.052466,55,27.224644
218.556549,101,27.293179
216.199583,105,27.386241
199.342629,90,27.473267
222.724899,103,27.551798
226.878331,106,27.656327
241.643164,108,27.758877
161.075662,83,27.848947
186.165957,89,27.941471
227.420553,119,29.226484
219.036853,96,29.294006
200.44273,100,29.39056
73.370637,47,29.438076
79.320595,46,29.481099
197.666678,89,29.570621
80.280328,47,29.617173
215.367375,99,29.699718
149.448018,77,29.746732
225.214846,98,29.826263
209.379523,93,29.885796
245.924986,121,30.001455
217.526797,105,30.105008
213.238839,95,30.194
94.473252,56,30.237517
194.378892,95,30.333075
139.440013,73,30.405125
69.96217,41,30.449133
218.374372,96,30.543721
180.18777,101,30.640237
199.810881,101,30.748773
123.740141,65,30.807325
98.844687,55,30.852515
215.854359,98,30.947053
218.659509,98,32.292921
192.793528,86,32.374983
184.80755,91,32.457337
239.093084,102,32.543891
211.092187,104,32.642429
212.77502,99,32.744974
225.868742,112,32.861047
200.413468,95,32.932576
220.223147,97,33.015121
73.22093,42,33.049111
202.44956,92,33.135626
198.176972,89,33.221172
196.282255,91,33.315701
223.940709,117,33.422749
195.171803,89,33.508287
228.921536,106,33.596284
213.71454,107,33.657795
183.441714,99,33.758323
208.301589,93,33.853404
169.882881,93,33.936955
201.06911,91,34.016491
188.881701,86,34.078486
201.677235,94,35.336602
125.840582,69,35.404127
203.496912,107,35.503671
209.198,93,35.570204
88.452174,50,35.606214
155.262751,77,35.677729
205.496056,95,35.755241
247.802424,111,35.859341
226.531764,103,35.953865
210.717263,94,36.016379
221.602727,99,36.096379
178.525818,83,36.181928
207.773713,92,36.274041
210.981206,96,36.379926
221.265128,107,36.489448
203.007884,91,36.588014
91.220503,52,36.633566
204.878743,101,36.713563
181.418734,94,36.806081
77.484262,47,36.836622
163.305739,75,36.902173
220.961673,96,36.978706
93.923759,53,37.033234
228.196386,104,38.304677
148.95283,76,38.375263
222.146155,106,38.457779
220.451501,104,38.548861
237.084209,107,38.619878
210.29347,99,38.711402
211.116535,102,38.771931
234.504767,104,38.857965
189.853643,94,38.9475
234.965711,103,39.041039
218.040298,102,39.127556
207.907012,99,39.222561
173.180651,80,39.296068
224.190923,106,39.383104
218.867721,97,39.486632
188.27001,86,39.575139
229.053145,103,39.664681
201.814748,92,39.725708
227.140003,107,39.8305
75.321029,51,39.884034
228.647421,113,39.987421
218.769852,99,40.084943
207.666291,102,41.470428
203.905263,105,41.564943
255.86025,107,41.658486
222.727809,102,41.762008
219.083973,101,41.865061
215.349062,100,41.970593
211.792916,99,42.072136
211.984526,97,42.175653
186.389582,92,42.2812
212.944277,96,42.390288
207.285555,97,42.49144
214.99663,105,42.601985
201.428236,96,42.695535
227.104807,98,42.777051
209.841398,105,42.871103
125.81747,66,42.937652
226.252342,101,43.010651
105.623479,59,43.050199
236.528561,106,43.117212
241.820187,116,43.207736
98.501597,59,43.265286
194.605353,93,44.555374
226.487874,100,44.630373
234.096984,112,44.715886
202.534198,93,44.805427
233.436667,112,44.90291
223.852676,106,44.985453
226.513368,101,45.062975
230.857041,102,45.141511
251.027313,112,45.257054
213.295757,95,45.352141
210.760388,96,45.437653
202.878141,95,45.523684
229.459462,109,45.636207
191.355651,89,45.718729
240.726947,114,45.823251
201.051265,93,45.901316
107.197277,58,45.948846
270.653662,116,46.042398
192.216229,89,46.124395
244.785807,111,46.209932
320.331096,127,47.490458
230.716603,108,47.571009
254.425673,111,47.670529
270.558357,115,47.784048
209.639209,97,47.891074
271.161845,126,48.013593
233.926037,104,48.084117
152.939046,76,48.143122
201.130179,93,48.22064
227.605728,98,48.322167
256.015706,110,48.407207
228.178596,111,48.518717
278.469251,123,48.63123
248.484558,109,48.728769
237.399743,115,48.804878
246.887615,106,48.893967
154.68288,76,48.955503
267.542053,113,49.055049
257.131648,118,49.16457
222.36735,105,50.50563
216.832575,99,50.609153
215.29977,105,50.721671
235.29899,109,50.813185
159.578518,83,50.89525
243.418737,104,51.004802
257.049244,109,51.11536
254.10871,115,51.234902
231.000845,97,51.30942
306.092124,124,51.429475
226.392893,101,51.531012
228.439395,108,51.61354
240.747843,113,51.724068
269.499744,114,51.815613
229.164694,119,51.92567
300.389432,129,52.021239
191.368088,88,52.098763
317.958758,129,52.220306
207.437684,91,52.29343
229.199044,106,52.377478
279.200455,117,53.740193
334.002028,140,53.863297
326.027252,131,53.976374
242.036253,109,54.058389
332.843489,140,54.190424
321.95789,130,54.280963
283.565652,117,54.395102
341.502281,134,54.521635
306.865058,128,54.622173
265.76842,115,54.699723
299.474122,121,54.788268
262.5636,113,54.876346
328.730671,145,54.999896
277.148305,112,55.097433
