#{"t_start": 1775734053.1954236, "env_id": "Hopper-MassFric-Uni-10-v0"}
r,l,t
13.626842,30,0.048002
18.832782,24,0.072536
11.959888,17,0.090538
7.213756,10,0.101553
36.424608,32,0.133597
11.793009,16,0.148604
18.359678,21,0.169146
9.058128,13,0.179146
9.988589,20,0.19815
17.255847,26,0.224153
5.836783,11,0.234137
39.201173,30,0.260164
21.290849,30,0.286693
6.367848,10,0.297697
20.875247,24,0.324711
11.742465,14,0.340223
9.373615,20,0.362228
4.890197,8,0.370751
14.553898,17,0.387758
6.049182,10,0.393758
8.812342,12,0.401757
50.448201,40,0.435759
19.506453,23,0.459772
5.34263,13,0.472306
61.374067,41,0.516305
15.39985,20,0.535306
3.381818,13,0.549304
8.452122,11,0.560316
9.986042,15,0.572823
18.658783,25,0.597823
5.773279,8,0.607834
3.335424,22,0.629833
16.27049,20,0.651833
13.662857,14,0.667848
5.134033,10,0.679378
12.883697,24,0.70338
9.084304,12,0.711385
8.438198,17,0.727379
21.264914,33,0.764372
16.841948,22,0.787903
12.770196,24,0.813903
23.480965,23,0.835915
13.584668,15,0.852444
8.992053,21,0.872983
17.111565,18,0.891984
4.525703,23,0.916977
18.785126,25,0.942983
5.70931,9,0.952986
7.833295,11,0.966002
11.440615,16,0.982537
7.521005,13,0.99453
9.62987,19,1.010534
10.568177,15,1.027526
4.291596,8,1.035527
3.818956,7,1.04153
7.077566,11,1.052528
10.81214,23,1.076081
42.910262,38,1.114077
17.368062,31,1.148081
4.104266,8,1.156094
7.006671,9,1.167083
31.346903,29,1.196609
9.109913,12,1.209607
25.761889,36,1.242608
9.796229,17,1.258617
13.663668,17,1.26913
6.190309,9,1.277145
19.056534,19,1.295145
9.423702,16,1.309146
11.017124,15,1.319146
9.436572,14,1.332159
7.845676,16,1.343664
6.672197,10,1.348663
9.711672,17,1.364695
6.213155,9,1.373213
12.413022,17,1.38921
5.221161,8,1.397209
123.866216,71,1.458222
5.969956,10,1.468216
16.026159,16,1.482731
10.402335,16,1.496732
7.096123,31,1.515738
4.833802,8,1.51974
6.794469,11,1.527731
13.785715,15,1.544742
10.596908,18,1.56175
15.474303,27,1.587281
99.368581,67,1.651281
8.750571,34,1.685813
3.288088,8,1.693813
9.307024,12,1.706818
8.070357,11,1.717808
8.440783,22,1.736808
25.310327,25,1.755818
11.162546,20,1.77534
12.77425,17,1.792348
14.4113,15,1.807347
16.269944,25,1.83336
15.626228,17,1.847897
7.886309,12,1.860902
23.940451,33,1.895434
8.226408,12,1.906433
8.313419,13,1.915426
32.064686,47,1.962443
21.216616,46,3.272044
4.888838,10,3.282551
14.655037,21,3.303559
24.433837,35,3.339572
75.274336,58,3.397619
41.352923,34,3.431623
8.675219,11,3.443624
5.868421,9,3.452625
73.197409,90,3.535157
7.97987,11,3.546159
8.656552,18,3.564151
11.282389,16,3.58068
111.143795,65,3.63168
22.994886,34,3.669699
97.57729,55,3.721223
82.626459,57,3.778736
7.366457,16,3.795735
5.846475,8,3.803735
8.067193,14,3.814731
5.236317,10,3.820733
35.760675,33,3.851253
21.280372,33,3.883898
12.67054,22,3.907899
89.072962,82,3.99243
18.20654,20,4.014429
6.239622,23,4.039425
22.798956,23,4.064452
6.228397,23,4.089578
50.696573,36,4.114579
8.982667,15,4.122579
31.515667,29,4.139578
30.573404,35,4.174595
107.71699,59,4.230134
17.559884,22,4.253135
72.893855,52,4.296688
13.326228,22,4.321689
13.240238,21,4.343201
6.677337,11,4.35521
7.837525,13,4.368221
40.875043,66,4.433731
25.40097,27,4.460733
9.700211,21,4.483294
8.119958,25,4.51128
18.1097,26,4.53828
10.818447,26,4.5643
9.259189,21,4.585811
11.308583,15,4.599824
15.212754,22,4.621815
7.982888,15,4.638811
8.926018,17,4.656811
11.569771,24,4.678349
9.579612,14,4.692358
18.798996,30,4.724362
14.167068,24,4.750362
19.344577,22,4.772379
64.752819,40,4.8029
10.596602,16,4.818897
36.178478,31,4.839904
17.484905,28,4.871433
18.797536,23,4.896954
14.4107,18,4.912951
11.810966,14,4.926958
11.425306,25,4.94895
16.261216,26,4.975961
8.337167,19,4.993488
7.761872,16,5.010491
6.944553,13,5.024481
8.016571,11,5.035491
12.224958,18,5.050486
31.768958,45,5.099031
10.766719,22,5.121035
9.587512,13,5.13403
7.617673,13,5.147029
51.00345,52,5.199551
108.99664,64,6.520801
55.206323,40,6.556802
92.473348,53,6.59033
75.506946,50,6.628337
28.260273,26,6.655338
15.364833,17,6.669338
111.908432,83,6.73788
48.655247,31,6.765876
24.748622,31,6.799423
30.22864,26,6.830414
15.383705,31,6.8687
46.415833,37,6.90625
25.369582,25,6.92625
211.795482,102,7.036794
8.998459,11,7.048798
11.639208,13,7.060799
65.89596,40,7.102339
69.542916,49,7.153339
14.600984,22,7.177336
17.247167,19,7.198871
97.294511,55,7.256872
117.808883,79,7.335417
23.035937,23,7.357959
21.594065,23,7.384979
13.402029,18,7.404512
138.839818,80,7.484522
6.032447,10,7.497051
15.769985,18,7.521051
70.197356,46,7.572052
121.02629,76,7.622592
20.140103,20,7.643592
17.777908,18,7.660594
48.998159,49,7.714108
96.908771,58,7.769107
15.160489,16,7.778122
31.499451,28,7.807658
37.656551,36,7.850197
21.033506,23,7.87821
22.233332,27,7.907737
72.365437,72,7.981738
11.57386,14,7.997249
17.057628,19,8.009262
122.700922,90,8.078271
22.004189,22,8.099791
222.14419,119,8.223324
107.636402,60,8.285341
5.572425,10,8.294883
6.552232,16,8.309878
122.880001,82,8.376381
9.134728,16,8.393902
60.516543,36,8.4319
101.645905,61,8.493434
93.616487,78,9.80045
85.375118,50,9.850973
239.766525,152,9.997045
74.389816,45,10.043053
36.988337,39,10.082062
143.711061,87,10.156601
88.736462,58,10.189615
37.005522,26,10.210136
106.654068,77,10.269142
41.251597,32,10.292147
68.492158,43,10.330712
46.249064,28,10.357208
224.346911,108,10.455741
121.264663,74,10.514263
70.002976,43,10.541258
70.585624,45,10.575266
27.30878,28,10.597279
256.961773,133,10.714326
162.1251,116,10.835875
113.083231,76,10.907922
43.451485,34,10.930924
73.935673,72,10.993944
146.178562,88,11.075457
78.501695,46,11.110012
55.166637,39,11.141012
67.082079,55,11.204577
95.24824,54,11.249562
15.315708,18,11.263579
97.495847,55,11.311088
193.507174,111,11.405784
29.567473,26,11.433798
164.170814,85,11.498787
19.447022,22,11.518298
