policy,n_seeds,train_seeds,CustomHopper-target-v0_mean,CustomHopper-target-v0_std,CustomHopper-target-v0_ep_len,Hopper-Target-Mass-Easy-v0_mean,Hopper-Target-Mass-Easy-v0_std,Hopper-Target-Mass-Easy-v0_ep_len,Hopper-Target-Mass-Medium-v0_mean,Hopper-Target-Mass-Medium-v0_std,Hopper-Target-Mass-Medium-v0_ep_len,Hopper-Target-Mass-Hard-v0_mean,Hopper-Target-Mass-Hard-v0_std,Hopper-Target-Mass-Hard-v0_ep_len,Hopper-Target-Fric-Easy-v0_mean,Hopper-Target-Fric-Easy-v0_std,Hopper-Target-Fric-Easy-v0_ep_len,Hopper-Target-Fric-Medium-v0_mean,Hopper-Target-Fric-Medium-v0_std,Hopper-Target-Fric-Medium-v0_ep_len,Hopper-Target-Fric-Hard-v0_mean,Hopper-Target-Fric-Hard-v0_std,Hopper-Target-Fric-Hard-v0_ep_len,Hopper-Target-Both-Easy-v0_mean,Hopper-Target-Both-Easy-v0_std,Hopper-Target-Both-Easy-v0_ep_len,Hopper-Target-Both-Medium-v0_mean,Hopper-Target-Both-Medium-v0_std,Hopper-Target-Both-Medium-v0_ep_len,Hopper-Target-Both-Hard-v0_mean,Hopper-Target-Both-Hard-v0_std,Hopper-Target-Both-Hard-v0_ep_len
CustomHopper-source-v0,1,[None],876.89,9.17,261.3,1002.16,62.78,295.2,603.28,3.82,191.2,433.96,3.44,151.0,802.69,24.45,241.4,786.48,8.51,231.3,405.94,1.58,141.5,876.14,11.67,262.7,570.63,2.67,180.2,339.85,1.87,124.7
Hopper-Mass-Uni-10-v0,2,"[774182, 90161]",1009.58,338.29,324.8,978.41,248.33,300.4,1115.19,373.19,363.7,577.06,60.7,190.9,715.3,206.6,249.2,921.3,164.57,280.0,428.01,2.06,149.8,765.78,326.35,258.5,730.24,83.76,226.3,349.05,1.52,130.8
Hopper-Mass-Gauss-10-v0,2,"[774182, 90161]",1660.63,108.15,441.7,1758.52,71.1,485.4,958.11,28.37,257.0,535.7,27.35,170.4,1199.4,97.29,306.4,660.73,5.06,201.9,347.9,3.91,127.7,1448.04,180.26,378.6,641.83,4.9,192.0,267.91,1.98,107.2
Hopper-Fric-Uni-10-v0,2,"[774182, 90161]",1674.71,189.13,476.2,1717.36,90.83,493.6,750.54,24.27,219.6,536.2,7.11,174.4,1679.76,178.85,472.7,1415.31,30.61,397.5,418.57,3.7,146.2,1561.99,235.43,457.7,755.29,23.52,223.6,348.03,1.88,128.7
Hopper-Fric-Gauss-10-v0,2,"[774182, 90161]",1506.35,266.6,402.8,1669.0,224.26,458.4,602.57,16.64,185.4,395.48,5.0,139.6,1200.45,227.3,323.6,1369.96,178.74,370.7,406.39,42.23,141.4,1706.98,140.72,461.3,683.71,7.53,202.3,346.8,2.32,127.2
Hopper-MassFric-Uni-10-v0,2,"[774182, 90161]",1426.2,259.76,403.7,1539.37,282.56,437.6,754.73,23.69,224.1,559.06,29.61,183.4,1468.59,244.81,419.2,1082.49,129.77,309.5,308.78,2.16,117.6,1589.52,191.48,452.0,874.26,53.35,251.2,264.98,5.55,106.1
Hopper-MassFric-Gauss-10-v0,2,"[774182, 90161]",1397.83,96.67,389.2,1473.4,35.08,418.4,748.39,7.19,225.0,515.71,4.71,173.9,1311.45,104.17,362.8,853.34,17.25,243.4,427.49,3.68,149.2,1417.52,62.18,399.2,571.84,9.39,179.8,321.29,10.75,122.7
Hopper-Mass-Uni-20-v0,2,"[774182, 90161]",1384.12,160.05,384.3,1601.08,138.67,442.0,618.36,79.1,189.5,365.1,62.76,130.6,1283.51,147.91,352.8,646.91,209.99,190.6,308.63,8.39,115.0,1425.83,160.38,396.4,452.88,21.09,146.5,269.75,17.72,106.1
Hopper-Mass-Gauss-20-v0,2,"[774182, 90161]",1568.37,229.73,449.3,1672.41,96.62,486.5,792.66,26.01,233.0,509.08,34.44,170.7,1130.58,208.94,326.0,745.86,24.18,213.3,429.59,21.56,145.9,1296.88,147.61,378.3,578.17,7.51,180.0,330.6,1.4,124.3
Hopper-Fric-Uni-20-v0,2,"[774182, 90161]",1445.31,16.1,426.5,1688.89,26.89,499.7,906.25,18.0,270.5,437.79,51.78,153.8,1398.8,19.58,416.9,869.64,18.51,250.8,353.32,51.8,131.0,1517.38,50.74,447.0,711.44,12.23,212.6,333.67,1.87,126.5
