#{"t_start": 1775778108.148655, "env_id": "Hopper-Fric-Gauss-80-v0"}
r,l,t
8.482031,12,0.027107
7.951341,15,0.045199
7.662882,12,0.059258
3.686183,10,0.070834
9.295015,14,0.087379
17.856133,18,0.101456
76.440361,51,0.143618
8.024132,12,0.156736
8.665204,21,0.181383
20.337855,20,0.204478
8.44465,17,0.224559
33.368032,52,0.28037
18.624378,18,0.298443
9.42274,24,0.321575
6.61465,14,0.336118
7.307514,10,0.346656
11.349513,22,0.370849
9.463151,14,0.387396
51.686668,37,0.423581
7.95332,17,0.445145
23.126537,22,0.468761
41.289773,30,0.498426
5.432201,9,0.505457
25.577874,25,0.520542
4.579146,8,0.524556
5.375964,8,0.529073
22.753098,29,0.558334
11.385149,19,0.589963
4.963506,9,0.602522
24.52249,30,0.641719
6.787674,20,0.668341
44.167134,46,0.721108
8.628375,12,0.732656
14.099985,20,0.752784
21.393242,37,0.782432
5.293553,10,0.793985
7.865567,27,0.826632
4.805198,11,0.83868
12.325027,16,0.856828
4.037164,9,0.867386
21.75434,30,0.900545
43.022742,52,0.954839
9.290344,33,0.988983
24.355953,30,1.021664
7.929677,13,1.035183
22.183452,30,1.068388
10.18699,23,1.092019
8.130222,12,1.105571
8.340037,11,1.114117
4.592847,8,1.122668
11.544353,15,1.137207
10.063642,38,1.170979
5.881435,9,1.181527
4.18367,17,1.199616
72.142309,55,1.256765
11.685331,21,1.278376
11.600304,18,1.301496
36.832242,30,1.330108
9.35603,13,1.341673
3.241133,7,1.349809
8.723942,11,1.362371
5.026987,8,1.370896
12.553062,20,1.393984
7.602982,11,1.406518
6.781812,10,1.418065
8.988731,18,1.438679
16.960334,33,1.473917
15.528142,20,1.495006
6.716939,10,1.505553
14.66914,14,1.520622
9.067088,14,1.533639
70.062304,51,1.58338
11.389057,21,1.605467
9.177415,17,1.624559
6.976087,9,1.634107
129.273243,70,1.702516
14.649188,36,1.737139
19.813179,27,1.764349
11.939429,23,1.789976
14.842312,17,1.807546
5.128246,8,1.817097
64.784357,44,1.858347
5.657957,9,1.868894
5.980675,9,1.879447
20.600523,35,1.915104
10.365642,18,1.934185
11.05756,22,1.95937
22.656325,28,1.986469
5.977555,9,1.994988
5.604101,13,2.005527
38.204834,42,2.050738
8.445417,15,2.067302
4.836542,8,2.076844
12.435699,27,2.105491
6.306019,10,2.117028
17.822604,35,2.155815
9.066715,18,3.489025
73.250244,45,3.535249
6.391933,11,3.546797
10.229259,20,3.567526
9.450658,13,3.583629
13.25855,17,3.599695
115.371147,84,3.690506
4.968826,8,3.699034
20.970103,29,3.730723
11.768119,15,3.74727
11.597702,19,3.769883
60.534985,40,3.817057
8.4562,11,3.83014
7.983457,12,3.844708
8.637472,12,3.859468
16.690335,25,3.890108
15.306921,17,3.909189
8.377289,16,3.927311
58.160811,36,3.968997
19.021818,21,3.993829
10.993413,13,4.008374
8.208781,14,4.023465
10.055652,14,4.040548
27.093505,35,4.079732
16.74838,21,4.102782
17.471759,18,4.123351
7.927683,29,4.154996
10.787794,18,4.176091
8.699633,13,4.191183
8.104097,12,4.206724
15.138724,15,4.224818
35.378475,38,4.26697
3.860364,9,4.277519
16.976266,26,4.297606
41.954986,32,4.332811
7.784889,11,4.345359
20.581116,21,4.371004
9.000069,13,4.386554
22.515995,27,4.414147
40.920743,31,4.44629
4.301467,7,4.453833
58.167565,52,4.509076
11.589408,13,4.522665
11.319065,14,4.538729
38.644404,32,4.572449
17.191476,30,4.606055
27.335929,28,4.636703
95.106869,58,4.699521
4.72394,19,4.721643
8.411499,11,4.732659
7.873036,12,4.745676
13.528336,19,4.765886
10.091943,19,4.78598
13.08835,21,4.81061
26.245816,22,4.835712
32.278315,32,4.871874
175.706966,96,4.97284
5.404217,12,4.986387
8.330826,18,5.005493
86.58122,61,5.068781
19.617859,20,5.090882
15.553233,21,5.111988
62.161283,48,5.158723
17.978866,26,5.185369
46.398759,71,5.250691
75.012958,44,5.296887
61.223433,37,5.341625
79.375291,56,5.406909
38.522286,45,5.462291
