#{"t_start": 1775768493.3594198, "env_id": "Hopper-Fric-Uni-20-v0"}
r,l,t
8.476409,12,0.029648
7.91975,15,0.045747
7.664777,12,0.0593
3.712216,10,0.069825
9.302201,14,0.083896
17.809784,18,0.102978
76.503949,51,0.155235
8.016791,12,0.168795
8.713515,21,0.19089
20.255711,20,0.211483
8.485781,17,0.229574
33.206493,52,0.286241
18.634893,18,0.305848
9.46462,24,0.32291
6.60584,14,0.33094
7.307514,10,0.337481
11.349793,22,0.354554
9.491435,14,0.369117
51.688885,37,0.406804
7.942538,17,0.417331
23.1084,22,0.429885
41.222447,30,0.456501
5.430636,9,0.466035
25.573436,25,0.49115
4.579146,8,0.499217
5.375964,8,0.507766
22.736244,29,0.53187
11.459649,19,0.551976
4.969956,9,0.561522
24.536774,30,0.593653
6.817486,20,0.614748
44.201442,46,0.662953
8.631067,12,0.676046
14.141983,20,0.698645
21.339382,37,0.739278
5.315217,10,0.750294
7.908112,27,0.777947
4.819109,11,0.790496
12.318778,16,0.808111
4.042818,9,0.817655
21.76306,30,0.850295
43.13023,52,0.90506
9.454149,33,0.937668
24.335381,30,0.971317
7.925503,13,0.983382
22.206561,30,1.016576
10.152429,23,1.041664
8.13249,12,1.055219
8.339561,11,1.066235
4.592847,8,1.074247
11.562102,15,1.090792
10.025551,38,1.131041
5.881435,9,1.140587
4.191902,17,1.159674
72.111464,55,1.219964
11.63264,21,1.24356
11.600533,18,1.26213
36.977925,30,1.294311
9.351338,13,1.3084
3.235935,7,1.316941
8.723527,11,1.330494
5.026987,8,1.339037
12.621553,20,1.358125
7.603517,11,1.370657
6.78785,10,1.380196
9.025011,18,1.393246
16.973432,33,1.42191
15.530627,20,1.442013
6.713259,10,1.454095
14.648006,14,1.46363
9.065398,14,1.475197
70.465677,51,1.531435
11.449587,21,1.556054
9.183928,17,1.575106
6.972957,9,1.585654
129.5284,70,1.65804
14.76365,36,1.693182
19.812971,27,1.720294
11.929202,23,1.743929
14.824567,17,1.758493
5.128246,8,1.767047
64.802528,44,1.809744
5.656376,9,1.818297
5.980099,9,1.827845
20.643384,35,1.86347
10.361102,18,1.884565
11.048484,22,1.909185
22.633341,28,1.940831
5.978195,9,1.951376
5.555166,13,1.965466
38.142431,42,2.013172
8.467902,15,2.029232
4.837476,8,2.037242
12.418616,27,2.06586
6.305377,10,2.075398
17.839987,35,2.09905
9.07122,18,3.370751
73.102699,45,3.410496
6.415206,11,3.422053
10.2027,20,3.443154
9.45058,13,3.456258
13.238999,17,3.474292
113.386083,83,3.560637
6.032762,9,3.570179
20.879855,29,3.603816
11.74288,15,3.620366
11.609497,19,3.6364
58.699885,39,3.676602
7.246544,10,3.685138
7.140999,11,3.696205
10.516215,14,3.705735
15.690615,25,3.725855
19.382136,19,3.739406
8.33118,15,3.751952
58.078368,36,3.788108
18.975765,21,3.806672
11.001343,13,3.819222
8.227789,14,3.833285
10.082681,14,3.847864
26.959751,35,3.884047
16.730526,21,3.896114
17.475271,18,3.907663
8.201945,28,3.931746
15.8435,21,3.955314
7.474495,12,3.967857
9.509005,12,3.980405
13.300039,14,3.994989
35.278488,38,4.036209
3.866197,9,4.045752
17.476412,27,4.071846
45.385699,34,4.10808
6.211353,9,4.118607
19.668704,19,4.138699
9.436853,13,4.150247
20.622818,24,4.171341
66.998255,43,4.214067
47.353445,49,4.259214
12.383758,16,4.275762
13.894094,16,4.291321
16.925058,21,4.314976
41.123495,39,4.353158
54.515445,45,4.403527
58.939852,40,4.447731
4.983587,17,4.468827
11.191657,14,4.485922
7.904437,12,4.499015
13.695058,19,4.519099
10.579308,18,4.538183
11.773089,19,4.560267
21.81933,20,4.583333
71.953601,59,4.633587
17.810874,33,4.659714
37.388556,47,4.698898
21.558915,23,4.723492
77.332286,55,4.783223
56.55484,35,4.821004
10.604641,13,4.836102
50.662067,44,4.8753
5.514557,9,4.885317
10.884654,19,4.907385
21.319179,36,4.945568
21.188606,39,4.989784
99.041151,56,5.047663
203.534941,103,5.158648
11.467836,18,5.177743
7.685099,12,5.190299
15.65605,20,5.212377
30.203169,28,5.241956
64.172495,42,5.285659
32.362601,31,5.317875
10.958489,15,5.333941
15.045168,27,5.362066
43.0271,38,5.403278
176.928796,94,6.823079
43.387712,41,6.863759
94.46608,59,6.934116
43.957232,32,6.963736
17.712972,34,6.997849
8.318417,11,7.009389
53.860055,47,7.051594
100.558744,59,7.096883
77.801247,44,7.12803
16.627918,25,7.148103
157.57031,85,7.245533
25.240504,23,7.275188
14.300881,20,7.296799
11.254605,13,7.311332
25.807554,24,7.336915
6.159524,19,7.358013
20.8265,21,7.383623
9.531585,17,7.405289
30.973352,25,7.431406
44.050352,41,7.45548
16.082677,18,7.466025
113.343094,70,7.544364
68.144912,40,7.59058
12.818278,18,7.611744
15.044711,16,7.621292
15.546008,19,7.631308
59.454293,51,7.663395
223.151169,109,7.74436
108.699764,66,7.788024
22.823489,23,7.801566
25.684809,24,7.8242
66.01094,42,7.872417
30.391608,31,7.907099
5.528248,8,7.91565
91.360441,61,7.980392
11.076828,14,7.995482
21.224707,32,8.029137
127.793052,99,8.136122
83.768008,72,8.214037
16.84372,17,8.23314
18.738439,29,8.265292
13.979703,16,8.28031
12.703763,22,8.303896
116.118003,66,8.356668
20.972007,26,8.373719
50.239687,72,8.439421
9.365567,12,8.448964
16.691834,18,8.461519
17.339083,18,8.473074
8.803794,12,8.479621
27.878933,34,8.505393
34.352603,28,8.538038
82.780561,53,8.594274
59.339085,37,8.634945
40.984762,36,8.668585
126.767464,68,10.053591
30.060896,24,10.084262
152.922643,80,10.183239
78.476528,46,10.241008
142.730809,90,10.351536
128.580642,78,10.449644
23.79554,48,10.508471
158.87397,79,10.597899
49.398506,35,10.634578
105.377796,61,10.70333
122.522716,66,10.774181
78.491812,53,10.823429
21.845584,28,10.856009
43.487558,37,10.896732
10.289607,34,10.934898
43.943579,35,10.974502
97.945481,55,11.033209
107.713852,65,11.107177
28.50706,24,11.134808
82.578141,67,11.207612
103.027738,94,11.310519
22.687359,39,11.356252
90.2516,55,11.418125
94.706048,66,11.491372
88.837994,50,11.546676
83.615293,50,11.600497
108.719517,69,11.675856
21.876962,23,11.701983
134.305159,77,11.787845
74.901041,64,11.860173
24.521952,26,11.886802
137.435765,72,11.959088
86.771029,50,12.009389
81.465058,47,12.052577
98.252351,58,12.109502
15.079059,16,12.128535
122.43748,69,12.209514
176.178014,88,13.596112
59.030737,41,13.645876
104.232166,59,13.714635
181.521184,101,13.830157
100.223016,56,13.897512
60.526076,37,13.929171
66.987125,53,13.998503
95.823747,54,14.068211
99.207979,55,14.126047
109.497054,90,14.207402
180.476596,119,14.337529
35.839281,29,14.367115
64.799045,39,14.407795
97.716136,57,14.472083
216.562376,120,14.609261
148.647492,82,14.698636
18.396655,17,14.71571
89.191933,53,14.771437
79.263443,53,14.830685
265.004112,139,14.984956
82.563069,53,15.049736
210.191459,112,15.177813
198.829323,92,15.278811
71.342402,42,15.32902
179.134776,86,15.42394
187.801626,90,15.52229
82.160887,47,15.573554
28.289873,27,15.605742
74.687693,43,15.651902
102.851794,63,15.714229
206.860595,96,15.817205
215.250527,101,17.301956
20.26868,23,17.32961
139.446666,97,17.436138
62.694821,41,17.483343
135.648028,68,17.560664
83.425413,48,17.61191
78.99407,46,17.662664
137.725597,73,17.747056
136.750373,68,17.821418
203.392188,104,17.941392
60.714692,37,17.98409
148.540815,77,18.074559
213.414256,97,18.176631
78.561346,53,18.237385
160.792009,89,18.339883
64.32697,39,18.383575
194.50327,89,18.484051
193.874884,96,18.595124
68.201098,41,18.641839
207.82122,110,18.761409
119.554235,65,18.829726
62.268027,42,18.87185
112.721244,62,18.938183
141.408505,72,19.00952
206.628418,96,19.112054
66.092069,40,19.152698
214.818704,104,19.272743
117.149927,64,19.339052
94.423916,53,19.396331
172.356385,81,19.482616
102.346781,60,20.89916
76.066715,46,20.952349
72.472079,45,21.000563
180.378756,95,21.102502
165.750392,89,21.19698
210.552837,95,21.298918
65.490896,40,21.34209
82.752385,47,21.390747
237.936238,123,21.528931
188.563308,93,21.640009
220.134461,103,21.748944
22.944256,22,21.774563
57.747821,36,21.808803
134.870748,87,21.902237
218.198917,107,22.031357
55.728748,33,22.074025
146.480809,80,22.168517
10.492547,12,22.184585
218.444298,97,22.299109
174.761503,82,22.397056
147.348277,79,22.485999
117.359295,65,22.558859
213.080425,108,22.677953
116.972388,70,22.755315
223.478518,112,22.881866
223.280158,109,23.000916
224.857745,102,23.103858
238.00541,105,24.560348
146.001213,78,24.639784
219.845277,98,24.73774
220.895689,100,24.846199
105.932393,57,24.900919
216.444215,104,25.015932
188.906811,103,25.131925
189.664166,88,25.228843
209.699811,107,25.34657
52.208387,36,25.383702
193.468837,87,25.472589
227.39643,106,25.576518
215.948266,99,25.677678
109.613871,89,25.763527
208.253685,93,25.866489
192.627899,106,25.977992
190.498967,95,26.078919
221.183161,101,26.189973
179.61018,90,26.287952
217.050422,98,26.397518
13.494045,17,26.416609
164.700173,84,26.507994
230.241812,105,26.622137
175.381695,84,28.02892
97.074628,56,28.096311
231.310916,110,28.22243
211.172326,98,28.332987
214.020226,95,28.440616
64.97167,39,28.478799
223.998197,99,28.541687
217.375519,96,28.621001
216.47318,101,28.702371
222.493388,99,28.790185
176.373266,91,28.892194
217.187534,97,28.993659
233.277971,111,29.100064
200.202762,92,29.182033
227.252431,110,29.285954
201.221197,92,29.384858
102.08517,61,29.455646
237.702399,111,29.576775
206.999761,100,29.68892
223.541585,101,29.794336
94.402128,52,29.853608
140.580954,73,29.910933
188.712141,88,29.978757
207.913081,105,31.404393
223.749189,102,31.50931
207.729151,117,31.640915
160.221783,78,31.726326
186.897582,88,31.824233
178.187964,82,31.915206
202.515164,101,31.99902
235.495767,112,32.110087
218.514964,98,32.20958
200.726878,108,32.318116
226.894878,104,32.422705
247.225811,126,32.545768
105.382,63,32.613022
229.63376,108,32.724557
201.45084,96,32.832577
217.599956,99,32.937583
97.122848,60,33.003875
150.2014,80,33.086695
235.871416,112,33.204341
210.815963,99,33.291167
226.148209,100,33.386092
215.592763,100,34.788951
215.429408,94,34.897968
205.415482,92,34.984873
260.84466,131,35.108595
221.350524,103,35.21913
232.867256,129,35.324628
200.64371,102,35.420169
259.23633,111,35.531726
205.636552,93,35.629214
225.922466,106,35.720136
226.833419,104,35.792459
223.873456,110,35.900009
218.285989,101,36.008577
229.566772,101,36.116609
232.649583,107,36.234144
224.860016,111,36.359224
221.681074,105,36.460628
206.60862,95,36.561112
101.13585,56,36.614264
208.302533,93,36.721852
156.902835,88,38.117785
239.959312,126,38.252914
125.104539,68,38.318232
219.209497,99,38.418673
52.741899,32,38.455845
214.72814,99,38.566782
241.553335,108,38.670265
225.443864,107,38.782737
228.004362,105,38.897314
208.289272,99,39.003818
217.18516,97,39.088226
213.549723,98,39.183138
214.379576,101,39.279098
208.797084,104,39.381977
208.805354,104,39.510133
72.371354,43,39.558876
230.970894,104,39.6538
265.928283,117,39.752793
187.038656,102,39.838191
46.208969,28,39.859289
222.521106,99,39.958219
92.789412,54,40.012967
230.548619,106,41.399277
194.748591,88,41.50327
227.014024,105,41.625371
211.49278,106,41.726724
206.19985,96,41.821208
230.209366,104,41.924607
240.305844,100,42.017027
199.137966,93,42.094891
205.359588,96,42.190845
224.820908,96,42.288328
214.332549,99,42.379728
221.088008,101,42.479685
210.528575,95,42.572599
215.034943,100,42.670044
201.920344,102,42.769987
208.345204,93,42.862351
215.701267,95,42.960325
213.85613,97,43.044206
216.573359,112,43.125184
242.492872,106,43.234071
132.347493,76,43.308934
134.210644,80,44.654234
247.56892,108,44.773293
218.064182,100,44.884363
221.41291,97,44.986287
216.221972,103,45.10332
211.721477,99,45.213921
217.26753,99,45.328469
213.009836,96,45.427375
211.785435,98,45.525321
185.263924,92,45.620752
218.954063,97,45.719231
209.909627,95,45.821698
225.67218,107,45.936725
220.689202,103,46.04524
209.572738,93,46.142667
224.189358,114,46.260691
256.482295,116,46.381899
238.859302,107,46.496039
198.04285,98,46.608546
222.653451,107,46.724058
233.909933,112,48.204071
230.783523,103,48.326006
214.579183,95,48.431419
245.821585,116,48.55903
214.495515,95,48.649947
202.958802,104,48.753356
212.885382,104,48.861375
74.909552,45,48.908596
91.823988,52,48.954303
219.77656,101,49.056316
229.149769,102,49.167376
108.187856,60,49.23568
217.759004,97,49.351221
230.846426,101,49.466221
204.109401,93,49.565614
206.673079,92,49.655055
194.105365,92,49.746969
110.591344,60,49.816331
216.765614,95,49.922257
211.869855,95,50.028235
203.677459,93,50.144319
107.585922,61,50.218656
214.3895,99,50.331214
313.356965,131,51.632982
228.987722,108,51.752012
218.818236,104,51.85753
210.270013,94,51.961444
112.197906,67,52.031809
211.711318,100,52.112705
226.013941,105,52.212182
238.098052,110,52.301007
70.155416,41,52.341197
209.696387,93,52.419544
210.563047,94,52.512973
235.22969,103,52.622476
