#{"t_start": 1775768568.3729486, "env_id": "Hopper-Mass-Gauss-50-v0"}
r,l,t
8.576254,12,0.033177
8.087247,15,0.04974
7.569342,12,0.063823
3.697145,10,0.074967
8.85198,13,0.089522
20.262487,19,0.112156
80.806541,52,0.167377
7.985614,13,0.181444
12.596329,21,0.206594
16.932517,17,0.225696
11.979466,25,0.25233
13.207213,39,0.294177
3.879694,12,0.307705
12.117173,24,0.335345
21.935368,24,0.362964
5.632694,10,0.373076
12.352651,26,0.39618
7.832209,13,0.411237
58.862895,39,0.44037
8.335608,15,0.453408
20.350364,19,0.472991
49.987799,36,0.506626
6.219911,10,0.518177
26.590635,23,0.543807
5.155006,8,0.553359
7.016177,10,0.564914
11.824575,21,0.58759
13.818763,22,0.614197
4.528202,8,0.62473
28.551216,33,0.661423
9.324214,20,0.683546
51.71174,45,0.728755
6.795034,12,0.742833
10.703283,18,0.763412
26.725338,38,0.808032
4.571401,10,0.818572
8.374328,26,0.847213
4.956502,11,0.859753
10.24366,13,0.873833
3.798369,11,0.886378
22.644878,28,0.916982
5.42314,10,0.92852
19.492596,24,0.9561
6.359544,14,0.973739
8.878409,14,0.986317
75.485023,61,1.059126
5.25681,9,1.069676
23.786033,32,1.109391
8.885757,17,1.128985
11.854888,19,1.150076
9.315544,12,1.163166
11.552984,14,1.179731
6.597972,12,1.195829
15.510513,19,1.217931
19.820081,20,1.242555
4.703365,17,1.263593
46.591266,50,1.323445
13.183626,14,1.339007
20.348686,21,1.362641
4.102634,9,1.372167
44.671801,34,1.407846
6.502751,10,1.419388
2.931898,7,1.426919
8.736839,11,1.437454
5.049293,8,1.445997
12.545261,20,1.470101
7.620449,11,1.482191
6.903457,10,1.493739
9.972307,18,1.513857
15.411973,32,1.55149
13.064866,22,1.577064
7.659395,11,1.589598
11.094175,12,1.605692
9.101178,14,1.622772
90.339182,64,1.694094
7.134099,11,1.707621
13.109986,20,1.729652
131.492414,70,1.803018
18.539578,37,1.842183
25.250716,29,1.873803
10.651129,22,1.898355
15.741662,18,1.918442
5.38872,8,1.927989
61.924028,43,1.974734
5.977676,10,1.986289
6.051555,9,1.997834
21.307968,34,2.035011
14.917374,24,2.064587
12.307445,17,2.084691
22.424327,28,2.116339
5.854323,9,2.124892
5.902408,14,2.141484
43.326644,42,2.188266
6.64818,15,2.205342
4.757615,8,2.215868
7.168818,24,2.244504
6.44362,12,2.257055
18.715397,37,2.301254
10.125364,16,3.645209
123.13721,73,3.722093
11.240355,15,3.739669
14.858319,17,3.759763
123.227973,85,3.84821
4.791748,8,3.856753
20.108979,28,3.886962
12.378527,15,3.904041
15.844188,20,3.925124
57.470686,39,3.963318
7.747729,11,3.975424
9.088925,12,3.988441
6.61334,10,3.999458
15.950028,24,4.023092
17.932196,23,4.051708
10.674061,15,4.072373
61.331171,38,4.121545
14.005375,18,4.141145
10.956264,13,4.154727
8.249714,15,4.17079
10.408546,15,4.186937
49.359921,52,4.241185
23.119485,21,4.263317
12.063493,29,4.292572
24.674018,22,4.312653
6.012321,9,4.323192
9.845355,12,4.33675
12.870464,14,4.350291
40.531894,40,4.391569
3.012854,8,4.401606
16.086009,24,4.425245
37.23735,32,4.459867
8.211287,12,4.474521
20.461563,21,4.498607
10.854378,15,4.516698
17.779339,21,4.542307
57.887392,40,4.590137
54.277164,44,4.638385
5.686751,10,4.649934
12.434859,14,4.665034
82.504358,57,4.724303
5.418773,19,4.745401
27.801106,26,4.775582
109.185562,61,4.840332
7.217325,21,4.863939
5.79792,9,4.873477
7.441069,12,4.887025
16.819267,19,4.909084
9.180371,16,4.927633
11.059621,20,4.952186
23.192185,21,4.977279
38.249757,36,5.017451
233.897699,129,5.160511
34.288372,30,5.199664
8.441354,22,5.22728
61.146918,37,5.274554
7.635732,11,5.287087
38.714704,41,5.329227
7.307301,11,5.343282
10.865953,19,5.365371
40.035337,69,5.444653
84.524394,48,5.496875
101.827898,57,5.564667
40.744647,33,5.600264
48.684205,48,5.651537
40.656137,33,5.686235
19.564056,24,5.711841
72.64023,46,5.759014
36.426462,31,5.79269
10.055842,14,5.80924
7.755453,18,5.831337
35.931511,30,5.859974
117.363542,77,7.276826
158.395775,94,7.370193
40.400682,36,7.406412
43.997274,33,7.439052
16.940711,33,7.472812
6.676457,10,7.47983
131.869743,77,7.558147
95.79181,65,7.630075
19.452212,35,7.669205
118.112183,68,7.739571
10.200838,14,7.755673
34.024223,28,7.787337
15.517693,25,7.815969
8.913719,11,7.827507
14.495784,19,7.84807
6.588091,19,7.868169
21.917942,21,7.887275
9.273256,16,7.89882
34.746759,27,7.925473
38.473278,37,7.967598
20.726926,22,7.992785
109.679213,66,8.060076
65.09419,44,8.108377
13.887721,18,8.127458
13.755047,15,8.144589
15.889776,19,8.167147
64.775772,53,8.229438
201.782672,111,8.356559
19.959254,20,8.379664
23.756044,26,8.40931
15.379081,16,8.426406
19.859546,21,8.449512
34.508031,30,8.475698
107.256235,59,8.533983
15.335035,16,8.553082
104.919936,66,8.625466
9.553153,12,8.638526
127.300083,90,8.735025
51.299506,40,8.780802
76.752779,64,8.853664
32.606556,26,8.884337
24.487886,29,8.917965
17.026977,17,8.938032
15.679325,21,8.9601
104.468437,65,9.02749
22.431563,27,9.055124
25.808387,54,9.112889
19.9634,19,9.134606
7.417688,10,9.146153
15.606462,17,9.165249
18.049492,20,9.186358
9.243674,12,9.198905
27.353066,34,9.233083
28.04313,26,9.258634
92.059206,53,9.317977
72.430729,44,9.365736
20.7206,28,9.396943
129.671194,70,10.808568
32.619768,25,10.835666
112.94803,59,10.898405
94.252431,68,10.972796
99.750345,57,11.033039
65.705079,58,11.093868
93.802164,55,11.151601
109.41473,76,11.233057
96.855401,53,11.2854
40.503307,29,11.319028
107.023409,60,11.387301
65.371428,38,11.430492
19.74364,17,11.450584
96.162672,59,11.515977
23.701912,32,11.554142
155.627424,83,11.635495
16.638871,22,11.661461
126.89802,73,11.743393
91.535458,50,11.800646
28.137679,24,11.828692
160.43376,94,11.917167
34.747909,43,11.950818
47.450607,63,11.994017
96.492928,56,12.047769
53.895717,47,12.099076
136.088785,69,12.171995
102.431663,61,12.23732
115.88304,91,12.320635
99.759521,59,12.381454
95.978107,54,12.440711
32.613768,43,12.491516
87.159844,51,12.550789
119.933285,68,12.626688
71.152291,43,12.677
105.461099,56,12.74284
91.539065,52,12.802679
83.779095,57,12.867968
128.683714,73,14.284495
57.501395,39,14.324688
70.262366,43,14.366803
171.392242,105,14.472003
100.415632,57,14.528762
80.21599,46,14.575925
85.249301,56,14.631681
100.428855,56,14.689457
88.677994,48,14.737177
146.075394,101,14.842768
14.250124,37,14.883484
67.88218,42,14.926678
59.173388,37,14.967873
27.049772,24,14.992079
60.322536,35,15.02971
103.723342,62,15.094083
213.992385,108,15.21212
115.423069,63,15.279033
66.776992,52,15.338724
86.397693,51,15.39608
82.955773,53,15.452338
135.381669,81,15.540299
222.657853,113,15.668987
172.853229,85,15.761923
206.882076,91,15.861871
131.954277,68,15.907605
166.201331,82,15.981428
197.41416,93,16.076992
88.276669,52,16.108652
17.833192,22,16.12475
88.22179,51,16.155851
79.665067,56,16.199048
217.896669,100,16.316172
181.791644,94,17.739897
5.776998,14,17.751914
140.489979,95,17.830281
210.840298,125,17.970493
80.461056,46,18.017314
78.099934,46,18.066957
129.092936,69,18.142416
155.48126,74,18.216253
199.561283,101,18.332392
61.487737,38,18.379114
143.564679,75,18.449921
192.515681,91,18.535856
91.063703,56,18.598207
97.756527,55,18.660035
10.18567,15,18.678111
91.85359,64,18.743878
173.029356,82,18.829865
191.323898,100,18.938382
67.717839,40,18.981706
133.180915,76,19.053976
189.626184,89,19.158008
68.937268,54,19.222883
51.457749,30,19.258539
84.213941,49,19.315405
86.466262,56,19.382103
201.999842,99,19.490035
55.704276,35,19.530221
206.481851,102,19.646331
60.170793,37,19.692064
154.00942,79,19.772041
61.115157,37,19.810701
88.878668,50,21.170461
100.148351,58,21.230817
72.785082,44,21.276052
79.718095,49,21.326795
239.424843,117,21.447867
244.171291,123,21.588691
72.08148,44,21.621831
56.679057,34,21.662543
80.178188,47,21.712276
258.233166,138,21.854462
213.137075,103,21.965007
218.696206,99,22.044958
53.451137,34,22.082664
134.833101,89,22.182672
239.017921,118,22.30168
157.100356,79,22.384634
29.989651,26,22.415257
9.730229,11,22.427801
73.643586,44,22.476135
122.472991,68,22.547405
225.534116,108,22.663476
165.96312,104,22.775356
218.47618,106,22.859115
211.769042,110,22.97718
51.299718,32,23.018334
105.778736,64,23.091729
225.796192,103,23.201757
212.089421,97,24.616383
228.597569,106,24.729966
138.524171,71,24.802834
211.692715,93,24.893306
125.05766,68,24.945025
195.048462,90,25.038611
180.951733,93,25.143583
123.524967,71,25.217436
132.188533,69,25.29729
108.207049,58,25.349041
134.204743,71,25.412915
105.235826,59,25.479149
182.348563,87,25.570533
218.430568,102,25.675062
98.92469,58,25.747871
116.672421,63,25.81529
124.854501,88,25.905729
202.138699,93,25.999182
224.857087,104,26.108702
178.121863,84,26.196154
214.351886,100,26.30116
216.371589,103,26.409675
223.433943,106,26.520258
191.105319,91,26.616313
223.133313,99,26.732298
196.260379,88,28.145629
97.506246,59,28.205404
224.137024,102,28.308879
211.149823,98,28.417459
198.255766,91,28.516535
77.561103,46,28.568299
217.244897,97,28.674332
201.340209,88,28.769175
115.4166,63,28.840633
134.490647,69,28.920573
166.635568,81,29.001849
205.675619,103,29.090759
125.170447,64,29.153061
171.85859,88,29.230915
202.561699,91,29.327882
215.084413,99,29.43744
202.235674,92,29.527934
96.995064,54,29.587736
212.033126,94,29.688723
226.775498,105,29.805852
218.188785,101,29.917456
232.946827,105,30.030111
187.331669,89,30.125044
82.434598,47,30.17532
195.502725,91,31.628085
206.812331,108,31.740637
205.253295,114,31.857196
163.250308,81,31.945081
216.865649,97,32.056107
77.447745,46,32.11338
143.990501,71,32.196248
200.304182,99,32.318323
228.963166,117,32.458543
224.391545,99,32.570648
186.268562,103,32.68372
209.432685,97,32.797346
123.002706,67,32.865162
221.014754,103,32.977382
241.251275,135,33.106071
168.052541,84,33.188461
64.003019,39,33.228647
112.087927,60,33.289878
130.010919,74,33.356706
225.356786,120,33.475379
207.93489,97,33.583909
203.318649,91,33.680378
211.939703,99,33.779267
212.647728,95,35.194458
216.120653,99,35.298521
193.694419,89,35.3934
209.368827,108,35.509383
226.500539,119,35.644455
75.267453,53,35.704707
209.281362,97,35.81221
122.438422,66,35.877973
221.148495,105,35.989393
101.982876,56,36.042605
212.009119,94,36.140498
215.396893,101,36.257263
225.60442,103,36.365226
210.742949,100,36.4662
205.374254,90,36.560617
215.890289,96,36.656941
209.690841,103,36.77399
198.077577,101,36.890478
208.295588,97,37.002399
182.167072,98,37.111824
211.62295,93,37.208755
198.768499,87,37.300083
227.244913,106,38.75704
218.306547,101,38.87359
209.870096,95,38.980632
119.245012,65,39.05041
84.32743,49,39.100681
203.912784,95,39.206206
220.474176,100,39.324312
204.462203,94,39.426277
218.710789,96,39.528216
225.819738,104,39.642282
201.306691,95,39.745312
194.882813,91,39.8513
207.628246,97,39.970884
212.903277,99,40.085965
213.36322,92,40.180838
222.511529,104,40.293374
211.973834,106,40.40939
145.027024,79,40.498786
147.620208,74,40.577681
154.536533,75,40.646459
228.946358,101,40.759574
106.642826,59,40.819408
199.204706,94,42.214678
196.378723,87,42.30617
215.285314,97,42.415618
208.54272,97,42.522139
211.264576,96,42.62061
225.057484,100,42.723998
200.98361,94,42.821464
213.122037,94,42.918988
219.670368,98,43.034452
204.350453,99,43.133426
233.039947,112,43.245462
206.291468,94,43.311292
199.374244,90,43.402636
192.888247,87,43.500031
198.716538,91,43.591524
192.665272,85,43.685034
195.993925,91,43.776512
219.021562,99,43.877459
206.550852,92,43.970869
204.72134,102,44.070819
212.759583,96,44.176851
203.874389,92,44.27487
184.59431,96,45.672778
209.762301,99,45.777663
207.630616,97,45.892232
206.887055,103,46.006317
208.116304,94,46.1136
180.845238,85,46.199987
227.384238,103,46.314486
200.637292,92,46.412404
188.882833,91,46.507824
189.16138,87,46.603687
219.664396,97,46.720684
195.396234,89,46.819691
221.65816,104,46.929201
199.956252,94,47.023557
199.651272,89,47.120001
201.752978,97,47.216505
222.765523,103,47.298403
211.477919,100,47.377203
205.00607,95,47.459581
188.432017,90,47.554521
221.470824,106,47.670068
208.878115,97,49.090548
217.659111,98,49.193997
210.191295,93,49.302965
202.544141,91,49.404968
196.843183,93,49.513438
224.516939,106,49.629445
199.127078,91,49.723957
145.471213,72,49.796218
204.333527,93,49.887582
224.249877,99,49.990493
213.47469,95,50.092433
215.299906,99,50.19945
193.578709,90,50.298889
205.616231,98,50.397823
206.241,92,50.486256
210.613343,94,50.544504
190.674746,87,50.614778
214.152637,92,50.717675
218.732505,99,50.815673
194.639947,90,50.89546
221.152483,102,50.999426
220.296598,96,51.100324
217.475176,104,52.503296
206.88376,101,52.609344
215.47187,98,52.70837
202.36184,90,52.808788
206.640249,94,52.910235
179.446752,92,53.006258
221.921797,105,53.114166
204.523658,101,53.220819
80.911816,47,53.272605
211.158995,94,53.36512
209.254591,92,53.457021
214.544026,98,53.561076
197.76272,90,53.650427
219.140137,96,53.748408
199.235518,91,53.843424
218.840479,99,53.945862
203.095137,94,54.043824
215.121781,96,54.148748
73.822286,42,54.196014
205.485165,94,54.289374
216.351191,102,54.398942
218.862529,103,54.50007
185.461526,85,55.89141
207.475007,94,55.995891
206.323291,97,56.10096
211.244427,97,56.193859
220.838483,101,56.304501
198.317059,93,56.397006
197.303788,91,56.494906
238.01178,102,56.606446
208.713076,95,56.706975
208.482303,92,56.800806
200.914322,97,56.895797
198.767011,91,56.982571
220.512757,101,57.089149
194.016647,91,57.17907
213.431373,98,57.273895
220.850074,100,57.372945
213.908751,101,57.482481
198.606603,91,57.571498
189.25246,90,57.646859
239.476284,106,57.751812
207.77558,95,57.848284
224.655629,100,57.947734
210.114471,98,59.379817
207.127565,94,59.481856
218.699031,98,59.589324
208.101251,94,59.687818
138.803715,72,59.756665
118.47244,65,59.821863
222.802788,100,59.931811
210.391976,96,60.02878
247.37521,113,60.148794
266.531306,111,60.261891
219.75994,97,60.360792
204.896048,90,60.451691
237.219247,103,60.560284
237.240494,111,60.677462
221.500727,98,60.775876
208.601213,98,60.877826
230.619051,98,60.983343
210.637789,94,61.078852
235.987141,104,61.189319
229.302029,101,61.289255
213.946832,97,61.390211
260.014211,113,62.823486
207.385307,100,62.933043
238.479151,105,63.041504
162.876812,79,63.12341
145.231836,74,63.202794
238.191192,104,63.316276
219.34866,98,63.430779
224.113547,99,63.548763
242.467089,104,63.658843
205.264222,92,63.75582
242.764467,108,63.866219
218.593828,101,63.967197
198.386326,94,64.065635
213.110832,102,64.169523
236.014231,102,64.278003
215.285195,95,64.376444
159.661667,79,64.459807
223.982484,103,64.564792
165.950728,83,64.652601
210.36822,94,64.747101
260.736344,118,64.874152
242.898924,106,66.398023
215.778856,96,66.512056
262.181229,114,66.633153
155.188475,77,66.713222
231.69321,104,66.830805
234.302294,109,66.961385
249.317793,109,67.082593
236.383767,107,67.195093
238.98284,105,67.303691
242.444389,108,67.413121
202.908584,95,67.507565
224.097444,100,67.614133
228.184706,106,67.736163
253.067063,107,67.8441
219.223345,98,67.931495
257.331444,108,68.031373
236.466993,106,68.144431
255.484739,108,68.253482
159.571072,76,68.316772
322.685527,117,68.431298
294.389436,122,69.833549
127.012595,70,69.905921
262.860428,113,70.029956
224.748218,103,70.139341
230.211806,111,70.255978
211.697496,98,70.357451
166.305603,89,70.453847
275.593425,122,70.578983
220.62254,101,70.676994
250.308683,107,70.791915
162.178177,86,70.881237
249.423516,109,70.987808
193.337622,102,71.087833
211.404314,93,71.180253
270.351041,117,71.29709
284.719918,123,71.4206
213.323407,96,71.521505
205.909019,95,71.628585
262.428447,109,71.744256
211.117874,95,71.845622
271.726693,108,73.226304
210.327159,92,73.318692
248.201883,112,73.440169
305.920588,126,73.563242
306.953743,123,73.690298
288.09937,116,73.809361
257.328674,116,73.903874
245.956952,104,74.007346
237.705429,103,74.11632
262.414565,109,74.225225
215.639791,100,74.323336
264.218137,111,74.450891
285.856389,115,74.551247
242.202826,107,74.658834
294.673764,123,74.77135
231.619743,102,74.886354
289.47044,109,74.995537
235.20507,108,75.109447
241.677834,102,76.491302
196.706534,90,76.583337
227.861549,100,76.687872
363.510794,176,76.869243
142.517299,74,76.941515
294.285374,118,77.05906
