#{"t_start": 1775763895.207491, "env_id": "Hopper-Mass-Uni-20-v0"}
r,l,t
8.131713,13,2.292369
8.497308,12,2.297373
67.284698,15,2.305386
213.917754,42,2.331913
1.919661,9,2.338912
4.221864,15,2.346911
710.96238,19,2.357912
9.94835,17,2.366913
90.020324,51,2.391912
16.349748,30,2.408928
16.557001,16,2.416925
8.607455,20,2.428457
4.954693,11,2.434458
28.486674,29,2.448476
4.995398,10,2.453476
6.105684,10,2.459008
10.46143,17,2.467006
91.343621,88,2.49701
16.607928,18,2.503012
4.527602,9,2.508028
17.557977,19,2.516028
9.464002,14,2.5253.694525,35,2.524549
20.413399,29,2.538553
5.087327,9,2.542553
3.617764,7,2.546553
21.394978,28,2.560552
9.735937,20,2.570553
2.80674,8,2.574552
27.568399,33,2.591554
7.71362,20,2.601568
52.190713,45,2.625108
6.710004,12,2.631108
8.980886,18,2.640106
24.318003,38,2.659105
3.936048,9,2.664106
5.970154,27,2.680104
3.259676,11,2.685106
9.527708,13,2.692107
2.753864,11,2.697106
24.439582,30,2.713641
11.416024,16,2.72266
7.619713,27,2.738661
5.740578,13,2.745659
8.974743,34,2.763661
25.283491,27,2.780662
7.486134,13,2.78766
23.117767,33,2.806677
4.215324,17,2.817218
7.020552,15,2.825221
6.379859,10,2.831217
5.105532,9,2.836218
10.440741,15,2.844216
7.833756,24,2.858216
20.45406,21,2.871213
3.890268,14,2.879218
3.614315,8,2.883217
80.726425,50,2.906234
18.621593,23,2.916764
11.640123,17,2.921764
50.736205,38,2.933765
5.048466,9,2.936764
2.105737,9,2.939782
4.26007,9,2.942782
5.94541,9,2.947781
9.21871,17,2.960051
16.19.066656,45,2.986059
4.006939,34,3.002058
9.158987,24,3.016077
11.932844,17,3.024614
12.33542,15,3.031614
3.95846,7,3.035613
7.054738,16,3.04361
12.656698,21,3.054613
10.006553,15,3.062613
7.756212,12,3.063608
8.534036,18,3.072607
124.766338,65,3.10362
4.728701,24,3.115157
19.962766,21,3.125159
15.861398,25,3.137157
15.646639,25,3.149159
15.039737,16,3.157158
4.697663,8,3.161159
70.187972,45,3.182158
4.574666,10,3.187155
7.840706,12,3.193154
4.622401,24,3.205172
4.211428,8,3.20917
12.413083,19,3.217709
10.959856,19,3.226708
20.653433,27,3.239707
5.618842,10,3.244709
4.457673,13,3.251217
36.620618,40,3.269229
7.437505,12,3.274236
5.650489,11,3.278235
9.675765,30,3.288233
5.817477,9,3.290224
12.837025,30,3.30123
8.347405,22,5.912615
66.064067,39,5.933156
7.617507,16,5.942175
10.328554,22,5.953693
9.44151,13,5.96071
12.7642,17,5.969712
132.860543,89,6.016249
34.492728,31,6.032269
11.636126,14,6.040262
19.281841,21,6.052267
57.854249,38,6.075268
5.694987,10,6.082267
5.826236,10,6.088269
11.94434,15,6.097267
25.185588,28,6.116271
18.006387,18,6.127756
10.34227,16,6.137757
64.92444,39,6.159756
11.677385,16,6.168756
10.666784,13,6.176758
7.617183,15,6.185759
9.459148,14,6.194758
18.98956,33,6.213776
16.599037,19,6.224314
24.196889,22,6.237314
10.691853,29,6.253312
27.975436,23,6.267313
5.080838,9,6.272312
18.974129,16,6.281304
12.781977,14,6.288303
35.819217,33,6.301313
3.102649,9,6.303331
15.4497,25,6.31233
45.090703,34,6.325544
5.647827,10,6.331547
20.931117,21,6.342543
9.628332,14,6.34955
28.62002,26,6.363545
52.184055,35,6.381547
68.076471,51,6.408561
17.004724,18,6.418698
88.613131,58,6.449721
4.336766,19,6.461258
26.939673,25,6.475257
198.897109,101,6.5268
14.580569,20,6.53681
9.386177,17,6.544809
9.656724,20,6.55681
26.200281,22,6.5678
39.814305,37,6.587801
172.549105,93,6.634016
3.51738,11,6.640014
7.059475,19,6.650019
85.2899,59,6.678003
68.840115,40,6.699005
57.858413,50,6.725549
22.800954,25,6.738545
19.662941,39,6.757549
6.038523,34,6.774545
80.737029,46,6.800545
101.65519,54,6.829079
42.331597,36,6.848088
51.420002,48,6.873089
39.882924,32,6.89009
23.153899,26,6.904103
78.588113,48,6.92963
20.969774,20,6.938629
14.32108,15,6.945637
7.278909,11,6.949645
8.755842,14,6.919.1249134.290404,72,7.788432
208.241614,127,7.846673
46.988474,39,7.859668
50.490233,33,7.870673
14.090238,19,7.877667
20.542723,21,7.884676
137.494264,71,7.9182
132.158531,80,7.965421
37.420703,42,7.988411
95.992041,51,8.014433
6.92838,12,8.019967
81.979716,50,8.044967
14.227058,15,8.052969
14.925137,18,8.062967
1.339964,19,8.071967
37.260621,28,8.083966
14.049686,16,8.090967
28.681822,23,8.098968
43.627873,40,8.117966
17.676222,20,8.127491
113.588922,68,8.160491
59.214694,35,8.177482
29.241508,25,8.192491
13.556906,15,8.201493
16.884257,20,8.213499
45.675005,42,8.236013
183.074926,87,8.281021
12.965025,18,8.290022
12.388512,16,8.297024
20.314095,20,8.307039
24.83998,26,8.319566
13.173707,15,8.327571
117.220235,65,8.359569
71.169163,63,8.391574
98.508837,64,8.424786
6.7627,11,8.431796
184.837096,149,8.508365
75.986929,43,8.529896
50.587712,33,8.546902
27.889052,26,8.560898
14.376128,15,8.568899
10.939096,20,8.577894
112.038051,65,8.606918
18.616076,29,8.615917
72.108338,77,8.655448
27.622136,24,8.668448
18.28729,20,8.679455
8.448069,12,8.686457
28.632389,34,8.703455
26.397279,25,8.717464
94.016477,51,8.743666
60.297278,37,8.763665
45.263417,37,8.787664
135.018146,70,9.524598
83.252336,46,9.5486
118.693217,65,9.5826
70.467117,42,9.606611
102.675528,56,9.638126
25.345181,39,9.659128
46.002053,51,9.683128
83.843305,51,9.703127
152.831491,75,9.732678
70.595237,40,9.75268
18.59633,18,9.76168
77.635751,45,9.783682
82.409234,45,9.805697
64.903201,37,9.823816
85.047659,61,9.853817
12.039851,19,9.863818
54.862441,46,9.885819
115.007685,67,9.91883
124.516937,63,9.951357
88.946871,47,9.974894
32.770533,26,9.989896
163.804147,90,10.036108
