#{"t_start": 1775768518.56624, "env_id": "Hopper-MassFric-Gauss-20-v0"}
r,l,t
8.572269,12,0.029034
8.062231,15,0.048587
7.513974,12,0.064875
4.306174,10,0.075414
8.329684,13,0.091018
18.052991,18,0.110114
72.757232,52,0.168364
7.97531,12,0.1819
8.995393,22,0.208025
20.850469,23,0.234134
29.771939,32,0.273312
17.612782,33,0.310008
6.781934,10,0.321535
10.792869,13,0.336083
14.420925,26,0.363163
4.150311,11,0.373713
27.253061,31,0.410584
7.338304,12,0.425132
59.946666,40,0.472858
21.428746,30,0.509012
11.747782,17,0.528084
16.447457,17,0.545648
5.075125,9,0.557724
20.796339,25,0.586828
5.601999,9,0.598411
5.103282,8,0.609976
21.525908,28,0.644595
10.747124,21,0.671195
3.313261,8,0.679729
21.557615,28,0.709862
8.684713,22,0.734976
44.553366,46,0.784705
8.574112,12,0.798288
14.129003,20,0.821367
22.311618,38,0.861549
4.378251,9,0.873106
8.962217,28,0.903828
5.372366,11,0.915392
10.09212,21,0.940044
29.157499,34,0.977137
22.254922,25,1.008298
14.561069,20,1.031404
8.094828,14,1.047462
23.57584,31,1.082132
17.90331,22,1.106754
11.581905,16,1.124318
20.651491,28,1.154948
12.939802,21,1.180591
9.300185,17,1.201243
10.99149,13,1.216784
11.729701,14,1.23187
7.820158,14,1.248952
18.190561,36,1.28964
4.535151,15,1.306693
5.006682,9,1.31826
57.636774,47,1.374003
25.103416,24,1.402235
12.722565,18,1.422868
35.474104,29,1.453981
12.034051,15,1.471015
3.491677,7,1.479548
9.28828,12,1.493696
5.795557,9,1.504238
10.237324,17,1.523338
7.658797,11,1.534891
7.018541,10,1.546955
8.838098,19,1.568059
9.317688,28,1.599243
11.989611,25,1.626837
8.049454,11,1.639405
9.919829,11,1.652959
8.740851,15,1.673059
89.372951,66,1.746998
10.158764,12,1.762562
13.250997,19,1.78765
71.19315,45,1.842912
14.233787,19,1.865013
8.598734,26,1.89466
14.660065,17,1.914279
19.872713,27,1.944888
11.926625,23,1.971464
14.918496,17,1.991554
5.216867,8,2.002102
60.861223,43,2.054837
5.98848,10,2.067911
6.116956,9,2.080455
20.312465,34,2.120616
15.081923,23,2.15027
13.413563,20,2.17537
32.317116,30,2.213574
6.843453,12,2.229676
37.728051,46,2.287471
7.210552,12,2.302053
6.612704,11,2.317097
12.215229,29,2.352787
6.051132,10,2.365336
20.217293,40,3.720574
9.027236,13,3.735134
124.076841,77,3.812479
10.90518,13,3.82703
15.209675,19,3.847092
101.30229,65,3.913918
