#{"t_start": 1775987055.2851694, "env_id": "CustomHopper-source-v0"}
r,l,t
34.956964,35,2.298314
7.491766,12,2.301314
18.5946,22,2.308751
11.112755,26,2.314769
13.122874,15,4.512376
4.570019,15,4.795958
12.738333,18,5.017764
15.213467,21,5.263089
6.833415,14,5.472289
20.515458,23,5.744922
58.990147,54,6.396262
10.877372,19,6.655626
18.990749,20,6.936088
24.372926,24,7.270685
12.678415,25,7.554348
74.205309,43,8.078521
63.607237,40,8.647595
21.840834,31,9.067653
12.219408,27,9.441626
10.468873,23,9.796228
8.02525,24,10.14498
28.056628,50,10.858197
61.260697,45,11.425893
95.358005,60,12.221149
39.103694,63,13.146069
110.173409,98,14.307281
82.892137,55,15.001476
109.183862,60,15.723885
60.603935,36,16.163578
53.287815,31,16.504718
41.228912,24,16.776041
72.401982,47,17.300189
152.615838,77,18.157585
56.836604,35,18.537992
56.881064,34,18.89774
44.723627,25,19.164261
72.478975,40,19.599468
93.411605,57,20.208765
89.377781,50,20.743089
91.475308,49,21.267706
70.033351,42,21.72702
107.470549,58,22.346936
76.825051,44,22.856742
96.134938,51,23.422294
90.841469,50,23.972637
90.440625,49,24.501708
89.314202,50,25.043573
95.90582,50,25.577165
104.714874,55,26.176196
91.290281,53,26.74878
111.537569,66,27.455107
106.722666,57,28.100939
127.020134,70,28.880397
75.719279,41,29.3274
98.240647,53,29.900163
98.493028,56,30.509429
99.987052,59,31.148974
142.320635,76,31.958324
120.973102,67,32.680118
156.692402,82,33.623241
120.061818,66,34.335997
106.731948,62,35.002794
140.889208,78,35.835001
123.677782,69,36.579177
114.005756,65,37.29203
163.409825,96,38.363696
142.537255,84,39.331985
189.349182,113,40.618881
192.854701,100,41.744625
112.371002,64,42.431088
147.836719,81,43.299662
146.180922,78,44.185726
210.355342,126,45.554052
202.341034,108,46.716888
235.733969,143,48.255504
336.967069,172,50.1173
326.151109,155,52.172469
318.899169,152,53.697353
284.606406,126,54.986366
285.900567,131,56.312111
295.525538,126,57.663686
298.459212,133,59.279679
282.921649,129,60.637663
306.157835,129,61.971309
299.723063,125,63.337565
314.811558,132,64.769354
309.908046,128,66.087575
324.281752,142,67.522871
310.121167,144,69.070287
298.739823,121,70.412979
322.736785,136,71.89695
304.219845,125,73.17067
325.617259,137,74.586376
315.971079,132,75.954847
317.845764,134,77.358713
325.92394,140,78.89512
309.396429,136,80.342141
312.125117,129,81.683451
313.460226,152,83.219639
319.421559,139,84.620974
329.535818,151,86.18177
304.894477,127,87.497064
299.737508,125,88.751049
296.409451,121,89.96142
319.188481,134,91.368907
315.67135,130,92.713727
339.230425,170,94.416418
310.232964,131,95.782639
296.968174,125,97.064298
254.577039,102,98.115038
310.725601,133,99.553409
