#{"t_start": 1773937685.5584183, "env_id": "CustomHopper-source-v0"}
r,l,t
6.004123,15,1.124665
5.576846,10,1.155669
10.960488,22,1.222179
5.846269,18,1.266187
8.486245,12,1.292697
5.639689,9,1.310697
5.302473,12,1.332697
16.837234,18,1.371221
13.010995,16,1.421225
33.506638,40,1.529253
9.516912,18,1.581768
2.774603,11,1.613768
6.599358,22,1.683283
6.062172,11,1.711283
6.080369,13,1.749282
8.116189,20,1.808798
31.801676,37,1.916311
25.061112,30,2.009339
16.405377,20,2.067343
9.332152,15,2.110854
6.17942,15,2.155858
56.985802,33,2.244365
14.375216,19,2.283877
2.683015,7,2.301877
8.304576,19,2.349878
5.16111,16,2.392394
6.16244,12,2.431401
11.52656,17,2.477428
3.645784,10,2.508428
8.992456,25,2.581944
23.540198,21,2.632944
11.616454,16,2.672457
3.003907,15,2.723457
5.357272,12,2.765462
10.879882,21,2.824975
3.669654,13,2.867977
14.767024,23,2.955005
3.852686,10,2.991514
11.7649,14,3.043514
7.092813,12,3.086028
10.795589,14,3.128033
4.414281,19,3.187544
10.450392,13,3.226543
4.391618,8,3.250544
36.858632,42,3.367067
11.663786,13,3.416578
6.497187,16,3.472252
5.79388,9,3.499253
8.383987,23,3.568259
6.412055,34,3.658777
11.543359,18,3.711284
8.859764,15,3.754284
27.19633,27,3.831798
8.176805,12,3.865806
6.191717,17,3.925327
5.438203,10,3.956854
15.90401,22,4.015366
8.085646,12,4.051363
6.478907,10,4.080875
5.617653,9,4.108875
9.525368,25,4.186391
15.670381,19,4.244391
9.309901,15,4.287905
5.547925,16,4.334905
18.651351,21,4.395422
32.673353,37,4.510443
10.378011,27,4.588957
16.055438,23,4.638957
5.409645,14,4.666961
6.19305,10,4.686473
8.094846,14,4.714473
25.048103,25,4.764477
7.499571,23,4.821987
7.244607,12,4.856991
22.909988,34,4.956022
9.566044,15,4.998533
18.152867,17,5.049533
18.021325,19,5.109044
7.778368,13,5.147044
6.481849,17,5.195559
4.955818,13,5.232559
69.763796,47,5.367077
15.465205,22,5.43359
3.865141,10,5.464101
11.770449,13,5.503616
10.257709,25,5.563619
6.333356,13,5.589126
10.216887,14,5.617127
5.168714,10,5.636127
6.368961,10,5.655127
7.605866,11,5.686642
7.958199,19,5.739642
5.824805,19,5.794154
2.140908,12,5.827154
11.026879,16,5.873664
11.606092,22,5.936176
8.753705,13,5.973689
24.741006,32,6.039689
29.84309,36,6.113202
11.134457,18,6.151209
4.499885,13,6.17975
20.519042,24,6.232749
10.747186,21,6.27525
12.902404,14,6.30325
6.865922,10,6.329251
14.994993,18,6.383763
6.366569,25,6.443278
7.199779,14,6.485803
8.453452,22,6.553802
17.999124,20,6.614331
80.207167,50,6.762867
73.56495,43,18.197057
11.332053,14,18.234054
105.780377,92,18.426086
4.86233,9,18.453598
7.475491,28,18.537112
22.927579,37,18.649631
122.449135,65,18.840657
21.579081,48,18.983204
4.26148,13,19.021204
17.114678,23,19.094723
39.207868,30,19.183232
25.318628,26,19.25924
14.941997,26,19.345757
11.588004,15,19.391271
10.393992,14,19.432274
6.608164,9,19.45879
50.758028,37,19.566303
10.381732,14,19.607818
26.060078,25,19.679332
21.929847,22,19.743332
90.35227,54,19.908356
19.108346,20,19.968655
49.285211,41,20.088679
3.700332,15,20.133678
12.341702,14,20.175198
20.805183,24,20.245196
4.602593,14,20.278706
10.418612,14,20.306705
9.97,18,20.356705
97.015134,52,20.494246
26.201575,26,20.56425
13.686538,29,20.651761
7.160188,15,20.718278
12.605206,35,20.82779
13.60617,17,20.8823
8.247475,12,20.918299
9.43746,14,20.961812
5.933429,13,21.000319
29.340452,30,21.065322
27.057417,24,21.13183
24.087661,22,21.194345
25.209739,27,21.27235
152.824417,78,21.503402
17.279058,18,21.563407
184.859535,82,21.803952
32.902019,25,21.876467
10.039596,33,21.979506
8.759223,12,22.016507
18.318838,22,22.084017
7.449448,14,22.124018
24.554781,30,22.215539
73.201427,67,22.38057
4.923057,13,22.40657
38.589157,35,22.497596
30.302223,33,22.574105
5.080573,14,22.611113
20.912469,27,22.691632
90.87081,48,22.83415
48.049711,34,22.931673
23.161047,42,23.015696
10.654189,12,23.039695
7.075716,11,23.060698
8.418226,18,23.097205
33.524585,33,23.200716
12.533016,33,23.294226
58.186101,53,23.404735
169.507748,80,23.639473
17.079026,27,23.71699
7.080423,13,23.754988
22.810605,23,23.813497
84.889134,46,35.532523
13.929973,20,35.592036
35.882976,50,35.748551
22.380113,24,35.817065
24.964563,24,35.885579
104.298215,78,36.115123
31.25994,26,36.193638
40.652302,31,36.282151
121.051493,80,36.494707
25.076591,23,36.541706
24.50799,24,36.59322
35.238796,44,36.68473
26.735405,36,36.765735
16.062413,20,36.830244
27.956148,25,36.901759
17.546007,26,36.965273
6.670973,13,36.993779
13.065229,17,37.030781
75.793284,44,37.123303
155.280875,73,37.277322
26.071609,28,37.335327
30.58288,28,37.391409
176.016161,126,37.757466
7.254951,11,37.788981
115.332307,72,38.011113
24.700138,25,38.083627
21.303303,24,38.152627
108.83782,77,38.37817
121.861946,67,38.536203
13.188014,16,38.570207
74.40128,46,38.687232
8.072491,12,38.721232
136.069776,84,38.964779
70.575645,53,39.1368
5.007711,15,39.180315
130.002228,80,39.409346
13.542474,18,39.462857
3.66751,8,39.48837
121.399549,62,39.666893
227.689263,121,40.000459
113.51106,72,40.206479
12.92631,21,40.272484
81.549294,49,40.414502
5.455517,17,40.466022
17.412211,20,40.525533
9.48354,13,40.563538
9.570018,16,40.611046
8.828152,12,40.647045
20.931523,20,40.705555
8.333038,12,40.739554
32.148676,26,40.803064
65.059265,55,40.920581
126.934504,67,51.819571
81.604645,46,51.953603
137.766672,71,52.173635
149.230047,71,52.384171
76.703228,48,52.52119
21.397826,21,52.581701
188.866567,86,52.833724
99.52334,57,52.972766
130.542265,85,53.155795
74.661937,42,53.248312
113.773318,77,53.470676
208.650941,93,53.652333
223.122831,101,53.93788
56.065401,33,54.033904
92.21047,50,54.179429
82.006333,45,54.323454
70.808912,41,54.46049
67.608664,40,54.601521
24.741039,24,54.679524
202.07291,101,55.036287
203.575133,93,55.33663
60.724075,36,55.457667
227.124114,112,55.787728
5.220325,9,55.809726
256.934472,135,56.248537
90.461101,49,56.39259
135.128604,72,56.644143
12.283857,35,56.774659
144.626447,69,56.985724
139.644839,72,57.183249
187.583745,88,57.468302
47.678407,28,57.541814
18.585983,20,57.600325
13.195712,17,57.655326
141.277411,85,69.550829
266.85745,117,69.821903
248.937883,121,70.172965
248.362178,112,70.447507
157.139792,82,70.622046
241.893542,111,70.882079
55.035106,33,70.983186
72.221235,40,71.063691
199.319413,86,71.273722
70.611329,41,71.389747
136.873005,76,71.592294
305.435754,148,71.979359
219.703122,100,72.242893
58.300253,34,72.333412
201.905615,104,72.581961
76.879041,43,72.707007
240.385422,116,73.065126
226.147558,102,73.355672
108.776686,60,73.500218
241.265194,112,73.81777
217.933794,99,74.067312
226.123369,97,74.296851
243.559218,113,74.627894
199.370012,89,86.464607
20.748162,21,86.512121
248.600469,115,86.848672
336.908291,134,87.218109
60.321677,34,87.298621
220.31217,96,87.548154
269.150749,132,87.939774
223.757912,94,88.192828
238.595197,109,88.508893
127.643171,64,88.641408
240.372976,114,88.904952
237.07637,103,89.143485
214.066489,96,89.369514
