#{"t_start": 1774297289.0902267, "env_id": "Hopper-Mass-Uni-10-v0"}
r,l,t
15.821482,29,2.871151
13.449045,22,2.88666
26.80005,27,2.900677
5.895709,12,2.908008
5.052626,11,2.913542
28.349588,29,2.925862
7.927735,12,2.929373
13.910764,16,2.934384
10.190845,16,2.942887
50.308684,33,2.959902
3.214692,10,2.964903
14.367469,15,2.972416
8.388314,16,2.980469
4.294971,17,2.989469
16.396677,20,3.000496
5.636296,11,3.006002
8.733174,16,3.014513
13.781688,25,3.022021
4.698553,8,3.025019
25.545691,26,3.036533
64.452398,50,3.05558
11.437586,14,3.061103
16.636864,17,3.069626
8.623181,26,3.088151
16.363459,20,3.101187
10.922806,16,3.109698
7.693365,13,3.117189
14.239608,17,3.127699
3.125671,8,3.134209
3.374791,17,3.144728
7.824758,11,3.150243
25.256969,29,3.165778
1.918244,8,3.169284
11.32456,14,3.181841
10.706121,33,3.199849
8.435765,14,3.208384
13.895514,16,3.217918
22.41023,23,3.229938
10.955312,17,3.23794
21.539538,29,3.252518
8.492231,11,3.257516
9.568677,23,3.270554
8.673353,21,3.280076
4.342737,31,3.292607
7.210427,11,3.295607
7.897897,11,3.301118
17.279474,20,3.307623
11.185999,16,3.313134
10.954626,18,3.318129
8.641551,18,3.324637
7.327583,11,3.330161
6.759146,11,3.335168
12.821689,14,3.340708
4.781345,21,3.350202
9.348411,25,3.362713
20.353517,28,3.376222
8.886311,20,3.382748
5.183025,12,3.385747
8.145427,12,3.390249
25.987903,28,3.4038
4.056131,15,3.411836
8.636115,15,3.418828
15.47,22,3.433874
6.545491,12,3.440393
2.571577,23,3.4517
4.711349,8,3.456696
13.786835,23,3.468204
4.825275,15,3.475712
14.208912,15,3.482223
9.192324,28,3.497737
11.094371,31,3.513308
2.979486,26,3.52581
9.531637,15,3.533318
10.884437,15,3.540847
3.401789,7,3.544847
13.761081,17,3.553372
42.38967,60,3.584919
4.295781,15,3.592451
4.303546,14,3.600951
10.457213,18,3.609456
23.110352,31,3.62623
7.241821,15,3.634772
4.707629,13,3.641773
21.115129,19,3.656771
4.704579,18,3.67037
21.407427,22,3.679867
7.101685,12,3.683869
7.034048,20,3.691387
14.524505,21,3.701895
7.465629,14,3.709551
18.742468,19,3.716566
6.463568,14,3.721657
7.959709,30,3.731712
10.047821,16,3.737702
12.98905,17,3.745884
4.606717,9,3.750447
14.824093,24,3.761673
12.342081,22,3.768671
4.931155,12,3.773179
7.252299,15,3.778179
4.774717,19,3.785696
4.451292,18,3.791
8.537867,13,3.795997
7.106105,10,3.799504
7.403402,13,3.806042
45.835899,33,3.822076
10.185816,28,3.838598
7.852002,11,3.8444.780036,54,4.465458
7.977494,16,4.473458
36.998442,62,4.500742
8.827925,16,4.506274
14.891095,23,4.513798
3.642883,28,4.524311
133.519914,68,4.567442
2.340355,30,4.581949
18.887599,30,4.594998
11.683981,14,4.598998
24.562261,45,4.617048
3.529735,8,4.620045
12.509897,23,4.627554
18.190567,21,4.636098
12.711542,16,4.644626
7.560671,10,4.652635
5.76.79674,22,4.7077219.794357,24,4.679327
63.284935,43,4.710373
91.374823,61,4.741888
24.448935,23,4.754903
10.858793,22,4.766715
8.746657,17,4.772716
7.381965,17,4.780229
154.979226,86,4.824424
14.080575,30,4.834928
10.093759,16,4.843432
14.16615,16,4.851436
108.045895,74,4.892663
12.636107,15,4.900725
39.893564,30,4.915782
14.796428,18,4.924308
8.702951,13,4.932307
9.470158,17,4.943361
12.155231,26,4.965544
16.431779,30,4.985204
90.077548,52,5.012263
8.082936,13,5.018404
7.298291,11,5.023918
22.560895,34,5.043446
68.083017,38,5.062024
70.074319,50,5.086569
13.796714,14,5.097106
33.42698,27,5.109627
16.026281,32,5.123656
6.990022,10,5.127671
51.713349,57,5.145695
29.083119,40,5.170244
8.456824,14,5.176775
23.156348,20,5.188296
46.759544,37,5.20846
13.636823,22,5.21798
10.997906,25,5.236001
20.116171,28,5.258017
6.470662,11,5.265037
42.861736,43,5.299179
20.622185,20,5.312688
20.788226,23,5.324709
9.468825,15,5.33271
45.704926,34,5.351239
37.410865,45,5.379707
96.510801,51,5.411255
9.914196,12,5.417789
9.897965,26,5.432319
39.520875,58,5.462058
21.399092,21,5.474082
11.972813,15,5.481103
17.618708,16,5.490624
28.366589,31,5.50665
9.814352,18,5.516185
19.061849,27,5.531709
98.176243,55,6.260873
46.670153,63,6.284507
24.960793,23,6.296014
55.926572,33,6.307522
83.215247,57,6.335049
15.623984,22,6.346559
39.380166,38,6.364093
10.253049,16,6.370094
60.020595,37,6.38611
143.329357,86,6.430159
118.111734,64,6.458779
15.033679,37,6.477305
26.633348,34,6.489465
118.970946,64,6.510487
40.428292,37,6.526502
103.213618,57,6.555762
16.386435,23,6.566783
11.325441,17,6.571783
29.344528,31,6.581902
13.967129,21,6.589411
82.878537,48,6.611214
128.572376,69,6.64028
104.42825,66,6.672384
45.786723,34,6.685411
47.108943,31,6.695925
115.85378,66,6.731002
12.369208,14,6.74051
14.436918,33,6.75556
112.710639,80,6.790685
60.837002,42,6.81171
27.02002,30,6.832745
6.128949,14,6.839274
16.073593,20,6.850805
81.845299,86,6.893551
44.45315,30,6.911283
51.367649,31,6.929792
26.295514,23,6.947826
5.250272,34,6.965854
10.895105,26,6.980381
10.060089,29,7.00196
8.35948,13,7.011487
56.919386,33,7.030312
21.54339,44,7.052345
71.145773,43,7.072393
7.018223,21,7.079576
112.569266,58,7.11581
18.621445,19,7.127961
22.227671,21,7.138498
43.758158,42,7.162578
6.003927,17,7.170095
177.586537,82,7.212728
53.723281,38,7.235306
94.97092,51,7.906993
20.551277,20,7.918502
70.325061,42,7.93552
64.468371,46,7.952035
38.773076,28,7.961573
12.196382,14,7.966088
10.758614,27,7.974591
163.367806,75,8.01213
214.382771,110,8.071301
27.756221,23,8.081818
192.012227,99,8.135928
219.718277,117,8.191799
94.204362,53,8.21082
105.005121,55,8.239362
24.441743,25,8.251869
80.748293,58,8.295024
19.060101,19,8.307576
133.93547,66,8.33972
8.15542,11,8.343723
38.869208,31,8.354415
161.673156,75,8.393876
14.251864,16,8.403393
62.749417,37,8.424451
93.859726,51,8.440972
168.609247,87,8.486079
127.699699,65,8.518535
20.288692,18,8.527047
116.023751,61,8.548079
46.542272,39,8.563592
142.549091,74,8.592632
11.771932,17,8.598143
133.175791,71,8.622193
4.370891,9,8.625728
101.543372,55,8.647781
58.673934,34,8.661292
8.876932,12,8.665805
78.836836,52,8.682847
31.202138,25,8.697503
119.742537,60,8.72658
17.063085,20,8.737109
145.806456,72,8.772214
124.454001,96,8.815435
61.934489,38,9.475812
216.515456,101,9.527904
96.219337,53,9.555478
132.569136,67,9.590261
196.772686,102,9.654718
50.339113,30,9.673794
21.603826,21,9.688399
60.95613,35,9.713594
66.442881,39,9.73668
12.375783,14,9.741684
113.220989,67,9.786863
42.087854,44,9.814589
86.454297,47,9.844675
150.602026,69,9.879741
67.026798,48,9.90081
19.115721,18,9.907038
80.019038,54,9.934608
26.527152,24,9.950125
83.103169,46,9.979187
194.96093,100,10.03501
15.951924,24,10.049541
11.391987,16,10.058061
97.301225,52,10.086152
97.401561,52,10.118015
125.217564,64,10.147573
29.390133,25,10.157098
74.412266,45,10.183663
7.045146,15,10.191161
35.732922,54,10.213723
23.910589,24,10.223742
124.227349,63,10.254578
5.251355,9,10.260578
201.142424,105,10.312086
54.348169,31,10.327068
150.292121,71,10.357644
60.29555,35,10.375854
63.676316,39,10.391139
120.96537,80,10.435613
46.444505,36,10.458687
20.666843,35,10.485475
82.827549,47,10.532606
155.90693,75,10.571216.584085,99,10.990716
85.068377,48,11.01629
11675.47456,43,11.306634
117.330175,62,11.339158
133.64811,64,11.364703
206.219632,88,11.401783
7.043234,12,11.40595
185.455,91,11.452047
172.933365,85,11.495008
85.326085,50,11.521029
174.05688,77,11.572063
55.880255,32,11.586111
207.985821,94,11.638729
102.060233,53,11.65749
67.993919,40,11.678088
108.036705,56,11.702124
68.057727,39,11.723732
219.29544,108,11.781208
85.067967,47,11.81081
58.929553,35,11.830875
58.965404,37,11.850737
191.632059,87,11.885351
232.914796,110,11.947504
212.35813,99,12.009185
247.185318,132,12.060835
177.141958,94,12.106107
74.086837,45,12.121634
110.522703,67,12.152195
84.646445,46,12.188823
183.79577984.704002,47,12.62028
89.493374,49,12.640318
170.693986,86,12.67205.464189,93,13.100235
201.850092,94,13.158015
152.280088,82,13.199799
149.993844,72,13.235381
182.564128,85,13.272
211.74858,95,13.321607
111.270201,57,13.346694
218.843359,92,13.393782
184.916475,83,13.440862
205.292172,93,13.483382
215.895478,98,13.535429
123.724482,64,13.574007
58.768405,35,13.591552
178.954516,89,13.643378
53.631926,36,13.662061
51.350214,29,13.672077
184.101106,86,13.710729
228.64789,112,13.773893
9.700226,12,13.78091
75.066088,46,13.797987
102.528356,54,13.818815
199.484314,101,13.86269
126.351419,65,13.899264
167.03337,78,1126.506492,63,14.280971
230.193514,96,14.333958
221.919006,101,14.380572
217.98517164.790387,84,14.728914
222.028769,96,14.779603
55.294835,38,14.793701
62.347808,38,14.812758
149.892533,73,14.836331
198.695749,86,14.865456
213.63316,100,14.905937
99.504307,57,14.927985
105.807707,64,14.96052
246.80684,111,15.023738
253.440375,130,15.083879
196.166739,87,15.131921
72.477624,41,15.152964
139.773381,68,15.178078
77.067975,51,15.206606
180.512029,81,15.247251
199.382892,98,15.290823
172.60151,81,15.327866
222.165064,114,15.387495
77.913,44,15.406562
209.891075,92,15.450614
220.562227,109,15.494172.55751,88,15.939696
114.400149,63,15.974384
194.257625,89,16.026263
204.826405,102,16.074844
230.94.007187,51,16.429538
133.076557,67,16.468874
173.390258,80,16.510757
165.290023,94,16.562181
199.406308,94,16.618677
183.078136,82,16.667191
193.003953,90,16.715947
197.855049,86,16.767368
114.996749,59,16.804135
197.332348,91,16.862743
184.809325,88,16.903817
184.127626,91,16.953906
188.688511,86,17.001153
192.710268,87,17.050712
99.745947,57,17.082813
238.441136,115,17.142898
79.412823,44,17.166316
189.872618,90,17.214442
86.794609,47,17.231987
201.198331,89,17.273567
77.464919,54,17.30217.029456,110,17.7122
205.473299,95,17.756005
245.728331,102,17.815653
228.887221,99,17.88584
172.1229.836812,106,18.331638
222.14898,113,18.414109
158.433302,86,18.473696
201.623175,103,18.538486
219.879636,104,18.624804
198.642212,96,18.719089
214.696741,93,18.778723
220.635185,97,18.864924
184.418835,89,18.932996
208.237218,94,19.006838
194.642088,93,19.073775
192.086566,97,19.134424
247.846025,109,19.221053
184.786755,85,19.276355
218.559036,93,19.342461
175.93308,82,19.397831
201.34782,109,19.457875
199.45433,98,19.532211.236332,99,20.069726
275.369625,106,20.143916
247.752631,132,20.212559
224.339629,112,20.290669
23197.671702,90,20.732334
205.302242,97,20.802415
230.147582,98,20.884039
210.006124,89,20.95925
91.113813,51,21.011954
173.089274,89,21.106737
192.786222,100,21.19727
185.295652,83,21.266511
102.121215,53,21.316386
222.429095,97,21.370037
57.834189,33,21.384084
197.605058,86,21.419195
119.652918,72,21.450721
193.759131,96,21.486339
225.172322,96,21.522708
256.479351,108,21.594153
184.212.188912,94,22.412222
299.320827,128,22.574283
265.700593,115,22.71118
283.523301,129,22.852632
279.345303,120,22.984971
228.390798,97,23.086927
294.201194,137,23.241212
