#{"t_start": 1773938233.653649, "env_id": "CustomHopper-source-v0"}
r,l,t
5.12746,11,5.043547
14.747252,22,5.113758
17.464363,19,5.172237
19.623114,20,5.234749
3.861818,10,5.264847
4.106949,10,5.296704
5.445312,10,5.327278
6.380877,38,5.444989
15.125539,25,5.522294
3.631252,9,5.548899
14.468093,14,5.593212
48.938024,36,5.703194
10.432433,16,5.755139
19.995691,30,5.846549
27.140669,31,5.943669
6.518138,14,5.986059
8.332341,12,6.022715
13.075516,15,6.069288
18.029547,19,6.128636
9.052583,17,6.185028
9.842056,14,6.229897
2.79987,10,6.261736
4.231046,16,6.31148
28.188359,38,6.42987
9.823726,24,6.503678
22.500588,31,6.599012
62.911221,83,6.96647
6.534597,10,6.998443
5.063346,22,7.193098
7.702953,14,7.237566
13.455394,25,7.312554
5.322331,9,7.340165
8.737651,15,7.385237
8.232908,12,7.422242
7.317646,17,7.474912
10.616779,15,7.521649
11.234057,15,7.568186
48.029846,35,7.67767
9.023574,17,7.732095
11.847208,15,7.778222
2.562956,11,7.812488
18.898228,18,7.868014
9.633225,20,7.931341
3.894031,9,7.959497
4.229505,23,8.030443
2.521619,18,8.086808
20.628255,20,8.148578
5.961359,10,8.176982
7.792368,12,8.213393
10.308173,16,8.263175
17.579521,19,8.321808
10.935039,16,8.372169
9.570411,15,8.417247
11.920666,14,8.458862
8.704104,17,8.512057
11.224856,15,8.558627
8.777259,33,8.658122
5.908488,9,8.685268
26.741381,34,8.790017
56.612984,40,8.913574
14.888006,19,8.973072
18.258316,18,9.029422
6.711354,13,9.181555
14.470876,17,9.234401
10.899327,15,9.279286
7.631724,23,9.350879
6.735006,19,9.409755
9.264768,19,9.468077
5.529025,9,9.495381
12.467112,19,9.553503
95.619329,59,9.73666
6.955017,9,9.76484
7.317741,18,9.820434
7.554434,14,9.863695
4.661208,9,9.891277
60.869761,57,10.064326
13.712495,22,10.131277
30.396788,29,10.21603
5.641277,10,10.245485
11.674382,21,10.310576
9.616989,20,10.372238
7.163068,11,10.405972
5.675758,11,10.438714
8.237835,15,10.485485
13.5895,16,10.536097
9.052446,18,10.592159
7.365203,11,10.62626
9.823107,11,10.659564
29.67638,32,10.757342
8.791871,17,10.8095
10.539299,20,10.872891
