policy,n_seeds,CustomHopper-target-v0_mean,CustomHopper-target-v0_std,Hopper-Target-Mass-Easy-v0_mean,Hopper-Target-Mass-Easy-v0_std,Hopper-Target-Mass-Medium-v0_mean,Hopper-Target-Mass-Medium-v0_std,Hopper-Target-Mass-Hard-v0_mean,Hopper-Target-Mass-Hard-v0_std,Hopper-Target-Fric-Easy-v0_mean,Hopper-Target-Fric-Easy-v0_std,Hopper-Target-Fric-Medium-v0_mean,Hopper-Target-Fric-Medium-v0_std,Hopper-Target-Fric-Hard-v0_mean,Hopper-Target-Fric-Hard-v0_std,Hopper-Target-Both-Easy-v0_mean,Hopper-Target-Both-Easy-v0_std,Hopper-Target-Both-Medium-v0_mean,Hopper-Target-Both-Medium-v0_std,Hopper-Target-Both-Hard-v0_mean,Hopper-Target-Both-Hard-v0_std
Hopper-Mass-Uni-10-v1,5,1173.21,192.93,1426.33,292.88,665.58,96.06,474.04,117.85,1097.09,318.65,949.39,132.1,445.99,59.2,1169.46,336.99,657.16,62.38,355.98,8.63
Hopper-Mass-Gauss-10-v1,5,1462.93,237.18,1688.09,73.6,675.77,45.14,450.27,46.51,1221.66,303.06,1055.51,497.67,441.54,51.71,1356.07,233.44,689.91,104.28,348.47,18.97
Hopper-Fric-Uni-10-v1,5,1592.28,241.46,1629.56,184.95,833.19,191.87,507.36,62.83,1591.74,128.36,1009.53,240.56,336.73,163.68,1647.03,120.35,645.78,300.11,281.17,133.07
Hopper-Fric-Gauss-10-v1,5,1647.85,47.52,1652.56,56.35,906.79,209.23,541.8,69.84,1633.12,44.18,806.57,243.33,408.26,28.05,1634.65,48.61,689.57,126.19,339.74,9.75
Hopper-MassFric-Uni-10-v1,5,1638.19,71.34,1705.1,70.79,1072.33,140.17,560.43,63.56,1501.98,220.37,1208.76,369.27,427.07,26.56,1666.19,64.18,864.18,150.73,347.91,13.42
Hopper-MassFric-Gauss-10-v1,5,1671.64,30.17,1679.39,58.12,750.01,66.02,580.93,175.33,1643.06,58.81,1294.94,331.88,426.13,16.27,1677.62,58.23,826.38,180.59,347.29,7.86
Hopper-Mass-Uni-20-v1,5,1446.0,195.41,1537.41,235.1,757.65,131.24,517.93,93.34,999.7,445.36,960.03,177.76,404.99,40.31,1154.5,519.26,742.73,171.09,340.55,14.87
Hopper-Mass-Gauss-20-v1,5,1671.91,29.86,1696.72,34.67,1129.71,252.7,607.18,144.82,1584.04,128.81,1047.37,262.06,407.23,14.62,1685.89,25.79,789.17,58.89,332.89,21.66
Hopper-Fric-Uni-20-v1,5,1621.86,172.15,1719.87,23.73,959.57,171.36,586.14,126.9,1583.11,225.92,1333.15,273.61,412.0,19.67,1642.13,139.12,944.08,207.04,349.2,10.25
Hopper-Fric-Gauss-20-v1,5,1699.88,52.84,1702.65,46.83,1090.69,254.32,616.05,76.41,1602.12,135.08,1201.11,247.7,416.58,11.18,1606.82,147.36,894.85,59.98,344.81,7.89
