#{"t_start": 1774300755.3705516, "env_id": "Hopper-Mass-Uni-10-v0"}
r,l,t
3.231985,26,0.039953
7.085403,11,0.050487
8.953233,22,0.064125
7.763812,11,0.072153
2.361812,17,0.088236
8.609211,14,0.095759
5.606988,11,0.10377
11.113486,18,0.122846
8.981071,12,0.134912
10.522958,24,0.159013
26.835527,23,0.182097
14.819909,18,0.196172
26.177919,28,0.21483
27.442586,23,0.230389
6.312743,11,0.239935
4.815742,12,0.251478
10.028538,13,0.264534
5.012132,10,0.274076
5.652361,10,0.284128
9.769085,25,0.312223
23.443239,35,0.345862
2.080209,9,0.355403
3.947928,12,0.365957
124.550916,95,0.458105
4.807535,9,0.466649
10.304502,18,0.486694
8.052119,11,0.497233
6.031525,10,0.507771
17.459569,32,0.530856
7.025656,16,0.545763
20.789495,19,0.562321
23.10857,28,0.584932
8.095779,13,0.594458
18.261691,21,0.610034
4.937046,10,0.621578
33.393318,30,0.649739
8.540124,14,0.660283
7.446655,21,0.673829
10.369072,13,0.681372
10.810156,17,0.696458
5.869723,13,0.709
7.631336,12,0.721526
9.490781,23,0.742221
9.943826,13,0.755291
12.252132,15,0.768853
9.463677,19,0.782395
41.451747,31,0.80601
8.727381,21,0.826092
5.545688,24,0.852193
6.308208,10,0.861733
10.629679,15,0.8758
5.571295,9,0.884325
7.140237,22,0.905418
5.88468,15,0.919967
31.157104,25,0.944059
13.493701,18,0.961636
40.494515,31,0.994791
9.960181,13,1.008349
4.128731,14,1.023904
4.859821,18,1.039986
10.545405,14,1.055059
9.418139,13,1.067575
5.677731,11,1.078093
15.643963,27,1.105082
47.190558,36,1.132742
15.475498,24,1.147821
7.618555,12,1.154333
121.722774,85,1.232154
21.528878,20,1.250249
7.889121,12,1.261795
13.151819,17,1.278879
8.171364,11,1.289413
25.692173,25,1.306507
18.352986,26,1.327593
7.570606,12,1.337136
17.987911,29,1.362221
3.873702,9,1.371761
6.405209,28,1.396375
8.877142,18,1.413922
5.728734,15,1.428004
10.311553,14,1.444406
7.050259,11,1.45562
4.846731,16,1.47018
15.332537,28,1.496816
4.76477,14,1.509357
7.108638,13,1.521905
9.991985,23,1.54451
14.667293,20,1.559086
3.486011,13,1.568629
9.263179,15,1.578176
16.581404,22,1.600793
14.236346,23,1.621886
3.76839,9,1.628431
6.094538,13,1.635962
8.080993,25,1.656047
153.773845,81,1.720888
10.193101,13,1.734959
37.854526,33,1.767608
12.890765,16,1.78215
24.673409,26,1.810322
18.44345,24,1.829409
67.557008,57,3.167974
7.358908,11,3.179522
2.668484,8,3.186062
13.552149,21,3.211156
27.335737,25,3.238316
11.196442,17,3.256413
6.99449,13,3.267964
22.49242,35,3.2996
17.149307,16,3.315674
16.748882,20,3.33223
31.589918,30,3.361375
212.623699,100,3.449914
8.325669,21,3.471992
16.029345,21,3.492052
6.609115,21,3.513664
115.038168,71,3.577516
25.642725,23,3.600604
9.8246,20,3.6227
67.329246,42,3.659392
89.07034,50,3.702556
12.054067,14,3.716636
11.477336,13,3.728181
15.745603,21,3.747814
12.887953,14,3.760353
24.113296,24,3.781437
7.284202,11,3.790985
9.970387,26,3.81558
21.148059,34,3.847738
8.591762,14,3.862285
13.897761,16,3.87793
26.5464,23,3.901016
5.173533,21,3.920098
40.903591,48,3.967329
17.26092,26,3.992947
53.627611,56,4.041168
32.490704,26,4.067802
6.207778,11,4.077346
26.009594,22,4.098428
9.911227,12,4.10897
14.170907,19,4.12905
67.990126,55,4.189425
13.857706,18,4.206496
6.063165,12,4.214015
18.299568,20,4.2296
19.039833,19,4.247924
17.743053,20,4.266002
8.321556,11,4.279558
7.121744,11,4.289025
21.34433,37,4.320656
5.74822,11,4.328205
11.051859,13,4.341261
7.022144,12,4.354316
5.402463,20,4.372899
5.181674,9,4.382445
17.853479,20,4.404027
10.771519,15,4.417589
24.273916,40,4.460288
20.310215,21,4.482999
40.191849,40,4.524071
8.409708,12,4.53072
16.03071,17,4.542774
5.133343,8,4.54732
67.255551,50,4.580456
69.028934,49,4.619634
6.7333,22,4.641241
18.124117,19,4.662333
7.788277,11,4.670876
83.897077,48,4.711559
17.201819,19,4.729645
62.953464,39,4.772341
74.310001,47,4.820037
17.676004,18,4.840629
9.167485,14,4.854702
25.686305,24,4.87979
42.32768,41,4.92051
22.453139,20,4.942127
8.474732,21,4.957727
8.840904,13,4.967273
20.304068,24,4.992357
88.964969,57,5.051737
15.748026,24,6.291915
180.61896,102,6.37422
123.544644,67,6.428115
26.410505,24,6.445702
7.439098,12,6.456254
95.395919,64,6.502408
90.17212,56,6.561754
13.683695,39,6.599931
96.360522,52,6.656736
6.167563,12,6.669271
25.522129,22,6.690356
71.54741,56,6.745109
27.080358,24,6.769195
86.060073,56,6.825433
86.597669,53,6.862617
22.049521,21,6.882704
39.400735,37,6.917878
61.06113,36,6.951545
75.589152,42,6.994218
139.99134,83,7.069426
134.049806,69,7.135228
54.016398,38,7.171349
8.773218,16,7.187417
51.096647,28,7.212504
53.947925,32,7.246204
7.944106,11,7.257734
110.67982,64,7.321009
11.737914,15,7.336092
175.874145,91,7.414915
94.769084,93,7.478162
134.738032,83,7.558009
104.247533,66,7.62478
10.037596,16,7.641865
16.296327,16,7.660961
95.970365,71,7.737323
8.627889,12,7.7494
13.465766,16,7.75995
90.898156,55,7.813672
55.300173,42,7.855892
82.393588,51,7.907628
201.941871,111,8.024123
70.766987,43,8.066853
25.313938,25,8.095454
30.154903,46,8.142161
17.221458,19,8.162227
28.794711,27,8.191832
63.868493,53,9.49593
60.242285,38,9.529563
207.004881,98,9.628519
214.595853,108,9.739084
54.330844,42,9.780863
79.50804,46,9.826578
119.361353,76,9.9029
125.362579,68,9.972702
164.740432,85,10.057663
74.47622,57,10.111374
26.757184,31,10.134989
75.164647,74,10.2049
11.779212,21,10.222461
85.115406,47,10.260158
78.538048,47,10.307364
129.73231,69,10.372155
20.968227,21,10.390843
9.86114,16,10.402403
86.1499,49,10.446619
143.482953,69,10.504911
85.974594,67,10.564575
80.83353,47,10.607421
122.884259,97,10.700406
57.363737,33,10.726026
104.089586,64,10.792325
47.355127,38,10.821891
22.374836,20,10.832434
15.781926,18,10.84997
192.927256,103,10.947475
92.312525,60,11.000674
72.017282,42,11.034392
19.748306,18,11.052487
79.557676,45,11.100206
55.65933,33,11.134349
121.322236,85,11.220243
17.252302,20,11.237288
148.757861,108,11.333278
141.322249,73,12.615402
40.886542,30,12.634469
18.013568,21,12.652564
67.049435,39,12.68217
74.684017,43,12.715303
62.694274,40,12.755574
149.938425,73,12.807231
18.257972,20,12.825274
56.5734,34,12.858024
80.338977,56,12.909725
236.784735,109,13.014667
129.356645,68,13.070923
136.100726,72,13.13666
26.181375,22,13.16129
72.379946,43,13.203123
50.350375,30,13.232751
76.627681,45,13.277576
89.889333,50,13.330279
30.811593,31,13.362428
49.631381,30,13.395581
85.126396,49,13.441847
160.992133,74,13.517719
79.538979,49,13.549882
53.556367,32,13.581514
77.223949,44,13.622697
62.764608,37,13.655383
22.051354,22,13.676056
74.627222,44,13.720222
104.914476,65,13.78451
113.267766,64,13.843793
122.320598,66,13.908112
84.359215,47,13.949728
108.577336,61,14.000979
124.778119,64,14.069326
72.103512,41,14.104469
103.452137,58,14.167223
128.942686,65,14.232475
66.867534,39,14.267112
89.262068,50,14.319809
66.866947,62,14.372683
78.600404,44,14.419309
53.684203,61,14.484449
95.927125,60,15.749907
56.421764,34,15.783503
63.407478,38,15.813143
200.788164,98,15.9046
80.561151,48,15.951327
56.781346,33,15.985582
156.076772,76,16.046346
32.248565,29,16.072448
182.800339,91,16.143764
56.146981,34,16.168387
86.987412,52,16.220089
107.356877,58,16.27133
110.267256,71,16.329591
113.574103,89,16.398922
85.631573,47,16.441626
133.785027,78,16.511984
170.068644,80,16.580283
152.337469,81,16.661154
13.529445,15,16.675233
83.954368,48,16.728946
55.561527,32,16.763121
