#{"t_start": 1774300771.812178, "env_id": "Hopper-MassFric-Gauss-10-v0"}
r,l,t
5.633922,18,0.032702
6.571516,16,0.04927
9.02496,15,0.065358
4.593497,7,0.072874
3.975019,8,0.080901
10.394972,15,0.096961
63.402656,38,0.134644
47.928786,36,0.168273
11.208523,17,0.185362
9.194381,15,0.201437
47.730118,38,0.238621
26.09873,25,0.263217
14.281189,17,0.28329
8.838212,15,0.3014
19.987602,25,0.334562
17.223985,20,0.355664
10.602069,20,0.377754
6.211594,12,0.391278
8.328636,29,0.419445
11.199487,17,0.438535
4.576071,8,0.448077
9.426822,14,0.463132
9.424381,16,0.479708
8.53984,11,0.491247
19.618566,32,0.518965
6.09546,9,0.525502
13.227713,15,0.541045
13.688844,24,0.563568
18.914393,20,0.581111
21.952749,27,0.605261
32.058344,38,0.644429
33.531743,36,0.681062
11.235453,16,0.699675
15.848467,20,0.718754
8.687573,18,0.730298
31.390898,36,0.767472
7.283879,11,0.77602
13.682156,25,0.800599
8.201141,24,0.826793
15.468607,26,0.850877
6.528576,12,0.863945
27.910734,25,0.884036
7.262956,12,0.892927
4.978956,9,0.899116
13.920736,17,0.9152
7.242855,10,0.926715
23.466366,24,0.946783
8.808714,12,0.96032
21.212962,24,0.986958
8.35057,13,1.001001
6.855729,24,1.026171
21.362883,21,1.043231
5.168755,20,1.064332
10.768046,15,1.079895
7.237224,10,1.089443
8.193682,15,1.107074
21.71238,19,1.127171
7.221035,12,1.135721
63.921078,51,1.182773
7.098751,13,1.194963
54.728109,41,1.237681
49.315961,49,1.283384
18.157963,18,1.300479
14.405909,25,1.329108
11.272134,19,1.350184
18.400628,27,1.374786
12.183216,22,1.399391
95.789019,64,1.465025
9.591113,13,1.480566
10.279603,19,1.499141
10.508004,12,1.513743
10.16916,14,1.526303
4.887124,16,1.545383
5.36691,9,1.555931
5.268,10,1.566479
5.014316,8,1.57602
62.417229,46,1.61872
105.205409,64,1.68954
10.416438,19,1.710146
47.534957,38,1.747054
7.996269,30,1.777644
14.163139,22,1.793684
6.376749,10,1.801215
8.083484,12,1.814283
3.618204,9,1.824828
17.290723,18,1.845929
10.393901,17,1.86602
13.963063,16,1.880564
7.337023,10,1.889105
13.14426,13,1.903707
10.007199,14,1.917262
12.122912,26,1.946899
9.709487,19,1.969981
43.149513,42,2.010688
11.292119,15,2.027332
17.631583,35,2.064513
22.230311,41,3.391807
4.389386,9,3.401873
31.016048,36,3.437047
56.561848,43,3.478153
81.633706,48,3.521845
10.470331,17,3.538932
7.598833,14,3.553998
113.003152,65,3.615831
7.717005,10,3.627871
67.639269,44,3.675621
5.953463,15,3.693689
23.822288,20,3.715303
28.175017,29,3.735385
24.855936,35,3.77001
19.478975,25,3.794626
45.407586,41,3.83534
7.295701,11,3.846889
16.235081,19,3.866955
101.401236,56,3.920204
19.299307,19,3.939292
15.490004,22,3.964918
5.475102,8,3.971917
12.903189,16,3.987008
12.925414,15,4.002945
147.108749,80,4.0744
75.990327,47,4.121096
4.254078,9,4.130633
22.282191,21,4.151712
84.907104,57,4.210438
10.554858,16,4.229536
137.536602,74,4.304399
24.005867,36,4.336042
67.292406,47,4.384761
3.266355,13,4.399846
16.778411,26,4.424472
7.788555,20,4.447582
10.730496,25,4.474192
8.262632,11,4.484743
29.268873,46,4.534534
73.983783,46,4.58623
10.966372,16,4.603802
10.336625,19,4.626921
97.725729,68,4.700197
62.110078,48,4.756468
7.615403,12,4.770023
8.477154,13,4.786661
12.462683,19,4.806286
10.5144,20,4.826372
56.850072,47,4.875052
41.032799,31,4.910245
17.954577,23,4.933869
11.972478,18,4.95396
87.86382,51,5.005739
32.834144,26,5.033212
39.797694,48,5.07805
20.423803,28,5.11021
8.590591,12,5.124284
62.803916,49,5.17502
9.931681,21,5.200521
41.90789,37,5.240672
15.627829,16,5.257754
5.94774,9,5.263268
36.892354,27,5.28437
102.421068,100,5.388293
10.271241,14,5.40485
12.266001,15,5.421142
8.71438,12,5.435229
6.262865,9,5.446773
11.939177,18,5.465854
21.610678,25,6.763431
65.329196,39,6.799197
98.096487,54,6.847929
13.18942,15,6.863947
4.144809,11,6.875454
97.509881,57,6.930704
110.181878,61,6.989971
8.495679,25,7.013079
59.030747,36,7.046183
27.211896,27,7.069278
66.538194,40,7.100345
161.384398,89,7.183726
28.905134,34,7.22089
39.793525,43,7.2646
24.536518,26,7.285644
12.601958,15,7.303237
59.059861,43,7.341859
7.266058,14,7.351401
91.550656,53,7.39565
22.173224,18,7.41425
9.962568,17,7.43281
56.871322,67,7.496234
90.240233,52,7.541445
235.328458,114,7.640983
5.009233,10,7.651524
61.011687,37,7.693944
22.263057,21,7.716569
47.561855,51,7.773483
180.557851,87,7.856406
80.102873,90,7.955816
207.021045,91,8.059823
104.245633,83,8.144855
40.930169,33,8.180496
175.186318,87,8.268891
31.810935,49,8.313098
14.317101,15,8.328673
23.510454,29,8.357292
36.997138,41,8.388871
69.490461,49,8.428482
15.977127,18,8.441013
10.541188,25,8.46823
129.762346,66,8.521992
53.24767,46,8.569261
162.654514,96,8.660397
88.329972,50,8.703493
51.939777,32,10.039304
15.50756,18,10.057384
57.85178,36,10.084962
28.018528,25,10.111591
14.263033,25,10.137828
51.56335,32,10.171458
10.85259,13,10.187179
38.657886,30,10.210377
150.350225,77,10.28018
42.856837,32,10.315391
129.280154,76,10.399396
80.698504,51,10.451653
46.515509,36,10.487836
68.191077,42,10.528298
47.47233,57,10.584532
111.491541,59,10.647854
15.630639,17,10.66893
169.52365,95,10.767508
73.63334,64,10.831283
84.974444,48,10.861359
48.47056,30,10.886982
231.558681,137,11.014611
141.493065,69,11.057314
52.287575,32,11.08844
134.899816,70,11.149893
130.579729,69,11.212673
23.329783,22,11.237792
77.532504,47,11.287692
7.116723,13,11.303133
139.145607,84,11.395051
71.164734,45,11.448915
135.638332,70,11.528797
109.280463,60,11.585542
64.363271,57,11.625581
28.372013,23,11.645661
96.573095,64,11.717007
84.389617,52,11.773258
10.387847,14,11.788837
144.359096,75,11.861169
109.989213,70,11.910503
74.386185,46,11.951681
59.315318,37,11.991407
60.662666,37,13.342702
82.498806,48,13.391424
255.208054,135,13.510593
68.64209,41,13.549297
86.585246,66,13.604708
54.726707,44,13.653534
196.116699,89,13.751161
172.031971,86,13.84045
113.776844,61,13.906096
92.139097,55,13.967825
86.109005,50,14.023339
55.066247,35,14.061095
88.897514,52,14.117286
84.711625,49,14.16866
20.05359,22,14.193272
73.828522,45,14.243005
11.616796,14,14.259583
79.865168,48,14.313845
134.877742,67,14.390309
106.423211,58,14.452125
120.41899,65,14.514895
90.208252,53,14.571721
111.223954,65,14.637125
46.024636,36,14.67579
149.218407,86,14.768968
17.876156,20,14.799158
94.151671,53,14.859419
84.355776,51,14.915946
42.541425,30,14.940624
96.001917,54,14.977321
69.598853,43,15.014355
79.515107,47,15.062836
104.240005,56,15.116847
221.271721,98,15.197797
70.641938,44,15.241444
79.642981,47,15.289798
147.433785,72,15.357759
59.307331,36,16.627593
27.032458,24,16.64365
68.74469,41,16.680308
81.221956,48,16.725567
198.87769,101,16.811106
112.45019,60,16.861464
74.833725,47,16.901583
67.00854,39,16.927778
164.598241,79,17.011302
60.850683,43,17.060471
39.369216,31,17.096298
56.698825,48,17.151557
105.167372,58,17.209493
101.870642,55,17.246049
59.170118,37,17.271118
85.386834,49,17.325448
204.073142,102,17.424016
240.781459,130,17.564777
65.986123,41,17.603947
38.271411,36,17.638126
75.855701,51,17.685846
50.740922,31,17.72092
150.246711,77,17.797752
157.541598,77,17.881546
109.595403,59,17.94637
190.608984,87,18.012156
112.489707,75,18.067927
89.581216,52,18.119127
91.339052,57,18.170587
77.447195,46,18.223995
90.465685,53,18.276687
71.067748,46,18.31792
17.2216.783594,106,19.87114.73113.227755,73,19.95224.567065,104,18.495207
91.030365,51,18.549126
108.88926,59,19.924343
157.659722,76,19.996181
108.125614,74,20.069517
102.852083,57,20.127956
63.83068,39,20.169143
213.202783,113,20.29217
199.201968,101,20.392104
190.686691,89,20.490081
118.123201,64,20.5504
202.530485,91,20.624222
216.209095,104,20.739375
108.632235,60,20.79864
206.631469,92,20.892057
229.512969,106,20.994584
80.678322,47,21.044806
138.020994,74,21.109566
223.084804,108,21.223538
177.580229,84,21.313579
102.169824,58,21.375884
129.952985,65,21.439672
203.618416,91,21.531594
89.712847,51,21.589858
32.538339,28,21.618026
203.085525,93,21.716011
153.395215,78,21.798977
78.150097,46,21.844207
197.33552,90,21.924599
70.371839,42,23.308064
216.017947,94,23.406617
125.138609,68,23.473921
87.382693,52,23.515151
225.268273,98,23.620348
10.961502,14,23.629895
125.793507,68,23.700202
230.61586,101,23.816801
46.553185,33,23.85697
216.013985,98,23.960934
202.28741,90,24.055355
149.541157,85,24.141259
109.764049,65,24.205061
223.091247,103,24.306657
212.121784,96,24.371381
143.841972,76,24.447264
230.315487,113,24.555282
223.572425,105,24.654185
66.018261,43,24.699366
92.493248,52,24.751487
225.055048,103,24.839867
65.777623,45,24.891587
157.975346,78,24.978508
206.467418,95,25.059678
229.264285,110,25.179529
225.173057,99,25.263908
215.55799,94,26.64532
60.430626,44,26.695027
230.659824,104,26.799982
218.197188,99,26.870289
169.402118,90,26.948163
248.899001,129,27.069084
70.787584,47,27.120331
193.508542,87,27.222214
190.97222,86,27.316131
215.482652,94,27.414062
