#{"t_start": 1774366145.206708, "env_id": "Hopper-Mass-Gauss-10-v0"}
r,l,t
335.413895,61,4.109381
17.375646,27,4.126898
230.999579,58,4.266944
20.081779,29,4.311497
218.696077,27,4.344494
220.027624,35,4.3884881723.956433,36,4.4390272015.977956,24,4.4720234.21.753965,43,4.5195735.24.715437,49,4.5885721.23.252803,39,4.637113
15.80904,44,4.68211
319.644638,43,5.190938
421.837395,31,5.242477
321.527371,34,5.284468
435.910346,60,5.366001
25.537588,39,5.420533
629.068711,46,5.492557
217.519984,25,5.529078
131.869287,109,5.604122
17.014313,24,5.64412
46.28771,48,5.707662
15.528438,27,5.748662
19.373062,24,5.78721
32.652224,38,5.837211
24.759135,34,6.236442
23.017213,33,6.284987
32.99795,39,6.315985
40.768774,46,6.361985
15.766021,26,6.399534
18.884112,26,6.435536
19.592929,29,6.469551
48.464355,52,6.50708
20.579303,28,6.546133
56.617636,55,6.631737
248.383937,75,7.156982
27.404232,52,7.260528
22.491047,46,7.341083
37.738733,63,7.428614
19.757203,46,7.469613
27.679017,39,7.526165
38.870781,64,7.592176
29.472419,55,7.668699
29.892933,57,7.74026
33.152048,48,7.787251
48.694369,56,8.280996
40.668687,66,8.360102
32.716009,38,8.414646
39.295612,64,8.498658
68.413345,94,8.586194
34.237833,60,8.638736
38.237995,53,8.713287
37.308584,45,8.753279
50.154134,71,9.207007
52.390869,77,9.342554
44.633723,66,9.40257
59.917357,75,9.484101
172.004754,194,9.704245
51.477419,76,9.805784
43.487093,68,10.387691
76.887261,102,10.506252
78.495195,105,10.662329
60.793957,85,10.784554
65.726629,92,10.904716
71.668172,96,11.540683
76.271436,102,11.692196
79.120439,104,11.835626
79.609499,106,11.949798
125.625545,152,12.158204
47.145647,56,12.695731
92.435726,98,12.880816
276.909583,276,13.302187
69.137329,91,13.44023
128.224258,132,14.172127
171.995004,169,14.444818
50.476258,57,14.537367
183.924104,177,15.262767
74.930241,73,15.400349
135.308842,141,15.663993
210.947365,219,16.009665
511.496937,500,17.354978
77.176462,81,17.484522
84.722719,56,18.01957
155.003225,118,18.210132
64.339391,40,18.277215
97.799724,67,18.393356
140.249188,98,18.540992
114.302231,77,18.666524
115.361041,79,19.283771
90.637636,52,19.368297
88.465302,59,19.468831
82.348359,54,19.557354
86.95588,60,19.653878
98.887657,65,19.749094
47.825694,40,19.807592
98.823725,73,19.921284
107.413325,67,20.027486
72.857153,46,20.602258
95.964441,61,20.707802
79.654495,49,20.789328
106.137987,72,20.916606
87.272932,58,21.01562
102.454568,69,21.133607
103.782404,70,21.246854
105.764083,75,21.36339
97.994848,59,21.950721
109.838107,78,22.094255
106.701439,72,22.204815
118.138859,79,22.332882
107.368246,73,22.445426
97.712391,69,22.559968
100.719076,67,22.667558
89.061051,58,23.253512
119.304507,85,23.400047
113.571266,84,23.543122
145.695332,111,23.718178
94.076484,63,23.818724
95.209802,64,23.923276
113.278683,80,24.047825
119.246521,83,24.69521
410.957611,338,25.211967
87.278188,53,25.2785
99.835088,65,25.875839
110.569028,80,25.9874
