#{"t_start": 1774366145.7825572, "env_id": "Hopper-MassFric-Gauss-10-v0"}
r,l,t
34.754165,59,3.512223
20.022463,27,3.573215
28.860497,54,3.661776
40.670909,50,3.718138
26.902113,36,3.781137
30.239445,37,3.822668
11.772461,20,3.84967
220.399631,45,3.897874
223.469648,49,3.962406
421.81158,49,4.026949
22.591982,31,4.064942
9.466494,32,4.108463
24.005887,54,4.647308
24.6608,52,4.71183
25.131881,42,4.768831
23.362162,49,4.840369
27.880739,36,4.899385
22.127259,28,4.939911
20.258574,29,4.978915
24.485817,40,5.028466
21.962046,28,5.06846
36.243831,62,5.149005
20.107568,30,5.173004
20.545873,46,5.217553
20.525606,36,5.239548
24.636633,37,5.693782
33.798121,37,5.735326
23.325343,50,5.806343
24.547066,51,5.878876
27.376935,32,5.92542
22.639611,29,5.956472
18.218169,47,5.999493
25.513537,29,6.017069
26.907479,44,6.065078
35.109874,63,6.157615
27.070481,57,6.251169
34.93102,40,6.329711
22.14403,34,6.822448
35.652748,58,6.892454
20.991658,30,6.914992
28.891733,36,6.948997
25.892843,34,6.965995
35.631808,37,7.018533
26.293207,29,7.040532
28.422666,35,7.062531
38.105783,63,7.124093
35.223604,61,7.200095
31.885045,37,7.25863
28.295192,30,7.291639
38.741012,46,7.784933
33.162212,61,7.864476
28.728657,48,7.901492
25.69174,31,7.946023
26.035036,49,8.00804
25.265246,29,8.031565
38.4262298.185218,95,8.498582
140.752032,110,8.685661
39.459821,48,8.763195
273.269221,200,8.976324
238.307504,154,9.637772
151.641985,105,9.807872
215.067007,132,9.957427
214.344481,132,10.125198
219.538429,138,10.783682
242.181532,155,10.967324
286.612362,195,11.241268
253.376663,160,11.916785
27.532413,30,11.978787
301.46644,194,12.339547
300.051353,202,12.673805
32.665422,32,12.725343
21.776417,25,12.763348
43.671402,47,13.31065
26.529763,29,13.373654
23.324667,32,13.432215
32.5941,33,13.491217
245.882104,145,13.727902
28.758544,32,13.779906
18.816462,22,13.816464
25.645241,28,13.859466
28.549351,40,13.927006
22.983981,32,13.980009
309.490015,203,14.854535
28.356065,34,14.918093
294.982352,184,15.236742
273.640227,162,15.482871
279.388724,166,16.28234
296.19706,181,16.564988
289.259692,173,16.818173
279.265202,164,17.52276
237.695878,137,17.752001
293.324505,174,18.019167
263.337434,140,18.665425
249.970184,141,18.912997
298.384626,173,19.169173
286.088989,163,19.931891
282.506704,165,20.211983
36.698639,36,20.276077
302.675555,220,20.647494
100.284649,92,21.312838
279.669937,158,21.568443
72.240976,64,21.660973
290.277333,167,21.942611
287.48913,166,22.735694
277.129379,159,22.994765
275.415946,153,23.218371
298.858101,177,23.912757
248.432892,142,24.143397
37.332893,36,24.205413
289.360579,168,24.419036
371.513584,246,25.22648
278.577394,158,25.485603
321.743238,195,25.702716
510.595487,406,26.739776
107.817092,138,27.431604
244.251416,160,27.680683
283.046489,199,27.939524
261.911885,174,28.646313
256.700613,170,28.872378
228.144818,153,29.091978
270.273316,185,29.83131
213.979437,140,29.95613
329.280822,248,30.214299
285.702448,200,30.940189
300.181015,223,31.295384
345.921065,265,32.204903
316.176191,226,32.568446
362.704588,272,33.853238
558.246622,480,35.335289
342.528135,280,35.918564
495.122856,500,37.28544
487.841111,500,38.576487
493.715095,500,39.790806
501.010569,500,40.994365
492.364449,500,42.259129
485.77014,500,43.501785
486.089566,500,44.745399
494.053046,500,46.062573
483.266771,500,47.319202
487.866535,500,48.487265
486.347353,500,49.688841
35.673483,58,49.79741
487.553132,500,51.166092
499.380782,500,52.467282
485.384271,500,53.765463
484.854787,500,55.066669
480.272112,500,56.422372
487.506745,500,57.760196
480.756124,500,59.01836
476.508549,500,60.305919
482.189472,500,61.513351
94.06133,138,61.703888
481.581273,500,62.996041
483.753226,500,64.230145
476.343624,500,65.336192
472.645204,500,66.630276
482.234686,500,67.949375
478.5361,500,69.109428
479.012427,500,70.182412
485.59516,500,71.445549
476.564028,500,72.566603
477.740243,500,73.797464
479.156895,500,75.252911
478.672984,500,76.804189
478.791654,500,78.31654
476.912066,500,79.624253
476.688969,500,80.961711
475.701677,500,82.241919
476.105342,500,83.452442
474.256145,500,84.709987
471.945216,500,85.956167
316.569084,251,86.358373
288.461441,226,87.143799
480.922602,500,88.401405
120.370449,165,88.668646
124.086414,168,88.964319
238.23567,268,89.805715
295.08267,326,90.390985
470.701425,500,91.729705
59.485677,89,91.809715
166.892658,209,92.615125
453.933999,354,93.58261
95.775071,141,93.813724
456.532073,357,94.860763
471.162926,500,96.0603
384.062432,322,96.615072
471.965806,500,97.85023
472.189551,500,99.112207
471.879311,500,100.292989
472.749518,500,101.623333
569.919197,500,102.881898
115.397957,159,103.082006
544.864107,500,104.324653
477.762329,500,105.631788
475.570677,500,106.857885
289.784327,322,107.706975
43.530554,75,107.823542
484.780708,500,109.06281
29.815253,62,109.155385
479.341037,500,110.346229
479.106523,500,111.476868
475.244532,500,112.595907
482.010736,500,113.762549
479.651752,500,114.941139
476.097992,500,116.088149
476.779688,500,117.310384
478.270617,500,118.542475
476.100585,500,119.643095
42.636377,77,119.752646
477.987716,500,121.050341
16.610257,50,121.130351
14.519843,48,121.2049
20.96825,53,121.317436
32.877432,68,121.415996
24.53638,59,121.964283
30.092446,64,122.012285
27.05683,62,122.082828
24.830039,60,122.147369
27.051254,61,122.194375
23.41479,57,122.282928
71.167351,107,122.407489
37.089269,71,122.877249
45.904792,81,123.005802
38.967607,73,123.116341
22.174886,56,123.202893
27.106793,62,123.297444
41.266919,75,123.413991
19.466927,53,123.500535
23.02572,57,123.56008
33.535047,68,124.143367
479.288546,500,125.372158
476.524349,500,126.585354
476.189334,500,127.546829
476.616862,500,128.118538
31.409447,68,128.681477
477.701435,500,129.877852
46.588121,81,130.013403
478.524303,500,131.252601
474.068815,500,132.32814
483.19347,500,133.562269
477.06773,500,134.783635
477.800495,500,136.075802
477.869813,500,137.282677
485.810477,500,138.532335
478.158239,500,139.73094
477.657662,500,140.893128
479.675194,500,142.110423
480.152206,500,142.830293
68.36154,104,143.356662
475.416243,500,144.534749
477.65143,500,145.606848
42.96452,78,145.731399
475.590454,500,146.902008
477.016821,500,148.110626
482.790071,500,149.217706
477.429687,500,150.406389
60.468383,95,150.562483
480.900892,500,151.720566
58.431569,93,151.855148
482.316969,500,153.076319
59.41294,95,153.219878
477.534326,500,154.477073
482.167044,500,155.686732
478.257695,500,156.792888
477.335192,500,157.903959
477.112437,500,159.138055
478.399681,500,160.335684
477.639722,500,161.587894
478.566909,500,162.732557
480.928386,500,163.981419
480.205571,500,165.213034
477.939788,500,166.362129
481.076806,500,167.540757
476.157798,500,168.790901
477.718671,500,170.051561
480.435249,500,171.312722
478.238309,500,172.544371
482.25428,500,173.783589
480.386859,500,175.027181
480.356296,500,176.279371
477.466787,500,177.581545
476.808288,500,178.825481
476.661096,500,180.116623
476.44529,500,181.374825
479.706947,500,182.675057
477.861044,500,183.974241
476.874441,500,185.149863
479.298818,500,186.42605
478.285393,500,187.60865
478.286274,500,188.870263
482.321755,500,190.056845
479.74065,500,190.836257
477.765079,500,191.977397
478.678752,500,193.22358
476.349288,500,194.476268
479.670691,500,195.752626
479.731209,500,197.004813
477.404519,500,198.370989
478.956129,500,199.593158
478.704704,500,200.852798
478.356976,500,202.102
478.70456,500,203.362652
477.200068,500,204.582337
480.809743,500,205.776969
477.916041,500,207.030112
478.785569,500,208.286757
477.600417,500,209.411362
479.313732,500,210.608008
477.205525,500,211.897181
478.237449,500,213.183623
476.827036,500,214.392233
479.344036,500,215.663445
477.420264,500,216.906646
477.703735,500,218.155297
476.59042,500,219.407497
477.272347,500,220.668179
477.374132,500,221.961391
477.887336,500,223.268598
477.686353,500,224.607331
477.330724,500,225.925543
476.978878,500,227.164175
476.627843,500,228.58191
476.209544,500,229.772668
475.989068,500,230.902756
478.869247,500,232.101117
26.449833,40,232.164642
127.201721,159,232.39745
476.009173,500,233.523243
477.084981,500,234.669463
33.38738,67,234.745021
27.07636,40,234.784022
36.885652,69,234.912129
476.748368,500,236.020238
478.850294,500,237.293912
481.231925,500,238.54709
39.60899,72,238.627635
476.38618,500,239.679144
476.356767,500,240.953984
477.876419,500,242.147011
475.957351,500,243.396643
49.10281,82,243.914952
477.138984,500,245.108057
479.522366,500,245.839225
479.389527,500,247.008344
476.3797,500,248.213798
480.072374,500,249.33901
479.54523,500,250.554278
481.515447,500,251.784896
480.224383,500,252.989534
478.741206,500,254.105641
481.74799,500,255.471358
480.419655,500,256.762076
480.170691,500,258.022195
480.674847,500,259.312869
482.450342,500,260.621026
480.337095,500,262.032287
480.490697,500,263.270927
480.501519,500,264.490567
486.195056,500,265.789766
481.402087,500,267.13843
483.536749,500,268.473553
492.938168,500,269.827723
480.262568,500,271.147994
481.844974,500,272.405614
482.554672,500,273.68179
482.529968,500,274.85139
481.500301,500,276.024333
480.66895,500,277.09027
487.68181,500,278.305893
483.455396,500,279.455547
483.107414,500,280.57559
480.51143,500,281.801218
484.831167,500,283.044434
482.04938,500,284.255149
481.817475,500,285.532653
484.816479,500,286.743741
483.803191,500,288.032351
481.287199,500,289.255589
479.161482,500,290.396652
479.734367,500,291.449335
482.908008,500,292.449941
481.31473,500,293.488537
482.651307,500,294.67251
480.371432,500,295.902093
484.108568,500,297.121392
485.587936,500,297.895807
487.578832,500,299.095494
484.719884,500,300.268122
480.797739,500,301.468282
481.872978,500,302.530817
482.883492,500,303.708418
483.039769,500,304.913994
481.154653,500,306.14764
483.187115,500,307.099107
482.721686,500,307.963879
481.943114,500,308.699318
482.959297,500,309.367736
482.17444,500,310.084617
480.130524,500,310.802506
482.665987,500,311.730132
479.310263,500,312.5756
478.904561,500,313.530456
480.64877,500,314.469942
480.910059,500,315.37484
480.342582,500,316.176172
480.00313,500,317.02955
478.550474,500,317.822915
479.660472,500,318.605236
479.202628,500,319.461462
481.264265,500,320.23289
481.264093,500,320.984046
479.155006,500,321.827193
481.358634,500,322.585588
481.768685,500,323.32007
483.28834,500,324.064007
480.637796,500,324.812404
483.691268,500,325.514175
482.221103,500,326.303587
482.273109,500,327.030504
483.599233,500,327.757403
481.416707,500,328.422303
482.442318,500,329.143279
482.908825,500,329.909802
488.987698,500,330.663732
485.901958,500,331.422706
482.761817,500,332.256727
488.211219,500,333.024124
488.785369,500,333.881728
486.796222,500,334.377497
491.19098,500,335.246911
488.614469,500,335.987349
484.94636,500,336.827756
498.546897,500,337.683717
505.81491,500,338.511062
513.283899,500,339.293565
520.042729,500,340.059296
508.817335,500,340.787747
524.519758,500,341.615788
531.277906,500,342.460497
472.394644,427,343.357361
452.796187,413,344.429431
366.1859,328,345.537478
323.522086,283,345.960563
295.614925,253,346.931083
527.228617,483,348.2242
426.017145,392,348.851242
505.215522,500,349.924326
531.531722,500,351.159995
450.907077,407,352.243087
507.775803,500,353.500257
489.457055,500,354.710855
485.830773,500,355.998998
485.36801,500,357.251606
484.520635,500,358.503832
484.719536,500,359.786984
483.962749,500,360.98643
486.812729,500,362.20916
486.235225,500,363.465781
483.698635,500,364.693976
480.305418,500,365.920612
482.961891,500,367.165265
483.945349,500,368.38596
480.664243,500,369.469039
483.769871,500,370.714188
483.207735,500,371.971802
484.133323,500,373.242361
482.880008,500,374.535026
487.168425,500,375.866196
482.914641,500,377.182391
486.341594,500,378.429569
484.267027,500,379.654197
483.317734,500,380.383057
487.232114,500,381.633238
483.536592,500,382.882891
482.446573,500,384.155715
484.832028,500,385.282794
485.286885,500,386.505983
485.919853,500,387.720658
481.638781,500,388.904577
484.81341,500,390.069169
485.995546,500,391.256767
377.932704,350,392.274307
109.909613,82,392.394853
161.594859,128,392.587951
504.867877,500,393.831168
112.54687,84,394.418506
175.310873,186,394.700615
276.402389,245,395.073834
481.259682,500,396.305506
484.842656,500,397.458134
484.457479,500,398.767378
483.269845,500,399.973966
482.04865,500,401.138565
482.715748,500,402.3941
483.636787,500,403.648493
483.784717,500,404.756579
483.43371,500,405.572568
483.578971,500,406.557774
481.916374,500,407.479485
484.41301,500,408.436655
481.992743,500,409.360564
481.327064,500,410.407056
482.311986,500,411.319009
480.795534,500,412.211728
481.921913,500,413.305714
484.66164,500,414.149389
480.387939,500,415.091838
482.432872,500,416.274423
480.87249,500,417.418542
482.447165,500,418.323449
480.93661,500,419.461036
479.870185,500,420.585709
481.040718,500,421.617772
482.122923,500,422.691881
481.889379,500,423.789663
479.818353,500,424.973813
485.079492,500,426.20092
481.352025,500,427.303945
480.773476,500,428.425946
479.559775,500,429.67611
484.280075,500,430.919696
479.42131,500,432.169869
483.574062,500,433.345451
487.031259,500,434.625003
482.566188,500,435.355347
482.72178,500,436.589964
481.231335,500,437.785583
