#{"t_start": 1775556888.046962, "env_id": "Pusher-Fric-Gauss-80-v0"}
r,l,t
-782.068656,500,0.503771
-836.027503,500,0.944901
-756.439114,500,1.393189
-784.952483,500,1.844514
-900.622759,500,3.645943
-914.807012,500,4.108253
-879.805728,500,4.52735
-867.557786,500,4.992056
-802.638297,500,6.800858
-884.516904,500,7.22795
-900.965422,500,7.659676
-730.665406,500,8.114376
-788.725334,500,9.937454
-676.961949,500,10.366778
-846.212338,500,10.857115
-944.631812,500,11.350482
-823.989037,500,13.198894
-794.678421,500,13.626054
-816.715726,500,14.051656
-737.347965,500,14.485264
-725.467787,500,16.238487
-732.273979,500,16.693895
-775.133647,500,17.127651
-768.497677,500,17.581893
-804.682144,500,19.369961
-758.85981,500,19.801049
-735.200389,500,20.232365
-798.401361,500,20.677514
-676.316078,500,22.46756
-644.950722,500,22.896499
-764.193057,500,23.324763
-761.422318,500,23.783977
-641.188031,500,25.60749
-627.474331,500,26.05782
-664.802059,500,26.509691
-651.630853,500,26.962056
-754.744828,500,28.793257
-548.247123,500,29.208705
-677.08342,500,29.624354
-770.444399,500,30.057491
-758.809527,500,31.852024
-791.694796,500,32.291792
-570.264825,500,32.733449
-678.845261,500,33.191772
-697.251057,500,33.640035
-678.601586,500,35.449357
-764.619327,500,35.907875
-573.751561,500,36.369164
-682.255534,500,36.802332
-535.289142,500,38.583872
-740.868924,500,39.019071
-630.391774,500,39.470751
-735.677723,500,39.926089
-712.312326,500,41.75526
-608.35584,500,42.204863
-692.805026,500,42.69092
-631.693261,500,43.16225
-744.668669,500,45.047038
-538.656957,500,45.500263
-830.687692,500,45.936419
-596.600871,500,46.366472
-639.40293,500,48.142122
-640.841794,500,48.582412
-714.469505,500,49.00802
-747.212761,500,49.469797
-718.875465,500,51.313811
-690.115754,500,51.76137
-480.046643,500,52.210268
-493.37691,500,52.655458
-738.028413,500,54.454483
-561.861461,500,54.901325
-722.142736,500,55.342494
-604.033483,500,55.812907
-596.679445,500,57.691123
-542.903331,500,58.147579
-736.623152,500,58.582655
-462.26464,500,59.011238
-591.666445,500,60.806874
-744.136713,500,61.273169
-569.24639,500,61.74608
-659.08636,500,62.215405
-619.82693,500,64.030032
-533.155737,500,64.490764
-564.25442,500,64.95958
-641.407,500,65.427531
-513.243451,500,65.891262
-646.974251,500,67.779835
-553.586501,500,68.245203
-505.160093,500,68.681831
-516.590549,500,69.141692
-462.049574,500,70.932614
