#{"t_start": 1775465485.5933986, "env_id": "Pusher-Fric-Uni-10-v0"}
r,l,t
-762.219439,500,0.171632
-754.441059,500,0.329196
-778.953428,500,0.484299
-735.545802,500,0.643396
-788.587069,500,1.631914
-677.470793,500,1.837023
-804.324844,500,1.983126
-892.253543,500,2.130215
-827.299469,500,2.811566
-809.789994,500,2.958128
-711.468511,500,3.123731
-833.694099,500,3.335836
-770.354051,500,4.28458
-921.172028,500,4.501688
-875.810134,500,4.648781
-892.507193,500,4.797896
-731.01105,500,5.78487
-777.092398,500,5.999601
-735.118429,500,6.213232
-750.898299,500,6.409312
-900.231974,500,7.314252
-977.028773,500,7.523998
-882.060278,500,7.738604
-881.67456,500,7.946704
-830.64075,500,8.699363
-829.923754,500,8.847916
-790.929514,500,9.027018
-826.557915,500,9.241638
-697.734531,500,10.052931
-721.66594,500,10.260568
-703.174789,500,10.467676
-799.457229,500,10.674854
-718.972752,500,11.628866
-584.115663,500,11.848984
-839.093639,500,12.072652
-662.917446,500,12.276875
-782.38743,500,12.986234
-622.655263,500,13.191834
-687.238811,500,13.420935
-651.4753,500,13.648564
-584.473025,500,14.457068
-789.036697,500,14.605406
-615.819063,500,14.75195
-624.468808,500,14.899686
-699.366124,500,15.088131
-692.561455,500,15.806484
-684.639328,500,16.015594
-681.837171,500,16.208336
-750.431988,500,16.358443
-607.866978,500,17.11203
-709.633624,500,17.260581
-964.485821,500,17.43568
-577.115877,500,17.63133
-752.377658,500,18.502157
-649.739712,500,18.679461
-646.829441,500,18.898198
-690.076598,500,19.045752
-614.08331,500,19.698564
-718.873332,500,19.913321
-707.700913,500,20.113907
-767.627527,500,20.261436
-481.99602,500,21.007277
-578.520287,500,21.275955
-712.716305,500,21.530566
-636.823647,500,21.726207
-734.543047,500,22.473568
-730.682475,500,22.688754
-649.127506,500,22.840307
-599.558651,500,22.987412
-666.574986,500,23.754925
-738.86548,500,23.945042
-543.869611,500,24.106689
-567.968152,500,24.31977
-623.014244,500,25.214365
-661.32537,500,25.416016
-763.110153,500,25.593248
-647.90476,500,25.807912
-483.263515,500,26.752144
-617.11063,500,26.935209
-635.442351,500,27.083817
-631.286915,500,27.239381
-665.558529,500,28.101394
-614.285338,500,28.248945
-559.538982,500,28.398052
-609.003422,500,28.544607
-561.823103,500,28.693336
-601.772206,500,29.419742
-511.666657,500,29.582837
-508.295871,500,29.786479
-510.377251,500,30.000551
-425.585379,500,31.005585
-613.353526,500,31.242328
-409.904338,500,31.476247
-660.677144,500,31.664865
-658.865911,500,32.461608
-434.508059,500,32.61424
-542.400002,500,32.779792
-619.046661,500,32.928848
-661.263819,500,33.866656
-560.245457,500,34.083264
-546.557461,500,34.304417
-472.861027,500,34.457508
-553.845985,500,35.395649
-671.417245,500,35.575736
-630.282412,500,35.724825
-547.058007,500,35.874392
-689.898793,500,36.797702
-520.245942,500,37.016807
-607.612226,500,37.237982
-554.594264,500,37.450632
-593.327264,500,38.158746
-635.465295,500,38.313852
-526.436029,500,38.46638
-438.78347,500,38.664567
-432.407718,500,39.334922
-584.337482,500,39.565052
-616.221375,500,39.790694
-445.328166,500,40.020304
-662.420469,500,40.738826
-592.658861,500,40.925931
-643.844265,500,41.153557
-397.316548,500,41.382683
-457.024684,500,42.149746
-459.479717,500,42.359843
-452.68272,500,42.568965
-539.819354,500,42.783615
-594.858093,500,43.655748
-432.02556,500,43.866457
-429.346332,500,44.074567
-552.043266,500,44.302276
-611.798453,500,44.528382
-393.458233,500,45.160768
-620.898912,500,45.334408
-605.784766,500,45.563448
-427.207897,500,45.798843
-413.608942,500,46.742965
-385.567028,500,46.962055
-427.906347,500,47.133325
-369.791703,500,47.284894
-387.370696,500,48.235434
-495.042487,500,48.46825
-495.100347,500,48.687491
-350.1021,500,48.924748
-548.110989,500,49.728853
-479.263207,500,49.929927
-446.724527,500,50.123568
-322.087482,500,50.273748
-460.563468,500,51.26528
-375.821879,500,51.476389
-446.933737,500,51.698051
-474.717801,500,51.923229
-551.552529,500,52.636807
-471.928642,500,52.788903
-471.22844,500,52.949989
-431.640985,500,53.105614
-330.385341,500,53.986754
-284.963929,500,54.200376
-549.833293,500,54.380463
-543.193134,500,54.528564
-508.767732,500,55.312953
-413.586254,500,55.522676
-362.934204,500,55.70687
-450.848121,500,55.858409
-397.993108,500,56.743463
-296.760548,500,56.917562
-358.197194,500,57.108186
-404.715464,500,57.277729
-376.980767,500,57.950144
-395.883969,500,58.1334
-376.916929,500,58.3515
-523.479591,500,58.563607
-307.365742,500,58.74205
-375.884639,500,59.701688
-437.205909,500,59.925223
-420.05606,500,60.088784
-326.45391,500,60.250422
-404.110052,500,60.961384
-348.226339,500,61.114305
-294.069637,500,61.272614
-474.687863,500,61.428734
-381.853175,500,62.39273
-301.412612,500,62.609931
-494.407027,500,62.822061
-375.058959,500,63.035165
-494.582151,500,63.928668
-442.338084,500,64.155327
-361.175368,500,64.393438
-572.038602,500,64.623713
-249.852604,500,65.618341
-388.660643,500,65.852535
-528.423711,500,66.079633
-390.159496,500,66.302294
-404.536617,500,67.004732
-551.216432,500,67.211402
-426.602386,500,67.442036
-434.565925,500,67.659714
-303.952813,500,68.570762
-377.679024,500,68.73013
-362.300195,500,68.916233
-489.773383,500,69.151895
-496.120145,500,70.009432
-354.801646,500,70.19959
-409.852139,500,70.40172
-560.383589,500,70.556805
-607.300936,500,71.352293
-354.421409,500,71.511673
-529.1511,500,71.660228
-479.686798,500,71.809804
-308.95366,500,72.775368
-406.277622,500,72.958469
-457.557656,500,73.164125
-533.136801,500,73.389196
-524.984915,500,74.365999
-325.702134,500,74.584088
-535.196954,500,74.73773
-376.555075,500,74.893275
-349.083936,500,75.047385
-323.857425,500,75.991878
-335.897152,500,76.148539
-400.384959,500,76.300111
-334.24399,500,76.476253
-302.28289,500,77.497539
-452.672464,500,77.73176
-267.38618,500,77.954512
-296.417074,500,78.166177
-309.022701,500,79.037621
-411.105517,500,79.293294
-354.568414,500,79.448403
-440.908984,500,79.611532
-540.047659,500,80.586905
-455.273034,500,80.811343
-356.89059,500,81.007462
-328.206007,500,81.240654
