#{"t_start": 1775556670.2379985, "env_id": "Pusher-Mass-Gauss-80-v0"}
r,l,t
-771.580021,500,0.514214
-873.146966,500,1.020854
-830.735311,500,1.473324
-827.685594,500,1.969435
-838.647432,500,3.849989
-750.651943,500,4.276588
-876.722198,500,4.760546
-808.797113,500,5.246969
-775.601192,500,7.172689
-822.757982,500,7.635983
-839.477918,500,8.11358
-710.016717,500,8.609011
-736.391128,500,10.528513
-787.915323,500,10.993759
-892.243671,500,11.489807
-699.79403,500,11.983815
-746.809598,500,13.90052
-793.374561,500,14.375379
-821.84408,500,14.8997
-651.615401,500,15.40118
-847.360539,500,17.274463
-767.940686,500,17.775985
-706.53548,500,18.253745
-793.255373,500,18.746739
-953.531894,500,20.593043
-761.181976,500,21.062907
-815.519205,500,21.533135
-812.436445,500,22.014243
-826.273177,500,23.985509
-695.030368,500,24.528797
-892.449567,500,25.014091
-729.594235,500,25.498481
-857.888912,500,27.424814
-747.529795,500,27.903602
-786.24759,500,28.365973
-869.017463,500,28.86408
-686.74616,500,30.852287
-766.863154,500,31.343941
-821.05719,500,31.770821
-684.913808,500,32.284609
-807.041972,500,34.28989
-830.118725,500,34.76706
-719.573628,500,35.212569
-742.806382,500,35.715383
-799.490931,500,36.219839
-623.023254,500,38.150138
-741.733036,500,38.61248
-774.086469,500,39.086802
-771.725635,500,39.578324
-739.855968,500,41.493969
-582.690665,500,42.06859
-707.458459,500,42.608433
-855.803495,500,43.077131
-754.199596,500,45.039114
-591.452004,500,45.525677
-648.093727,500,46.023079
-709.714352,500,46.529637
-897.88679,500,48.425156
-715.63145,500,48.919148
-635.622612,500,49.414695
-522.189482,500,49.946306
-646.643877,500,51.882034
-620.44841,500,52.419136
-685.870065,500,52.89514
-719.917174,500,53.40121
-963.048045,500,55.336049
-633.036039,500,55.814324
-692.440508,500,56.29662
-711.626227,500,56.798683
-731.801413,500,58.812894
-769.843947,500,59.327406
-724.936999,500,59.844494
-877.584847,500,60.366164
-690.818355,500,62.35504
-698.723369,500,62.86261
-745.007388,500,63.373754
-748.017168,500,63.849014
-591.259908,500,65.819528
-622.89848,500,66.314993
-538.517627,500,66.806457
-580.051124,500,67.310916
-710.537731,500,69.177989
-708.489482,500,69.692534
-934.916975,500,70.199434
-768.899694,500,70.757233
-715.907857,500,71.283945
-534.80857,500,73.145283
-651.555678,500,73.64141
-731.723712,500,74.155677
-640.689092,500,74.605276
-600.396999,500,76.516151
-552.302134,500,77.00259
-732.708947,500,77.48755
-669.065629,500,77.963952
-573.542966,500,79.926744
-630.033739,500,80.415637
-767.244571,500,80.853527
-559.35744,500,81.321342
-587.479796,500,83.199667
-538.671853,500,83.662964
-627.928793,500,84.130963
-444.204909,500,84.585547
-538.993867,500,86.405347
-621.035327,500,86.854564
-516.457802,500,87.304787
-556.362348,500,87.739511
-644.987257,500,89.588107
-661.688,500,90.067856
-532.265666,500,90.52207
-606.453834,500,90.971243
-703.778336,500,92.754794
-489.592587,500,93.253618
-419.95203,500,93.799967
-556.901395,500,94.262782
-464.747141,500,96.194459
-682.590337,500,96.715456
-536.64351,500,97.198287
-688.655915,500,97.643127
-583.033765,500,99.420174
-672.618589,500,99.903073
-554.442585,500,100.350746
-620.675452,500,100.810099
-470.872769,500,102.642334
-377.022536,500,103.132348
-575.858302,500,103.669925
-658.930295,500,104.15035
-450.897792,500,105.998631
-671.042503,500,106.490606
-467.788154,500,106.969956
-542.791421,500,107.424285
-513.452356,500,107.89658
-445.420394,500,109.72983
-497.445292,500,110.202036
-506.899865,500,110.676722
-442.084129,500,111.171553
-471.690132,500,113.103853
-650.713424,500,113.613796
-547.161461,500,114.078599
-626.630251,500,114.558161
-404.951229,500,116.422531
-480.159829,500,116.943547
-633.308201,500,117.426426
-463.287668,500,117.908343
-674.143582,500,119.715255
-653.015028,500,120.216583
-532.116554,500,120.759217
-614.469208,500,121.280385
-466.201876,500,123.242708
-580.291443,500,123.720057
-358.02191,500,124.187385
-613.049848,500,124.623586
-480.957336,500,126.416733
-427.028228,500,126.874636
-335.578973,500,127.344546
-414.900164,500,127.81587
-506.963232,500,129.642302
-531.988302,500,130.122255
-494.085158,500,130.612716
-540.784697,500,131.128256
-391.038693,500,133.010681
-424.645713,500,133.516748
-466.116354,500,134.014768
-511.737235,500,134.450355
-338.38797,500,136.245763
-546.042289,500,136.700206
-542.553791,500,137.17808
-499.745389,500,137.658527
-508.366596,500,139.552121
-370.505944,500,140.065547
-604.816254,500,140.604801
-504.702791,500,141.075183
-473.598641,500,141.57919
-435.893361,500,143.413335
-568.89556,500,143.885937
-429.828568,500,144.393892
-394.174602,500,144.884787
-433.57679,500,146.658675
-339.087493,500,147.131109
-451.878364,500,147.611442
-468.71757,500,148.112414
-460.993963,500,149.937701
-496.214125,500,150.437642
-333.839163,500,150.877383
-371.137743,500,151.323075
-539.25624,500,153.183956
-313.935645,500,153.638179
