#{"t_start": 1775552335.260325, "env_id": "Pusher-Mass-Uni-50-v0"}
r,l,t
-782.679569,500,0.381713
-846.127163,500,0.726899
-798.272186,500,1.058542
-816.869257,500,1.44926
-905.878066,500,3.018814
-810.732587,500,3.413498
-897.847098,500,3.753319
-800.758788,500,4.157984
-856.908446,500,5.598115
-873.197608,500,5.944315
-903.443174,500,6.390216
-731.032135,500,6.788415
-761.716575,500,8.421191
-856.51254,500,8.774338
-956.541502,500,9.13503
-778.794041,500,9.524178
-757.417794,500,11.16843
-794.72619,500,11.62516
-783.76303,500,11.950245
-803.615799,500,12.333677
-818.740191,500,13.955031
-756.485668,500,14.287153
-737.446568,500,14.606984
-803.655564,500,14.982163
-832.260288,500,16.547602
-812.417711,500,16.841755
-693.395452,500,17.244455
-700.532244,500,17.661808
-636.939477,500,19.182221
-702.846321,500,19.690481
-614.6854,500,20.183296
-618.942674,500,20.508622
-687.337272,500,22.08644
-705.246733,500,22.567663
-671.301965,500,22.936562
-792.485883,500,23.405174
-663.526303,500,25.045513
-777.16122,500,25.465251
-732.076346,500,25.91692
-663.965943,500,26.377187
-813.949026,500,28.029648
-749.337609,500,28.400839
-628.15851,500,28.861133
-634.899108,500,29.278797
-663.91226,500,29.584444
-618.592838,500,31.003188
-733.284033,500,31.444441
-613.876765,500,31.863925
-579.800553,500,32.301599
-667.424718,500,33.836382
-594.535755,500,34.202703
-788.208133,500,34.582829
-719.00539,500,34.935971
-713.779452,500,36.488322
-634.630467,500,36.906966
-650.273712,500,37.218075
-679.423672,500,37.60279
-774.735795,500,39.288065
-621.167729,500,39.790207
-606.398302,500,40.311135
-579.05768,500,40.824358
-696.134768,500,42.595503
-676.471998,500,43.220881
-608.80581,500,43.721086
-620.444064,500,44.211351
-624.432122,500,45.947165
-668.106845,500,46.309833
-602.694415,500,46.68047
-569.635544,500,47.085644
-644.109429,500,48.685415
-634.160155,500,49.076561
-690.003689,500,49.405666
-605.637939,500,49.920897
-684.152793,500,51.53508
-580.779272,500,51.976025
-722.414238,500,52.340718
-480.685425,500,52.79795
-579.748759,500,54.473481
-571.269563,500,54.855636
-611.99737,500,55.308871
-571.752255,500,55.751426
-588.53172,500,57.394498
-690.586988,500,57.85515
-594.521835,500,58.290332
-544.786156,500,58.716006
-561.670406,500,59.057663
-524.624668,500,60.672212
-649.236665,500,61.019806
-501.13528,500,61.363981
-623.051207,500,61.718665
-534.226177,500,63.432498
-683.953484,500,63.90468
-584.862191,500,64.33336
-483.185304,500,64.70472
-650.106589,500,66.462589
-693.768917,500,66.844257
-676.643287,500,67.27198
-586.265495,500,67.726193
-606.277311,500,69.479102
-485.076428,500,69.856809
-506.231925,500,70.268521
-606.572858,500,70.738771
