#{"t_start": 1775470536.0199385, "env_id": "Pusher-MassFric-Uni-20-v0"}
r,l,t
-774.370008,500,0.287823
-896.77306,500,0.556002
-955.730237,500,0.805101
-877.170044,500,1.148756
-777.677712,500,2.458419
-808.599502,500,2.781502
-907.11785,500,2.97553
-935.844295,500,3.219927
-936.252435,500,4.309532
-794.85802,500,4.679121
-879.884894,500,5.0017
-851.978316,500,5.308758
-716.440011,500,6.707604
-757.801045,500,7.075228
-979.086346,500,7.340775
-778.135079,500,7.572334
-830.642531,500,8.732675
-801.66318,500,8.992712
-734.205002,500,9.23026
-730.587562,500,9.467797
-787.957938,500,10.417611
-759.18198,500,10.663724
-723.849866,500,10.989308
-870.950598,500,11.333934
-859.279248,500,12.484908
-669.59592,500,12.722463
-871.514258,500,13.052043
-960.492981,500,13.364657
-732.934799,500,14.355676
-802.831034,500,14.644732
-737.679104,500,14.884771
-784.498932,500,15.188841
-629.453175,500,16.402112
-759.477912,500,16.706292
-835.160139,500,17.034931
-787.345178,500,17.269077
-648.239128,500,18.209928
-674.527266,500,18.469021
-688.607334,500,18.699592
-671.485639,500,19.002145
-703.902484,500,20.156113
-827.843192,500,20.466668
-757.849393,500,20.696229
-735.630789,500,20.95581
-909.204935,500,21.178417
-716.15137,500,22.122254
-892.097154,500,22.367826
-780.63032,500,22.705972
-715.809619,500,23.052618
-686.880122,500,23.998909
-649.408425,500,24.279115
-755.45022,500,24.503132
-725.914936,500,24.795274
-796.589763,500,25.87158
-729.366983,500,26.105134
-758.352463,500,26.364725
-857.83456,500,26.685909
-833.115005,500,27.835649
-788.391906,500,28.077609
-802.116216,500,28.319638
-805.210397,500,28.617721
-675.168552,500,29.531597
-657.467795,500,29.753994
-834.381911,500,29.970065
-698.509183,500,30.190698
-806.350282,500,31.119487
-871.690748,500,31.35409
-641.711027,500,31.577663
-590.008798,500,31.800705
-705.417437,500,32.8695
-709.976406,500,33.115042
-824.837527,500,33.375637
-873.166099,500,33.637198
-757.080987,500,34.67862
-588.81355,500,34.917644
-744.482348,500,35.193708
-855.014202,500,35.43174
-734.874086,500,36.521469
-702.472437,500,36.756534
-646.3737,500,36.983602
-634.385985,500,37.30578
-594.950324,500,38.678483
-626.026658,500,38.911552
-679.49067,500,39.125739
-626.454201,500,39.350305
-744.368559,500,39.590894
-563.088708,500,40.760223
-609.429773,500,41.091386
-679.366882,500,41.355631
-599.353692,500,41.640247
-567.354091,500,42.562476
-635.694958,500,42.769612
-625.483261,500,43.006661
-694.806551,500,43.253683
-726.489849,500,44.452043
-548.226067,500,44.731602
-595.961645,500,45.079275
-757.665462,500,45.446379
-478.579752,500,46.535444
-629.132286,500,46.781058
-632.700242,500,47.119251
-741.001362,500,47.414854
-615.440557,500,48.380399
-492.845582,500,48.68456
-514.616413,500,48.909688
-669.188114,500,49.135352
-483.000324,500,50.087438
-554.641757,500,50.354052
-493.066794,500,50.614704
-617.098015,500,50.944311
-553.309689,500,51.854677
-496.12377,500,52.071313
-506.150525,500,52.328444
-545.47991,500,52.668168
-528.959341,500,53.97419
-529.448128,500,54.183836
-532.750946,500,54.372978
-668.712357,500,54.602668
-607.67168,500,55.892658
-388.972842,500,56.154692
-724.812276,500,56.408779
-593.165135,500,56.623478
-690.818498,500,57.596923
-595.90109,500,57.872535
-539.948619,500,58.108167
-538.761374,500,58.373735
-655.473573,500,59.232127
-559.490838,500,59.535223
-484.222352,500,59.898412
-534.759565,500,60.178595
-586.278051,500,60.415694
-643.328652,500,61.514265
-446.530254,500,61.744803
-582.585245,500,61.998438
-569.142356,500,62.228064
-454.627148,500,63.232399
-613.249275,500,63.595978
-469.63129,500,63.965061
-606.982552,500,64.3112
-440.506054,500,65.429775
-465.322681,500,65.660418
-660.701615,500,65.95446
-590.615873,500,66.243551
-391.638837,500,67.294366
-550.413291,500,67.629088
-628.091646,500,67.856474
-450.755648,500,68.093127
-446.237146,500,69.036504
-591.162957,500,69.36319
-482.890244,500,69.719281
-436.359178,500,70.063959
-606.048148,500,71.263415
-578.249934,500,71.500423
-567.181891,500,71.870075
-661.980488,500,72.172183
-499.050861,500,73.395925
-574.453437,500,73.72401
-426.118075,500,74.062664
-383.962445,500,74.26979
-365.620215,500,75.318274
-387.274137,500,75.608319
-593.630175,500,75.941908
-404.997557,500,76.283657
-394.444606,500,77.662469
-483.048362,500,78.007022
-575.072492,500,78.347239
-464.103608,500,78.564427
-586.915692,500,79.728393
-423.48431,500,80.061001
-457.331218,500,80.409198
-411.894548,500,80.749455
-316.527568,500,81.101125
-480.025879,500,82.077211
-585.812787,500,82.347317
-386.95838,500,82.664049
-595.656415,500,82.962112
-361.63486,500,84.171532
-476.790764,500,84.461604
-610.262005,500,84.76318
-394.261951,500,85.094312
-483.41665,500,86.120687
-546.984155,500,86.38928
-333.314393,500,86.673375
-517.250905,500,87.045541
-531.600645,500,88.135455
-496.199844,500,88.44963
-577.271942,500,88.704767
-533.978173,500,88.965381
-315.774732,500,90.116783
-432.773662,500,90.450407
-455.819684,500,90.806135
-328.011528,500,91.069231
-284.208097,500,92.453288
-513.625158,500,92.706482
-534.600625,500,93.033059
-380.593163,500,93.294139
-354.690966,500,94.448427
-542.60109,500,94.679505
-405.727685,500,94.977027
-420.283144,500,95.236569
-417.004907,500,96.498347
-405.96943,500,96.775489
-568.303943,500,97.006558
-463.314288,500,97.269823
-400.118939,500,98.277298
-281.698802,500,98.510332
-480.287058,500,98.751749
-510.615954,500,98.995378
-501.77939,500,100.038884
-322.738843,500,100.281983
-406.047309,500,100.589151
-378.336682,500,100.870756
-454.813932,500,102.322839
-493.785341,500,102.656988
-452.764282,500,102.945565
-488.21217,500,103.178255
-336.956444,500,103.432366
-409.748185,500,104.653457
-435.866448,500,104.887007
-324.46607,500,105.229163
-305.909349,500,105.467268
-542.548374,500,106.497125
-442.15337,500,106.725777
-474.411193,500,106.976341
-252.676286,500,107.217968
-338.609362,500,108.210249
-528.656029,500,108.449374
-321.858574,500,108.701452
-309.452486,500,109.004632
-399.222494,500,110.193375
-346.404923,500,110.439458
-441.535549,500,110.733589
-362.975895,500,111.098409
-375.627687,500,111.962193
-390.445154,500,112.244316
-377.220152,500,112.54788
-316.399094,500,112.866983
-407.618911,500,113.909716
-382.145281,500,114.261867
-334.641179,500,114.497485
-442.67693,500,114.765018
-354.46823,500,115.877429
-357.851398,500,116.121013
-439.854589,500,116.420599
-330.257634,500,116.684782
-517.587949,500,117.940334
-259.591012,500,118.270563
-486.95586,500,118.531187
-290.857928,500,118.837288
-451.194057,500,119.901969
-425.176024,500,120.167542
-412.559405,500,120.407747
-441.182024,500,120.693895
-309.002248,500,121.616774
-296.131582,500,121.848921
-367.03625,500,122.154094
-303.521187,500,122.485145
-353.119962,500,122.716721
-495.853568,500,124.039681
-327.729062,500,124.295797
-353.541404,500,124.544498
-313.835714,500,124.78254
-329.147495,500,126.067486
-401.090063,500,126.413228
-410.840844,500,126.656793
-377.573647,500,126.901434
-354.041782,500,127.856281
-515.34113,500,128.101419
-349.096304,500,128.349475
-566.836217,500,128.602612
-247.425697,500,129.751455
-284.658243,500,130.110652
-420.135891,500,130.407239
-378.233387,500,130.669828
-332.741098,500,131.719565
-570.816528,500,132.092354
-405.804341,500,132.370514
-400.787616,500,132.615711
-390.886671,500,133.83921
-376.499888,500,134.171333
-295.519225,500,134.406903
-233.174954,500,134.666519
-368.264064,500,135.637487
-384.588203,500,135.884519
-319.934086,500,136.144582
-347.600739,500,136.450151
-317.379104,500,137.583671
-201.998497,500,137.943725
-354.978266,500,138.136437
-235.670274,500,138.466039
-520.782465,500,139.91456
-400.99659,500,140.15805
-358.977937,500,140.396589
-286.652111,500,140.697728
-455.016761,500,141.761552
-314.174788,500,141.968626
-336.682411,500,142.206729
-538.356319,500,142.457829
-368.183004,500,142.757891
-409.101462,500,143.984013
-317.997447,500,144.225116
-353.686177,500,144.452183
-393.83221,500,144.673886
-322.878411,500,146.065332
-483.887296,500,146.411977
-433.726275,500,146.713103
-409.627447,500,146.951179
-379.548355,500,147.935558
-395.229461,500,148.181194
-466.437763,500,148.438768
-335.789529,500,148.675447
-275.596538,500,149.675885
-254.995554,500,150.038949
-380.61585,500,150.404642
-338.031982,500,150.714893
-291.255686,500,151.884842
-320.098795,500,152.104937
-353.037021,500,152.36699
-428.101865,500,152.591102
-540.400845,500,153.665428
-375.830504,500,153.972966
-492.550232,500,154.257056
-436.099313,500,154.536623
-292.35024,500,155.723968
-314.778948,500,156.066493
-449.019918,500,156.363565
-460.347008,500,156.673619
-466.639231,500,157.857194
-353.249034,500,158.089795
-316.685832,500,158.339383
-378.789472,500,158.595636
-494.298473,500,159.65397
-279.058383,500,160.031062
-316.191694,500,160.285694
-519.431583,500,160.634361
-361.340983,500,161.766286
-353.625239,500,162.003951
-344.424336,500,162.192099
-489.746857,500,162.443671
-302.189621,500,163.379508
-291.093045,500,163.704185
-396.758239,500,164.072784
-418.61518,500,164.39188
-528.021538,500,164.736576
-489.75026,500,165.692536
-330.510285,500,165.968078
-218.186328,500,166.225349
-494.121499,500,166.472466
-522.970867,500,167.707311
-356.184489,500,167.967365
-487.789733,500,168.206513
-222.140534,500,168.458646
-444.610374,500,169.691231
-344.167863,500,170.005377
-215.674218,500,170.26493
-352.001231,500,170.476958
-388.028619,500,171.612752
-369.397139,500,171.9343
-439.001525,500,172.173877
-430.163651,500,172.444488
-339.482437,500,173.503502
-421.4551,500,173.851673
-288.162354,500,174.216371
-479.403373,500,174.504035
-318.592154,500,175.680371
-343.764732,500,175.901953
-339.415129,500,176.182562
-233.577764,500,176.443108
-301.968856,500,177.395091
-344.749173,500,177.636088
-506.988442,500,177.983643
-236.42208,500,178.330415
-423.471582,500,179.29348
-238.888073,500,179.545068
-347.144131,500,179.777671
-386.118945,500,180.015285
-350.85633,500,181.057866
-449.391836,500,181.368054
-483.219239,500,181.639324
-344.294094,500,181.980947
-440.263911,500,183.091183
-463.881779,500,183.338729
-417.586777,500,183.612818
-496.751796,500,183.860364
-435.675712,500,184.095975
-505.815422,500,185.247924
-225.956202,500,185.481971
-318.286206,500,185.81207
-439.150046,500,186.083149
-262.095455,500,187.220978
-495.612481,500,187.45003
-330.574813,500,187.701609
-414.278995,500,187.9402
-424.685238,500,189.098658
-303.838955,500,189.331221
-298.382667,500,189.633315
-396.148304,500,189.926914
-284.797149,500,190.858885
-329.166121,500,191.151049
-422.349721,500,191.405132
-415.68658,500,191.643262
-441.054671,500,192.561579
-266.336577,500,192.797221
-228.288935,500,193.04685
-270.107671,500,193.28153
-471.585691,500,194.248961
-240.652558,500,194.4711
-305.965734,500,194.722206
-421.259178,500,194.948349
-210.167569,500,195.906335
-434.167679,500,196.191088
-238.068496,500,196.385174
-254.524362,500,196.752903
-294.949647,500,197.784483
-265.519054,500,198.018101
-300.057627,500,198.251677
-367.124863,500,198.481711
-492.990918,500,199.447171
-378.463595,500,199.685817
-467.924415,500,199.913401
-264.176406,500,200.163934
-321.369209,500,201.310866
-334.950019,500,201.609976
-441.546553,500,201.924091
-346.130425,500,202.174681
-422.408441,500,203.227529
-487.20391,500,203.532073
-290.369802,500,203.814214
-322.914552,500,204.067328
-307.383027,500,204.411437
-483.811441,500,205.379543
-293.966869,500,205.618645
-341.102378,500,205.891724
-409.936177,500,206.125855
-452.7764,500,207.255806
-283.512683,500,207.571437
-367.326782,500,207.943023
-326.526558,500,208.217177
-424.07243,500,209.147974
-371.515045,500,209.450583
-385.367936,500,209.801674
-347.737572,500,210.043217
-465.984537,500,210.973068
-388.497233,500,211.197731
-277.355575,500,211.438374
-240.941724,500,211.710094
-229.454993,500,212.844598
-369.145747,500,213.103184
-359.853746,500,213.349748
-495.04272,500,213.670466
-347.639488,500,215.080308
-514.449067,500,215.343374
-408.655425,500,215.649443
