#{"t_start": 1774008048.440826, "env_id": "CustomPusher-vAttrito"}
r,l,t
-1439.466383,1000,3.851587
-1487.685385,1000,5.757835
-1916.352028,1000,23.167588
-1411.768349,1000,25.522439
-1350.554165,1000,42.076777
-1332.458255,1000,44.120713
-1123.622305,1000,61.840163
-1389.617172,1000,63.940203
-1379.624308,1000,80.865423
-1063.617414,1000,83.05637
-1436.27815,1000,98.963998
-1424.05246,1000,100.94486
-1321.953607,1000,117.595888
-1560.1719,1000,119.772554
-1563.7849,1000,138.859276
-1397.015008,1000,141.861059
-1192.14232,1000,161.800768
-852.081814,1000,164.723881
-1047.664149,1000,185.370382
-1326.916124,1000,188.227033
-1225.41587,1000,208.612578
-1428.828471,1000,211.455427
-1094.188126,1000,232.088053
-828.943903,1000,234.986196
-1311.0084,1000,255.16409
-887.454057,1000,257.970325
-1079.213443,1000,277.793703
-722.983294,1000,280.505306
-736.769184,1000,300.746076
-860.156876,1000,303.57195
-789.644452,1000,323.609408
-890.349495,1000,326.312893
-781.834189,1000,346.058958
-1022.147508,1000,349.04503
-984.232643,1000,369.117655
-805.075841,1000,371.837571
-855.016342,1000,392.744266
-915.414142,1000,395.480222
-1190.281259,1000,416.319827
-656.311406,1000,419.141065
-823.39805,1000,440.419314
-597.490136,1000,443.397174
-715.151505,1000,446.127947
-795.607708,1000,467.540379
-646.870922,1000,470.562513
-867.771196,1000,490.840932
-839.295934,1000,493.818414
-731.837699,1000,520.05789
-462.210058,1000,523.519603
-814.142286,1000,550.948017
-455.268913,1000,554.379446
-769.204248,1000,579.131233
-557.308601,1000,582.494217
-667.429284,1000,605.132226
-443.275552,1000,608.035599
-875.420964,1000,630.157409
-413.366159,1000,633.230638
-651.673725,1000,659.766463
-456.649571,1000,662.614737
-374.676321,1000,684.271712
-360.672287,1000,687.141496
-484.362179,1000,710.65587
-444.086702,1000,713.887728
-363.132604,1000,737.449541
-350.496379,1000,741.31257
-344.752659,1000,763.162308
-368.563702,1000,766.087524
-401.289751,1000,786.664526
-276.577728,1000,789.948147
-298.390059,1000,810.711489
-284.910397,1000,813.398725
-261.723436,1000,834.744372
-293.757234,1000,837.624166
-276.387191,1000,858.105533
-257.891855,1000,861.071102
-281.885057,1000,880.788612
-259.266066,1000,883.553177
-265.9769,1000,903.859434
-246.656556,1000,906.709999
-257.049141,1000,927.11157
-245.653629,1000,929.497328
-234.007363,1000,951.678241
-253.923128,1000,954.360723
-234.924202,1000,976.058535
-232.844016,1000,979.47499
-233.684061,1000,982.186377
-236.193116,1000,1001.924813
-226.848945,1000,1004.73739
-238.953793,1000,1025.173145
-215.360484,1000,1028.0387
-220.333308,1000,1048.20112
-226.865367,1000,1051.068701
-213.259125,1000,1071.118017
-226.081242,1000,1073.936266
-220.381342,1000,1093.449252
-208.638815,1000,1096.35074
-205.103169,1000,1116.172768
-204.807338,1000,1118.914591
-198.843826,1000,1138.918805
-201.166507,1000,1141.724245
-193.878229,1000,1161.795632
-204.831994,1000,1164.550951
-213.142818,1000,1184.145077
-201.394077,1000,1186.979119
-214.254199,1000,1206.944663
-210.945997,1000,1209.803059
-197.886909,1000,1229.78296
-200.038441,1000,1232.535881
-199.404566,1000,1252.396275
-189.749728,1000,1255.140398
-195.35328,1000,1274.761065
-184.180544,1000,1277.568618
-189.856535,1000,1297.55675
-192.788561,1000,1300.276199
-194.555776,1000,1320.131271
-185.18759,1000,1322.888909
-196.516585,1000,1342.63089
-181.52067,1000,1345.264167
-194.258542,1000,1364.574641
-199.288947,1000,1367.345765
-191.960262,1000,1386.995086
-211.792059,1000,1389.731874
-173.640195,1000,1409.603253
-175.267234,1000,1412.421933
-177.778959,1000,1432.328782
-191.542859,1000,1435.131828
-223.063672,1000,1454.633094
-906.298758,1000,1457.556589
-188.227001,1000,1460.503157
-188.064718,1000,1479.940485
-619.551952,1000,1482.794013
-178.514842,1000,1502.988939
-180.84511,1000,1505.865822
-188.665907,1000,1525.748022
-208.328038,1000,1528.522508
-213.554934,1000,1548.231812
-194.222882,1000,1551.133019
-237.747549,1000,1570.500413
-185.529315,1000,1573.299393
-177.669961,1000,1593.007912
-186.798497,1000,1595.774134
-180.261295,1000,1615.469389
-176.35779,1000,1618.198517
-230.47725,1000,1637.797726
-1126.049398,1000,1640.751276
-201.200585,1000,1661.443478
-195.543831,1000,1664.237742
-182.563457,1000,1683.557604
-177.129416,1000,1686.552125
-171.508968,1000,1707.932624
-184.798571,1000,1710.733004
