policy,n_seeds,CustomPusher-target-v0_mean,CustomPusher-target-v0_std_seed,CustomPusher-target-v0_std_ep_mean,Pusher-Target-Mass-Easy-v0_mean,Pusher-Target-Mass-Easy-v0_std_seed,Pusher-Target-Mass-Easy-v0_std_ep_mean,Pusher-Target-Mass-Medium-v0_mean,Pusher-Target-Mass-Medium-v0_std_seed,Pusher-Target-Mass-Medium-v0_std_ep_mean,Pusher-Target-Mass-Hard-v0_mean,Pusher-Target-Mass-Hard-v0_std_seed,Pusher-Target-Mass-Hard-v0_std_ep_mean,Pusher-Target-Fric-Easy-v0_mean,Pusher-Target-Fric-Easy-v0_std_seed,Pusher-Target-Fric-Easy-v0_std_ep_mean,Pusher-Target-Fric-Medium-v0_mean,Pusher-Target-Fric-Medium-v0_std_seed,Pusher-Target-Fric-Medium-v0_std_ep_mean,Pusher-Target-Fric-Hard-v0_mean,Pusher-Target-Fric-Hard-v0_std_seed,Pusher-Target-Fric-Hard-v0_std_ep_mean,Pusher-Target-Both-Easy-v0_mean,Pusher-Target-Both-Easy-v0_std_seed,Pusher-Target-Both-Easy-v0_std_ep_mean,Pusher-Target-Both-Medium-v0_mean,Pusher-Target-Both-Medium-v0_std_seed,Pusher-Target-Both-Medium-v0_std_ep_mean,Pusher-Target-Both-Hard-v0_mean,Pusher-Target-Both-Hard-v0_std_seed,Pusher-Target-Both-Hard-v0_std_ep_mean
Pusher-Mass-Uni-10-v0,5,-290.73,19.89,105.94,-290.01,19.89,105.82,-298.41,21.64,100.66,-305.57,22.72,98.63,-290.73,19.89,105.94,-290.73,19.89,105.94,-290.73,19.89,105.94,-290.01,19.89,105.82,-298.41,21.64,100.66,-305.57,22.72,98.63
Pusher-Mass-Gauss-10-v0,5,-299.11,17.17,91.8,-295.78,15.25,92.23,-305.78,23.79,87.09,-310.89,25.03,83.11,-299.11,17.17,91.8,-299.11,17.17,91.8,-299.11,17.17,91.8,-295.78,15.25,92.23,-305.78,23.79,87.09,-310.89,25.03,83.11
Pusher-Fric-Uni-10-v0,5,-288.44,30.2,82.81,-287.56,31.26,83.2,-290.88,27.58,83.11,-292.71,30.88,84.69,-288.44,30.2,82.81,-288.44,30.2,82.81,-288.44,30.2,82.81,-287.56,31.26,83.2,-290.88,27.58,83.11,-292.71,30.88,84.69
Pusher-Fric-Gauss-10-v0,5,-288.44,30.2,82.81,-287.56,31.26,83.2,-290.88,27.58,83.11,-292.71,30.88,84.69,-288.44,30.2,82.81,-288.44,30.2,82.81,-288.44,30.2,82.81,-287.56,31.26,83.2,-290.88,27.58,83.11,-292.71,30.88,84.69
Pusher-MassFric-Uni-10-v0,5,-292.29,23.64,87.21,-291.73,24.18,86.63,-295.48,23.61,88.43,-306.2,15.46,90.18,-292.29,23.64,87.21,-292.29,23.64,87.21,-292.29,23.64,87.21,-291.73,24.18,86.63,-295.48,23.61,88.43,-306.2,15.46,90.18
Pusher-MassFric-Gauss-10-v0,5,-301.96,31.49,80.37,-301.59,31.96,80.16,-305.62,28.09,83.4,-314.46,22.49,86.96,-301.96,31.49,80.37,-301.96,31.49,80.37,-301.96,31.49,80.37,-301.59,31.96,80.16,-305.62,28.09,83.4,-314.46,22.49,86.96
Pusher-Mass-Uni-20-v0,5,-279.25,36.07,93.75,-278.15,36.59,93.79,-281.64,36.68,94.84,-281.36,39.42,93.46,-279.25,36.07,93.75,-279.25,36.07,93.75,-279.25,36.07,93.75,-278.15,36.59,93.79,-281.64,36.68,94.84,-281.36,39.42,93.46
Pusher-Mass-Gauss-20-v0,5,-280.83,35.53,94.09,-277.72,34.24,93.68,-285.51,33.22,95.17,-293.25,30.68,94.71,-280.83,35.53,94.09,-280.83,35.53,94.09,-280.83,35.53,94.09,-277.72,34.24,93.68,-285.51,33.22,95.17,-293.25,30.68,94.71
Pusher-Fric-Uni-20-v0,5,-288.44,30.2,82.81,-287.56,31.26,83.2,-290.88,27.58,83.11,-292.71,30.88,84.69,-288.44,30.2,82.81,-288.44,30.2,82.81,-288.44,30.2,82.81,-287.56,31.26,83.2,-290.88,27.58,83.11,-292.71,30.88,84.69
Pusher-Fric-Gauss-20-v0,5,-288.44,30.2,82.81,-287.56,31.26,83.2,-290.88,27.58,83.11,-292.71,30.88,84.69,-288.44,30.2,82.81,-288.44,30.2,82.81,-288.44,30.2,82.81,-287.56,31.26,83.2,-290.88,27.58,83.11,-292.71,30.88,84.69
