#{"t_start": 1775470519.40023, "env_id": "Pusher-Fric-Gauss-20-v0"}
r,l,t
-782.068656,500,0.366681
-836.027503,500,0.668751
-756.439114,500,0.920789
-784.952483,500,1.20086
-900.622759,500,2.243973
-914.807012,500,2.500034
-879.805728,500,2.733617
-867.557786,500,3.063823
-802.638297,500,4.144455
-884.516904,500,4.476058
-900.965422,500,4.809199
-730.665406,500,5.142827
-788.725334,500,6.34248
-676.961949,500,6.61109
-846.212338,500,6.953745
-944.631812,500,7.148393
-823.989037,500,8.458246
-794.678421,500,8.741902
-816.715726,500,9.02948
-737.347965,500,9.305582
-725.467787,500,10.509108
-732.273979,500,10.841254
-775.133647,500,11.189946
-768.497677,500,11.48458
-804.682144,500,12.351449
-758.85981,500,12.576536
-735.200389,500,12.803102
-798.401361,500,13.066797
-676.316078,500,14.076615
-644.950722,500,14.276258
-764.193057,500,14.515306
-761.422318,500,14.85192
-641.188031,500,15.924407
-627.474331,500,16.186545
-664.802059,500,16.515159
-651.630853,500,16.833029
-754.744828,500,17.950487
-548.247123,500,18.242047
-677.08342,500,18.520169
-770.444399,500,18.841598
-758.809527,500,19.949156
-791.694796,500,20.249223
-570.264825,500,20.534765
-678.845261,500,20.794715
-697.251057,500,21.074278
-678.601586,500,22.447603
-764.619327,500,22.715661
-573.751561,500,22.988208
-682.255534,500,23.234768
-535.289142,500,24.234052
-740.868924,500,24.491646
-630.391774,500,24.772748
-735.677723,500,25.065324
-712.312326,500,26.240571
-608.35584,500,26.501121
-692.805026,500,26.78522
-631.693261,500,27.084828
-744.668669,500,28.283831
-538.656957,500,28.633396
-830.687692,500,28.986088
-596.600871,500,29.319165
-639.40293,500,30.583795
-640.841794,500,30.81535
-714.469505,500,31.094898
-747.212761,500,31.446968
-718.875465,500,32.420187
-690.115754,500,32.676268
-480.046643,500,32.896306
-493.37691,500,33.117386
-738.028413,500,34.281372
-561.861461,500,34.59698
-722.142736,500,34.920688
-604.033483,500,35.135733
-596.679445,500,36.10706
-542.903331,500,36.325667
-736.623152,500,36.561224
-462.26464,500,36.819831
-591.666445,500,38.128668
-744.136713,500,38.402798
-569.24639,500,38.629912
-659.08636,500,38.949023
-619.82693,500,40.07642
-533.155737,500,40.37755
-564.25442,500,40.711668
-641.407,500,40.963326
-513.243451,500,41.186866
-646.974251,500,42.35722
-553.586501,500,42.651331
-505.160093,500,42.938908
-516.590549,500,43.281619
-462.049574,500,44.574306
-504.025055,500,44.826847
-626.021505,500,45.040869
-490.878487,500,45.264952
-469.50888,500,46.300178
-648.672293,500,46.521247
-620.768099,500,46.761387
-665.370489,500,47.007462
-581.800276,500,47.931304
-473.567262,500,48.180372
-403.489262,500,48.405432
-469.587292,500,48.698509
-513.041064,500,49.799291
-691.655608,500,50.153383
-449.766256,500,50.555368
-683.992463,500,50.91268
-396.190587,500,52.386033
-686.372122,500,52.762604
-447.012581,500,53.104166
-587.122807,500,53.353734
-572.339266,500,54.460686
-461.050894,500,54.697879
-581.887854,500,54.957617
-465.900932,500,55.304191
-479.74838,500,56.565664
-607.918319,500,56.826249
-399.7389,500,57.090863
-437.919207,500,57.357413
-440.486347,500,58.574018
-315.66884,500,58.904134
-434.256729,500,59.150674
-416.638143,500,59.359787
-506.726572,500,60.451537
-397.296448,500,60.713654
-534.359113,500,60.953708
-623.144067,500,61.181782
-523.002825,500,62.258195
-399.610585,500,62.484882
-388.093923,500,62.823999
-432.67436,500,63.123641
-437.585807,500,63.356229
-518.804006,500,64.245218
-406.086115,500,64.485864
-585.792852,500,64.77399
-515.461107,500,65.087627
-427.065802,500,66.040705
-503.347094,500,66.281877
-464.704857,500,66.512946
-542.195917,500,66.78266
-446.903416,500,67.92673
-509.434273,500,68.207802
-453.531113,500,68.407871
-472.987352,500,68.710022
-513.926099,500,69.692539
-560.466714,500,69.932622
-384.578566,500,70.217832
-346.04825,500,70.544401
-562.458223,500,71.456427
-496.163577,500,71.704591
-377.773804,500,71.996199
-471.177564,500,72.241801
-578.152521,500,73.222187
-501.834996,500,73.457249
-395.611932,500,73.690325
-427.700956,500,73.917388
-496.698095,500,74.93993
-454.131349,500,75.190047
-576.776161,500,75.455114
-445.253849,500,75.788856
-506.140115,500,76.865329
-373.566393,500,77.216011
-560.717765,500,77.532255
-383.837694,500,77.753891
-570.071041,500,78.70225
-369.270401,500,78.917305
-364.127193,500,79.197366
-356.759511,500,79.476001
-361.727241,500,80.538243
-334.589289,500,80.785386
-368.450938,500,81.022423
-491.448585,500,81.261969
-433.165632,500,81.57713
-481.650514,500,82.812255
-397.928476,500,83.069295
-609.62187,500,83.403874
-307.209404,500,83.711003
-291.25976,500,84.693835
-455.329854,500,84.925891
-283.296755,500,85.182045
-470.368216,500,85.460105
-290.716691,500,86.79818
-482.983501,500,87.028251
-458.143212,500,87.27833
-347.153246,500,87.607898
-512.097744,500,88.773358
-351.405744,500,88.984039
