#{"t_start": 1775552529.892213, "env_id": "Pusher-Fric-Uni-50-v0"}
r,l,t
-779.17002,500,0.47371
-874.24902,500,0.91694
-799.316194,500,1.362638
-738.600297,500,1.711339
-886.212495,500,3.429288
-804.334523,500,3.905558
-953.912492,500,4.310232
-920.691035,500,4.773933
-896.913975,500,6.477374
-896.545032,500,6.917585
-920.05276,500,7.360287
-910.723665,500,7.72971
-796.038749,500,9.451493
-874.855277,500,9.829208
-748.18523,500,10.178344
-713.283403,500,10.533476
-919.554584,500,12.235621
-740.273189,500,12.704801
-752.174208,500,13.161425
-806.548102,500,13.64542
-658.418007,500,15.098736
-737.588712,500,15.426946
-674.246108,500,15.875706
-649.914427,500,16.354957
-751.309144,500,18.078126
-724.085884,500,18.468754
-800.301578,500,18.7869
-924.756962,500,19.0805
-739.225991,500,20.643912
-751.59584,500,21.052917
-628.590958,500,21.441612
-725.085189,500,21.856338
-686.329803,500,23.380657
-799.597481,500,23.663816
-601.019717,500,23.961467
-749.09528,500,24.321612
-690.238988,500,26.012269
-690.842839,500,26.470907
-748.485893,500,26.883558
-764.935713,500,27.234862
-626.793513,500,28.746048
-666.040768,500,29.144245
-770.308478,500,29.548338
-759.253153,500,29.952019
-668.893535,500,30.40967
-687.864773,500,31.985065
-713.907432,500,32.45327
-656.673032,500,32.796445
-650.143433,500,33.252673
-635.698481,500,34.902948
-666.721076,500,35.373803
-639.489574,500,35.836077
-721.137061,500,36.184159
-679.461934,500,37.704864
-700.035702,500,38.126828
-587.591083,500,38.589961
-740.543379,500,39.076158
-672.30297,500,40.77606
-650.831753,500,41.188461
-779.356079,500,41.567631
-627.619184,500,42.023365
-601.734553,500,43.781186
-758.195119,500,44.161869
-699.349468,500,44.631118
-654.989963,500,44.99871
-735.859286,500,46.572012
-655.318267,500,46.943707
-493.55265,500,47.343364
-724.76474,500,47.814429
-536.555304,500,49.481189
-595.680532,500,49.809371
-667.174064,500,50.153626
-658.016575,500,50.478248
-588.704464,500,52.199933
-545.084419,500,52.713165
-574.339964,500,53.245959
-663.818595,500,53.649571
-479.057529,500,55.324567
-495.097095,500,55.770641
-500.751308,500,56.243909
-519.190957,500,56.648607
-532.291394,500,58.250756
-623.375505,500,58.649477
-556.216843,500,59.062618
-591.275474,500,59.446431
-656.923493,500,59.843127
-553.632906,500,61.566909
-495.667819,500,61.915013
-521.839354,500,62.316693
-666.960021,500,62.639799
-535.060516,500,64.167069
-667.555655,500,64.611234
-622.282689,500,65.057516
-587.076336,500,65.427685
-485.635855,500,66.988011
-561.199484,500,67.31114
-448.370914,500,67.601763
-587.209255,500,67.891952
-525.843531,500,69.639263
-583.719926,500,70.066955
-557.208193,500,70.465638
-486.748049,500,70.861372
-517.933487,500,72.536925
-551.745996,500,72.975921
-586.424649,500,73.448247
-506.517828,500,73.816917
-514.566989,500,75.582319
-396.041396,500,76.036036
-618.34918,500,76.504256
-608.965208,500,76.912633
-620.137168,500,78.620867
-391.106629,500,79.094124
-456.38858,500,79.512813
-489.374325,500,79.911511
-500.792599,500,81.252102
-508.260362,500,81.672367
-580.392372,500,82.104488
-355.209904,500,82.586703
-526.518003,500,84.337646
-418.713375,500,84.758057
-466.203914,500,85.117853
-562.434236,500,85.534523
-557.065557,500,87.264541
-543.597547,500,87.693796
-444.583823,500,88.140436
-559.086726,500,88.56755
-405.403243,500,90.060057
-480.39218,500,90.469369
-493.02179,500,90.881568
-620.91353,500,91.266734
-579.848411,500,91.657341
-611.912937,500,93.154901
-549.625172,500,93.475534
-503.083739,500,93.920373
-495.405173,500,94.295069
-424.29589,500,96.020217
-389.538787,500,96.442883
-581.083179,500,96.882577
-473.478759,500,97.244262
-508.902705,500,98.651877
-412.05054,500,99.074056
-672.089246,500,99.531868
-444.734287,500,100.007069
-470.656314,500,101.70889
-531.55117,500,102.094528
-484.284229,500,102.487192
-448.591716,500,102.899407
-445.536254,500,104.550686
-422.429442,500,104.917399
-491.238433,500,105.375053
-431.119137,500,105.78579
-486.677251,500,107.216783
-444.481833,500,107.540361
-392.544869,500,107.937074
-455.295251,500,108.398794
-446.291831,500,110.061018
-623.559699,500,110.418712
-512.991579,500,110.780899
-529.307513,500,111.190603
-584.522463,500,112.763891
-394.007211,500,113.228968
-543.283409,500,113.60862
-499.051204,500,113.999291
-530.561467,500,115.501444
-391.952288,500,115.80061
-439.138628,500,116.11882
-494.040865,500,116.53249
-524.484459,500,118.199183
-476.150253,500,118.639912
-587.507481,500,119.049618
-407.627158,500,119.416802
-354.093043,500,119.773519
-574.535105,500,121.30129
-340.196266,500,121.580455
-478.84678,500,121.879221
-357.095456,500,122.166917
-425.044845,500,123.186571
-528.75789,500,123.465173
-588.871,500,123.715364
-417.257813,500,123.915251
-380.600745,500,124.631815
-525.37903,500,124.855312
-469.941418,500,125.028366
-494.723399,500,125.26198
-535.151031,500,126.058767
-413.128916,500,126.318688
-556.023116,500,126.581829
-293.109327,500,126.827554
-406.600581,500,127.851516
-454.974329,500,128.229198
-442.44705,500,128.675852
-389.702292,500,128.928235
-485.728155,500,130.357977
-487.425244,500,130.678083
-537.98661,500,131.110336
-265.709855,500,131.612473
-258.758151,500,133.545351
-389.208053,500,134.054586
-530.369364,500,134.552865
-308.974074,500,135.051105
-390.679873,500,136.735998
-291.784023,500,137.118642
-265.503163,500,137.512344
-573.118199,500,137.843031
-410.901166,500,139.529937
-413.879609,500,139.991786
-421.753762,500,140.42294
-381.416365,500,140.880166
-551.527826,500,142.365411
-377.363603,500,142.750088
-558.870877,500,143.130707
-497.842742,500,143.505467
-483.617225,500,145.235329
-386.16655,500,145.565
-498.107587,500,145.923124
-285.818495,500,146.24685
-357.216268,500,146.629244
-344.379361,500,148.28917
-292.381117,500,148.739895
-421.278093,500,149.169064
-294.348443,500,149.643255
-499.288157,500,151.063823
-303.042333,500,151.440591
-393.545105,500,151.862846
-397.27771,500,152.308513
-410.350051,500,154.025633
-319.708762,500,154.323834
-492.786605,500,154.661969
-349.023568,500,154.992113
-465.09029,500,156.544275
-356.897547,500,156.979458
-280.039468,500,157.431153
-302.228837,500,157.936382
-469.965904,500,159.615839
-396.229427,500,160.028535
-434.574635,500,160.484751
-271.833055,500,160.918462
-527.105393,500,162.637243
-423.403464,500,163.033952
-472.957709,500,163.502173
-459.59915,500,163.924887
-457.637623,500,165.626764
-530.651913,500,166.119033
-477.886465,500,166.56281
-348.772165,500,166.96343
-350.036286,500,168.418989
-469.769621,500,168.75714
-214.964349,500,169.179132
-398.406932,500,169.636261
-267.733354,500,171.475955
-286.721441,500,171.893624
-342.795806,500,172.254738
-507.401883,500,172.593903
-503.068457,500,174.205668
-552.871718,500,174.740939
-407.989623,500,175.237221
-325.296255,500,175.638392
-482.375288,500,175.978099
-302.077346,500,177.44574
-366.521657,500,177.898928
-305.265942,500,178.335568
-385.98712,500,178.747238
-483.177651,500,180.378525
-451.454502,500,180.838156
-302.890573,500,181.18983
-512.027209,500,181.60197
-377.449476,500,183.179797
-356.517225,500,183.649511
-329.169642,500,184.068219
-318.79156,500,184.503412
-213.162388,500,186.034702
-307.34971,500,186.43434
-358.275799,500,186.841632
-479.265138,500,187.249309
-467.382775,500,188.929018
-444.630097,500,189.305696
-406.428041,500,189.652325
-495.512483,500,189.963483
-368.995692,500,191.685692
-431.654673,500,192.183896
-387.046497,500,192.683149
-321.828047,500,193.142325
-401.0436,500,194.748601
-409.225267,500,195.153755
-272.828839,500,195.594918
-263.628854,500,196.025257
-387.24242,500,197.734278
-253.010758,500,198.098423
-298.379666,500,198.45657
-340.088792,500,198.840756
-391.126228,500,200.539627
-429.100675,500,200.971347
-302.710931,500,201.40259
-428.781122,500,201.832322
-307.823702,500,203.313136
-457.907807,500,203.62245
-450.68312,500,204.013573
-251.535033,500,204.379707
-437.035823,500,204.819968
-278.708471,500,206.454203
-489.848292,500,206.842939
-316.099818,500,207.158547
-362.211419,500,207.488739
-255.090692,500,209.051366
-419.157019,500,209.447067
-227.639164,500,209.887796
-278.855065,500,210.31396
