#{"t_start": 1775470518.595788, "env_id": "Pusher-Mass-Gauss-20-v0"}
r,l,t
-771.791555,500,0.273267
-874.559064,500,0.537887
-830.598559,500,0.839451
-825.974368,500,1.09762
-839.994561,500,2.13485
-742.228792,500,2.384423
-872.068466,500,2.726656
-805.479391,500,3.085425
-771.671889,500,4.36094
-820.511076,500,4.63652
-841.061384,500,4.830552
-707.641537,500,5.107392
-738.483515,500,5.968878
-782.168253,500,6.267598
-887.388859,500,6.54721
-688.479839,500,6.775774
-733.554039,500,7.717653
-803.561899,500,7.956836
-823.177322,500,8.213916
-663.002166,500,8.516985
-860.998411,500,9.474341
-793.583917,500,9.711371
-725.685789,500,9.929465
-805.753706,500,10.243571
-967.165798,500,11.203006
-764.378307,500,11.437594
-788.258207,500,11.678242
-820.517648,500,11.902287
-853.341353,500,12.748674
-711.601082,500,12.970776
-901.69372,500,13.177892
-730.003201,500,13.406978
-865.96149,500,14.50397
-783.522521,500,14.814539
-814.484041,500,15.167239
-865.879884,500,15.50133
-694.366122,500,16.606302
-786.118079,500,16.848413
-855.692121,500,17.134501
-719.867538,500,17.357142
-799.820306,500,18.429359
-850.858415,500,18.754929
-734.695541,500,18.967481
-794.497574,500,19.214095
-810.343433,500,19.466484
-670.482368,500,20.732591
-788.475661,500,21.11412
-819.777348,500,21.455638
-810.125787,500,21.702678
-788.146522,500,22.999978
-601.318022,500,23.26956
-701.355169,500,23.503101
-859.527212,500,23.740135
-776.96504,500,24.784925
-622.529105,500,25.078999
-654.254096,500,25.316087
-720.738785,500,25.536674
-898.116723,500,26.638407
-688.133832,500,26.867951
-657.079292,500,27.207042
-569.604906,500,27.544152
-703.989799,500,28.673564
-637.218599,500,28.94518
-674.179507,500,29.16779
-725.381283,500,29.391802
-927.652755,500,30.446685
-707.095347,500,30.783807
-748.358746,500,31.076923
-723.094444,500,31.364236
-792.082883,500,32.352934
-780.694966,500,32.707514
-760.865492,500,32.948073
-859.917047,500,33.186629
-681.627109,500,34.439029
-743.190639,500,34.637669
-738.446816,500,34.847746
-737.087541,500,35.144848
-619.406144,500,36.271775
-673.908961,500,36.476323
-598.027451,500,36.693456
-631.498915,500,36.922506
-720.92591,500,37.791302
-735.927423,500,38.038853
-891.483004,500,38.293425
-741.554705,500,38.66506
-716.820085,500,38.938109
-572.256675,500,40.049611
-676.946141,500,40.302217
-767.200549,500,40.652298
-674.777756,500,40.976954
-668.748186,500,41.875282
-595.570061,500,42.100865
-778.476623,500,42.358964
-710.832661,500,42.707593
-611.793798,500,43.922383
-671.033387,500,44.192616
-786.741897,500,44.428701
-603.206524,500,44.659935
-595.578182,500,45.665789
-584.664788,500,45.993871
-648.41338,500,46.229904
-474.181153,500,46.516085
-578.937372,500,47.716383
-612.496464,500,48.001439
-510.35884,500,48.228534
-549.747739,500,48.47162
-615.314805,500,49.724006
-614.283791,500,49.983099
-520.468872,500,50.31665
-604.050166,500,50.584737
-668.565024,500,51.838636
-505.169094,500,52.056231
-427.126596,500,52.406311
-556.405837,500,52.739372
-470.555266,500,53.905607
-659.020863,500,54.157176
-526.379718,500,54.397752
-671.373546,500,54.618372
-588.074377,500,55.806567
-673.450905,500,56.070633
-548.342707,500,56.296703
-614.013871,500,56.556893
-469.509084,500,57.782791
-378.05444,500,58.046331
-595.070585,500,58.298899
-682.785672,500,58.531537
-441.592451,500,59.522494
-695.850879,500,59.808071
-488.722665,500,60.142241
-567.972904,500,60.479803
-513.955316,500,60.816359
-450.862614,500,61.715145
-515.045284,500,61.989223
-515.423839,500,62.220261
-463.271865,500,62.518425
-481.057566,500,63.441853
-680.505912,500,63.68997
-557.382357,500,63.923072
-665.8439,500,64.234229
-401.0477,500,65.523875
-473.593712,500,65.774549
-663.836148,500,66.083726
-452.302262,500,66.31884
-689.259053,500,67.616132
-675.169091,500,67.794201
-538.949592,500,68.013854
-619.183231,500,68.277467
-496.112434,500,69.208313
-584.142036,500,69.434423
-338.132941,500,69.676596
-628.95478,500,70.007776
-492.355536,500,71.224295
-440.190146,500,71.57499
-359.119082,500,71.82713
-433.380822,500,72.143321
-512.239356,500,73.452305
-535.782896,500,73.702405
-502.116304,500,74.005629
-560.891452,500,74.300207
-409.947522,500,75.501318
-429.26302,500,75.720359
-488.238138,500,75.976495
-517.898759,500,76.207565
-350.120504,500,77.331562
-564.377633,500,77.559188
-563.941264,500,77.806865
-486.074609,500,78.038453
-523.282426,500,79.195464
-356.669514,500,79.394569
-609.140238,500,79.620214
-519.80496,500,79.854254
-497.354544,500,80.084365
-388.922153,500,81.035128
-603.039725,500,81.286675
-414.355289,500,81.515239
-415.929196,500,81.789865
-461.404823,500,82.860926
-360.629465,500,83.159568
-458.799121,500,83.386126
-486.283099,500,83.621698
-458.832057,500,84.518445
-516.385665,500,84.758507
-384.508469,500,85.025237
-404.92086,500,85.278076
-551.673873,500,86.223547
-338.109342,500,86.511755
-409.452078,500,86.755792
-368.285832,500,87.107435
-565.966118,500,88.081763
-541.455223,500,88.302801
-394.779568,500,88.551466
-437.582283,500,88.781054
-320.624048,500,89.706902
-553.875039,500,89.975608
-485.168795,500,90.305792
-428.841005,500,90.663962
-505.5179,500,91.897032
-546.24237,500,92.13958
-377.738896,500,92.389134
-412.302091,500,92.606865
-561.459002,500,93.728808
-487.286816,500,93.958858
-423.87682,500,94.193912
-442.024952,500,94.43394
-412.749039,500,95.49032
-458.43762,500,95.701358
-480.074017,500,95.911446
-424.370275,500,96.148125
-314.470572,500,97.159544
-436.724484,500,97.389128
-454.455351,500,97.618739
-399.428204,500,97.797359
-358.463135,500,98.882956
-375.399847,500,99.113118
-365.79266,500,99.343166
-501.383829,500,99.653906
-439.703908,500,99.978114
-538.872689,500,100.883433
-442.173055,500,101.128505
-274.806792,500,101.374612
-349.267585,500,101.751205
-467.029759,500,102.728513
-319.059029,500,103.050661
-320.271189,500,103.408762
-353.950572,500,103.693888
-502.054362,500,104.719265
-522.418788,500,105.034366
-422.402708,500,105.380018
-328.066222,500,105.721262
-378.14986,500,106.620134
-230.318032,500,106.880225
-373.2898,500,107.115282
-387.882948,500,107.413922
-373.438151,500,108.724397
-397.87615,500,109.003561
-387.306378,500,109.230643
-447.966212,500,109.474299
-332.693194,500,110.613771
-321.538371,500,110.912325
-422.158621,500,111.205156
-420.445584,500,111.487494
-363.435121,500,112.65872
-388.530018,500,113.028314
-328.073779,500,113.388861
-411.539497,500,113.752464
-421.680607,500,115.038145
-486.83415,500,115.277202
-376.188074,500,115.516394
-391.891803,500,115.731453
-498.865786,500,116.690231
-476.135376,500,117.065899
-578.952136,500,117.301494
-322.314922,500,117.5361
-418.442668,500,118.678967
-463.262845,500,118.933543
-291.681265,500,119.181234
-423.958709,500,119.543864
-383.642695,500,119.918095
-484.196592,500,121.051095
-505.325917,500,121.279208
-521.863396,500,121.518315
-341.99307,500,121.789375
-533.945368,500,122.813434
-326.004555,500,123.157531
-326.229269,500,123.489643
-472.114496,500,123.70725
-433.786158,500,124.931704
-514.342867,500,125.261802
-464.614844,500,125.6064
-422.748482,500,125.969069
-468.722026,500,127.096762
-330.85462,500,127.444966
-351.263346,500,127.698087
-452.951157,500,127.918151
-503.722387,500,129.025762
-533.983477,500,129.247845
-259.220046,500,129.475905
-280.289632,500,129.708021
-303.475234,500,130.862729
-250.891549,500,131.128805
-326.938393,500,131.480942
-457.910021,500,131.78854
-427.705701,500,132.747881
-357.487135,500,133.066959
-456.903224,500,133.408159
-286.269849,500,133.693712
-351.402811,500,134.663126
-373.321453,500,134.904721
-258.560518,500,135.119369
-314.406471,500,135.309485
-247.657466,500,136.410519
-273.032009,500,136.748398
-493.631283,500,137.088549
-433.309382,500,137.400123
-333.691482,500,138.410665
-447.503211,500,138.645261
-469.161635,500,138.871305
-415.411671,500,139.10095
-288.05203,500,139.291078
-393.684987,500,140.253449
-192.497491,500,140.496111
-221.695779,500,140.734658
-389.268186,500,140.988241
-397.379716,500,142.042703
-256.197638,500,142.268686
-324.951104,500,142.547899
-380.186255,500,142.813459
-509.361105,500,144.058934
-268.477297,500,144.353589
-314.620503,500,144.664694
-405.663075,500,144.920254
-467.823539,500,146.099766
-165.425652,500,146.433888
-348.345044,500,146.768966
-518.784295,500,147.010086
-436.007986,500,147.918883
-465.190445,500,148.16548
-350.88272,500,148.495502
-433.062453,500,148.824656
-494.161342,500,149.795663
-560.251888,500,150.052862
-268.854608,500,150.289894
-287.38886,500,150.5251
-317.707826,500,151.585479
-495.454668,500,151.941607
-480.655945,500,152.284698
-247.688806,500,152.631344
-408.143141,500,153.825301
-409.461508,500,154.019882
-470.732579,500,154.238923
-392.971782,500,154.434043
-394.655983,500,155.411446
-545.305881,500,155.636092
-398.639358,500,155.88018
-234.002177,500,156.122308
-447.187443,500,157.129615
-361.481666,500,157.476235
-402.152319,500,157.798229
-282.540156,500,158.099376
-376.122199,500,159.047187
-495.155177,500,159.280249
-547.770314,500,159.519367
-425.221236,500,159.761415
-405.524255,500,160.077526
-397.984933,500,161.227581
-302.82811,500,161.562714
-453.134832,500,161.794781
-472.479618,500,162.057032
-239.868653,500,163.004892
-267.286481,500,163.239428
-386.401304,500,163.542506
-269.72085,500,163.753583
-159.043199,500,164.678495
-324.431822,500,164.94803
-388.617934,500,165.289193
-244.196851,500,165.602349
-425.871846,500,166.555778
-332.047271,500,166.798843
-401.205539,500,167.054031
-356.987256,500,167.297064
-305.226819,500,168.292556
-467.655158,500,168.633209
-363.592007,500,168.992846
-456.94125,500,169.319509
-324.282955,500,170.52844
-259.146017,500,170.854036
-455.233887,500,171.219601
-326.237695,500,171.576682
-316.572372,500,172.671204
-321.417349,500,173.004073
-318.957281,500,173.260611
-490.402929,500,173.550666
-346.991428,500,174.661545
-403.419734,500,175.018285
-229.88024,500,175.265356
-304.749735,500,175.586455
-396.460493,500,176.92401
-428.836089,500,177.262204
-309.52049,500,177.550251
-325.943296,500,177.780377
-199.780305,500,178.819272
-273.615207,500,179.181441
-545.145809,500,179.454102
-310.877971,500,179.674762
-482.65126,500,179.911825
-315.636835,500,180.850236
-321.542447,500,181.093791
-202.681661,500,181.320396
-256.70769,500,181.616973
-171.536379,500,182.702034
-319.705983,500,183.01116
-411.09931,500,183.243732
-447.047656,500,183.511384
-545.383974,500,184.761621
-316.328851,500,185.115918
-469.717353,500,185.437106
-442.354944,500,185.667673
-249.28289,500,186.774152
-372.836352,500,187.018818
-465.318917,500,187.259441
-318.619955,500,187.505052
-272.335482,500,188.569762
-459.278948,500,188.881342
-436.150791,500,189.131423
-391.399725,500,189.474974
-316.234048,500,190.646025
-207.314375,500,190.880141
-429.980994,500,191.110739
-359.046416,500,191.334332
-423.413782,500,192.278371
-316.663051,500,192.535592
-315.223049,500,192.779407
-333.373458,500,193.001488
-387.634228,500,193.891269
-280.779954,500,194.14349
-361.673798,500,194.38157
-307.536496,500,194.608155
-432.543549,500,195.523975
-364.04216,500,195.78057
-347.931794,500,195.998766
-301.430642,500,196.357484
-384.600575,500,197.586585
-356.027896,500,197.814653
-171.765291,500,198.087887
-251.514245,500,198.452014
-358.765247,500,199.547818
-181.005873,500,199.857402
-220.258218,500,200.119952
-366.235505,500,200.436832
-287.527377,500,200.673365
-291.211612,500,201.888822
-488.226426,500,202.183893
-263.336188,500,202.496462
-417.541021,500,202.751608
-472.784046,500,203.877758
-184.955662,500,204.208886
-323.097539,500,204.438546
-335.973536,500,204.75263
-338.855735,500,205.801932
-337.355679,500,206.062068
-534.574614,500,206.356704
-197.122812,500,206.607322
-370.798456,500,207.818822
-362.416558,500,208.18346
-328.782241,500,208.484081
-418.29884,500,208.706733
-244.763169,500,209.871217
-285.026341,500,210.134337
-311.5206,500,210.321942
-396.53026,500,210.561145
-364.69298,500,211.483463
-437.433423,500,211.735715
-313.566727,500,211.998779
-443.097898,500,212.247947
-347.593523,500,213.302463
-438.273656,500,213.620273
-345.634769,500,213.985439
-255.675742,500,214.226053
-283.840973,500,215.110101
-443.26484,500,215.341688
-291.630173,500,215.579286
-437.839225,500,215.813338
-292.548666,500,216.964836
-269.02756,500,217.311007
-224.421233,500,217.664601
-404.430777,500,217.937247
-300.839679,500,219.044637
-297.641379,500,219.306748
-329.193913,500,219.597846
-318.778221,500,219.871415
-460.843354,500,220.090976
-369.752438,500,221.33642
-302.295413,500,221.667067
-329.808612,500,222.011645
-343.101255,500,222.375084
-529.63458,500,223.342445
-205.00267,500,223.577006
-344.469921,500,223.756111
-350.432973,500,223.962186
-230.16076,500,225.128622
-400.151256,500,225.453703
-283.984523,500,225.726332
-241.981333,500,226.035476
-322.702186,500,226.967247
-397.968999,500,227.209821
-273.598711,500,227.432858
-459.375666,500,227.669952
-205.643288,500,228.93956
-475.137531,500,229.246295
-225.921317,500,229.601405
-298.359175,500,229.828485
-509.690562,500,230.858398
-335.401688,500,231.21792
-221.449395,500,231.470471
-336.350665,500,231.833566
-471.088539,500,233.282621
-345.166976,500,233.520668
-371.215296,500,233.754752
-164.651106,500,233.986772
-190.716526,500,234.994088
-370.122172,500,235.295195
-224.974738,500,235.642508
-393.816879,500,235.932144
-406.052731,500,237.014479
-349.122633,500,237.262542
-368.627757,500,237.483707
-464.928601,500,237.75886
-302.033962,500,238.855714
-243.385217,500,239.18285
-513.422502,500,239.418895
-448.810212,500,239.735048
-431.310267,500,239.987605
