#{"t_start": 1775556522.7319372, "env_id": "Pusher-Mass-Uni-80-v0"}
r,l,t
-782.756347,500,0.420439
-846.74142,500,0.91217
-800.517986,500,1.29752
-817.27129,500,1.747837
-906.955341,500,3.381649
-813.029666,500,3.757428
-901.05522,500,4.072389
-806.366437,500,4.46795
-858.34118,500,6.084053
-867.947552,500,6.425159
-910.77779,500,6.791861
-727.804207,500,7.143954
-768.904714,500,8.725331
-852.314578,500,9.087043
-962.607047,500,9.556012
-778.180716,500,10.008128
-746.660651,500,11.74898
-798.206547,500,12.178898
-772.142135,500,12.541661
-813.104122,500,12.967581
-828.625214,500,14.678043
-755.089913,500,15.065621
-756.925715,500,15.496456
-809.797351,500,15.860186
-835.575071,500,17.573759
-829.27552,500,17.972225
-718.553029,500,18.35788
-722.934008,500,18.76857
-659.528335,500,20.329861
-718.570961,500,20.729364
-609.570086,500,21.168591
-628.667283,500,21.529577
-705.444372,500,23.066926
-752.335708,500,23.459509
-671.740418,500,23.855366
-809.380061,500,24.203359
-686.416358,500,25.915603
-825.326657,500,26.280207
-746.340584,500,26.590607
-672.364987,500,27.13277
-812.870407,500,29.275416
-769.464649,500,29.769533
-676.444579,500,30.23912
-646.13185,500,30.621417
-676.220236,500,30.934005
-659.052942,500,32.221431
-772.798925,500,32.591461
-642.703486,500,32.814025
-598.969254,500,33.074063
-718.302814,500,34.154561
-616.088075,500,34.404031
-810.21472,500,34.655643
-760.73799,500,34.860427
-752.106691,500,35.907727
-688.43122,500,36.171553
-688.152654,500,36.418569
-741.303709,500,36.639085
-816.471877,500,37.525681
-656.616519,500,37.714279
-623.139564,500,37.931547
-596.192639,500,38.16839
-698.321903,500,39.008484
-695.847473,500,39.255902
-646.668365,500,39.478514
-662.455519,500,39.68104
-642.705734,500,40.453334
-646.482364,500,40.663215
-569.985678,500,40.893385
-549.413292,500,41.140287
-617.501148,500,42.115817
-646.661221,500,42.373796
-694.86089,500,42.645467
-633.19891,500,42.824711
-677.713402,500,43.826919
-575.474624,500,44.043059
-719.34083,500,44.273445
-502.751014,500,44.449965
-615.187956,500,45.412395
-586.542618,500,45.615618
-637.236474,500,45.775713
-570.877976,500,45.973526
-619.29364,500,46.760366
-748.44941,500,46.987833
-637.056172,500,47.220932
-609.604435,500,47.392582
-573.742638,500,47.621795
-536.791572,500,48.242152
-668.724846,500,48.393018
-532.259422,500,48.61457
-604.316311,500,48.783879
-525.259015,500,49.79611
-717.751842,500,50.030144
-589.030202,500,50.274363
-519.667594,500,50.535712
-653.492523,500,52.323387
-670.493626,500,52.761951
-677.416884,500,53.244082
-584.589792,500,53.686318
-605.157227,500,55.318014
-495.457924,500,55.780972
-512.264276,500,56.237413
-580.924653,500,56.751884
-522.871736,500,58.788372
-473.755993,500,59.281289
-548.421146,500,59.733376
-546.159287,500,60.259668
-667.965215,500,62.188445
-519.734945,500,62.638019
-608.464588,500,63.097438
-505.090995,500,63.553902
-506.919185,500,65.442998
-543.814564,500,65.915016
-508.121976,500,66.434729
-536.88152,500,66.91312
-566.064677,500,68.762206
-441.729479,500,69.235676
-565.024392,500,69.71791
-568.07251,500,70.210643
-487.706526,500,72.10612
-543.58494,500,72.655416
-498.019271,500,73.146492
-571.747652,500,73.702245
-477.945177,500,75.586706
-503.676346,500,76.026055
-470.085087,500,76.411381
