#{"t_start": 1775557035.8636725, "env_id": "Pusher-MassFric-Gauss-80-v0"}
r,l,t
-761.677938,500,0.503028
-782.306171,500,0.976176
-821.150738,500,1.454431
-792.919925,500,1.908192
-771.984228,500,3.765485
-748.260645,500,4.243388
-837.865734,500,4.757988
-758.843991,500,5.243972
-839.691818,500,7.106121
-846.102608,500,7.567991
-822.891554,500,8.053632
-805.442807,500,8.511828
-864.06096,500,10.34196
-877.939021,500,10.815778
-743.300658,500,11.307327
-869.352722,500,11.769646
-931.04698,500,13.584854
-788.063898,500,14.025378
-886.477598,500,14.502352
-690.353896,500,14.965093
-880.145765,500,16.838526
-858.347114,500,17.291826
-908.864685,500,17.747096
-728.184409,500,18.197884
-691.746814,500,20.007469
-824.985547,500,20.487353
-698.823378,500,20.989886
-793.249707,500,21.494562
-884.527118,500,23.362397
-619.049407,500,23.848223
-639.640476,500,24.306561
-630.767307,500,24.769409
-607.755678,500,26.593026
-713.616763,500,27.10804
-633.109505,500,27.570549
-689.033212,500,28.080493
-854.822201,500,29.938329
-700.375498,500,30.417156
-692.989197,500,30.896659
-702.345825,500,31.406175
-613.413895,500,33.292054
-852.988174,500,33.757873
-720.697062,500,34.210127
-753.083731,500,34.690126
-697.767411,500,35.155025
-668.041953,500,37.001719
-816.475852,500,37.479648
-803.233212,500,37.943509
-805.975777,500,38.453107
-823.328733,500,40.278692
-761.743586,500,40.751883
-807.793628,500,41.227839
-862.459337,500,41.69836
-804.332586,500,43.527951
-863.09261,500,43.984815
-737.405445,500,44.443542
-661.571194,500,44.907921
-755.045192,500,46.774427
-706.998843,500,47.308545
-731.187967,500,47.781933
-835.005841,500,48.291456
-631.013277,500,50.272423
-814.397615,500,50.786533
-630.223678,500,51.252298
-745.539801,500,51.642935
-802.152509,500,52.765676
-626.03204,500,52.959785
-648.508341,500,53.178983
-722.300676,500,53.398243
-772.644016,500,54.198284
-565.738262,500,54.381648
-555.231434,500,54.611525
-581.287069,500,54.794614
-611.205305,500,55.66454
-719.112366,500,55.917265
-633.646747,500,56.212257
-640.381702,500,56.615904
-769.011788,500,57.978158
-710.5618,500,58.193651
-608.531637,500,58.40659
-707.224969,500,58.558796
-815.778531,500,59.322996
-855.555575,500,59.531604
-680.674239,500,59.688996
-705.293807,500,59.877786
-679.333152,500,60.097921
-626.04083,500,61.076717
-515.854827,500,61.283067
-832.649238,500,61.572649
-737.291587,500,62.048965
-765.422826,500,63.832006
-533.042321,500,64.29432
-587.301305,500,64.778365
-525.937644,500,65.254124
-625.974557,500,67.109209
-540.36255,500,67.585636
-722.781473,500,68.068681
-682.643353,500,68.532324
-547.07744,500,70.217393
-562.41162,500,70.660674
-697.593438,500,71.163758
-631.435115,500,71.560755
-582.646192,500,73.270709
-666.217552,500,73.670759
-635.722434,500,74.096909
-626.736179,500,74.459033
-737.651428,500,76.2854
-600.816781,500,76.677141
-688.010569,500,77.158127
-768.527288,500,77.648718
-606.245757,500,79.415588
-556.819887,500,79.794381
-617.971193,500,80.285882
-593.341053,500,80.643698
-537.000055,500,82.415019
-634.005512,500,82.791271
-698.815292,500,83.186845
-504.772565,500,83.699062
-683.626206,500,85.421123
-411.757705,500,85.828405
-600.388702,500,86.276894
-579.485065,500,86.76782
-768.649306,500,88.499702
-469.46179,500,88.972013
-539.640116,500,89.392644
-664.962201,500,89.822331
-590.146045,500,91.607129
-494.087519,500,92.013799
-472.713674,500,92.468713
-498.224471,500,92.92751
-708.993316,500,93.415356
-622.146325,500,95.121854
-650.236046,500,95.516898
-502.699875,500,95.995796
-593.902149,500,96.479761
-690.300332,500,98.217418
-445.315656,500,98.695667
-578.860637,500,99.151531
-475.759721,500,99.64071
-676.023279,500,101.344559
-495.521084,500,101.78381
-697.769499,500,102.208335
-468.574791,500,102.656199
-463.302905,500,104.316974
-605.578533,500,104.787482
-441.669205,500,105.266436
-701.421337,500,105.743811
-659.251801,500,107.563297
-614.436637,500,108.009538
-407.548106,500,108.509723
-427.777754,500,108.943325
-626.126577,500,110.602662
-435.86629,500,111.080021
-648.812332,500,111.563394
-459.433986,500,112.040273
-469.32568,500,113.739827
-443.102293,500,114.117662
-602.298126,500,114.564482
-447.074722,500,115.074199
-463.041601,500,116.858017
-445.80027,500,117.327777
-606.216927,500,117.779635
-473.468473,500,118.194673
-566.931041,500,119.954442
-524.093776,500,120.394266
-366.51727,500,120.860138
-409.096941,500,121.365681
-635.92376,500,123.074255
-545.166664,500,123.513959
-555.49203,500,123.957112
-415.143688,500,124.44133
-595.8758,500,124.939994
-548.490956,500,126.70487
-474.12203,500,127.197854
-637.561723,500,127.751249
-378.589566,500,128.240433
-440.439228,500,130.034723
-323.652646,500,130.507844
-369.860489,500,130.983669
-405.54779,500,131.380337
-439.800715,500,133.098518
-457.593195,500,133.584055
-413.49084,500,134.034703
-553.382232,500,134.422077
-350.411575,500,136.189034
-447.996325,500,136.705171
-491.444699,500,137.261911
-488.87823,500,137.732406
-453.098735,500,139.547445
-385.925176,500,140.067997
-345.746619,500,140.570188
-581.417725,500,141.066024
-572.591379,500,142.849056
-552.208516,500,143.405341
-502.377183,500,143.900241
-310.080246,500,144.355431
-331.486151,500,146.181588
-505.485414,500,146.722324
-518.946828,500,147.238568
-363.164892,500,147.644
-367.393629,500,149.300628
-420.827065,500,149.810237
-356.024285,500,150.271754
-384.513752,500,150.751036
-436.050713,500,152.505758
-371.233841,500,152.982515
-577.616663,500,153.362926
-460.202802,500,153.797026
-318.527047,500,155.555192
-340.866578,500,156.015503
-454.71174,500,156.513878
-447.04136,500,156.953186
-459.323699,500,158.775361
-580.179677,500,159.234168
-366.856025,500,159.694605
-446.33613,500,160.151235
-487.453446,500,160.610629
-307.982283,500,162.268421
-401.239034,500,162.783339
-338.033537,500,163.288429
-491.769851,500,163.75901
-571.25729,500,165.484522
-424.694459,500,165.901194
-322.209103,500,166.376607
-378.000403,500,166.822745
-322.478353,500,168.649853
