#{"t_start": 1775552627.325529, "env_id": "Pusher-MassFric-Uni-50-v0"}
r,l,t
-770.932064,500,0.451225
-896.512789,500,0.904408
-953.83233,500,1.364661
-879.547549,500,1.756789
-778.369475,500,3.541234
-815.772035,500,4.020424
-904.303404,500,4.463128
-935.386329,500,4.915332
-928.988648,500,6.628116
-797.950544,500,7.081373
-874.011649,500,7.429529
-849.954377,500,7.82519
-715.77991,500,9.423101
-764.46257,500,9.88899
-992.429541,500,10.288666
-788.802458,500,10.739384
-836.576357,500,12.433619
-808.622766,500,12.854313
-719.820945,500,13.327582
-731.111055,500,13.749293
-809.351779,500,15.459002
-742.891512,500,15.879667
-709.260975,500,16.349926
-861.884171,500,16.797087
-867.02412,500,18.472852
-686.637011,500,18.890104
-887.392307,500,19.333805
-948.721261,500,19.742421
-720.353154,500,21.465203
-794.486279,500,21.921468
-748.024629,500,22.382221
-797.169147,500,22.82646
-640.117138,500,24.275832
-757.430739,500,24.580439
-846.643871,500,24.806128
-795.09752,500,25.049791
-694.524563,500,26.042856
-683.518299,500,26.224034
-688.6262,500,26.446915
-667.031474,500,26.622002
-704.405105,500,27.468998
-810.015174,500,27.61205
-753.30498,500,27.823663
-687.0381,500,28.081729
-902.007353,500,28.31082
-710.242118,500,29.23142
-855.392932,500,29.482244
-738.660291,500,29.74338
-649.06948,500,30.008591
-622.649344,500,31.392597
-626.359811,500,31.737494
-879.034282,500,32.088773
-732.326049,500,32.471446
-764.524761,500,34.073618
-708.937406,500,34.540809
-766.655118,500,35.11957
-837.798611,500,35.659763
-745.307826,500,37.462712
-727.153073,500,37.904526
-720.506207,500,38.334754
-814.156853,500,38.760425
-592.43037,500,40.574232
-628.217315,500,41.028425
-754.739249,500,41.427135
-701.731197,500,41.891807
-802.573237,500,43.600388
-746.218701,500,44.060497
-604.73615,500,44.411129
-486.021398,500,44.835558
-609.215572,500,46.499851
-609.694782,500,46.94111
-713.606888,500,47.417832
-737.715313,500,47.898552
-681.319113,500,49.679124
-498.178541,500,50.124342
-707.51312,500,50.577997
-685.446577,500,51.033961
-689.837179,500,52.631228
-632.741791,500,53.073719
-569.564881,500,53.510447
-545.514252,500,53.874161
-493.190625,500,55.543543
-538.59959,500,55.96363
-563.243621,500,56.336236
-546.83549,500,56.793972
-653.612267,500,57.242174
-540.908537,500,59.040934
-523.855435,500,59.410058
-644.801625,500,59.873315
-481.140404,500,60.270974
-468.459999,500,62.00667
-545.529727,500,62.503679
-545.446525,500,62.970921
-689.697287,500,63.404601
-705.04374,500,65.177927
-504.162061,500,65.618648
-565.936695,500,66.100855
-730.013976,500,66.558117
-430.044649,500,68.362071
-637.337557,500,68.774786
-620.740497,500,69.188018
-734.228766,500,69.638163
-577.67024,500,71.362341
-481.685688,500,71.832826
-536.354817,500,72.239482
-678.377355,500,72.65517
-477.114103,500,74.502308
-540.858794,500,74.949502
-490.934311,500,75.408202
-590.541944,500,75.871456
-555.905615,500,77.48471
-468.563949,500,77.911441
-479.725717,500,78.299143
-542.573601,500,78.729288
-523.20608,500,80.369098
-505.489686,500,80.864247
-532.925833,500,81.263917
-645.065416,500,81.690103
-590.979554,500,83.38084
-380.119062,500,83.768507
-680.012275,500,84.217645
-578.049184,500,84.675854
-673.929858,500,86.450334
-577.580361,500,86.913998
-519.455899,500,87.352244
-536.828667,500,87.772539
-640.37337,500,89.463861
-553.225473,500,89.885511
-482.294588,500,90.355719
-513.847342,500,90.725351
-591.317726,500,91.142028
-632.781245,500,92.879246
-451.230086,500,93.323944
-562.056481,500,93.774189
-563.206171,500,94.275422
-465.979886,500,96.064696
-621.09385,500,96.501944
-479.948927,500,96.90463
-607.016721,500,97.381824
-446.206685,500,99.142904
-495.35095,500,99.502599
-642.664661,500,99.984808
-599.150996,500,100.447516
-373.774785,500,102.142448
-528.307698,500,102.544599
-607.300613,500,103.037778
-439.814064,500,103.505035
-440.610273,500,105.14248
-590.642184,500,105.574703
-491.482668,500,106.016031
-415.487013,500,106.429175
-570.731723,500,108.013373
-546.029977,500,108.396104
-553.934668,500,108.776815
-608.608296,500,109.208971
-446.209473,500,110.897811
-562.336074,500,111.313448
-445.626168,500,111.739611
-367.114347,500,112.156308
-364.020774,500,113.927783
-373.254401,500,114.294937
-570.9004,500,114.694069
-393.911828,500,115.097811
-391.445103,500,116.753233
-477.145874,500,117.085958
-566.208714,500,117.505677
-440.812682,500,117.934425
-569.979002,500,119.61159
-427.496735,500,120.066313
-472.114015,500,120.486561
-391.659146,500,120.858739
-309.645786,500,121.255929
-438.713644,500,122.961152
-580.682613,500,123.400919
-370.224364,500,123.846172
-581.71746,500,124.293365
-361.000627,500,125.98978
-484.027351,500,126.500015
-566.412906,500,126.961607
-393.894109,500,127.430435
-467.95296,500,129.195856
-534.260895,500,129.63857
-309.85646,500,130.124818
-486.195794,500,130.536421
-528.609268,500,132.188966
-487.809986,500,132.598677
-572.410417,500,132.968824
-533.140813,500,133.400018
-313.591797,500,135.009556
-432.348715,500,135.465264
-448.748238,500,135.923556
-329.421666,500,136.408292
-286.157868,500,138.164997
-534.433861,500,138.66635
-552.803563,500,139.132172
-366.529583,500,139.580825
-323.969965,500,141.420271
-533.273535,500,141.909507
-399.159624,500,142.385228
-392.998266,500,142.950043
-391.680748,500,144.762481
-404.332884,500,145.232754
-547.515556,500,145.617486
-464.358987,500,146.042222
-385.833991,500,147.684561
-257.642091,500,148.108288
-469.831573,500,148.578552
-484.091336,500,149.097537
-521.071021,500,150.868989
-339.727741,500,151.295705
-433.693781,500,151.781001
-413.635972,500,152.241707
-485.159538,500,153.992097
-473.449498,500,154.472305
-384.245062,500,154.97657
-423.010531,500,155.468858
-291.600631,500,155.959024
-337.339851,500,157.79
-380.810548,500,158.281745
-305.254689,500,158.765016
-298.494384,500,159.246242
-506.396117,500,161.047664
-474.415389,500,161.445197
-482.003337,500,161.777018
-279.603188,500,162.014364
-347.777536,500,163.576444
-528.068372,500,164.051707
-324.469807,500,164.52406
-323.935274,500,164.89924
-431.533425,500,166.554712
-326.033576,500,167.011444
-448.534121,500,167.415069
-375.111173,500,167.770173
-390.635229,500,169.426647
-397.982166,500,169.759761
-367.781954,500,170.24998
-295.584464,500,170.684713
-408.493353,500,172.421191
-388.100299,500,172.822521
-336.931996,500,173.283205
-452.353239,500,173.735396
-330.021819,500,175.512651
-343.71349,500,175.989798
-466.122597,500,176.460681
-392.385005,500,176.885373
-506.774215,500,178.604684
-273.896441,500,179.239531
