#{"t_start": 1774297289.3139055, "env_id": "Hopper-Fric-Uni-10-v0"}
r,l,t
5.60005,27,2.600399
9.615282,12,2.6074
15.263986,23,2.618911
6.192465,9,2.626417
5.419637,18,2.639774
8.876908,15,2.647792
18.156523,24,2.66263
9.274914,12,2.669628
14.827806,26,2.677135
22.539908,21,2.684644
13.724938,21,2.69116
20.448871,28,2.702665
21.356993,21,2.712725
6.283966,11,2.716718
7.384687,14,2.721229
12.119458,14,2.726225
9.618921,16,2.73174
12.753912,28,2.74076
24.947501,33,2.751267
4.10512,9,2.75427
7.457168,13,2.759776
45.352786,37,2.777299
11.771781,27,2.786832
47.938332,38,2.805885
6.478317,9,2.810386
8.805248,16,2.8184
6.023882,10,2.823928
20.320089,24,2.831435
12.490364,21,2.837945
7.488813,12,2.84144
14.549803,16,2.846438
24.534425,29,2.857947
7.354279,13,2.864458
15.233836,20,2.871981
6.567281,11,2.875976
28.900476,28,2.884491
9.41318,15,2.890007
9.943434,22,2.897025
11.217334,14,2.902546
11.231526,16,2.913086
9.607719,17,2.925592
4.288742,8,2.931099
12.291167,22,2.942154
10.176107,13,2.949677
12.351721,15,2.956682
9.513054,18,2.967189
38.623715,31,2.978235
15.271492,23,2.990272
8.914597,23,2.998279
6.870336,10,3.001812
11.077773,15,3.006816
6.675248,10,3.010325
8.701462,22,3.020856
6.471409,14,3.027859
30.247043,25,3.035872
15.710363,19,3.042379
38.993505,33,3.059893
9.999852,25,3.069938
6.839881,21,3.076948
6.68145,11,3.08045
7.818685,12,3.084453
6.277172,11,3.087451
17.782894,27,3.099959
45.705366,36,3.114995
17.012257,24,3.127516
7.477571,11,3.13204
17.000271,17,3.138568
19.736183,23,3.150584
54.394317,46,3.170642
19.578058,19,3.17964
10.155503,13,3.185948
13.436893,17,3.194453
8.353693,11,3.200965
24.937567,25,3.212471
20.055466,27,3.224986
6.052885,10,3.230491
25.846044,30,3.243557
4.896772,9,3.246557
9.230912,29,3.259562
13.158174,18,3.266575
6.517727,12,3.273096
11.419637,14,3.279608
8.098062,13,3.285622
6.426207,17,3.291146
18.828576,27,3.303651
6.107665,14,3.311171
7.618466,13,3.318166
14.635442,27,3.334198
6.624029,24,3.349972
6.222647,11,3.355479
7.846997,17,3.367021
7.091529,33,3.384022
3.364057,12,3.390547
7.474114,15,3.397549
12.238361,25,3.407613
105.159288,72,3.43829
65.587543,40,3.457906
4.204728,13,3.463963
9.843424,13,3.46995
5.083737,8,3.474134
19.053832,23,3.484695
21.809909,22,3.491921
86.049554,63,4.174622
4.902992,8,4.177624
4.734191,8,4.180141
12.902288,20,4.187145
24.249247,24,4.194679
12.102336,18,4.200201
8.436767,13,4.2072
31.437647,38,4.22423
33.656435,28,4.232769
26.410939,34,4.249779
157.325924,80,4.278068
6.05528,11,4.281595
4.833547,21,4.2886
9.305405,17,4.294138
9.825115,17,4.300632
9.263506,16,4.305633
48.631412,43,4.322649
11.734073,15,4.32765
15.973549,17,4.333748
18.01625,19,4.339758
9.092196,21,4.347767
99.760072,65,4.381851
95.840244,55,4.403876
17.183115,20,4.410392
12.890083,14,4.414421
22.466515,23,4.421945
6.843228,11,4.425952
9.294637,26,4.434462
15.078226,34,4.446138
11.143271,18,4.451648
10.064331,14,4.457648
24.7031,22,4.468155
7.515473,21,4.479679
30.131022,36,4.495192
26.585905,39,4.516209
62.260537,61,4.544034
21.411006,19,4.550035
7.336246,12,4.55555
27.037524,23,4.567059
9.119798,11,4.571206
15.094082,19,4.577212
63.584261,54,4.604741
11.026594,16,4.612253
6.489201,12,4.619753
22.146379,22,4.630272
14.05469,15,4.63778
8.364873,11,4.643286
10.558108,14,4.648286
8.516399,11,4.651799
6.866242,10,4.654795
15.489689,34,4.666991
5.914316,11,4.671038
13.758554,16,4.678047
7.623229,12,4.682578
5.557408,20,4.689577
6.189625,10,4.694102
17.345675,20,4.704629
10.508203,15,4.71115
24.047333,39,4.725696
27.389154,25,4.734214
30.161774,36,4.753007
11.740334,15,4.760517
11.894112,15,4.767527
5.934605,9,4.77306
57.25004,39,4.798724
5.486551,8,4.80324
95.721414,72,4.840857
21.931811,23,4.848855
6.013186,9,4.853376
