#{"t_start": 1774297289.244614, "env_id": "Hopper-Mass-Gauss-10-v0"}
r,l,t
526.063918,32,2.764455
16.11685,18,2.779469
5.527696,9,2.786471
14.115031,21,2.801845
10.687662,16,2.812166
2.370553,9,2.817165
10.335168,13,2.823686
8.579954,12,2.831193
8.023233,13,2.837189
5.25061,15,2.846698
12.891695,26,2.860723
7.139233,21,2.871779
9.028164,21,2.883278
15.662798,17,2.890794
17.423768,24,2.899814
5.900259,9,2.903816
63.847727,38,2.923836
8.831812,18,2.930343
8.755777,13,2.937353
12.729991,24,2.951406
22.927661,23,2.964026
14.042698,23,2.972445
6.837358,14,2.977454
5.130214,8,2.980989
5.291408,9,2.985987
5.100094,11,2.992489
8.794927,13,2.999001
10.24244,21,3.011001
15.731898,17,3.020514
355.312076,46,2.94326811.117515,29,3.04655
14.478965,31,3.062597
49.615161,57,3.098687
10.619853,14,3.106221
6.551276,12,3.112735
13.881797,18,3.123243
19.11756,19,3.134764
7.921184,14,3.142819
12.718598,14,3.150327
18.595953,18,3.160866
7.700261,10,3.16587
7.303344,12,3.172401
5.624344,9,3.177401
19.72336,37,3.193921
13.675362,17,3.19943
5.365519,9,3.204436
8.14911,15,3.21294
9.415901,15,3.22047
7.2786.76372,24,3.13777.7420.548501,21,3.152743
4.99896,20,3.1632111.983343,73,3.277046
11.557911,23,3.28908
11.929682,15,3.296625
4.276578,12,3.303132
26.76146,27,3.317648
21.873508,20,3.328688
5.699412,9,3.332693
117.083962,65,3.353507
24.251074,38,3.369525
13.016136,18,3.376529
710.021019,24,3.295275.613.487866,20,3.308331.14.058494,28,3.32535
11.997197,22,3.337867
102.555153,66,3.367433
26.536286,35,3.385459
6.234613,9,3.390991
11.008086,15,3.400491
5.861312,13,3.411265
5.350816,9,3.418263
5.434359,10,3.42477
5.32936,8,3.429296
52.803078,40,3.449314
7.547815,18,3.458826
17.466255,22,3.469911
154.90155,90,3.512104
8.002235,29,3.522197
12.390777,18,3.528198
5.981809,11,3.532252
7.246264,11,3.536244
3.422852,8,3.539241
12.290698,17,3.544423
