#{"t_start": 1774297289.7756681, "env_id": "Hopper-MassFric-Gauss-10-v0"}
r,l,t
6.790003,27,2.139637
9.593608,12,2.146637
15.293397,23,2.162654
6.272581,9,2.171164
5.590107,17,2.18003
9.849918,17,2.185029
23.260498,28,2.200867
34.058849,32,2.216372
20.242312,20,2.228388
14.725476,24,2.240902
22.881069,25,2.254956
28.006871,24,2.266468
6.826568,11,2.270979
5.948008,12,2.275488
10.288531,13,2.279997
6.149902,11,2.285997
5.531421,9,2.290507
10.479997,22,2.30202
24.813951,32,2.325069
4.733637,10,2.331599
6.347153,13,2.33912
14.170207,17,2.347117
15.020763,25,2.355631
15.792287,26,2.364171
47.148118,38,2.385675
6.666193,9,2.390185
8.758457,16,2.399698
6.241257,10,2.405696
19.976252,23,2.418729
8.814632,15,2.428245
8.414345,16,2.43777
20.216595,19,2.445782
23.998162,28,2.457825
11.103787,15,2.465829
13.282233,18,2.475871
6.396797,11,2.481405
32.873928,30,2.493919
9.446343,15,2.499426
7.470288,20,2.506426
10.426823,13,2.510945
12.164085,17,2.516472
7.611062,14,2.525002
7.381896,11,2.531521
11.398707,23,2.551584
10.379807,13,2.558089
12.370361,15,2.567097
9.821778,18,2.576109
94.363889,57,2.606655
15.513055,23,2.62269
5.423184,9,2.626689
11.312345,16,2.636197
18.661418,29,2.651234
6.826713,14,2.658736
32.586364,26,2.673287
16.246671,18,2.681319
36.243937,31,2.692831
18.61519,27,2.70136
6.81123,20,2.708879
8.244072,12,2.712877
7.678324,12,2.716876
6.631962,11,2.721182
17.40053,27,2.73569
45.730091,36,2.749709
16.345947,24,2.758218
8.709588,13,2.762223
11.418601,14,2.767223
16.385491,24,2.780794
55.299331,46,2.805811
17.95392,18,2.814333
11.618147,14,2.821858
13.494692,17,2.830385
8.330863,11,2.836379
25.194456,25,2.849408
9.180848,13,2.854405
19.039373,20,2.860937
9.061593,16,2.866927
10.903167,20,2.873435
19.472324,26,2.882213
8.604232,23,2.88972
7.111202,15,2.89572
12.560865,17,2.901259
8.981618,13,2.905259
13.682263,37,2.921259
4.880229,16,2.926258
10.96236,20,2.937788
26.178045,38,2.959873
3.486399,16,2.968374
9.424938,15,2.976527
14.562999,20,2.987052
11.922176,24,3.001198
4.390418,10,3.007187
7.900743,13,3.01437
12.011776,24,3.027932
166.395873,90,3.072001
46.596881,35,3.090562
6.350157,10,3.095556
9.332981,11,3.102083
22.520301,23,3.111367
20.700719,25,3.120883
82.900036,58,3.724389
8.181593,11,3.728917
4.827319,8,3.730917
13.376975,19,3.738438
26.680409,25,3.746437
11.95899,17,3.752948
7.776589,13,3.758458
26.72436,37,3.786017
45.168923,33,3.803772
28.969685,30,3.822834
95.3237,60,3.852381
30.720723,28,3.865887
7.833196,25,3.885008
10.042638,17,3.89151
9.712387,16,3.896508
9.038138,17,3.903025
45.080875,39,3.916556
18.138438,19,3.923085
16.403915,17,3.928605
17.986069,19,3.942113
8.712285,21,3.961196
105.009451,66,3.994887
84.168652,50,4.024932
25.70991,25,4.038941
11.0374,13,4.045939
19.614961,20,4.056446
7.948654,12,4.063955
18.96916,34,4.079274
13.654727,29,4.090793
10.495021,15,4.098291
13.108931,15,4.107296
27.718201,24,4.119958
8.699241,21,4.127958
161.194857,104,4.17351
19.001881,24,4.181524
25.377108,24,4.196032
8.095438,12,4.203238
27.852122,24,4.216285
9.700737,12,4.222815
15.411249,19,4.232339
68.004956,55,4.261931
11.773404,16,4.26844
5.431321,11,4.274458
23.064221,22,4.28312
16.246925,16,4.288121
7.454819,10,4.292242
12.214098,15,4.300763
9.386258,11,4.306765
53.066857,50,4.326821
10.778963,14,4.334963
7.230638,10,4.340477
6.250455,10,4.34648
7.804946,19,4.357005
5.744491,9,4.359527
17.177326,19,4.366537
11.443509,15,4.372075
46.84046,55,4.401127
62.069363,49,4.419187
22.724581,22,4.430692
6.350653,9,4.4367
43.064409,49,4.462254
16.640177,16,4.471771
26.351442,27,4.485804
12.972878,32,4.503859
21.830522,22,4.516003
8.466275,11,4.522016
86.566685,50,4.548557
15.250788,16,4.556558
55.963989,38,4.581596
84.7023,52,4.616737
9.83933,13,4.627246
9.58657,14,4.633757
23.178379,23,4.652277
40.570851,42,4.680939
20.803877,19,4.691267
10.325286,22,4.699774
11.3738,14,4.705773
29.688191,28,4.715287
86.029978,78,5.358169
104.721711,76,5.391809
127.782187,75,5.42498
51.471179,43,5.446995
7.818097,12,5.453525
114.789398,87,5.496821
178.563529,97,5.545908
57.815638,43,5.568431
13.247361,14,5.575432
67.767219,58,5.607067
21.810015,22,5.620085
173.794602,111,5.669624
16.967865,19,5.680655
34.585376,37,5.702671
72.059695,43,5.728198
61.799269,38,5.748222
116.290246,87,5.793863
19.947465,21,5.805024
105.684739,60,5.846061
10.965108,15,5.856294
14.400001,18,5.865816
53.930671,32,5.87732
77.214689,47,5.90097
101.82276,61,5.922773
155.974977,82,5.95132
14.924437,17,5.956838
88.798412,96,6.013483
118.939019,78,6.053072
125.149359,76,6.078202
10.423844,18,6.08621
7.35064,10,6.091732
115.992466,89,6.136783
8.043078,11,6.143296
78.615087,50,6.169873
7.998161,12,6.176872
31.370475,30,6.192566
88.286781,57,6.229348
12.49228,19,6.235353
22.663027,27,6.245353
69.127117,47,6.261384
59.748902,37,6.273895
88.553359,57,6.293934
30.319339,41,6.308307
10.169127,15,6.315519
26.838828,27,6.338849
61.155242,52,7.038128
66.213417,42,7.053642
54.41171,41,7.073691
13.078071,15,7.07921
6.031426,35,7.091239
71.129444,43,7.110279
62.86737,52,7.132164
91.438476,59,7.166765
80.755654,51,7.185434
249.384369,141,7.258584
167.951523,85,7.298148
93.105765,72,7.330202
8.165957,15,7.336197
67.490251,70,7.367325
8.701918,14,7.37333
24.530272,25,7.386858
125.470047,67,7.412416
132.781267,77,7.441973
30.023668,26,7.456484
12.845582,19,7.463992
7.635083,14,7.471524
58.193136,36,7.490842
31.897566,25,7.508862
62.74697,38,7.529898
77.178405,63,7.563428
79.167213,55,7.596526
38.853241,56,7.627138
86.25296,51,7.654279
75.496653,47,7.680848
242.901352,131,7.726957
13.768474,17,7.733472
139.24685,111,7.775562
78.556355,47,7.793107
