#{"t_start": 1774297289.769147, "env_id": "Hopper-MassFric-Uni-10-v0"}
r,l,t
526.120252,32,2.262941
15.823249,18,2.269451
4.828083,8,2.273449
14.639864,18,2.281958
8.217228,19,2.291466
2.057308,8,2.294969
8.407417,13,2.301347.913.568244,20,2.311811.27.033169,18,2.322159.117.484377,31,2.33747.675.52988,20,2.3476926.14.913493,30,2.3622014.11.774336,24,2.372714
6.114227,12,2.3797619.8.868514,13,2.3862781794.690565,62,2.419318
12.872574,24,2.429831
16.033949,19,2.436338
6.636329,10,2.440342
15.911067,19,2.449882
5.791449,14,2.45841
5.969363,9,2.46241
9.608905,13,2.46893
4.463574,9,2.4749219.639454,32,2.365696
610.752996,20,2.495413.211.347611,14,2.504913.657284,24,2.396706
18.897962,20,2.407221
21.27.259286,39,2.5440232.51.813652,52,2.5610733.518488,36,2.455848
11.232763,16,2.460845
15.840519,20,2.467353
8.672903,18,2.47335
30.580537,35,2.484901
5.834107,10,2.488925
26.621118,28,2.50044
10.523,24,2.512947
16.784913,24,2.526529
6.878267,13,2.532524
27.907949,25,2.547573
7.258248,12,2.558105
4.968874,9,2.562106
13.913758,17,2.570614
7.240049,10,2.576126
23.466355,24,2.589137
8.801659,12,2.59464
21.221656,24,2.607177
8.322972,13,2.613176
6.889806,24,2.629211
21.381607,21,2.640718
5.169119,20,2.647233
10.761033,15,2.65223
7.23553,10,2.655755
8.216438,15,2.660754
21.712975,19,2.667265
7.21309,12,2.671276
63.965396,51,2.691836
7.09586,13,2.698351
54.645078,41,2.720398
49.305326,49,2.746719
18.153749,18,2.755229
14.408353,25,2.767744
11.287416,19,2.778258
18.405641,27,2.793311
12.20845,22,2.800817
95.681504,64,2.829383
9.599082,13,2.836906
10.255364,19,2.846409
10.498716,12,2.852409
10.188638,14,2.859926
4.8489,16,2.867459
5.383001,9,2.873448
5.283161,10,2.880461
5.004311,8,2.887731
62.483107,46,2.91078
105.012187,64,2.937305
10.415274,19,2.94331
47.577895,38,2.960876
7.782045,30,2.974895
14.184488,22,2.982049
6.37695,10,2.985573
8.094453,12,2.989573
3.613264,9,2.992573
17.289454,18,2.998658
10.37052,17,3.003664
13.967308,16,3.008721
7.339652,10,3.011711
13.140153,13,3.01589
9.99844,14,3.020891
12.091111,26,3.030453
9.675098,19,3.03668
43.161245,42,3.054691
11.299441,15,3.066007
17.662838,35,3.086564
22.14159,41,3.870408
4.37516,9,3.874411
30.91044,36,3.893525
56.450717,43,3.907547
81.808127,48,3.925606
10.474654,17,3.933606
7.896424,15,3.942125
100.039539,61,3.988897
6.755018,9,3.995407
10.901474,12,4.004913
31.542998,28,4.022933
9.265377,13,4.030452
7.342951,12,4.036951
19.580386,18,4.045462
26.849688,29,4.056968
24.560569,34,4.070476
19.322996,28,4.086795
36.203589,35,4.109817
5.004315,8,4.114817
4.449843,8,4.117974
14.408534,17,4.12748
101.15765,60,4.1535
14.297936,16,4.16552
14.677736,21,4.179031
5.205807,8,4.182538
32.094241,29,4.197554
12.208176,16,4.207745
140.162556,71,4.241858
52.649313,37,4.256911
6.349146,10,4.261923
12.979971,16,4.271454
7.180431,12,4.278972
91.509043,56,4.308285
9.33746,16,4.313286
144.711291,85,4.342482
13.711945,24,4.353001
15.225702,15,4.358521
22.268173,23,4.369057
7.536612,12,4.375585
4.12431,12,4.382104
19.875848,23,4.394617
6.182306,19,4.403135
14.985376,27,4.420186
8.451012,11,4.426707
29.82212,46,4.45075
72.158143,45,4.482815
9.304452,17,4.492325
10.380813,19,4.497854
99.658788,69,4.523028
49.525303,46,4.547569
8.900565,13,4.555078
13.78318,25,4.566589
8.664625,15,4.575095
22.255645,38,4.592117
2.953806,14,4.596627
29.480807,27,4.610785
10.478752,15,4.616259
28.981877,27,4.625771
8.429033,14,4.631769
93.181158,54,4.656802
20.263331,20,4.665317
40.188892,48,4.689461
24.525023,28,4.704289
6.999929,11,4.710295
12.496309,15,4.714801
24.188574,24,4.722808
3.691271,9,4.727336
9.482061,22,4.738869
43.898231,38,4.752397
20.012671,19,4.761609
8.055169,12,4.768116
60.415158,39,4.786648
125.977689,91,4.840265
10.782068,14,4.846789
12.748581,15,4.852789
6.67,11,4.857319
11.718922.849604,23,5.69.980996,15,5.499344
71.358287,42,5.521367
82.374839,50,5.546429
16.19158.77812,90,5.703748
5.07574,8,5.708269
72.567842,49,5.732875
10.116853,14,5.740389
7.787957,18,5.7488117.089568,66,5.651626
63.321924,39,5.67064
47.791.586495,85,5.82848
58.341748,44,5.843
16.976558,24,5.852505
67.437646,58,5.753239
77.696496,49,5.887143
95.392958,62,5.917674
16.508722,19,5.926839
11.533311,21,5.93834612122.822453,75,5.967872128.015946,12,5.97187238.549556,38,5.872337
28.92357,31,5.888864
55175.538336,95,6.0430212.07619,97,5.96136
16.694214.902978,121,6.139295
22.802824,27,6.155851
14.476459,17,6.165371
19.463431,20,6201.951462,101,6.072102
18.681126,45,6.087738
12.6607133.28402,68,6.2209.977979,95,6.155346
90.177925,78,6.197086
46.840593,36,6.211631
169.986783,84,6.24487
15.408085,33,6.264905
22.506299,29,6.280416
29.594106,32,6.299455
43.906263,44,6.331568
67.279229,47,6.364906
15.968354,18,6.374943
10.60485,25,6.389474
126.542216,66,6.421851
52.467344,47,6.453043
70.521804,47,6.491175
26.401372,25,6.512243
110.008604,72,6.543339
147.23323,84,7.280652
27.098353,26,7.301672
21.054746,28,7.316687
105.364032,58,7.34699
15.373621,16,7.351986
141.370435,74,7.387379
44.324446,35,7.400891
139.041763,83,7.433469
119.981698,63,7.460005
11.256662,17,7.468513
75.539724,46,7.484554
36.313924,49,7.509879
15.089928,16,7.517389
173.45622,84,7.563441
42.193825,34,7.576464
132.956224,70,7.615093
31.384164,25,7.628655
124.812594,65,7.6618
58.231726,36,7.681481
10.520113,30,7.69791
248.105929,114,7.757056
120.736168,69,7.784587
140.950311,72,7.814675
64.956301,39,7.833091
174.784253,88,7.886687
43.44737,36,7.905715
131.974341,82,7.93626
84.428693,55,7.962333
139.919279,76,7.987392
16.897637,20,7.997931
103.494683,87,8.048656
22.29475,19,8.063187
99.6644,75,8.099811
63.920553,40,8.122489
9.00645,13,8.129997
138.993209,76,8.169066
105.506001,70,8.200661
72.47634,48,8.228197
97.158086,58,8.889618
82.665048,49,8.913337
136.365628,79,8.940901
90.584788,54,8.958955
95.987743,58,8.978798
90.884301,53,9.011483
61.272018,46,9.038694
217.797834,105,9.102623
218.69656,107,9.158244
116.309087,65,9.193308
106.708719,76,9.230118
91.890229,53,9.261688
122.650678,67,9.289743
45.269945,35,9.304773
