#{"t_start": 1773938233.7125235, "env_id": "CustomHopper-source-v0"}
r,l,t
9.517308,18,5.00765
5.966812,12,5.04491
5.333633,9,5.072405
11.914801,15,5.119349
3.833539,18,5.175875
3.546638,8,5.199367
8.939156,14,5.243475
10.713372,18,5.299457
4.097909,22,5.367862
5.247857,20,5.428622
39.974365,35,5.537329
25.605499,48,5.685728
12.875764,23,5.758027
32.720979,27,5.840914
9.014416,30,5.933168
7.090328,14,5.975483
25.436904,26,6.057196
17.487448,25,6.139717
32.753855,39,6.26208
16.590633,19,6.321276
6.042586,10,6.351732
4.539312,17,6.403972
6.523179,11,6.438916
10.047366,17,6.490139
10.950611,16,6.540138
6.971115,12,6.577516
37.823309,32,6.784983
30.891674,27,6.868987
14.995797,21,6.936103
27.363183,21,7.12824
5.856879,9,7.155733
3.718854,8,7.181283
7.2276,17,7.232447
6.653699,14,7.274333
8.569506,12,7.311102
4.420949,8,7.335211
51.115613,30,7.42725
66.732619,64,7.628738
18.521147,21,7.694839
6.774008,10,7.725331
24.368903,33,7.827688
8.485168,13,7.868894
14.829362,27,7.952982
3.254822,17,8.006122
17.318164,17,8.057859
7.040077,13,8.097511
15.117175,19,8.153131
26.868991,23,8.227004
6.948139,10,8.256313
11.942776,15,8.303475
4.715171,14,8.345619
9.308548,17,8.396343
7.70955,12,8.433756
17.657868,28,8.519554
16.772538,17,8.572793
4.68649,12,8.60819
4.354402,10,8.638345
41.671069,31,8.734456
21.824293,24,8.80866
4.6686,15,8.8547
8.493995,13,8.894519
7.999017,13,8.935872
150.703674,90,9.325097
22.306437,22,9.393955
11.845049,28,9.479875
2.706597,14,9.522654
3.60278,8,9.547091
5.610256,14,9.58991
3.251178,8,9.614447
9.074282,12,9.65135
7.079865,13,9.692688
3.537582,11,9.727691
8.647094,18,9.782972
9.632269,13,9.822712
80.755826,49,9.969792
15.325834,18,10.024689
6.652715,14,10.069107
37.353534,37,10.177176
7.987678,11,10.211703
8.155712,19,10.2689
9.37824,13,10.309755
8.913623,18,10.365684
5.321447,11,10.398928
11.397943,14,10.443492
15.248966,26,10.523602
36.008446,33,10.624323
15.927976,19,10.682848
55.636215,38,10.800607
9.910514,17,10.854408
22.90937,27,10.934044
40.849548,29,11.022366
9.449945,12,11.060112
15.174987,17,11.110597
13.170816,22,11.179743
17.907265,20,11.240891
7.943407,10,11.273861
11.203334,19,11.334035
15.774276,21,11.4005
8.804275,15,11.447273
89.830156,56,11.618659
44.676181,34,36.978558
135.024562,78,37.235026
