#{"t_start": 1774305417.9018939, "env_id": "Hopper-Fric-Gauss-20-v0"}
r,l,t
5.764822,27,0.044693
9.615883,12,0.056761
15.2692,23,0.079833
6.192465,9,0.090376
5.415776,18,0.10747
8.910201,15,0.123014
18.163966,24,0.147089
9.28863,12,0.159641
15.012139,26,0.180727
22.508484,21,0.203423
13.731802,21,0.221513
20.446506,28,0.251672
21.291205,21,0.275279
6.264474,11,0.286859
7.38856,14,0.302405
12.104422,14,0.317498
9.616841,16,0.333038
12.819229,28,0.363199
24.929211,33,0.396363
4.102204,9,0.406914
7.449713,13,0.416453
45.344898,37,0.459172
11.766685,27,0.488807
47.942088,38,0.523432
6.478317,9,0.530981
8.78731,16,0.549587
6.026291,10,0.560125
20.302673,24,0.586719
12.498877,21,0.606817
7.488191,12,0.620369
14.578005,16,0.635423
24.535458,29,0.665347
7.357368,13,0.678924
15.237031,20,0.699006
6.567239,11,0.710546
28.895192,28,0.736161
9.424327,15,0.753233
9.93149,22,0.775839
11.22086,14,0.79139
11.228192,16,0.809035
9.609007,17,0.830119
4.288742,8,0.839655
12.272477,22,0.86478
10.176389,13,0.880351
12.338441,15,0.89643
9.497317,18,0.914988
38.657829,31,0.945629
15.272637,23,0.972748
8.855788,23,0.992815
6.870414,10,1.003325
11.082341,15,1.019395
6.672592,10,1.02694
8.626967,22,1.046505
6.464231,14,1.062054
30.388607,25,1.089634
15.713321,19,1.108718
38.993938,33,1.132802
10.025475,25,1.159937
6.838582,21,1.18302
6.68145,11,1.196105
7.804307,12,1.209671
6.273768,11,1.222213
17.777436,27,1.249359
45.785842,36,1.281996
17.023882,24,1.307579
7.472042,11,1.31809
17.048659,17,1.333638
19.719871,23,1.348154
54.321822,46,1.384977
19.57437,19,1.402067
10.155576,13,1.410616
14.388366,18,1.428703
8.470179,11,1.441761
20.326423,23,1.468392
5.677636,9,1.478723
10.595733,21,1.501812
5.686805,9,1.508354
19.675747,29,1.536984
4.934534,9,1.546051
8.287761,30,1.576673
10.900698,15,1.59123
6.445452,13,1.603775
16.781416,19,1.622859
7.534697,11,1.6334
8.121142,13,1.646004
19.864283,29,1.673098
5.991464,14,1.687732
8.161963,13,1.697269
14.516522,27,1.71935
6.452362,16,1.737427
5.136763,13,1.751496
9.819466,15,1.767592
18.281497,25,1.795191
14.925469,20,1.818315
5.032887,10,1.829859
8.447248,14,1.844905
10.241325,24,1.876617
102.823294,71,1.949952
68.856784,42,1.992142
4.665056,12,2.005203
8.483857,12,2.017784
5.424319,8,2.025295
22.430008,23,2.051927
21.74769,26,2.07755
82.933699,59,3.390742
6.014933,9,3.399282
4.752627,8,3.408819
12.765436,19,3.42989
27.226028,25,3.457068
12.258492,18,3.472616
8.563343,13,3.487699
32.469125,39,3.528896
20.410086,20,3.551512
7.122113,11,3.56206
29.866319,30,3.590673
159.719718,81,3.66554
6.056848,11,3.678106
6.29352,25,3.703191
11.368382,14,3.719273
8.62244,15,3.732794
8.705973,17,3.751365
46.605392,39,3.791494
15.883716,18,3.803046
16.256549,17,3.81711
18.179404,19,3.829666
8.731668,20,3.845244
118.393064,77,3.913528
33.674922,31,3.943689
7.918974,11,3.954747
21.583482,23,3.980868
10.708736,13,3.99595
20.545654,21,4.01906
5.491919,9,4.029605
15.879537,30,4.062739
15.941644,35,4.097881
10.270918,15,4.117938
13.19872,15,4.143541
25.660309,23,4.170157
7.273955,21,4.196314
29.75277,36,4.229946
27.933023,42,4.264628
85.791716,78,4.348493
6.83977,11,4.36101
26.891175,23,4.38664
9.267793,11,4.397197
14.520433,19,4.416274
62.838722,54,4.47909
12.497961,17,4.50017
4.799516,11,4.513709
22.658819,22,4.540882
14.208789,15,4.558978
8.281653,11,4.571517
10.92016,14,4.58659
8.529096,11,4.598874
6.93715,10,4.610418
15.580916,34,4.645623
6.635662,12,4.657131
11.256074,14,4.673639
7.682883,11,4.685189
3.27753,11,4.695746
14.177546,16,4.710306
30.174145,25,4.731392
10.504645,15,4.748022
24.560363,39,4.788172
24.184234,23,4.81325
28.798407,37,4.843413
15.008766,17,4.854961
11.142674,14,4.8635
5.984999,9,4.873045
76.39391,50,4.928128
42.102613,32,4.961294
8.957117,17,4.979383
6.00088,21,5.002468
19.598642,20,5.023558
9.187228,12,5.036629
75.175276,45,5.081352
13.594769,20,5.102441
54.671667,37,5.142157
89.094618,60,5.201887
6.151284,10,5.213432
28.688751,35,5.248149
36.428098,38,5.290262
22.339898,24,5.316892
12.028028,20,5.337999
10.495609,14,5.35307
25.215922,25,5.377713
38.466715,32,5.40632
54.288554,51,6.702703
107.193355,75,6.770077
69.983846,43,6.816799
83.745719,48,6.863508
20.03878,23,6.887143
8.034955,12,6.897679
118.318062,82,6.972975
112.357815,62,7.035761
100.276213,59,7.087034
14.761909,22,7.106105
19.756027,19,7.127203
68.098315,59,7.181925
20.683258,21,7.204022
43.665326,41,7.245192
21.480595,42,7.290365
12.461668,16,7.307448
39.242943,29,7.341605
103.573509,68,7.417549
84.593612,48,7.473769
111.937571,71,7.553636
21.336993,36,7.591836
95.52664,61,7.650619
17.923471,20,7.667714
13.335059,18,7.687316
51.116871,30,7.7149
52.46565,33,7.7501
8.487671,11,7.76164
93.745255,58,7.82392
16.93865,19,7.845544
127.319467,68,7.916378
16.141329,18,7.937463
137.177614,104,8.04392
34.452005,38,8.082082
115.811261,79,8.158916
13.28049,21,8.17698
10.51624,17,8.192821
7.879927,11,8.204875
38.750424,35,8.232996
13.343167,35,8.268663
21.751503,21,8.293751
13.833361,19,8.315307
76.986442,50,8.360019
51.39805,44,8.404966
86.45262,52,8.457768
175.464912,104,8.551207
78.685133,45,8.5969
38.027488,32,8.629534
30.597515,46,8.676746
14.823872,16,8.689822
226.343994,119,10.093142
14.547488,16,10.109237
19.676116,24,10.135857
22.49753,21,10.157483
11.328401,40,10.19718
123.004261,66,10.269493
19.218533,24,10.289589
162.606302,81,10.366465
58.681323,36,10.401119
53.640138,46,10.447354
68.601479,42,10.492526
86.490045,49,10.542779
73.978332,50,10.588487
75.096265,46,10.620116
80.736092,63,10.690984
11.594556,27,10.719605
79.115628,56,10.779339
18.498488,25,10.799404
77.861491,45,10.845102
112.928168,73,10.924989
75.359105,45,10.962181
14.036743,16,10.981262
10.179244,17,11.000355
74.270638,47,11.042058
130.075602,65,11.107881
89.649229,59,11.168619
71.208443,50,11.220872
54.314431,33,11.254023
14.001626,35,11.281651
78.531418,48,11.334851
66.207701,41,11.374051
147.334312,90,11.453896
13.378763,15,11.467988
14.818223,17,11.488069
122.081827,70,11.561392
66.959554,41,11.603569
81.89507,58,11.658344
121.482877,71,11.725616
49.026936,31,11.758806
60.3367,36,11.790403
117.072353,83,11.870229
11.461508,16,11.888316
128.317893,98,11.994829
17.344732,24,12.019945
36.965864,31,12.054098
97.006129,77,13.467201
66.005651,40,13.511393
77.495522,46,13.557674
95.893592,53,13.612405
106.749044,58,13.667186
18.006188,22,13.688735
65.331865,40,13.726894
58.512779,37,13.766592
217.928914,109,13.869473
74.018797,48,13.919135
54.969247,34,13.957813
136.555975,70,14.030594
27.317596,23,14.04821
79.914241,52,14.107404
55.69202,34,14.140556
34.500359,26,14.168194
97.997662,55,14.225956
28.989031,31,14.262138
67.942649,41,14.310866
125.022828,68,14.378185
33.6631,27,14.408821
70.281133,43,14.457006
97.42427,68,14.527853
91.635218,52,14.587501
134.315766,68,14.653282
82.166303,52,14.700037
77.68177,50,14.743652
92.182536,66,14.809457
55.218625,36,14.846133
88.808294,51,14.900859
110.657969,63,14.95963
115.893557,62,15.022902
72.125112,43,15.065089
101.773388,59,15.117862
125.208938,64,15.18974
81.831577,48,15.222283
71.181516,43,15.258965
47.168319,55,15.320936
106.07896,60,15.381678
138.410064,75,15.462533
85.981409,55,16.806929
57.820276,36,16.842095
103.534773,58,16.900356
218.804491,98,16.985665
202.624743,91,17.070552
269.323729,131,17.203665
66.346116,41,17.247895
139.322129,70,17.317704
73.502274,44,17.362408
115.988702,72,17.43119
119.337624,89,17.507987
77.494144,45,17.558104
76.64228,47,17.610836
240.186733,112,17.710284
160.783302,85,17.797667
9.878019,14,17.812212
76.585518,46,17.858445
51.688615,32,17.89196
83.351295,50,17.94873
183.4486,88,18.033551
58.9054,37,18.07325
71.604087,43,18.110432
117.877879,65,18.172222
105.163099,59,18.235533
233.075701,103,18.318356
67.773279,41,18.350499
77.287636,47,18.388677
61.581062,38,18.426842
148.463989,82,18.513721
132.682395,71,18.590591
106.507363,60,18.653414
148.875703,76,18.73586
64.850331,39,18.778586
74.899817,45,20.078042
128.901438,66,20.14232
117.81166,63,20.204098
71.827442,43,20.23627
74.75341,45,20.278682
79.726408,47,20.329399
162.746166,83,20.403357
78.58618,46,20.451589
110.551983,59,20.51385
102.675395,62,20.581177
201.3997,96,20.677002
205.576745,109,20.784363
40.780534,31,20.815508
82.897175,47,20.862216
188.098538,88,20.973711
170.060709,80,21.062138
217.743828,98,21.152576
139.992982,74,21.223897
62.591281,38,21.26511
156.597983,97,21.363561
