#{"t_start": 1774300786.7054005, "env_id": "Hopper-Fric-Uni-10-v0"}
r,l,t
5.702137,18,0.030237
6.813255,16,0.041387
8.584616,14,0.04991
5.326418,8,0.057534
3.897295,8,0.06607
9.384319,14,0.079581
62.270562,37,0.117603
5.719843,9,0.126665
16.266837,17,0.139984
7.538107,12,0.150036
9.88114,15,0.165614
8.063328,13,0.180047
62.631689,56,0.237165
7.955282,13,0.250213
11.338126,20,0.269927
6.759275,10,0.278944
19.860845,25,0.303577
16.229874,19,0.323132
11.068098,21,0.346222
6.538121,12,0.360396
7.68806,29,0.388035
10.255804,16,0.404113
6.451338,10,0.413167
8.905302,12,0.425706
10.677229,16,0.438895
7.480719,10,0.445436
28.987484,36,0.483633
5.669937,9,0.491165
11.497483,13,0.504723
13.596638,24,0.531756
50.40625,47,0.582046
30.322603,35,0.620093
26.468445,38,0.661005
14.65886,18,0.678521
14.330133,28,0.708151
24.910029,34,0.742769
9.559652,13,0.756311
12.547253,14,0.773403
14.911877,21,0.795479
10.789602,24,0.811519
17.110908,24,0.836129
7.188792,13,0.848674
27.990469,25,0.871277
7.249442,12,0.88343
5.186056,9,0.89196
13.859255,17,0.911026
7.428371,10,0.922054
23.30977,24,0.945112
8.562079,12,0.956649
20.990614,24,0.981256
8.541832,13,0.988271
6.108437,24,1.006518
20.406796,21,1.023134
4.990147,20,1.042233
10.550178,15,1.057771
7.384142,10,1.068313
7.481616,15,1.08139
19.999916,18,1.10044
6.530753,13,1.112998
64.008894,51,1.153228
7.596526,13,1.164773
56.463103,41,1.204164
47.602658,47,1.242457
10.524967,12,1.253999
9.370909,21,1.275083
54.251989,37,1.313213
17.313692,19,1.333323
8.155748,15,1.348871
7.765849,12,1.360445
87.099646,64,1.427158
23.103675,31,1.457784
7.858548,10,1.467324
10.232845,14,1.481015
4.56225,12,1.494576
7.195378,10,1.50512
3.864405,9,1.515172
10.819492,13,1.527741
40.970823,34,1.560452
12.86425,19,1.582058
98.360555,63,1.638796
9.099968,16,1.654507
42.955095,34,1.684136
9.072701,32,1.718305
12.788694,19,1.737371
6.38209,10,1.746912
7.047963,11,1.756457
3.284502,8,1.760334
12.44085,17,1.773544
5.725769,13,1.787086
6.850053,12,1.800135
11.20147,14,1.815238
6.242067,9,1.8238
10.868921,12,1.836344
9.834558,14,1.851051
12.272056,26,1.876158
13.569345,26,1.902798
44.97837,37,1.943155
7.483376,13,1.957701
16.489662,35,1.991845
21.565083,39,3.295443
4.574025,9,3.305626
34.959282,37,3.348332
48.971704,41,3.388465
84.421988,53,3.445785
11.748763,17,3.463877
73.052688,66,3.533224
9.301926,13,3.545772
9.61722,11,3.556284
60.90385,41,3.598453
6.090526,15,3.614538
27.427342,22,3.637828
12.916723,20,3.658908
5.273504,12,3.670614
39.74591,34,3.706279
12.284031,21,3.728908
44.389259,39,3.768735
5.498358,9,3.778275
13.089644,24,3.8029
110.735266,59,3.866254
11.945733,15,3.882307
14.90705,21,3.901353
5.00563,8,3.909883
30.668992,28,3.936514
6.166297,11,3.94605
15.39308,26,3.969997
52.936246,38,4.00631
61.452204,50,4.06061
6.53254,10,4.070138
13.040618,16,4.085653
6.840971,11,4.097196
95.467116,57,4.147444
9.347509,16,4.156993
131.493579,79,4.22289
9.700277,28,4.24196
6.681551,10,4.250485
45.755774,36,4.286134
5.022668,15,4.30121
20.2789,28,4.329851
8.031905,19,4.344938
10.227723,23,4.363809
5.026269,8,4.372349
19.301829,46,4.41449
75.819465,51,4.463631
10.80487,16,4.478171
11.649374,20,4.498187
87.683111,59,4.558831
52.921286,57,4.604295
8.100004,13,4.614836
14.271035,32,4.65106
9.886412,18,4.667569
57.944955,47,4.705256
26.920716,24,4.730911
8.08306,11,4.737919
31.199945,28,4.763559
7.38455,12,4.775105
82.91366,48,4.822358
30.123909,25,4.847445
51.472046,52,4.895813
26.772983,28,4.924977
5.680266,10,4.935517
73.304651,46,4.98322
8.190427,22,5.006295
41.403323,38,5.046679
14.253625,15,5.061752
8.150784,11,5.074314
36.565711,27,5.10094
124.574913,103,5.190352
12.272023,16,5.205934
16.281512,19,5.225558
7.566849,12,5.238735
9.794117,16,5.254828
9.149347,14,6.537905
70.455146,42,6.581132
78.230232,47,6.636374
28.333727,31,6.667006
4.406283,11,6.679539
102.71587,58,6.741895
79.477073,47,6.791605
44.903375,42,6.828789
73.281157,44,6.86796
90.715488,68,6.928363
43.683048,34,6.961528
53.946649,33,6.991128
19.430179,30,7.016207
52.591146,56,7.071552
26.777615,27,7.102187
10.756957,14,7.114741
59.549984,43,7.155445
7.462508,14,7.169497
91.274353,52,7.217214
15.988957,14,7.232298
17.231648,24,7.255373
55.921632,65,7.318151
124.950731,71,7.386936
131.185685,71,7.454282
24.720793,24,7.477368
5.104188,10,7.486917
63.081693,38,7.524293
20.01728,20,7.544384
41.746855,47,7.590071
35.519582,44,7.63251
13.147188,23,7.654599
4.573907,10,7.664136
190.031624,128,7.789703
39.010906,32,7.822905
91.512695,50,7.869583
20.85151,45,7.918045
23.227608,25,7.945687
144.136775,78,8.022513
14.287042,16,8.038059
205.601242,110,8.140052
137.100511,84,8.22499
2.315202,9,8.235533
12.302667,14,8.249582
5.153582,27,8.277693
43.875392,34,8.313866
59.797805,36,8.356585
53.512343,44,8.405302
85.519061,49,8.453103
24.661328,24,8.4782
149.833041,81,8.556095
156.291652,94,9.885841
98.674474,55,9.933103
30.513437,27,9.959198
33.899362,30,9.988821
136.835567,73,10.068206
53.753698,37,10.103376
135.61924,84,10.188543
130.220364,67,10.250644
6.965723,15,10.266218
91.310886,53,10.311915
40.697523,44,10.350599
8.400553,11,10.356633
179.705741,88,10.441009
28.364831,27,10.465115
31.570127,27,10.483194
205.527719,91,10.570446
80.660063,47,10.605119
55.938574,34,10.635726
10.492364,24,10.658816
165.051295,79,10.731437
12.675033,17,10.746004
41.664009,33,10.781162
100.621779,58,10.838347
148.188242,73,10.906128
70.171885,49,10.952358
95.606455,59,10.99154
70.102865,43,11.032257
5.468485,11,11.04281
141.155022,90,11.131116
163.305667,117,11.250331
39.114986,29,11.27245
79.48388,79,11.352314
33.556094,25,11.376362
89.461263,65,11.440299
82.056961,55,11.498045
11.076769,15,11.514134
48.221059,49,11.567204
67.651009,42,11.608368
24.296748,23,11.634073
12.183435,20,11.651155
86.951766,59,11.701881
91.226568,51,13.01468
98.771193,55,13.051307
180.734632,107,13.153396
170.776115,79,13.234212
75.95567,54,13.286912
114.614066,71,13.366802
154.702218,75,13.434175
178.725925,87,13.515527
174.892042,82,13.598365
120.553327,84,13.678783
87.547718,51,13.72804
110.535506,62,13.780247
48.182085,42,13.819429
186.441235,92,13.899979
205.856203,94,13.980781
78.289001,46,14.030005
115.14426,62,14.092898
81.979419,48,14.137866
215.911111,104,14.228871
149.867861,102,14.319207
120.818778,67,14.386012
88.97701,62,14.43374
7.589774,10,14.444284
133.615322,67,14.517337
55.968043,35,14.560394
154.674645,75,14.640267
142.714901,73,14.715598
221.360245,97,14.817491
74.902573,44,14.853019
140.839003,70,14.911241
53.193413,33,14.946861
50.389738,36,16.21956
96.650486,55,16.27201
54.631306,33,16.300069
191.375674,101,16.381769
94.428123,57,16.432031
132.129202,86,16.511371
165.806904,88,16.588778
54.877548,39,16.621681
24.067202,24,16.638743
55.719332,48,16.687413
107.776496,59,16.749213
124.249271,65,16.825194
93.534594,53,16.881429
218.844558,102,16.974826
137.566354,70,17.044803
55.326717,47,17.078438
54.752076,34,17.113609
73.277179,44,17.152292
36.845182,34,17.181918
77.196014,51,17.214084
50.961318,31,17.244709
146.51748,73,17.312071
160.692361,83,17.390689
95.830511,54,17.443075
208.420996,95,17.530926
170.064629,93,17.608738
98.717052,56,17.662284
49.330317,30,17.683384
71.57967,44,17.727592
95.980809,53,17.781805
76.637972,48,17.824507
16.516668,26,17.84559
148.975035,82,17.937007
72.989589,59,18.00259
191.238287,85,18.083504
203.512175,94,19.423368
67.440069,41,19.464541
108.084523,75,19.541431
74.187911,44,19.580567
210.391227,95,19.658494
238.825188,111,19.753274
213.292946,96,19.839979
216.764386,98,19.943084
206.7944,93,20.027726
220.033241,102,20.124236
90.625336,52,20.183598
83.778097,49,20.233427
71.15464,42,20.273589
228.662351,107,20.373977
167.878593,82,20.453402
120.281486,65,20.520665
159.783738,82,20.607573
277.363232,130,20.723782
106.241707,60,20.783581
55.063377,33,20.812872
200.832638,90,20.883155
225.141411,101,20.971027
192.028921,96,21.056507
124.504737,65,21.11378
69.13692,41,21.153044
176.356319,87,21.24194
45.641837,27,21.272594
206.793076,93,22.672484
217.653894,94,22.757365
113.790818,64,22.811611
201.11131,91,22.889954
81.487296,47,22.933215
197.752293,89,23.022709
190.977307,88,23.113581
204.740585,90,23.196002
229.385738,101,23.280896
141.215268,72,23.338626
148.653644,80,23.403012
194.587692,91,23.486817
215.919898,94,23.567254
134.849242,69,23.639217
204.77197,99,23.731055
225.946773,103,23.834236
101.182737,58,23.87833
92.279263,52,23.92756
217.071098,103,24.012052
69.124147,45,24.054716
77.475187,46,24.100951
206.191407,91,24.197995
227.551549,107,24.292738
211.239164,95,24.378219
71.8099,43,24.423937
206.27455,99,25.75539
53.649446,39,25.7955
232.534401,101,25.898516
225.196831,102,25.990423
169.352488,92,26.081486
262.922601,139,26.210292
200.119944,95,26.298801
99.445205,55,26.343052
102.173629,57,26.393258
81.304021,48,26.431944
207.572724,95,26.51926
200.475932,95,26.596703
208.416884,94,26.669143
157.764376,84,26.735423
215.796239,99,26.831069
211.929488,93,26.926187
214.966832,96,27.028239
203.76756,94,27.122367
151.52235,74,27.189294
112.399124,63,27.249013
211.165837,93,27.347693
216.678904,99,27.4341
206.014758,108,27.543047
29.597977,28,27.572278
213.391724,97,28.891414
205.147195,92,28.973783
195.846933,104,29.062078
221.671098,103,29.166428
222.836724,98,29.261936
143.59602,72,29.335292
205.849029,94,29.430027
223.643527,103,29.527505
181.811389,90,29.601811
212.096398,96,29.681176
203.890004,94,29.757505
22.668787,39,29.791649
207.507612,93,29.879069
224.173235,102,29.970685
186.093677,85,30.043174
209.294165,95,30.13358
149.246,79,30.202866
62.355074,38,30.234395
213.829448,109,30.343873
223.900093,102,30.43741
171.381513,80,30.512672
215.309204,100,30.616951
228.847296,109,30.723948
229.350865,101,32.064404
215.728822,96,32.162847
218.26535,98,32.258925
212.322724,94,32.328727
204.633643,90,32.419122
213.992631,95,32.52163
210.742365,91,32.608521
98.782564,55,32.66344
208.471915,95,32.736716
226.510978,102,32.821592
190.553036,86,32.897874
215.359907,95,32.976356
233.347591,107,33.052778
205.34388,95,33.131606
179.467441,82,33.200406
48.025814,29,33.227032
51.099321,32,33.258188
226.356401,101,33.357646
149.757714,75,33.411886
216.120573,96,33.502295
235.059958,104,33.608181
174.635613,83,33.700923
119.863955,70,33.769376
185.799055,84,33.846301
216.368422,97,35.223774
222.994064,99,35.329263
213.264703,95,35.422698
90.49861,52,35.455807
221.581912,101,35.541184
215.7429,97,35.630611
88.889784,51,35.681872
206.143032,96,35.774284
235.912607,112,35.887539
199.994803,89,35.983392
215.620778,104,36.086365
169.419263,79,36.160452
205.897245,92,36.250879
212.747056,93,36.34027
158.737997,76,36.419052
218.324833,100,36.511949
217.883811,97,36.613712
210.810666,95,36.706558
203.121418,91,36.801396
210.252923,92,36.895842
224.535953,103,36.998736
237.514089,107,37.121353
205.73187,93,38.43904
92.609835,56,38.489769
223.412012,96,38.59329
220.516687,102,38.692251
236.992218,109,38.776047
225.166521,102,38.863447
156.996067,75,38.928242
201.436328,93,39.017603
209.31737,93,39.099397
203.319064,93,39.187932
140.091859,71,39.250943
209.156109,93,39.350891
204.211383,91,39.436747
221.798649,99,39.536196
204.104587,92,39.631586
227.096104,102,39.735608
216.916076,99,39.826102
97.165432,55,39.877123
222.191325,103,39.970689
220.680207,96,40.051021
224.608443,101,40.147053
214.703784,95,40.253017
208.285253,96,41.616053
210.729654,93,41.706708
236.6266,104,41.811162
218.997362,100,41.898718
216.430566,95,41.977183
214.124267,95,42.063527
207.068509,92,42.152478
204.186836,104,42.241444
194.82222,87,42.323361
215.014106,95,42.423213
203.093496,90,42.511203
202.964994,90,42.594242
218.063185,97,42.684627
204.629524,91,42.772553
217.578602,98,42.873091
205.429331,92,42.950016
197.959041,90,43.042564
212.259458,94,43.135484
211.195359,94,43.205788
210.053071,93,43.309056
223.295622,100,43.409181
193.223217,89,43.475506
210.613657,92,44.868201
215.193856,95,44.968825
182.956724,88,45.045635
202.835779,90,45.117013
208.587983,93,45.206998
206.832938,94,45.288399
213.469685,93,45.368305
204.143836,91,45.450736
207.88468,95,45.542094
212.371119,97,45.627045
200.6323,91,45.691344
200.233389,91,45.772787
219.735597,101,45.86215
235.915876,105,45.971171
148.921551,76,46.04947
208.604096,93,46.144592
236.179119,103,46.239096
214.678211,95,46.32592
215.917957,97,46.424867
214.414045,94,46.514749
218.181073,102,46.618296
136.228467,68,46.683132
213.628614,95,48.082528
137.976424,76,48.144899
187.164978,84,48.216789
222.418059,99,48.323869
218.228668,95,48.423877
229.36966,104,48.524806
210.957696,96,48.6162
194.410845,88,48.701124
220.367195,97,48.79912
193.796579,88,48.879993
246.453827,106,48.972929
207.748995,97,49.070819
251.148889,107,49.178769
219.319318,96,49.271169
220.444727,95,49.367475
238.1356,110,49.493283
212.842385,96,49.57377
192.423247,88,49.653231
231.209818,102,49.763366
203.783905,91,49.848797
219.257948,102,49.958218
217.422443,96,51.331583
218.640868,99,51.428099
234.280993,102,51.532011
208.81798,92,51.628549
213.456532,97,51.711575
216.093458,97,51.790896
248.969516,111,51.89484
203.293678,100,51.984256
182.369523,83,52.049552
219.730087,95,52.132
207.589057,94,52.224487
221.120997,98,52.327973
219.050157,96,52.433979
216.59914,97,52.538578
195.795355,92,52.63254
208.936353,91,52.729474
216.080932,95,52.831582
221.911348,101,52.929572
208.82133,93,53.025033
165.90799,78,53.096904
259.756166,110,53.205536
201.81575,90,53.278461
218.341742,96,54.694623
239.062733,115,54.789003
254.106837,117,54.90466
246.97499,108,54.997089
200.862114,93,55.079999
204.784396,91,55.176988
243.865296,117,55.28549
226.471314,97,55.378871
223.495456,102,55.473367
224.891842,102,55.578354
207.082925,94,55.672776
216.881822,95,55.766213
229.149586,100,55.862143
224.293638,98,55.954562
228.610964,116,56.083149
239.542907,106,56.201359
225.782892,98,56.312835
225.731257,107,56.428261
217.419555,96,56.529235
225.818906,99,56.621184
244.819832,109,58.042089
154.353663,77,58.119913
215.393236,98,58.213423
228.19734,97,58.305806
272.708313,110,58.409342
75.66336,45,58.456603
201.19933,92,58.551533
207.633284,102,58.64289
246.337828,112,58.748838
231.558399,106,58.84779
257.996305,113,58.944276
251.946781,119,59.0653
229.123416,105,59.166789
251.436203,110,59.271256
229.757347,101,59.378282
201.348193,96,59.466698
231.340882,110,59.582419
278.254861,115,59.70914
223.785301,100,59.796186
195.216266,102,59.879102
308.723017,122,61.285747
232.956043,113,61.393779
302.460128,127,61.499742
159.688473,80,61.578409
310.205423,124,61.68343
230.884795,106,61.792905
299.272266,118,61.901992
140.843517,76,61.976348
190.635765,89,62.048684
263.84823,113,62.130035
170.052132,83,62.19581
294.544375,120,62.305853
308.20439,124,62.436427
221.793418,102,62.53151
327.067201,131,62.655614
315.990578,130,62.774708
222.613678,100,62.865868
321.678352,128,63.006039
110.684163,59,63.062723
265.27702,114,64.428276
176.500969,82,64.501103
221.296968,104,64.596553
246.840202,113,64.697552
266.633888,119,64.814617
327.470545,131,64.949401
321.60666,133,65.07152
267.053706,110,65.179384
321.816229,140,65.321957
288.8286,117,65.447328
347.32248,148,65.594918
210.776916,97,65.697399
276.411621,132,65.828988
227.595631,99,65.939009
250.79773,117,66.05609
303.742439,130,66.166586
236.924587,108,66.272582
253.093619,110,66.379571
244.199273,106,67.788101
315.821905,135,67.925823
333.251447,150,68.069504
230.393617,107,68.167248
288.873337,127,68.305459
287.337482,126,68.439209
340.627955,137,68.583859
233.991973,108,68.686961
272.10839,120,68.800004
233.027175,109,68.893483
253.291883,114,68.991647
286.182537,119,69.113712
204.40378,102,69.203971
339.209543,151,69.329112
