#{"t_start": 1774300790.8035963, "env_id": "Hopper-Mass-Gauss-10-v0"}
r,l,t
13.76654,21,0.03015
6.195582,11,0.038708
11.288455,15,0.04825
13.528048,34,0.07034
7.481871,12,0.081462
8.298899,11,0.091875
7.545141,10,0.102052
9.284162,18,0.119153
12.553601,14,0.130695
6.169446,14,0.140237
13.129428,17,0.158317
6.790374,10,0.168865
8.656149,12,0.181914
15.380634,19,0.200488
22.285221,23,0.223639
33.418816,35,0.259051
16.139682,25,0.290692
9.211227,17,0.309757
4.127722,8,0.319803
12.491986,14,0.334846
14.166077,16,0.352884
8.813001,22,0.374977
28.232967,29,0.403499
2.302092,12,0.416009
6.718171,10,0.426027
4.978795,15,0.440532
15.058622,24,0.464166
24.579296,27,0.486024
65.33705,38,0.510099
9.405881,13,0.524713
10.130648,19,0.540816
28.412935,31,0.563367
24.126226,22,0.579914
7.444679,15,0.59452
5.426121,10,0.606059
7.867776,13,0.61964
10.829942,17,0.634728
25.420857,42,0.67036
14.680634,18,0.686453
4.797317,13,0.696993
19.015196,23,0.715091
74.016031,75,0.775527
8.629438,12,0.783054
5.28139,9,0.790067
6.077225,11,0.802129
20.640719,20,0.822238
8.353611,11,0.83331
16.037795,23,0.850869
21.715799,25,0.868952
57.329939,42,0.909104
4.235569,9,0.919853
20.474147,23,0.943472
6.165019,14,0.957025
8.997554,16,0.975117
8.279939,19,0.995212
12.919111,21,1.019832
10.369663,13,1.033925
10.649178,26,1.064558
39.931782,33,1.100189
9.193778,17,1.118797
23.706329,31,1.151599
7.984419,19,1.171692
18.337036,17,1.190269
17.046729,18,1.209348
12.785652,16,1.227965
9.710583,14,1.244045
4.371358,9,1.255591
5.292301,9,1.263116
13.663767,21,1.287207
3.32307,9,1.296751
8.720637,11,1.308292
13.357192,15,1.320366
15.698804,19,1.341456
27.451254,30,1.372568
11.810081,20,1.397685
11.422698,16,1.414782
40.617021,37,1.451465
5.024771,17,1.471539
15.089206,31,1.505208
13.391132,37,1.544439
34.612167,34,1.577059
7.115454,15,1.592117
22.64351,26,1.61973
18.955723,21,1.640815
13.766956,16,1.658897
19.897535,26,1.683515
13.536067,16,1.701591
28.407748,30,1.734453
9.536993,15,1.752491
5.733609,9,1.763032
49.257227,39,1.805221
20.173782,33,1.841386
6.649816,12,1.855465
13.907405,16,1.87456
19.280304,23,1.899636
23.062212,27,1.931318
4.561368,9,1.941869
20.123654,24,1.968002
6.575708,16,1.979552
3.414298,12,1.989086
23.731123,32,2.020251
6.158447,11,2.033322
48.100631,56,3.389721
9.578733,17,3.405486
44.746667,62,3.466284
10.131793,14,3.479816
13.242166,21,3.499903
22.79965,35,3.536317
75.373966,58,3.59757
6.641325,12,3.610113
2.831681,25,3.636283
70.5311,47,3.686991
29.300406,43,3.738253
29.175063,34,3.771387
9.731144,16,3.786953
11.091769,16,3.804788
6.623903,9,3.815331
6.420031,10,3.827399
20.174586,24,3.855033
34.118295,30,3.886651
12.483274,17,3.904713
16.392633,17,3.922288
30.539921,29,3.951412
24.745426,23,3.969495
16.936151,16,3.985582
8.251657,18,4.002647
8.51078,15,4.019735
19.66448,38,4.061947
21.497705,32,4.098627
16.952664,32,4.133323
13.543025,30,4.166956
15.323692,18,4.187041
17.18989,19,4.20913
108.02398,61,4.275474
27.308568,29,4.309104
15.499511,22,4.330282
21.36356,25,4.356905
28.269971,27,4.381521
15.802942,27,4.412166
18.669169,29,4.440808
90.719311,53,4.494067
7.481445,11,4.506617
7.061308,11,4.51865
25.779872,31,4.552345
