#{"t_start": 1774309682.3706279, "env_id": "Hopper-Mass-Uni-50-v0"}
r,l,t
2.570289,27,0.047251
6.76841,10,0.058794
8.942046,22,0.081379
7.841745,11,0.092947
1.954991,18,0.114058
8.140786,17,0.133129
21.867005,28,0.163292
29.113483,30,0.194932
14.258278,23,0.219027
10.7975,20,0.239625
33.053906,30,0.26526
21.24621,20,0.28635
6.649301,12,0.299891
6.621524,14,0.313973
11.941845,14,0.323517
9.114079,16,0.339592
11.313414,27,0.364224
22.210039,34,0.399572
3.734267,9,0.409104
7.622647,14,0.425163
77.157427,67,0.473405
58.936572,39,0.504059
7.765148,19,0.5176
5.342426,10,0.523133
22.981507,24,0.537689
7.699255,15,0.546756
7.298265,15,0.55631
15.790113,17,0.569846
18.29299,29,0.593479
9.408497,15,0.60603
17.684179,21,0.628046
4.062013,10,0.637583
33.978517,30,0.667744
10.079635,16,0.684829
7.751949,20,0.704923
11.152986,15,0.714465
7.98016,14,0.725005
6.713284,13,0.73757
8.638889,12,0.749132
9.555499,23,0.771653
9.80289,13,0.785183
10.247903,14,0.795723
6.13409,19,0.814809
42.319475,32,0.846969
9.281704,22,0.86406
4.017227,12,0.871573
6.438448,13,0.885102
4.3547,9,0.891101
13.135994,18,0.90713
22.559125,28,0.926218
5.437546,13,0.938293
38.830048,29,0.965929
14.824909,16,0.97847
36.627771,32,1.005103
13.407247,25,1.030184
4.565283,18,1.049603
8.173916,13,1.062675
7.210536,11,1.072224
4.967104,11,1.079241
22.591694,25,1.095333
39.426578,36,1.128968
14.324496,24,1.151088
13.599566,16,1.163646
106.832126,71,1.222893
6.729496,11,1.232919
38.43645,30,1.2614
23.084622,23,1.284173
7.893939,11,1.293715
22.792448,24,1.315795
5.228386,9,1.325346
9.460521,20,1.346968
6.14075,10,1.357508
17.305128,29,1.385125
4.03454,9,1.392656
5.987283,30,1.417756
9.678321,15,1.432826
4.901492,13,1.444914
15.02237,18,1.458457
5.777507,10,1.468996
4.617303,16,1.479533
15.259109,28,1.503111
5.115599,14,1.512649
8.132168,14,1.521174
37.512362,55,1.572383
8.817674,15,1.585942
15.318824,23,1.599481
13.680486,22,1.612551
3.822131,10,1.62108
7.679361,13,1.634657
10.519839,24,1.653255
151.078385,85,1.722064
