#{"t_start": 1774314880.7268164, "env_id": "Hopper-MassFric-Gauss-80-v0"}
r,l,t
5.590415,18,0.039164
6.287302,16,0.056249
9.211798,15,0.071788
4.541499,7,0.078803
4.041278,8,0.08832
10.557546,15,0.105378
61.549519,37,0.142007
6.961478,10,0.153369
15.517781,18,0.170571
6.411281,11,0.180639
9.017072,14,0.194703
8.841547,14,0.211271
34.696881,39,0.251452
20.336533,21,0.273054
13.821006,16,0.29216
17.157608,22,0.315783
17.661462,23,0.33687
17.693044,21,0.36196
11.725615,21,0.37958
6.521514,14,0.397601
9.355532,24,0.421623
8.563597,15,0.437681
9.064031,13,0.450222
9.070864,12,0.459249
11.692813,18,0.475321
12.796897,14,0.488393
12.793278,25,0.512999
6.957478,11,0.523543
9.310165,12,0.534101
72.299709,57,0.590353
10.559603,22,0.613956
53.294963,45,0.662131
13.541678,23,0.68727
15.759408,19,0.705355
14.66505,32,0.738991
22.773668,35,0.777179
7.306196,11,0.789205
36.404283,33,0.827116
9.704905,23,0.851167
16.70173,24,0.87466
6.949794,13,0.888753
27.811953,25,0.914365
7.250009,12,0.927929
4.781006,9,0.938471
13.904895,17,0.956121
7.191893,10,0.965147
24.289716,25,0.993026
12.021935,17,1.010598
13.11777,19,1.033192
6.911179,13,1.049768
7.86571,24,1.075403
19.167808,20,1.097024
5.012339,20,1.120119
10.74287,15,1.138213
7.216158,10,1.150747
8.551341,15,1.167822
21.735184,19,1.187426
7.178596,12,1.200974
64.148577,51,1.254937
6.554731,13,1.266487
54.042029,41,1.314662
48.875565,49,1.360469
18.249351,18,1.382053
14.383023,25,1.409625
11.337937,19,1.430696
18.405544,27,1.461825
12.315773,22,1.48899
96.9167,65,1.551249
14.416412,16,1.570344
12.954429,18,1.588949
7.79559,10,1.601494
12.219444,16,1.620581
5.505826,13,1.634656
5.444311,9,1.645204
5.31659,10,1.65877
4.944215,8,1.669312
63.159915,46,1.717215
107.260247,65,1.780538
10.426485,17,1.798218
67.469602,46,1.837383
24.238206,34,1.873457
10.159094,17,1.888484
4.610726,8,1.898029
5.08028,9,1.907562
3.654294,10,1.9201
14.066613,16,1.93916
10.301753,17,1.957756
13.997924,16,1.975852
7.472958,10,1.987923
13.174729,13,2.001465
10.097803,14,2.017557
11.997979,26,2.047179
9.486675,19,2.071276
43.220663,42,2.119515
11.316167,15,2.134595
17.723895,35,2.172249
20.902764,40,3.505996
2.822267,7,3.514524
73.222661,71,3.586765
110.489649,61,3.654045
11.728278,17,3.674137
80.429024,68,3.736408
10.747818,13,3.750949
7.961448,10,3.761481
66.031608,42,3.80366
9.491455,17,3.822237
18.327503,18,3.84233
11.500973,19,3.864949
7.883566,13,3.880019
40.747853,35,3.911656
14.052127,23,3.92874
22.624624,24,3.954932
9.454807,15,3.972016
7.272397,11,3.982085
13.121563,16,3.998177
105.292343,68,4.062956
3.645304,8,4.069988
15.720787,23,4.091602
5.352856,8,4.101154
12.337281,15,4.116237
11.893669,14,4.130781
9.678591,12,4.142334
20.683077,25,4.16597
36.150013,31,4.200118
44.292673,50,4.250826
9.655972,15,4.266915
12.948917,16,4.283489
7.075478,12,4.296071
88.762324,56,4.346791
9.334712,17,4.363853
31.946869,33,4.39806
20.986644,24,4.424689
52.533535,52,4.473477
11.668264,13,4.489578
23.388071,25,4.513185
7.413002,11,4.525746
4.007248,12,4.538295
19.285176,23,4.564914
4.863111,20,4.58351
12.061613,26,4.603595
9.535163,12,4.615153
26.423757,44,4.659328
241.717578,136,4.79213
89.73045,66,4.855504
5.792623,11,4.869063
20.265817,30,4.901223
9.064643,18,4.921318
62.269598,48,4.971576
20.838794,21,4.994739
12.196564,15,5.011299
32.026185,29,5.041898
6.983002,13,5.053439
51.453866,35,5.083083
28.993771,32,5.117704
76.760647,75,5.193486
11.710162,14,5.21006
5.89891,9,5.220603
37.196443,34,5.258619
4.924665,10,5.270135
10.629994,20,5.294292
42.743014,38,5.336458
20.061659,19,5.354502
8.182934,12,5.368057
42.753725,30,5.399926
45.55908,58,5.447671
26.612136,32,5.481364
9.800347,14,5.497455
9.278459,13,5.512993
11.024482,13,5.527056
5.262401,9,5.537598
13.117348,18,5.556686
9.94058,15,6.849667
70.378167,42,6.893333
83.825181,53,6.94931
9.717719,22,6.971926
2.595038,11,6.985553
114.261902,63,7.045815
63.433845,39,7.083474
116.921698,79,7.160333
26.559953,28,7.189399
65.812491,41,7.229564
61.432105,43,7.269548
52.520303,33,7.300706
23.550813,34,7.334636
70.740191,63,7.397433
24.969325,21,7.421281
7.273716,12,7.434352
58.597916,44,7.47402
8.052718,15,7.489081
124.873239,64,7.552342
13.781019,26,7.577964
27.387058,33,7.610122
26.379306,34,7.643282
35.584742,50,7.699509
122.048689,81,7.785965
21.395817,26,7.817595
12.182144,19,7.840646
61.506124,38,7.880267
12.967194,15,7.894356
34.410415,46,7.941541
42.458978,47,7.984231
23.957471,32,8.017824
196.718446,132,8.154983
25.800414,24,8.179598
105.484718,58,8.237862
24.853693,43,8.288065
10.72375,20,8.308159
40.028228,33,8.338783
167.436437,78,8.416609
31.59032,41,8.456769
18.409918,27,8.486455
36.733076,36,8.525557
185.070496,104,8.625253
7.327992,23,8.648353
130.097318,67,8.708936
50.860333,48,8.75801
72.80831,48,8.79317
31.773999,28,8.817771
23.575751,31,8.850382
49.315113,34,8.884064
62.219389,37,10.175976
16.584586,19,10.193528
88.838765,51,10.231146
91.120327,52,10.273292
32.223693,29,10.296419
33.216012,28,10.325004
54.133057,38,10.363154
220.954662,98,10.448692
17.462508,25,10.47229
105.181619,65,10.536622
90.165299,58,10.588866
114.087684,79,10.665209
22.297267,20,10.688835
196.624068,89,10.780129
31.146583,30,10.808687
133.78047,71,10.878493
26.32247,22,10.893103
134.001943,69,10.954344
56.124001,35,10.991012
9.209748,28,11.013613
206.888078,99,11.110887
36.435224,28,11.140468
103.302842,58,11.192255
75.37672,47,11.243449
38.566981,31,11.276109
136.41595,73,11.340848
20.101585,22,11.363454
73.310403,48,11.411144
5.531059,12,11.42318
124.849265,89,11.51104
54.666523,68,11.581109
192.579841,100,11.676752
44.348225,54,11.72491
31.429292,24,11.748019
96.826279,69,11.818277
75.256199,52,11.866991
12.913249,17,11.885614
116.623053,78,11.959352
24.40108,31,11.997564
19.541219,23,12.021646
81.949916,49,12.076899
80.446192,44,12.127144
59.544276,36,13.445191
77.672686,51,13.49995
176.330813,115,13.613265
119.859899,63,13.677558
87.643747,53,13.731533
49.312522,42,13.773217
91.193919,63,13.833484
67.654033,40,13.87066
200.906726,101,13.96661
121.753687,65,14.033896
49.30623,53,14.086147
59.160892,42,14.121768
94.811141,55,14.181091
88.191642,50,14.235358
54.770111,40,14.272003
108.244964,62,14.334131
66.866352,40,14.377349
180.049356,88,14.465802
78.19273,45,14.505869
104.575571,58,14.566605
79.891197,48,14.623287
122.895293,72,14.699507
46.452323,37,14.737695
149.503604,87,14.82357
17.400081,19,14.842643
110.782341,61,14.890514
87.792742,72,14.956257
141.421649,69,15.02504
154.9252,74,15.090843
19.895953,20,15.110718
94.646486,56,15.154405
214.610912,95,15.251719
100.405368,57,15.315055
96.637314,54,15.368727
104.158826,56,15.426532
69.138764,45,16.799229
53.966058,33,16.835402
94.554922,52,16.887686
189.524227,100,16.984075
96.130904,59,17.04183
99.533697,54,17.099626
98.590715,56,17.153854
124.516052,69,17.222658
50.07868,38,17.261827
22.316163,23,17.286996
203.62382,113,17.404035
107.372297,60,17.467618
91.818519,53,17.520862
207.313404,98,17.621844
109.028029,61,17.693709
137.104772,77,17.775019
62.848461,37,17.805178
66.700554,41,17.844347
21.085323,35,17.881491
53.65244,39,17.92922
81.04783,48,17.986555
106.348604,57,18.043804
142.195713,70,18.114072
104.286103,57,18.178644
223.117591,102,18.280592
93.434927,56,18.341872
103.154846,56,18.401673
112.436109,60,18.466995
70.588811,44,18.513992
101.826933,55,18.577298
77.754809,49,18.636095
15.181366,25,18.663644
100.454691,67,18.734984
170.535468,88,18.82846
179.371559,84,18.924378
75.085227,44,20.327021
179.825167,80,20.404837
80.113334,54,20.458532
63.786318,39,20.497641
207.246062,92,20.590017
226.965127,106,20.702533
208.302881,101,20.808931
197.398217,85,20.887804
103.893367,59,20.943987
185.598895,85,21.027359
229.555458,104,21.143363
136.31408,70,21.212151
206.394296,93,21.319404
104.805282,60,21.378188
214.782369,95,21.474108
215.237219,95,21.569011
77.339438,50,21.622247
204.005781,89,21.716161
153.107046,96,21.803942
92.093173,49,21.856352
215.092349,98,21.943594
84.474036,48,21.990831
40.942725,33,22.024936
85.797779,51,22.07744
86.993541,54,22.129626
101.335721,59,22.187108
75.294953,44,22.220753
137.554624,72,22.288691
203.381387,90,23.664548
110.83238,61,23.71781
203.482384,90,23.795643
218.357271,98,23.894374
146.885572,74,23.959528
82.496673,49,24.004265
214.33298,95,24.088166
95.111665,54,24.138423
198.837242,87,24.221103
207.202757,91,24.30616
207.620903,90,24.401374
234.387335,114,24.521474
87.947524,49,24.571159
219.020099,96,24.671952
124.651889,65,24.734222
204.158042,95,24.822076
231.053675,105,24.940144
102.98847,60,24.996437
101.325855,54,25.051149
216.810308,99,25.161353
61.076059,49,25.215638
65.733352,40,25.256808
205.71859,92,25.352261
211.896481,92,25.438687
148.905675,74,25.517111
213.756062,92,25.621099
210.624275,99,26.998911
219.291968,100,27.089323
231.905649,103,27.191997
89.358955,50,27.239716
98.457546,60,27.302524
241.808395,122,27.420035
93.257773,66,27.475795
206.228868,96,27.564224
150.234097,75,27.640598
85.559618,49,27.683887
213.075917,97,27.789058
193.600826,88,27.870394
202.93554,90,27.959404
203.505936,92,28.055028
220.750174,98,28.160696
220.441828,97,28.256303
212.586058,94,28.35065
212.95796,94,28.443949
146.713405,73,28.515322
98.277286,57,28.571556
183.150891,84,28.647429
147.199734,73,28.703685
154.837629,74,28.779875
211.52053,96,28.874283
212.857613,97,30.227613
216.974898,94,30.320973
183.846198,98,30.42392
224.4187,100,30.52403
220.479172,98,30.620345
119.688842,72,30.696121
208.543897,93,30.787509
241.594985,106,30.884423
186.772281,90,30.966826
218.079977,96,31.073666
82.963111,48,31.124429
214.801266,101,31.231443
210.345042,92,31.321513
228.381763,103,31.428807
145.170443,74,31.514175
208.284335,93,31.612558
212.849369,98,31.722062
73.426704,44,31.775992
195.255326,88,31.867058
225.534032,102,31.957418
216.299541,94,32.046724
207.183632,94,32.136037
218.177804,98,32.230517
208.456863,91,33.665602
214.603216,93,33.765575
207.41625,95,33.857927
210.118727,92,33.950917
211.597848,94,34.056451
216.675939,99,34.165821
211.502733,91,34.250688
182.992734,82,34.320582
210.803741,96,34.418361
209.843869,94,34.51427
176.883851,82,34.589634
212.791681,93,34.680974
231.988889,110,34.803799
230.591841,102,34.90276
191.712499,86,34.979705
82.479474,47,35.026878
221.87884,97,35.114255
162.583597,78,35.199175
226.855226,100,35.289561
233.390039,107,35.370906
187.269729,87,35.45923
132.043094,79,35.5388
218.546938,98,36.91669
229.26867,105,37.032645
224.263462,102,37.145099
210.313802,93,37.233015
214.945923,95,37.329942
85.804913,54,37.385704
203.291635,89,37.47559
223.782993,106,37.584118
154.811917,75,37.664048
143.555153,74,37.744915
203.9458,90,37.843886
215.485867,97,37.948793
127.398813,64,38.017657
207.549305,93,38.107097
215.924817,94,38.220515
152.060606,76,38.302355
219.630671,99,38.38971
109.880016,58,38.442407
216.858512,98,38.538144
162.733545,76,38.61228
221.881039,98,38.706244
217.559032,96,38.806172
215.696866,98,38.908092
222.407716,97,39.008028
182.815199,86,40.358139
