#{"t_start": 1774035189.7283854, "env_id": "CustomPusher-vAttrito"}
r,l,t
-1869.985657,1000,3.09533
-1591.526575,1000,5.011644
-1687.906633,1000,23.705183
-1625.300026,1000,26.489621
-1576.293342,1000,45.170235
-1438.180526,1000,47.701546
-1585.250968,1000,66.26139
-1422.239429,1000,68.685745
-1195.892024,1000,87.059905
-1607.52001,1000,89.646837
-1772.635536,1000,107.63067
-1437.763425,1000,110.108756
-1303.013681,1000,129.328489
-1130.259955,1000,132.133845
-1161.236472,1000,147.046626
-1114.814155,1000,149.377299
-1129.190515,1000,166.304863
-1105.701879,1000,168.861669
-1568.950004,1000,184.379865
-901.180958,1000,186.411681
-1420.557235,1000,201.617183
-1485.102383,1000,203.659249
-1264.596088,1000,218.489379
-1248.080578,1000,220.618341
-896.732298,1000,236.114612
-1227.57365,1000,238.361013
-1349.650501,1000,253.187549
-933.100261,1000,255.360166
-708.763916,1000,270.189942
-1212.988516,1000,272.201225
-1082.009517,1000,286.71133
-1065.019065,1000,288.654973
-1188.392279,1000,303.144674
-992.731765,1000,305.188231
-991.587281,1000,322.262299
-973.947736,1000,325.231043
-1263.30447,1000,344.501756
-715.320793,1000,346.960684
-855.701088,1000,365.176316
-838.460548,1000,367.504838
-559.469115,1000,385.652168
-625.592976,1000,388.389571
-821.150437,1000,390.957517
-680.249582,1000,410.834811
-590.748496,1000,413.409857
-666.561686,1000,431.912831
-878.065924,1000,435.013832
-635.722492,1000,453.420951
-675.724768,1000,455.633524
-514.274318,1000,470.721581
-477.859798,1000,472.92271
-1164.23708,1000,487.950572
-753.251799,1000,489.991718
-642.405883,1000,503.953637
-765.391678,1000,506.100403
-671.962343,1000,525.252493
-608.358529,1000,528.438807
-910.796172,1000,548.709639
-640.048968,1000,551.557007
-748.370807,1000,571.88549
-627.11231,1000,574.731348
-669.974786,1000,594.880572
-600.221719,1000,597.826779
-438.846843,1000,617.931727
-462.595645,1000,620.804231
-483.903638,1000,641.045039
-458.400599,1000,643.905751
-788.454272,1000,664.638862
-418.483037,1000,667.626994
-666.267792,1000,688.67077
-597.188087,1000,691.694621
-629.120076,1000,711.939108
-599.102709,1000,714.838782
-665.27275,1000,735.039541
-422.025399,1000,738.013101
-435.498036,1000,758.105855
-622.626619,1000,761.053085
-299.539561,1000,781.271619
-331.108738,1000,784.176117
-392.265859,1000,804.312271
-843.908641,1000,807.331919
-312.924195,1000,827.602809
-434.898795,1000,830.542859
-308.430277,1000,850.994171
-312.947222,1000,853.923132
-295.596733,1000,857.061638
-262.973213,1000,878.257178
-265.607168,1000,881.24587
-283.365172,1000,901.766398
-253.832195,1000,904.754563
-401.506549,1000,925.108365
-282.423477,1000,928.166956
-258.812785,1000,948.532142
-451.153623,1000,951.549453
-244.15128,1000,972.262242
-254.488968,1000,975.225645
-560.282122,1000,995.743584
-269.076219,1000,998.715057
-243.183261,1000,1019.142926
-616.467365,1000,1022.157299
-240.801318,1000,1042.66906
-269.206756,1000,1045.63477
-237.636631,1000,1066.169507
-235.485466,1000,1069.173629
-252.905708,1000,1089.677396
-237.018965,1000,1092.670048
-223.351948,1000,1113.406912
-240.826549,1000,1116.486704
-473.427565,1000,1137.314288
-230.466261,1000,1140.764631
-248.770891,1000,1161.028319
-1093.740761,1000,1164.003177
-230.131475,1000,1184.197525
-214.781754,1000,1187.171108
-205.887607,1000,1207.377164
-221.535021,1000,1210.334163
-213.820215,1000,1230.680028
-221.99692,1000,1233.609133
-219.48031,1000,1253.704117
-213.390571,1000,1256.668321
-206.21775,1000,1276.989247
-206.922234,1000,1279.978872
-209.258562,1000,1300.183636
-209.039804,1000,1303.113634
-212.448796,1000,1323.269487
-202.251861,1000,1326.213057
-201.015846,1000,1346.6426
-678.331691,1000,1349.944
-1018.893436,1000,1352.33519
-360.919273,1000,1371.054088
-213.476194,1000,1373.858098
-210.829428,1000,1389.67766
-432.320944,1000,1391.966845
-361.053595,1000,1406.836983
-206.665988,1000,1409.162287
-194.715597,1000,1423.387183
-205.710253,1000,1425.410512
-213.6512,1000,1440.07421
-202.645482,1000,1442.01206
-239.251804,1000,1455.788819
-230.788718,1000,1457.830497
-203.215742,1000,1472.769511
-198.887156,1000,1474.877471
-1041.548749,1000,1489.554914
-185.309708,1000,1491.876744
-190.364182,1000,1506.533238
-193.880196,1000,1508.587544
-204.592599,1000,1523.460153
-197.913022,1000,1525.476965
-224.442733,1000,1540.511086
-198.325411,1000,1542.648915
