#{"t_start": 1773937685.5654135, "env_id": "CustomHopper-source-v0"}
r,l,t
6.343877,18,1.12767
2.055014,18,1.182183
7.883666,13,1.221184
5.643181,15,1.257192
60.070045,58,1.384226
5.039899,10,1.41423
10.677726,20,1.466258
6.312506,10,1.495258
9.160482,20,1.552262
7.449614,11,1.583773
5.580593,16,1.634772
11.194653,20,1.691288
4.505246,12,1.725288
6.86284,19,1.781802
41.759559,33,1.878316
6.650099,24,1.948835
2.624673,11,1.984344
4.993668,9,2.011344
7.441464,16,2.057348
5.301043,9,2.083859
5.826546,16,2.130859
9.650091,15,2.174371
19.852583,19,2.227371
4.41648,16,2.259374
10.564166,18,2.302882
3.886315,13,2.336883
3.299678,9,2.358889
7.235763,19,2.415406
4.350963,9,2.441919
25.009265,24,2.510432
9.046424,15,2.553441
21.343443,29,2.627955
3.273302,14,2.662457
9.325974,14,2.709462
28.738753,25,2.791977
11.792232,20,2.851983
9.698307,21,2.930006
25.283892,26,3.024525
10.195633,29,3.122034
10.279952,14,3.164548
11.620534,15,3.210547
6.897518,10,3.240549
13.604204,22,3.302063
25.20887,21,3.361071
10.331611,30,3.468257
2.136361,25,3.543257
7.661532,12,3.579772
5.358934,10,3.600773
-1.533799,19,3.655781
14.081657,19,3.710289
6.632377,14,3.750294
5.512017,18,3.800803
6.877908,11,3.832803
21.096055,24,3.910323
21.616218,25,3.984369
5.891674,10,4.011368
7.027572,10,4.041368
13.575353,16,4.08988
17.269123,20,4.155885
1.777474,26,4.230396
63.593178,55,4.391424
0.638749,15,4.442936
4.050595,9,4.469447
13.449908,22,4.532448
3.307305,26,4.603962
20.750311,20,4.643962
7.199791,18,4.680477
4.85028,12,4.703477
11.417217,19,4.741477
3.127131,11,4.762987
11.425617,23,4.823992
23.703791,34,4.922512
9.793122,20,4.980538
14.150947,15,5.023538
9.765542,14,5.06805
10.42499,16,5.117049
96.278706,60,5.288078
15.192796,16,5.334078
2.364893,11,5.366592
17.779318,21,5.430102
6.950982,10,5.460106
12.061476,15,5.50562
22.323435,21,5.554624
22.448161,27,5.608132
7.54649,15,5.637132
6.550039,15,5.674647
6.811909,13,5.710647
12.834765,15,5.752651
2.535906,17,5.801159
3.781279,22,5.863665
11.882106,14,5.903668
7.22904,15,5.946178
5.391226,10,5.973694
88.567662,80,6.138215
4.404159,10,6.160227
11.820182,23,6.211754
10.946256,14,6.240746
4.918976,9,6.258749
24.656136,26,6.314255
14.552922,24,6.386767
5.907032,20,6.431282
6.311095,14,6.471806
75.548841,43,6.604335
7.766392,10,6.633334
17.563016,25,6.70786
13.492527,33,18.112532
91.775197,55,18.258063
11.310967,23,18.302574
5.294168,13,18.329574
7.142239,19,18.367091
14.851612,16,18.400087
9.089453,23,18.469117
11.973504,18,18.525117
13.565457,25,18.601638
8.820455,24,18.673147
22.50621,25,18.746147
34.282351,28,18.828662
