#{"t_start": 1773938233.5460055, "env_id": "CustomHopper-source-v0"}
r,l,t
8.656669,14,5.161111
10.682034,22,5.229379
4.072736,8,5.254558
10.79926,15,5.301456
8.268387,13,5.340979
8.199358,15,5.387654
11.398171,13,5.428375
6.485969,11,5.462433
11.584791,17,5.515139
12.266141,16,5.565145
15.222876,23,5.635533
8.82358,13,5.674925
8.569338,11,5.709831
26.247187,23,5.779298
16.888393,27,5.865052
18.8752,24,5.938989
8.233766,15,5.985117
7.833025,23,6.056298
24.395933,30,6.148791
4.022853,10,6.180427
6.390628,15,6.225986
73.145576,50,6.386472
7.066704,11,6.421592
6.426999,17,6.474218
8.674901,12,6.511846
11.420615,27,6.595632
8.367892,13,6.634772
9.469533,13,6.67539
5.638086,19,6.733734
7.896505,11,6.874163
3.416666,12,6.91245
39.204411,28,6.999347
6.1259,10,7.031516
6.857499,11,7.066519
11.184154,16,7.116711
57.660987,33,7.347801
13.601967,15,7.393153
6.668669,13,7.432765
14.327469,17,7.483631
6.285774,11,7.517498
37.430177,31,7.612277
21.101869,21,7.678077
11.45118,17,7.731688
9.507106,16,7.780921
77.323128,68,7.994206
14.80811,21,8.059224
43.53298,34,8.166918
20.092227,29,8.254785
23.884298,34,8.357699
8.225063,19,8.416148
4.170183,11,8.451242
15.081785,17,8.504099
17.786405,20,8.562861
4.264543,8,8.588097
14.059931,24,8.663279
7.281622,11,8.695301
5.452119,13,8.735761
7.06805,12,8.771369
8.240742,11,8.804863
12.017552,14,8.847951
2.032371,11,8.880655
6.19371,16,8.930433
10.934524,13,8.971188
4.022861,10,9.002342
22.920796,22,9.071134
6.583876,16,9.121235
1.943507,10,9.247704
8.143046,19,9.322544
8.021984,11,9.355512
3.304286,9,9.382138
12.113605,21,9.448962
4.619562,11,9.482675
9.828862,14,9.526341
12.637452,16,9.574715
8.063004,15,9.621165
5.002227,21,9.685367
4.862099,11,9.71973
4.995356,9,9.746395
3.127366,10,9.776577
12.143778,18,9.833817
7.910643,20,9.896519
12.810891,19,9.954818
6.641684,15,10.00208
7.847286,12,10.038619
8.421414,11,10.071399
27.581578,20,10.130594
6.153672,12,10.168452
8.89692,13,10.2073
24.780876,30,10.296096
16.787024,19,10.351907
8.600802,17,10.405361
13.857694,19,10.463339
24.836281,22,10.532202
12.779062,27,10.615832
15.527667,40,10.738626
5.747783,9,10.766023
19.759813,28,10.852108
5.029573,10,10.883039
8.669921,13,10.923919
7.143129,24,10.998612
10.073792,13,11.037349
3.193665,11,11.069216
5.141985,12,11.106011
87.754726,57,11.280107
3.771466,8,11.303692
4.944807,10,11.335482
14.302087,22,11.405306
7.401064,14,11.449433
2.176703,6,11.468024
3.055407,29,11.560124
24.844059,34,11.664406
7.213614,14,11.707515
15.720873,18,11.762913
17.956631,33,37.112045
136.84954,97,37.43288
9.415998,16,37.481905
71.468411,49,37.640554
10.251775,13,37.683747
10.669446,23,37.767062
50.800094,49,37.935756
4.373248,17,37.99376
8.337089,16,38.048517
5.884972,12,38.087924
7.113608,11,38.125108
7.049375,13,38.164963
23.071405,36,38.277602
46.297483,35,38.379388
24.627412,21,38.440672
5.711472,10,38.469697
