#{"t_start": 1773938233.774827, "env_id": "None"}
r,l,t
6.571003,11,4.923426
5.4124017,11,4.923426
6.0790935,11,4.923426
5.1274595,11,4.923426
9.399058,11,4.923426
6.3267627,12,4.926654
9.565724,13,4.930249
8.65667,14,4.93348
11.663196,14,4.93348
10.173273,15,4.936523
12.312509,16,4.940115
9.759996,17,4.943284
9.596578,18,4.94661
9.517309,18,4.94661
16.738747,22,4.959188
8.488864,12,4.962335
8.35966,12,4.962335
6.0638514,10,4.962335
6.834496,23,4.962335
12.172799,24,4.965847
15.557582,25,4.969191
5.619097,12,4.975371
17.499,17,4.977371
6.4114747,18,4.980613
5.966811,12,4.983605
12.595572,31,4.986596
10.096888,16,4.989588
12.078172,19,4.99258
14.747252,22,4.993577
20.960243,22,4.995571
10.328722,16,4.995571
4.0124245,12,4.998564
10.682033,22,5.002552
23.90245,37,5.005816
6.679149,12,5.005816
22.666487,20,5.005816
10.219481,15,5.007959
5.333633,9,5.011584
3.7226799,17,5.018775
6.1661654,9,5.02223
9.261039,14,5.024238
14.695299,21,5.02721
4.0727367,8,5.02721
7.6231265,17,5.031111
13.655972,15,5.033608
5.353903,10,5.036742
6.500449,10,5.039926
6.678273,26,5.042304
1.3252958,14,5.042304
8.586879,18,5.045817
8.395672,24,5.049061
4.235768,30,5.052334
13.943834,15,5.052334
17.464363,19,5.052334
11.914801,15,5.058047
0.73868775,21,5.061799
5.960173,13,5.061799
11.440913,19,5.064223
3.088067,11,5.067818
10.79926,15,5.073794
9.632187,14,5.073794
9.106551,17,5.079722
6.188195,10,5.08338
7.5148697,14,5.08338
10.158529,13,5.08338
8.053561,18,5.092788
3.6183596,13,5.102557
9.457852,18,5.102557
21.914436,27,5.102557
9.270434,14,5.105127
9.604902,12,5.111156
7.527435,16,5.113571
8.268388,13,5.113571
3.8335388,18,5.113571
19.623114,20,5.113571
21.993149,39,5.118062
5.343234,12,5.118062
52.58219,33,5.126354
29.550175,28,5.129145
11.197446,25,5.129145
5.212461,11,5.136062
3.1642807,18,5.138446
3.5466378,8,5.138446
9.736093,13,5.144829
3.8618178,10,5.144829
3.610139,10,5.148888
12.086111,21,5.148888
8.391786,22,5.150887
11.304366,16,5.150887
11.559165,14,5.157832
7.888968,13,5.157832
8.199357,15,5.159847
22.03356,36,5.160977
6.275123,12,5.166532
29.734776,33,5.170038
6.5586057,25,5.170038
4.106949,10,5.176853
6.8862543,26,5.182308
5.237569,11,5.182308
8.939157,14,5.182308
2.424218,12,5.182308
6.252203,13,5.188056
10.513143,17,5.188056
4.794669,13,5.190433
5.185119,13,5.190433
13.034333,19,5.197559
13.766367,14,5.200887
11.39817,13,5.200887
10.507137,14,5.204666
8.619212,12,5.204666
4.8060822,26,5.207268
5.445311,10,5.207268
3.6218781,9,5.216268
20.863083,20,5.219788
6.931912,14,5.226628
6.1837783,12,5.229131
6.1172705,16,5.231529
6.485969,11,5.234932
14.530718,18,5.238355
10.713372,18,5.238355
6.413882,11,5.238355
9.505965,14,5.24369
9.294147,15,5.24369
15.321937,24,5.24369
11.122225,18,5.247157
36.65338,41,5.255723
3.8539302,29,5.25971
17.882132,18,5.261983
